pXC50,nBT,Sp
5.0,46,31.387
5.0,43,29.449
5.181,80,49.574
5.0,41,29.404
5.0,62,39.563
5.691,40,29.517
4.419,54,36.091
5.745,43,29.091
5.0,43,28.972
5.959,82,51.193
6.796,42,26.296
5.0,87,52.557
6.609,71,44.773
6.921,76,47.466
5.569,49,33.455
5.0,50,33.148
9.412,62,40.068
5.0,54,33.103
5.0,44,29.864
7.297,68,41.762
6.585,62,37.915
6.0,70,43.086
7.62,55,33.864
5.0,44,27.603
6.62,72,47.392
5.959,72,46.017
4.523,51,34.182
8.328,55,34.989
6.244,70,45.273
7.097,71,44.836
7.319,87,53.569
5.0,70,44.296
6.367,69,42.841
5.509,61,39.557
7.745,48,30.569
5.0,41,26.966
4.523,71,46.176
5.0,43,28.523
4.301,46,30.296
4.301,46,30.296
5.42,70,43.478
8.523,73,44.813
8.398,75,45.818
5.496,57,36.148
5.0,44,28.159
5.0,45,27.819
5.0,49,31.75
5.0,43,27.989
6.959,63,39.858
7.889,63,41.574
6.796,61,37.688
6.022,81,50.739
5.0,57,37.034
5.0,50,32.426
5.745,44,28.904
6.305,50,30.966
6.795,65,40.801
6.547,50,31.029
6.737,57,36.597
9.0,44,28.506
5.0,38,23.597
8.886,68,44.279
8.319,66,42.478
8.284,61,39.654
8.387,63,41.512
5.959,65,42.159
8.224,64,42.029
6.585,53,35.995
5.0,51,32.239
4.025,86,53.71
7.658,63,40.716
5.0,42,27.978
8.398,68,44.006
7.699,83,50.892
8.0,77,47.37
8.0,74,45.461
7.523,70,43.148
5.0,51,32.841
7.699,74,45.665
5.0,74,47.074
8.0,78,48.125
7.398,64,39.625
7.523,58,36.858
5.699,62,39.563
8.699,43,29.557
5.0,49,30.415
5.0,52,33.33
5.0,53,33.222
8.638,48,34.171
9.523,64,41.171
5.602,77,50.148
5.0,51,32.75
8.921,69,43.381
5.0,49,31.955
5.0,44,28.983
5.854,82,53.387
5.0,72,44.722
7.456,60,37.097
5.301,57,36.688
5.0,65,41.767
6.585,64,39.461
5.0,61,37.017
9.0,55,33.04
7.638,86,53.853
5.0,81,48.586
6.292,46,28.961
5.0,67,42.313
6.237,54,33.517
8.0,64,39.932
5.0,46,29.262
6.771,58,36.006
7.523,75,46.216
5.658,54,34.449
5.0,70,46.421
8.0,73,44.909
6.796,65,40.381
6.027,57,36.205
8.0,78,47.677
8.0,57,36.103
7.398,79,48.432
6.328,65,40.762
5.151,54,34.336
5.0,46,28.955
6.585,71,43.66
5.0,77,48.398
7.699,65,40.688
4.301,36,25.443
6.114,55,35.75
4.585,44,30.665
4.301,48,32.426
7.699,50,31.881
5.959,58,38.347
5.0,44,29.358
5.585,77,48.279
5.0,68,42.523
5.0,58,36.557
5.0,72,45.631
