pXC50,C.,Mi,nAB,nBM,RBF,Mv,RBN,Mp,nDB,nN,nCsp2,MW,nAT,nBO,nBT
8.553,42.9,1.126,24,27,0.101,0.631,9,0.668,3,7,26,601.82,84,50,89
8.1,36.2,1.133,12,16,0.155,0.605,11,0.643,4,4,14,502.7,69,37,71
6.6,33.1,1.145,6,14,0.193,0.571,28,0.608,8,10,14,925.33,142,69,145
5.5,32.8,1.147,6,14,0.133,0.578,18,0.611,8,12,14,881.23,131,67,135
5.2,32.8,1.147,6,14,0.13,0.577,18,0.61,8,12,14,895.26,134,68,138
5.0,32.8,1.148,6,14,0.14,0.581,18,0.612,8,12,14,853.17,125,65,129
5.7,32.3,1.149,6,14,0.173,0.578,22,0.609,8,12,14,841.16,124,63,127
7.484,38.5,1.133,12,15,0.073,0.589,7,0.637,3,6,15,584.89,91,48,96
8.423,40.7,1.129,18,21,0.094,0.605,9,0.65,3,6,21,606.89,91,50,96
7.616,40.5,1.131,18,21,0.079,0.614,7,0.653,3,7,20,579.82,84,48,89
7.67,40.9,1.128,18,21,0.075,0.609,7,0.652,3,6,21,592.86,88,49,93
6.8,34.2,1.142,11,22,0.156,0.595,26,0.626,11,14,22,1145.56,161,87,167
6.786,42.2,1.12,18,23,0.118,0.681,8,0.712,5,5,21,586.54,64,43,68
7.553,45.7,1.112,24,28,0.107,0.685,8,0.724,4,4,26,619.61,70,47,75
7.678,44.3,1.116,24,28,0.095,0.644,8,0.686,4,4,26,592.82,79,48,84
7.284,45.2,1.114,24,28,0.103,0.655,8,0.694,4,4,26,564.76,73,46,78
7.092,44.6,1.116,24,28,0.114,0.656,9,0.691,4,4,26,580.76,74,47,79
7.347,45.7,1.117,24,28,0.107,0.69,8,0.723,4,4,26,637.6,70,48,75
7.377,45.7,1.122,24,28,0.107,0.696,8,0.722,4,4,26,655.59,70,49,75
7.678,44.6,1.114,24,28,0.114,0.678,9,0.714,4,4,26,649.64,74,49,79
7.367,41.0,1.121,18,21,0.102,0.636,9,0.683,3,3,19,656.73,83,49,88
5.2,32.4,1.149,6,16,0.151,0.583,22,0.611,10,14,16,981.32,142,74,146
7.921,43.6,1.134,23,25,0.121,0.687,7,0.702,1,8,19,490.97,55,38,58
7.447,45.3,1.118,18,21,0.145,0.691,8,0.716,2,4,19,483.38,53,35,55
7.092,45.5,1.128,23,25,0.121,0.691,7,0.706,1,6,20,490.96,55,38,58
7.452,45.3,1.125,18,21,0.145,0.683,8,0.699,2,4,19,466.93,53,35,55
6.821,41.1,1.14,18,21,0.117,0.645,9,0.663,3,3,19,605.71,73,46,77
6.896,40.8,1.14,18,21,0.113,0.639,9,0.66,3,3,19,619.74,76,47,80
6.682,39.7,1.143,18,21,0.158,0.641,12,0.656,3,3,19,609.7,73,45,76
5.79,42.3,1.148,12,15,0.13,0.674,7,0.669,3,2,15,486.88,52,35,54
7.0,32.4,1.147,6,14,0.193,0.569,28,0.606,8,12,14,925.34,142,69,145
6.3,32.3,1.147,6,14,0.213,0.563,35,0.603,8,12,14,1025.52,161,76,164
5.6,32.4,1.148,6,16,0.158,0.58,24,0.61,10,14,16,1009.38,148,76,152
9.036,42.9,1.126,24,27,0.101,0.631,9,0.668,3,7,26,601.82,84,50,89
6.009,31.8,1.148,6,13,0.241,0.563,32,0.601,7,10,13,845.24,132,61,133
6.0,32.8,1.146,6,13,0.193,0.568,27,0.606,7,10,13,883.29,137,66,140
5.4,32.3,1.148,6,14,0.18,0.575,24,0.608,8,12,14,869.22,130,65,133
6.3,32.4,1.147,6,14,0.2,0.569,29,0.606,8,12,14,925.34,142,69,145
7.0,33.1,1.145,11,19,0.238,0.571,34,0.608,8,10,18,925.33,142,67,143
5.9,32.8,1.147,6,14,0.136,0.58,18,0.611,8,12,14,867.2,128,66,132
7.469,44.3,1.118,23,28,0.107,0.664,8,0.695,5,5,25,567.72,70,46,75
5.0,31.5,1.15,6,16,0.208,0.568,35,0.604,10,16,16,1081.56,165,80,168
7.7,33.5,1.146,12,25,0.157,0.59,31,0.618,13,19,25,1338.78,191,103,198
6.1,32.3,1.147,6,14,0.205,0.564,33,0.603,8,12,14,1011.49,158,75,161
6.924,43.6,1.134,23,25,0.121,0.687,7,0.702,1,8,19,490.97,55,38,58
8.662,40.8,1.163,17,18,0.098,0.688,5,0.669,1,4,14,490.85,49,35,51
5.7,32.5,1.148,6,16,0.165,0.577,26,0.609,10,14,16,1037.44,154,78,158
7.071,34.0,1.144,12,22,0.179,0.591,27,0.618,10,13,22,1032.36,147,78,151
8.1,34.2,1.143,12,23,0.16,0.587,31,0.617,11,15,23,1282.74,187,99,194
7.2,35.0,1.142,17,28,0.186,0.594,31,0.622,11,13,27,1140.51,163,86,167
8.398,43.0,1.118,23,26,0.107,0.634,9,0.676,3,3,23,583.81,79,47,84
7.1,32.4,1.148,6,14,0.19,0.571,27,0.607,8,12,14,911.31,139,68,142
6.81,43.8,1.125,22,25,0.118,0.646,8,0.677,3,6,22,480.62,64,40,68
6.402,42.0,1.128,22,24,0.11,0.629,8,0.664,2,6,20,496.67,69,41,73
7.638,38.5,1.134,16,18,0.098,0.596,8,0.64,2,6,15,516.76,78,42,82
9.097,43.3,1.127,22,25,0.125,0.655,8,0.68,3,7,21,467.58,60,39,64
6.38,43.3,1.126,22,24,0.094,0.647,6,0.676,2,6,20,454.58,60,38,64
6.462,42.9,1.126,22,25,0.122,0.634,9,0.669,3,6,22,508.68,70,42,74
7.824,38.7,1.134,16,18,0.089,0.6,7,0.642,2,6,15,502.73,75,41,79
