pXC50,Hy,ATSC8s,H.050,nHDon,CATS2D_05_DL,SpMin2_Bh.s.,Eig05_EA.dm.,MCD,CATS2D_04_DL,SsssCH,ATSC5m,Eta_C_A,CATS2D_06_DL,CATS2D_09_DA,BAC,ATS5i,ATSC5v,SpMin4_Bh.s.,CATS2D_03_DA,ATSC6m,X3A,Eig04_EA.dm.,Eig09_EA.dm.,CATS2D_03_DD,CATS2D_05_DA,SsNH2,CATS2D_08_DL,ATSC7m,PW4,SpMAD_EA.ed.,CATS2D_09_AP,nCsp3,SdssC,ATS8s,H.046,ATSC5s,TPSA.Tot.,CATS2D_07_DP,DBI,TPSA.NO.,ATSC2m,ATSC1v,ATSC2v,ATSC8m,NdssC,CATS2D_09_DL,DLS_05,X5A,CATS2D_02_DA,ATSC4v,CATS2D_04_PL,SpMAD_AEA.ri.,ATSC8v,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,NsNH2,RBF,ATS7s,CATS2D_07_DD,X4A,CATS2D_02_DP,P_VSA_e_3,NsssCH
6.943,4.608,270.529,8,8,9,1.295,1.2,0.262,12,-3.105,59.162,1.233,8,5,138.0,5.671,22.475,1.143,3,62.474,0.198,1.38,0.129,2,4,10.758,7,66.983,0.154,3.953,4,14,-2.086,6.885,13,249.672,221.93,2,6.442,193.69,35.887,10.031,17.381,70.908,5,5,1.0,0.087,6,23.044,2,1.455,30.895,2,2,2,2,0.19,6.689,2,0.129,2,171.408,5
8.409,7.072,773.695,12,12,12,1.324,1.983,0.466,9,-14.338,122.586,1.648,13,15,408.0,6.432,48.506,1.267,9,131.666,0.189,2.002,1.886,3,9,11.067,17,156.169,0.166,4.151,2,28,-8.624,7.896,15,626.88,354.58,2,6.442,354.58,61.34,17.705,31.007,180.829,10,20,1.0,0.077,9,44.859,2,1.474,76.941,2,2,2,2,0.128,7.71,3,0.12,2,178.882,10
8.0,4.567,243.723,8,8,9,1.295,1.2,0.256,13,-3.272,64.432,1.352,9,5,161.0,5.748,24.539,1.198,3,71.938,0.196,1.38,0.129,2,4,10.794,8,82.64,0.157,4.023,4,15,-1.911,6.879,13,252.874,221.93,2,6.595,193.69,38.345,10.587,18.599,80.474,5,5,1.0,0.084,6,25.384,2,1.467,32.559,2,2,2,2,0.184,6.711,2,0.129,2,217.363,6
4.481,0.269,182.646,2,2,1,1.229,0.293,0.622,0,-2.145,36.296,0.91,0,0,67.0,5.26,14.501,0.93,0,38.144,0.184,0.4,0.0,0,3,0.0,4,35.03,0.172,4.511,0,6,-1.685,6.441,0,223.417,138.85,0,4.472,130.47,20.916,5.781,10.56,38.824,3,0,0.5,0.073,3,13.103,0,1.511,12.888,0,0,0,0,0.111,6.404,0,0.113,0,57.45,2
4.481,0.259,181.621,2,2,1,1.111,0.8,0.639,0,-4.654,34.785,0.886,0,0,52.0,5.256,13.137,0.924,0,30.402,0.182,1.2,0.0,0,3,0.0,4,31.28,0.178,4.32,0,6,-1.636,6.299,0,274.254,96.33,0,4.123,96.33,17.095,5.24,9.069,31.217,3,0,0.5,0.076,3,13.813,0,1.503,11.923,0,0,0,0,0.1,6.654,0,0.116,0,59.056,3
4.481,0.219,118.004,2,2,1,1.188,0.293,0.657,0,-1.224,40.001,0.936,4,0,51.0,5.351,17.611,0.926,0,34.648,0.183,0.8,0.0,0,3,0.0,4,36.297,0.178,4.387,0,7,-1.101,6.209,0,180.706,96.33,0,4.0,96.33,21.024,6.346,11.195,34.834,3,0,0.5,0.075,3,16.692,0,1.51,14.889,0,0,0,0,0.095,6.353,0,0.115,0,59.056,3
4.481,0.259,163.546,2,2,1,1.094,0.655,0.639,0,-1.945,28.674,0.851,0,0,52.0,5.147,11.978,0.921,0,32.422,0.185,1.2,0.13,0,3,0.0,4,30.375,0.179,4.338,0,5,-2.243,6.374,0,190.256,122.63,0,4.123,122.63,17.117,5.101,8.965,31.129,4,0,0.0,0.075,3,11.351,0,1.493,10.841,0,0,0,0,0.1,6.303,0,0.115,0,59.056,2
5.0,0.286,91.04,2,2,4,1.048,0.795,0.611,2,0.0,23.304,0.968,1,0,51.0,5.038,11.569,0.924,1,51.585,0.183,0.86,0.0,0,1,0.0,2,25.557,0.186,4.333,0,5,-0.537,6.208,0,84.091,133.39,0,4.243,105.15,17.825,4.728,8.367,45.633,3,1,0.0,0.076,3,10.062,0,1.498,12.503,0,0,0,0,0.136,6.223,0,0.117,0,72.717,0
6.588,5.155,259.413,9,9,16,1.253,1.38,0.333,12,-4.417,69.341,1.218,15,9,120.0,5.843,26.653,1.215,6,74.397,0.198,1.629,0.14,3,4,10.844,11,79.521,0.163,3.869,4,14,-2.988,6.991,6,276.186,260.26,2,6.892,232.02,40.831,11.613,19.983,84.005,6,11,1.0,0.085,6,26.083,2,1.444,34.303,2,2,2,2,0.21,6.918,3,0.13,2,189.174,5
4.875,-0.332,175.704,1,1,2,1.361,0.521,0.744,2,-0.656,53.648,1.046,2,0,37.0,5.527,20.8,0.942,2,50.419,0.174,0.684,0.0,0,0,0.0,3,46.293,0.189,4.7,0,11,0.403,6.427,2,222.769,117.17,0,4.183,108.79,27.75,7.795,14.363,38.759,4,1,0.5,0.07,2,22.775,0,1.54,17.801,0,0,0,0,0.068,6.288,0,0.109,0,25.778,3
4.921,0.895,142.624,3,3,3,1.124,0.0,0.658,1,0.0,24.709,0.836,2,0,70.0,5.141,11.104,0.761,2,26.45,0.171,0.172,0.0,0,2,5.751,0,31.872,0.182,4.756,0,4,-1.006,6.403,0,131.123,120.03,0,4.472,120.03,17.797,4.79,8.012,24.864,1,0,0.0,0.069,2,13.017,1,1.559,10.586,1,1,1,1,0.097,6.432,0,0.107,0,110.753,0
5.757,4.964,168.208,8,8,7,1.239,0.697,0.333,9,-2.878,46.241,1.056,5,5,73.0,5.41,17.423,0.83,3,46.128,0.198,1.2,0.0,2,2,16.759,3,48.757,0.16,3.987,5,9,-1.307,6.466,6,191.653,206.82,2,5.568,178.58,26.911,7.554,13.153,50.62,4,4,1.0,0.084,4,17.1,4,1.461,21.341,3,3,3,3,0.185,6.364,2,0.129,2,168.284,4
4.066,2.528,110.743,5,5,4,1.282,0.0,0.517,5,-0.966,40.471,0.829,2,6,31.0,5.054,12.829,0.773,1,37.145,0.187,0.0,0.0,0,0,5.255,2,34.511,0.163,4.241,3,4,-0.559,6.01,0,160.14,174.65,1,4.69,138.03,19.547,5.286,9.557,29.502,2,4,0.0,0.077,2,12.937,1,1.484,11.333,1,1,1,1,0.192,6.146,2,0.12,2,115.77,1
5.206,3.163,179.585,6,6,5,1.28,0.561,0.314,7,-1.57,50.895,1.148,1,5,90.0,5.422,18.295,0.851,1,47.62,0.2,1.2,0.0,0,3,10.709,3,49.668,0.154,3.986,4,10,-0.991,6.481,7,193.527,180.8,2,5.568,152.56,26.732,7.454,13.494,54.492,4,6,1.0,0.086,4,18.372,2,1.462,21.448,2,2,2,2,0.197,6.362,2,0.129,2,135.387,3
