pXC50,ATS6s,ATS7s,ATSC7e,ATSC7i,ATSC7s,CATS2D_02_DL,CATS2D_03_AL,CATS2D_03_DD,CATS2D_05_LL,CATS2D_07_DL,CATS2D_08_NL,CENT,Eig06_AEA.dm.,Eig07_AEA.dm.,Eig07_EA,Eig08_AEA.bo.,Eig08_EA,Eig08_EA.bo.,Eig08_EA.ed.,Eig08_EA.ri.,Eig09_AEA.dm.,Eig10_AEA.ed.,Eig10_EA,Eig10_EA.ed.,Eig14_AEA.ed.,Eig14_EA,Eig14_EA.ed.,Eig14_EA.ri.,Eig15_AEA.dm.,GGI10,GGI3,GGI5,HDcpx,IDM,MATS4s,MATS6e,MATS8i,MDDD,MPC10,nOHs,O.056,P_VSA_MR_3,RDSQ,SdssC,SM02_AEA.dm.,SM03_AEA.ri.,SM04_AEA.dm.,SM05_AEA.ri.,SM08_AEA.dm.,SM09_AEA.ri.,SM15_AEA.bo.,SpAD_AEA.ed.,SpMax1_Bh.e.,SpMax5_Bh.e.,SpMax5_Bh.m.,SpMax7_Bh.i.,SpMax7_Bh.v.,SpMaxA_AEA.dm.,SpMin5_Bh.p.,SsssN,CATS2D_06_NL,CATS2D_06_PL,CATS2D_09_NL,CATS2D_09_PL,Eig03_AEA.dm.,Eig04_AEA.ed.,Eig04_AEA.ri.,Eig04_EA,Eig04_EA.ed.,Eig04_EA.ri.,GATS1m,GATS2s,GATS5m,GATS8s,GGI9,JGI8,MATS6s,SM12_AEA.bo.,SM13_AEA.dm.,SpMin4_Bh.m.,SpMin4_Bh.s.,SpMin7_Bh.e.,SpMin7_Bh.s.,SpMin7_Bh.v.,Eig11_AEA.dm.,AAC,ATS4s,GATS5e,IC0,MATS2e,SpMax4_Bh.s.,SpMax5_Bh.s.,SpMax6_Bh.s.,ATSC1s,MLOGP2,Eig07_EA.ed.,SM02_AEA.ri.,ATSC4s,Eig07_AEA.bo.,Eig08_AEA.ri.,Eig11_AEA.ri.,Eig11_EA,Eig11_EA.ed.,Eig11_EA.ri.,GMTIV,JGI6,SM05_AEA.dm.,SM06_AEA.ri.,SPI,SpMin7_Bh.i.,SpMin7_Bh.p.
5.42,6.7,6.59,1.591,1.716,290.668,5,5,4,3,3,1,2368.0,2.945,2.604,2.035,3.046,1.815,2.054,4.72,1.826,2.164,3.917,1.225,3.062,2.788,0.306,0.683,0.304,0.659,0.339,2.25,1.507,1.761,8.873,-0.178,0.035,0.133,41.723,3.871,0,0,0.0,277.354,-4.745,1.815,4.72,1.225,3.062,0.306,0.683,2.035,53.237,3.958,3.566,3.45,3.301,3.017,0.113,1.745,0.0,0,2,2,0,3.674,5.737,3.53,2.539,7.496,2.506,0.843,0.479,0.943,0.725,0.371,0.01,0.026,2.539,7.496,1.814,1.001,1.171,0.547,1.454,1.848,1.725,6.474,0.909,1.725,0.181,7.435,7.426,7.422,44.22,0.311,5.121,5.121,246.792,3.383,2.828,2.018,1.006,2.392,1.004,58250.0,0.016,1.006,2.392,27.304,1.111,1.457
4.772,6.625,6.709,1.573,2.15,258.147,2,3,5,2,6,0,3148.0,3.513,2.768,2.103,3.092,1.839,2.16,4.957,1.816,2.508,4.077,1.473,3.34,3.277,0.725,1.694,0.691,1.277,0.37,2.493,1.42,1.791,9.211,-0.135,-0.019,-0.118,49.773,4.522,1,1,42.683,340.99,-4.599,1.839,4.957,1.473,3.34,0.725,1.694,2.103,60.316,3.985,3.646,3.552,3.473,3.201,0.101,1.761,1.329,0,1,1,1,3.659,5.371,3.422,2.427,6.878,2.411,0.845,0.556,0.974,0.838,0.362,0.01,-0.071,2.427,6.878,1.8,0.999,1.333,0.73,1.611,1.491,1.69,6.567,0.911,1.69,0.117,7.427,7.423,7.421,42.946,3.972,5.068,5.068,234.43,3.463,2.836,2.187,1.204,2.91,1.179,71711.0,0.017,1.204,2.91,26.845,1.286,1.631
4.124,6.593,6.467,1.161,1.48,211.395,5,5,4,3,4,3,1684.0,2.488,2.446,1.799,2.512,1.279,1.422,3.182,1.236,1.997,3.367,0.745,1.656,2.118,-0.555,-1.292,-0.556,0.416,0.215,2.375,1.333,1.731,8.525,-0.166,0.093,0.019,31.884,3.258,0,0,0.0,227.667,-4.448,1.279,3.182,0.745,1.656,-0.555,-1.292,1.799,46.35,3.903,3.452,3.377,3.287,2.997,0.133,1.624,0.0,2,0,0,2,3.69,5.816,3.551,2.552,7.702,2.54,0.957,0.446,1.001,0.947,0.28,0.013,0.068,2.552,7.702,1.833,1.006,1.141,0.492,1.443,1.262,1.604,6.458,1.11,1.604,0.233,7.426,7.422,6.352,33.435,0.061,4.573,4.573,205.46,3.034,2.257,1.553,0.547,1.22,0.543,32380.0,0.018,0.547,1.22,26.038,1.092,1.455
4.013,6.262,6.297,0.719,1.524,130.618,3,5,2,4,4,1,1270.0,2.482,2.336,1.529,2.411,1.256,1.347,3.13,1.215,1.291,3.292,0.731,1.743,2.114,-0.556,-1.293,-0.56,0.214,0.198,2.431,1.111,1.713,8.327,-0.151,-0.016,0.042,25.071,3.611,0,0,0.0,220.342,-2.389,1.256,3.13,0.731,1.743,-0.556,-1.293,1.529,45.867,3.948,3.354,3.209,3.277,2.998,0.142,1.723,1.315,2,0,0,2,3.688,5.829,3.549,2.55,7.737,2.539,0.976,0.462,1.153,1.074,0.235,0.012,-0.057,2.55,7.737,1.833,1.006,1.128,0.521,1.441,1.258,1.546,6.426,1.408,1.546,0.196,7.422,6.351,4.984,20.05,0.008,3.548,3.548,149.8,2.752,2.231,1.684,0.684,1.444,0.677,22133.0,0.021,0.684,1.444,22.521,1.06,1.432
4.712,6.602,6.655,1.567,1.926,271.001,2,3,5,2,6,0,2502.0,3.512,2.642,2.097,3.044,1.817,2.05,4.618,1.777,2.294,4.002,1.223,3.096,2.93,0.452,1.039,0.439,1.175,0.371,2.556,1.413,1.771,8.97,-0.105,-0.056,-0.12,43.726,4.127,1,1,42.683,296.005,-4.482,1.817,4.618,1.223,3.096,0.452,1.039,2.097,54.873,3.959,3.583,3.45,3.405,3.135,0.113,1.761,1.343,0,1,1,0,3.659,5.214,3.415,2.422,6.241,2.388,0.897,0.534,1.022,0.733,0.335,0.01,-0.101,2.422,6.241,1.764,0.995,1.333,0.72,1.611,1.47,1.673,6.554,0.954,1.673,0.131,7.427,7.423,7.421,41.389,5.784,5.024,5.024,242.226,3.233,2.806,1.913,0.972,2.357,0.91,54368.0,0.018,0.972,2.357,27.964,1.286,1.63
5.77,6.77,6.784,1.782,2.255,321.92,3,5,4,3,5,2,3632.0,3.536,3.509,2.184,3.455,2.077,2.607,5.04,2.074,2.537,4.214,1.485,3.709,3.279,0.795,1.983,0.777,1.278,0.37,2.243,1.587,1.806,9.373,-0.202,0.065,-0.106,54.79,4.625,0,0,0.0,364.191,-5.907,2.077,5.04,1.485,3.709,0.795,1.983,2.184,62.59,3.986,3.656,3.563,3.479,3.228,0.096,1.776,1.311,0,1,1,1,3.659,5.369,3.42,2.423,6.872,2.411,0.821,0.491,0.939,0.857,0.431,0.01,0.026,2.423,6.872,1.801,1.005,1.369,0.731,1.634,1.991,1.708,6.534,0.858,1.708,0.165,7.429,7.427,7.423,50.692,3.055,5.166,5.166,256.813,3.53,3.09,2.361,1.373,3.171,1.344,85482.0,0.015,1.373,3.171,27.942,1.331,1.667
5.824,6.713,6.71,1.768,2.109,298.614,3,4,4,3,5,1,3378.0,3.536,3.498,2.126,3.431,2.032,2.581,5.012,2.035,2.536,4.154,1.479,3.528,3.279,0.755,1.876,0.734,1.278,0.37,2.368,1.531,1.799,9.294,-0.183,0.041,-0.116,52.13,4.575,0,0,0.0,352.76,-6.386,2.032,5.012,1.479,3.528,0.755,1.876,2.126,61.304,3.984,3.647,3.558,3.47,3.208,0.099,1.757,1.273,1,1,1,1,3.659,5.37,3.421,2.424,6.874,2.411,0.81,0.497,0.917,0.79,0.362,0.01,0.013,2.424,6.874,1.798,0.997,1.325,0.73,1.594,1.991,1.726,6.544,0.799,1.726,0.161,7.429,7.426,7.423,52.947,3.824,5.127,5.127,255.296,3.489,3.048,2.23,1.26,3.062,1.211,81427.0,0.015,1.26,3.062,27.398,1.284,1.625
4.356,6.599,6.474,1.181,1.496,225.674,5,5,4,3,4,1,1596.0,2.517,2.396,1.812,2.591,1.325,1.521,3.19,1.287,1.975,3.491,0.884,2.026,2.106,-0.528,-1.268,-0.523,0.428,0.182,2.375,1.333,1.731,8.523,-0.166,0.093,0.009,31.333,3.332,0,0,0.0,227.307,-4.451,1.325,3.19,0.884,2.026,-0.528,-1.268,1.812,46.334,3.904,3.424,3.354,3.285,2.985,0.133,1.623,0.0,0,2,2,0,3.682,5.74,3.517,2.52,7.5,2.499,0.957,0.446,1.001,0.841,0.32,0.01,0.077,2.52,7.5,1.814,1.001,1.177,0.57,1.482,1.256,1.604,6.458,1.11,1.604,0.233,7.426,7.422,6.352,33.435,0.061,4.66,4.66,205.46,3.015,2.313,1.468,0.457,0.987,0.455,32644.0,0.019,0.457,0.987,26.054,1.099,1.457
4.359,6.673,6.529,1.323,1.671,244.36,5,5,4,3,4,1,2169.0,2.732,2.443,1.816,2.921,1.517,2.039,3.459,1.513,1.975,3.589,1.168,2.777,2.767,0.305,0.68,0.303,0.577,0.273,2.188,1.451,1.754,8.791,-0.177,0.085,0.115,38.854,3.784,0,0,0.0,265.57,-4.536,1.517,3.459,1.168,2.777,0.305,0.68,1.816,51.136,3.952,3.563,3.443,3.3,3.015,0.117,1.744,0.0,0,3,2,0,3.674,5.737,3.519,2.523,7.493,2.501,0.891,0.464,0.986,0.772,0.349,0.01,0.072,2.523,7.493,1.814,1.001,1.173,0.549,1.455,1.463,1.626,6.435,1.043,1.626,0.222,7.426,7.422,6.352,34.453,0.033,4.723,4.723,204.314,3.051,2.516,2.011,1.0,2.376,1.0,47809.0,0.014,1.0,2.376,25.422,1.112,1.457
4.279,6.686,6.568,1.488,1.674,262.262,7,5,4,3,3,3,2316.0,2.816,2.458,2.033,3.039,1.8,2.045,4.586,1.811,2.123,3.749,1.206,2.797,2.786,0.268,0.607,0.267,0.574,0.314,2.25,1.451,1.76,8.872,-0.179,0.05,-0.014,41.08,3.689,0,0,0.0,277.271,-4.671,1.8,4.586,1.206,2.797,0.268,0.607,2.033,53.233,3.954,3.509,3.405,3.29,3.003,0.114,1.694,0.0,2,0,0,2,3.684,5.749,3.585,2.594,7.613,2.565,0.888,0.471,0.956,0.858,0.251,0.012,0.031,2.594,7.613,1.846,1.009,1.138,0.491,1.43,1.818,1.649,6.472,0.965,1.649,0.199,7.426,7.422,6.471,43.392,0.071,5.126,5.126,228.798,3.382,2.814,2.0,1.0,2.35,1.0,55586.0,0.017,1.0,2.35,27.289,1.094,1.455
