pXC50,RBN,Se,nBT,Si,Sv,nCsp2,Sp,nH,nHet,nC,nCsp3,nAT,nS,MW,nBO,nAB,nSK,nO,nDB,SCBO,Mv,nBM,RBF,N.,O.,nN,X.,H.,Mp,C.
6.387,6,59.145,63,66.444,36.926,9,39.818,28,9,22,13,59,2,460.68,35,6,31,3,5,43.0,0.626,11,0.095,6.8,5.1,4,0.0,47.5,0.675,37.3
7.048,6,48.611,50,53.783,31.819,15,33.773,20,9,19,4,48,2,416.57,30,12,28,3,5,41.0,0.663,17,0.12,8.3,6.3,4,0.0,41.7,0.704,39.6
6.493,6,46.051,47,50.312,31.119,15,32.869,17,10,18,3,45,2,436.98,30,12,28,3,5,41.0,0.692,17,0.128,8.9,6.7,4,2.2,37.8,0.73,40.0
6.552,6,46.24,47,50.708,30.675,15,31.949,17,10,18,3,45,2,420.53,30,12,28,3,5,41.0,0.682,17,0.128,8.9,6.7,4,2.2,37.8,0.71,40.0
6.42,7,51.818,53,57.142,34.173,15,36.392,21,10,20,5,51,2,465.04,32,12,30,3,5,43.0,0.67,17,0.132,7.8,5.9,4,2.0,41.2,0.714,39.2
6.96,6,48.611,50,53.783,31.819,15,33.773,20,9,19,4,48,2,416.57,30,12,28,3,5,41.0,0.663,17,0.12,8.3,6.3,4,0.0,41.7,0.704,39.6
6.522,6,50.149,50,54.802,32.969,15,33.585,17,12,19,4,48,2,470.54,33,12,31,3,5,44.0,0.687,17,0.12,8.3,6.3,4,6.3,35.4,0.7,39.6
6.699,6,48.934,50,53.727,32.646,15,34.631,19,10,19,4,48,2,451.01,31,12,29,3,5,42.0,0.68,17,0.12,8.3,6.3,4,2.1,39.6,0.721,39.6
6.444,6,43.244,44,46.817,29.78,13,31.756,15,11,16,3,42,3,443.01,29,11,27,3,5,39.5,0.709,16,0.136,9.5,7.1,4,2.4,35.7,0.756,38.1
6.359,6,45.956,47,50.209,31.317,15,33.364,17,10,18,3,45,2,481.43,30,12,28,3,5,41.0,0.696,17,0.128,8.9,6.7,4,2.2,37.8,0.741,40.0
6.47,6,45.956,47,50.209,31.317,15,33.364,17,10,18,3,45,2,481.43,30,12,28,3,5,41.0,0.696,17,0.128,8.9,6.7,4,2.2,37.8,0.741,40.0
6.319,7,48.934,50,53.727,32.646,15,34.631,19,10,19,4,48,2,451.01,31,12,29,3,5,42.0,0.68,17,0.14,8.3,6.3,4,2.1,39.6,0.721,39.6
6.282,6,46.051,47,50.312,31.119,15,32.869,17,10,18,3,45,2,436.98,30,12,28,3,5,41.0,0.692,17,0.128,8.9,6.7,4,2.2,37.8,0.73,40.0
6.442,6,46.945,48,51.451,31.786,15,33.256,17,10,19,3,46,2,427.55,31,12,29,3,5,44.0,0.691,18,0.125,10.9,6.5,5,0.0,37.0,0.723,41.3
6.62,6,43.244,44,46.817,29.78,13,31.756,15,11,16,3,42,3,443.01,29,11,27,3,5,39.5,0.709,16,0.136,9.5,7.1,4,2.4,35.7,0.756,38.1
9.62,6,48.709,49,53.25,30.643,13,31.176,19,10,18,5,47,1,410.46,30,12,28,6,3,39.0,0.652,15,0.122,4.3,12.8,2,2.1,40.4,0.663,38.3
7.456,7,99.534,99,111.213,59.495,17,59.83,42,19,35,18,96,0,772.83,57,12,54,7,5,68.0,0.62,17,0.071,6.3,7.3,6,6.3,43.8,0.623,36.5
5.699,7,83.359,83,93.035,50.216,17,50.966,36,15,30,13,81,0,635.71,47,12,45,7,5,58.0,0.62,17,0.084,6.2,8.6,5,3.7,44.4,0.629,37.0
4.194,4,32.923,32,35.637,21.477,12,20.75,10,7,14,2,31,0,297.25,22,6,21,3,4,29.0,0.693,10,0.125,3.2,9.7,1,9.7,32.3,0.669,45.2
8.456,8,48.676,49,54.196,29.885,14,30.898,22,7,19,5,48,0,358.43,27,12,26,5,2,35.0,0.623,14,0.163,4.2,10.4,2,0.0,45.8,0.644,39.6
8.585,13,60.425,60,66.654,37.083,16,37.784,26,10,23,7,59,0,458.51,34,12,33,8,4,44.0,0.629,16,0.217,3.4,13.6,2,0.0,44.1,0.64,39.0
7.845,10,59.484,58,65.202,34.414,7,34.795,26,14,17,10,57,1,466.52,32,6,31,11,3,38.0,0.604,9,0.172,3.5,19.3,2,0.0,45.6,0.61,29.8
5.081,6,71.309,76,81.182,43.164,15,46.324,37,6,29,14,72,0,475.69,39,16,35,3,1,48.0,0.6,17,0.079,4.2,4.2,3,0.0,51.4,0.643,40.3
7.509,7,42.985,43,47.285,27.018,13,28.023,18,8,16,3,42,1,350.43,25,12,24,5,3,34.0,0.643,15,0.163,4.8,11.9,2,0.0,42.9,0.667,38.1
8.119,7,37.429,36,41.079,22.206,7,22.716,16,9,11,4,36,1,304.36,20,6,20,6,3,26.0,0.617,9,0.194,5.6,16.7,2,0.0,44.4,0.631,30.6
4.301,10,55.472,56,62.991,33.109,13,34.699,27,7,21,8,55,0,391.51,29,12,28,2,1,36.0,0.602,13,0.179,5.5,3.6,3,3.6,49.1,0.631,38.2
6.538,5,33.789,34,36.747,22.229,13,23.04,13,6,14,1,33,1,291.35,21,12,20,4,3,30.0,0.674,15,0.147,3.0,12.1,1,0.0,39.4,0.698,42.4
4.0,5,41.927,44,46.737,27.687,18,29.012,18,4,20,2,42,0,318.4,26,18,24,2,1,36.0,0.659,19,0.114,4.8,4.8,2,0.0,42.9,0.691,47.6
6.376,3,41.102,42,44.87,26.492,13,27.261,16,8,16,3,40,1,348.41,26,12,24,5,3,35.0,0.662,15,0.071,5.0,12.5,2,0.0,40.0,0.682,40.0
7.143,6,56.636,59,62.531,36.599,19,38.307,24,8,24,5,56,1,452.57,35,18,32,5,3,47.0,0.654,21,0.102,3.6,8.9,2,0.0,42.9,0.684,42.9
7.229,4,43.975,44,47.372,28.416,13,28.415,15,11,16,3,42,1,393.41,29,12,27,7,5,40.0,0.677,17,0.091,7.1,16.7,3,0.0,35.7,0.677,38.1
6.031,6,54.4,56,59.004,36.727,19,38.261,20,10,23,4,53,1,507.42,36,18,33,5,3,48.0,0.693,21,0.107,3.8,9.4,2,3.8,37.7,0.722,43.4
7.244,6,53.753,56,59.116,35.072,19,36.546,22,8,23,4,53,1,438.54,34,18,31,5,3,46.0,0.662,21,0.107,3.8,9.4,2,0.0,41.5,0.69,43.4
7.538,3,43.985,45,48.285,28.018,13,29.023,18,8,17,4,43,1,362.44,27,12,25,5,3,36.0,0.652,15,0.067,4.7,11.6,2,0.0,41.9,0.675,39.5
7.187,4,45.313,46,49.495,28.733,13,29.477,18,9,17,4,44,1,378.44,28,12,26,6,3,37.0,0.653,15,0.087,4.5,13.6,2,0.0,40.9,0.67,38.6
7.699,5,49.524,50,54.119,30.975,13,31.693,20,10,18,5,48,1,408.47,30,12,28,7,3,39.0,0.645,15,0.1,4.2,14.6,2,0.0,41.7,0.66,37.5
6.719,3,43.204,44,47.368,27.513,13,28.267,17,9,16,3,42,1,363.43,27,12,25,5,3,36.0,0.655,15,0.068,7.1,11.9,3,0.0,40.5,0.673,38.1
6.009,1,32.382,33,34.332,21.923,15,21.534,10,6,15,0,31,0,286.25,23,12,21,6,2,31.0,0.707,14,0.03,0.0,19.4,0,0.0,32.3,0.695,48.4
6.538,1,21.509,22,23.661,14.053,8,14.205,8,4,9,1,21,0,176.19,14,6,13,2,2,19.0,0.669,8,0.045,9.5,9.5,2,0.0,38.1,0.676,42.9
8.097,8,41.64,40,45.704,24.448,7,24.932,18,10,12,5,40,1,334.39,22,6,22,7,3,28.0,0.611,9,0.2,5.0,17.5,2,0.0,45.0,0.623,30.0
8.155,9,45.851,44,50.329,26.69,7,27.148,20,11,13,6,44,1,364.42,24,6,24,8,3,30.0,0.607,9,0.205,4.5,18.2,2,0.0,45.5,0.617,29.5
8.222,6,34.545,33,37.664,20.68,7,20.955,14,9,10,3,33,1,290.33,19,6,19,6,3,25.0,0.627,9,0.182,6.1,18.2,2,0.0,42.4,0.635,30.3
7.959,6,37.429,36,41.079,22.206,7,22.716,16,9,11,4,36,1,304.36,20,6,20,6,3,26.0,0.617,9,0.167,5.6,16.7,2,0.0,44.4,0.631,30.6
7.398,6,33.731,32,36.795,20.348,7,20.438,13,9,10,3,32,1,292.32,19,6,19,5,3,25.0,0.636,9,0.188,6.3,15.6,2,3.1,40.6,0.639,31.3
7.222,8,47.196,47,51.91,29.26,13,30.239,20,9,17,4,46,1,380.46,27,12,26,6,3,36.0,0.636,15,0.17,4.3,13.0,2,0.0,43.5,0.657,37.0
6.398,6,50.745,51,55.842,32.012,12,32.659,20,9,20,8,49,1,427.48,31,11,29,4,2,38.5,0.653,13,0.118,2.0,8.2,1,6.1,40.8,0.667,40.8
5.444,6,49.963,50,54.925,31.507,11,31.904,19,10,19,8,48,1,428.47,31,11,29,4,2,38.5,0.656,13,0.12,4.2,8.3,2,6.3,39.6,0.665,39.6
4.509,6,49.963,50,54.925,31.507,11,31.904,19,10,19,8,48,1,428.47,31,11,29,4,2,38.5,0.656,13,0.12,4.2,8.3,2,6.3,39.6,0.665,39.6
6.854,6,51.258,51,56.182,32.396,12,32.597,19,10,20,8,49,1,445.47,32,11,30,4,2,39.5,0.661,13,0.118,2.0,8.2,1,8.2,38.8,0.665,40.8
6.699,7,48.491,48,52.352,32.342,18,32.074,15,10,21,3,46,1,453.44,33,17,31,4,2,43.5,0.703,19,0.146,2.2,8.7,1,8.7,32.6,0.697,45.7
7.071,7,49.265,49,53.64,32.649,18,32.625,16,10,21,3,47,1,452.46,33,17,31,3,2,43.5,0.695,19,0.143,4.3,6.4,2,8.5,34.0,0.694,44.7
8.155,7,60.487,63,66.993,39.299,19,41.307,26,7,27,8,60,1,479.61,37,17,34,4,3,48.5,0.655,20,0.111,1.7,6.7,1,1.7,43.3,0.688,45.0
7.62,8,57.72,60,63.163,39.246,25,40.784,22,7,28,3,57,1,487.58,38,23,35,4,3,52.5,0.689,26,0.133,1.8,7.0,1,1.8,38.6,0.716,49.1
7.886,7,51.727,54,56.621,35.499,23,36.813,19,7,25,2,51,1,446.53,35,23,32,3,2,48.5,0.696,25,0.13,3.9,5.9,2,2.0,37.3,0.722,49.0
5.638,12,57.581,58,65.117,34.329,13,35.91,28,7,22,9,57,0,406.52,30,12,29,3,1,37.0,0.602,13,0.207,3.5,5.3,2,3.5,49.1,0.63,38.6
4.301,10,54.698,55,61.702,32.802,13,34.148,26,7,21,8,54,0,392.49,29,12,28,3,1,36.0,0.607,13,0.182,3.7,5.6,2,3.7,48.1,0.632,38.9
4.301,10,56.254,57,63.908,33.614,13,35.455,28,6,22,9,56,0,390.52,29,12,28,2,1,36.0,0.6,13,0.175,3.6,3.6,2,3.6,50.0,0.633,39.3
7.155,7,51.996,55,57.199,35.621,24,37.631,21,5,26,2,52,1,427.55,34,23,31,3,2,47.5,0.685,25,0.127,1.9,5.8,1,0.0,40.4,0.724,50.0
7.046,7,53.323,56,58.408,36.336,24,38.085,21,6,26,2,53,1,443.55,35,23,32,4,2,48.5,0.686,25,0.125,1.9,7.5,1,0.0,39.6,0.719,49.1
6.745,6,45.094,45,48.597,30.432,18,30.375,14,9,20,2,43,1,421.42,31,17,29,4,2,41.5,0.708,19,0.133,2.3,9.3,1,7.0,32.6,0.706,46.5
7.377,7,38.44,38,42.993,22.809,7,24.324,19,6,13,6,38,1,285.4,19,6,19,4,3,25.0,0.6,9,0.184,2.6,10.5,1,0.0,50.0,0.64,34.2
7.155,6,51.996,55,57.199,35.621,24,37.631,21,5,26,2,52,1,427.55,34,23,31,3,2,47.5,0.685,25,0.109,1.9,5.8,1,0.0,40.4,0.724,50.0
7.854,6,48.331,51,52.866,33.589,23,35.114,18,6,24,1,48,1,414.51,33,23,30,3,2,46.5,0.7,25,0.118,4.2,6.3,2,0.0,37.5,0.732,50.0
5.081,6,45.094,45,48.597,30.432,18,30.375,14,9,20,2,43,1,421.42,31,17,29,4,2,41.5,0.708,19,0.133,2.3,9.3,1,7.0,32.6,0.706,46.5
9.699,8,54.52,55,60.946,33.126,13,35.068,26,8,20,7,54,1,406.55,29,12,28,5,3,38.0,0.613,15,0.145,3.7,9.3,2,0.0,48.1,0.649,37.0
5.0,5,60.109,64,67.189,39.025,17,40.762,26,7,27,8,60,0,454.57,38,18,34,3,1,50.0,0.65,20,0.078,6.7,5.0,4,0.0,43.3,0.679,45.0
7.155,6,53.323,56,58.408,36.336,24,38.085,21,6,26,2,53,1,443.55,35,23,32,4,2,48.5,0.686,25,0.107,1.9,7.5,1,0.0,39.6,0.719,49.1
6.337,6,57.305,61,65.148,35.035,11,38.228,30,5,23,12,58,1,398.62,31,11,28,2,1,37.5,0.604,12,0.098,3.4,3.4,2,0.0,51.7,0.659,39.7
4.886,6,46.098,48,51.697,28.642,11,30.637,22,6,18,7,46,1,346.49,26,11,24,3,1,32.5,0.623,12,0.125,4.3,6.5,2,0.0,47.8,0.666,39.1
6.398,5,50.745,51,55.842,32.012,12,32.659,20,9,20,8,49,1,427.48,31,11,29,4,2,38.5,0.653,13,0.098,2.0,8.2,1,6.1,40.8,0.667,40.8
7.244,7,56.865,60,63.527,36.696,18,39.159,26,6,25,7,57,1,434.6,34,17,31,3,2,44.5,0.644,19,0.117,3.5,5.3,2,0.0,45.6,0.687,43.9
7.0,6,50.872,54,56.986,32.949,16,35.188,23,6,22,6,51,1,393.55,31,17,28,2,1,40.5,0.646,18,0.111,5.9,3.9,3,0.0,45.1,0.69,43.1
7.538,9,57.651,59,63.196,36.83,17,37.057,22,11,23,6,56,0,466.49,37,17,34,7,3,48.5,0.658,20,0.153,7.1,12.5,4,0.0,39.3,0.662,41.1
4.31,5,35.825,37,40.239,22.665,13,24.006,17,3,16,3,36,0,255.34,20,6,19,2,4,27.0,0.63,10,0.135,2.8,5.6,1,0.0,47.2,0.667,44.4
7.854,8,59.963,62,65.74,39.313,22,40.761,24,9,26,4,59,1,492.59,38,22,35,6,4,53.0,0.666,26,0.129,3.4,10.2,2,0.0,40.7,0.691,44.1
7.886,6,48.305,50,52.867,31.534,15,32.273,18,10,19,4,47,1,414.48,32,20,29,5,3,45.0,0.671,23,0.12,8.5,10.6,4,0.0,38.3,0.687,40.4
7.824,6,49.087,51,53.784,32.04,16,33.029,19,9,20,4,48,1,413.49,32,20,29,5,3,45.0,0.667,23,0.118,6.3,10.4,3,0.0,39.6,0.688,41.7
9.155,6,53.509,54,58.218,34.716,16,34.602,18,12,21,5,51,1,481.49,36,20,33,5,3,49.0,0.681,23,0.111,5.9,9.8,3,5.9,35.3,0.678,41.2
7.638,6,55.738,58,62.029,34.62,13,36.313,25,9,21,8,55,1,431.56,33,15,30,5,3,43.5,0.629,18,0.103,5.5,9.1,3,0.0,45.5,0.66,38.2
7.745,6,58.622,61,65.444,36.147,13,38.074,27,9,22,9,58,1,445.59,34,15,31,5,3,44.5,0.623,18,0.098,5.2,8.6,3,0.0,46.6,0.656,37.9
8.658,6,54.963,57,60.74,34.314,13,35.762,24,9,21,8,54,1,432.54,33,15,30,6,3,43.5,0.635,18,0.105,3.7,11.1,2,0.0,44.4,0.662,38.9
9.398,6,49.094,51,53.412,32.239,17,33.233,19,8,21,4,48,1,413.48,32,20,29,6,3,45.0,0.672,23,0.118,2.1,12.5,1,0.0,39.6,0.692,43.8
10.0,6,51.978,54,56.827,33.765,17,34.994,21,8,22,5,51,1,427.51,33,20,30,6,3,46.0,0.662,23,0.111,2.0,11.8,1,0.0,41.2,0.686,43.1
10.0,6,49.418,51,53.356,33.066,17,34.091,18,9,21,4,48,1,447.92,33,20,30,6,3,46.0,0.689,23,0.118,2.1,12.5,1,2.1,37.5,0.71,43.8
9.699,6,48.844,51,53.122,32.711,17,34.426,19,8,21,4,48,2,429.55,32,20,29,5,3,45.0,0.681,23,0.118,2.1,10.4,1,0.0,39.6,0.717,43.8
9.699,6,51.727,54,56.537,34.238,17,36.188,21,8,22,5,51,2,443.58,33,20,30,5,3,46.0,0.671,23,0.111,2.0,9.8,1,0.0,41.2,0.71,43.1
9.0,6,49.087,51,53.784,32.04,16,33.029,19,9,20,4,48,1,413.49,32,20,29,5,3,45.0,0.667,23,0.118,6.3,10.4,3,0.0,39.6,0.688,41.7
9.398,6,49.869,52,54.7,32.545,17,33.784,20,8,21,4,49,1,412.5,32,20,29,5,3,45.0,0.664,23,0.115,4.1,10.2,2,0.0,40.8,0.689,42.9
9.0,6,48.062,50,52.205,32.205,16,33.671,18,9,20,4,47,2,430.54,32,20,29,5,3,45.0,0.685,23,0.12,4.3,10.6,2,0.0,38.3,0.716,42.6
8.921,6,50.945,53,55.62,33.732,16,35.432,20,9,21,5,50,2,444.57,33,20,30,5,3,46.0,0.675,23,0.113,4.0,10.0,2,0.0,40.0,0.709,42.0
8.066,6,50.414,52,54.993,32.755,15,33.483,19,10,20,5,49,1,429.49,33,20,30,6,3,46.0,0.668,23,0.115,6.1,12.2,3,0.0,38.8,0.683,40.8
8.538,7,53.298,55,58.408,34.281,15,35.244,21,10,21,6,52,1,443.52,34,20,31,6,3,47.0,0.659,23,0.127,5.8,11.5,3,0.0,40.4,0.678,40.4
8.347,7,56.182,58,61.823,35.808,15,37.006,23,10,22,7,55,1,457.55,35,20,32,6,3,48.0,0.651,23,0.121,5.5,10.9,3,0.0,41.8,0.673,40.0
7.77,7,59.065,61,65.239,37.335,15,38.767,25,10,23,8,58,1,471.58,36,20,33,6,3,49.0,0.644,23,0.115,5.2,10.3,3,0.0,43.1,0.668,39.7
8.268,8,59.065,61,65.239,37.335,15,38.767,25,10,23,8,58,1,471.58,36,20,33,6,3,49.0,0.644,23,0.131,5.2,10.3,3,0.0,43.1,0.668,39.7
8.721,8,54.625,56,59.618,34.996,15,35.699,21,11,21,6,53,1,459.52,35,20,32,7,3,48.0,0.66,23,0.143,5.7,13.2,3,0.0,39.6,0.674,39.6
8.658,6,51.953,52,56.012,33.904,15,33.296,16,13,20,5,49,1,483.46,36,20,33,6,3,49.0,0.692,23,0.115,6.1,12.2,3,6.1,32.7,0.68,40.8
8.796,7,54.298,57,59.408,35.281,15,36.244,21,10,22,7,53,1,455.53,36,20,32,6,3,49.0,0.666,23,0.123,5.7,11.3,3,0.0,39.6,0.684,41.5
8.638,7,57.182,60,62.823,36.808,15,38.006,23,10,23,8,56,1,469.56,37,20,33,6,3,50.0,0.657,23,0.117,5.4,10.7,3,0.0,41.1,0.679,41.1
8.143,7,62.949,66,69.654,39.862,15,41.529,27,10,25,10,62,1,497.62,39,20,35,6,3,52.0,0.643,23,0.106,4.8,9.7,3,0.0,43.5,0.67,40.3
8.398,7,57.298,60,62.408,38.281,21,39.244,21,10,25,4,56,1,491.56,39,26,35,6,3,55.0,0.684,29,0.117,5.4,10.7,3,0.0,37.5,0.701,44.6
9.523,7,58.509,61,64.033,37.523,15,38.46,23,11,23,8,57,1,485.56,38,20,34,7,3,51.0,0.658,23,0.115,5.3,12.3,3,0.0,40.4,0.675,40.4
7.18,4,42.313,42,46.495,25.733,8,26.477,18,9,14,6,41,1,342.41,24,6,23,6,4,31.0,0.628,10,0.095,4.9,14.6,2,0.0,43.9,0.646,34.1
7.721,4,47.869,49,52.7,30.545,14,31.784,20,8,19,5,47,1,388.48,29,12,27,5,4,39.0,0.65,16,0.082,4.3,10.6,2,0.0,42.6,0.676,40.4
7.638,5,49.196,50,53.91,31.26,14,32.239,20,9,19,5,48,1,404.48,30,12,28,6,4,40.0,0.651,16,0.1,4.2,12.5,2,0.0,41.7,0.672,39.6
4.658,8,55.996,58,61.777,36.401,20,37.148,22,9,24,4,55,0,446.5,36,21,33,5,3,49.5,0.662,24,0.138,7.3,9.1,4,0.0,40.0,0.675,43.6
4.0,3,51.905,55,58.192,32.982,13,34.75,24,5,23,8,52,0,376.49,31,12,28,3,1,40.0,0.634,14,0.055,3.8,5.8,2,0.0,46.2,0.668,44.2
5.099,4,66.541,71,75.351,41.111,13,43.802,33,6,28,13,67,0,459.64,38,12,34,3,1,47.0,0.614,14,0.056,4.5,4.5,3,0.0,49.3,0.654,41.8
5.0,5,70.272,74,78.69,43.727,13,46.358,33,9,28,13,70,1,523.71,41,12,37,5,3,52.0,0.625,16,0.068,4.3,7.1,3,0.0,47.1,0.662,40.0
5.0,4,68.869,73,77.561,42.825,14,45.256,33,7,29,13,69,0,487.65,40,12,36,4,2,50.0,0.621,15,0.055,4.3,5.8,3,0.0,47.8,0.656,42.0
5.0,5,72.752,78,81.976,45.352,14,48.017,35,7,31,15,73,0,513.69,43,12,38,4,2,53.0,0.621,15,0.064,4.1,5.5,3,0.0,47.9,0.658,42.5
5.0,4,70.97,75,80.059,43.847,14,46.262,34,8,29,13,71,0,502.67,41,12,37,4,2,51.0,0.618,15,0.053,5.6,5.6,4,0.0,47.9,0.652,40.8
5.0,5,70.425,76,79.766,43.637,13,46.563,35,6,30,15,71,0,485.68,41,12,36,3,1,50.0,0.615,14,0.066,4.2,4.2,3,0.0,49.3,0.656,42.3
5.0,4,65.287,69,72.776,41.179,13,43.591,30,8,27,12,65,1,494.66,39,12,35,5,3,50.0,0.634,16,0.058,3.1,7.7,2,0.0,46.2,0.671,41.5
5.0,4,65.287,69,72.776,41.179,13,43.591,30,8,27,12,65,1,494.66,39,12,35,5,3,50.0,0.634,16,0.058,3.1,7.7,2,0.0,46.2,0.671,41.5
5.0,4,62.403,66,69.361,39.652,13,41.83,28,8,26,11,62,1,480.63,38,12,34,5,3,49.0,0.64,16,0.061,3.2,8.1,2,0.0,45.2,0.675,41.9
5.87,6,45.323,46,50.408,28.336,13,30.085,21,6,18,5,45,1,347.47,25,12,24,4,3,34.0,0.63,15,0.13,2.2,8.9,1,0.0,46.7,0.669,40.0
5.602,4,42.178,43,45.79,27.679,13,28.909,16,9,16,3,41,2,380.48,27,12,25,5,4,37.0,0.675,16,0.093,4.9,12.2,2,0.0,39.0,0.705,39.0
6.301,4,43.505,44,46.999,28.393,13,29.364,16,10,16,3,42,2,396.48,28,12,26,6,5,39.0,0.676,17,0.091,4.8,14.3,2,0.0,38.1,0.699,38.1
7.721,5,45.156,45,48.153,29.936,13,30.676,15,12,16,3,43,2,446.92,30,12,28,7,5,41.0,0.696,17,0.111,4.7,16.3,2,2.3,34.9,0.713,37.2
7.886,9,56.32,57,63.813,33.266,11,34.978,28,8,20,9,56,0,388.52,29,10,28,4,3,37.0,0.594,13,0.158,7.1,7.1,4,0.0,50.0,0.625,35.7
4.589,7,42.262,43,46.574,27.6,14,28.671,18,4,20,4,42,0,322.38,25,12,24,4,2,35.0,0.657,15,0.163,0.0,9.5,0,0.0,42.9,0.683,47.6
6.699,9,52.792,54,58.97,33.82,14,36.12,25,4,24,8,53,0,396.94,29,12,28,3,2,39.0,0.638,15,0.167,0.0,5.7,0,1.9,47.2,0.682,45.3
4.301,11,62.021,63,70.738,36.668,13,38.978,32,6,24,11,62,0,418.58,31,12,30,2,1,38.0,0.591,13,0.175,3.2,3.2,2,3.2,51.6,0.629,38.7
6.222,6,47.818,50,52.78,32.412,20,33.978,20,3,25,3,48,0,368.45,30,18,28,3,2,43.0,0.675,21,0.12,0.0,6.3,0,0.0,41.7,0.708,52.1
4.301,11,61.239,62,69.821,36.162,13,38.222,31,7,23,10,61,0,419.57,31,12,30,2,1,38.0,0.593,13,0.177,4.9,3.3,3,3.3,50.8,0.627,37.7
4.301,11,60.465,61,68.532,35.856,13,37.671,30,7,23,10,60,0,420.55,31,12,30,3,1,38.0,0.598,13,0.18,3.3,5.0,2,3.3,50.0,0.628,38.3
4.921,13,63.349,64,71.947,37.383,13,39.432,32,7,24,11,63,0,434.58,32,12,31,3,1,39.0,0.593,13,0.203,3.2,4.8,2,3.2,50.8,0.626,38.1
