pXC50,Sp,nAT,nBT,nH,nCsp3,nHM,nS,SCBO,nBM,nN,nDB,nC,Sv,nSK,nBO,Se,MW,nO,nHet,Me,nAB,O.
5.0,40.921,61.0,66.0,30,10,0,0,46.5,21,4,0,27,37.934,31,36,59.894,410.61,0,4,0.982,21,0.0
5.96,51.273,80.0,85.0,40,18,0,0,54.0,17,4,1,32,48.291,40,45,79.876,550.76,2,8,0.998,16,2.5
5.78,49.949,76.0,81.0,37,17,1,1,53.0,17,5,1,30,46.731,39,44,75.959,553.79,1,9,0.999,16,1.3
5.95,49.273,78.0,82.0,40,18,0,0,49.0,13,4,1,30,46.291,38,42,77.876,526.74,2,8,0.998,12,2.6
4.04,49.273,78.0,82.0,40,18,0,0,49.0,13,4,1,30,46.291,38,42,77.876,526.74,2,8,0.998,12,2.6
6.199,34.762,54.0,57.0,26,9,0,0,39.0,16,4,0,21,33.025,28,31,54.109,382.51,3,7,1.002,16,5.6
6.143,34.762,54.0,57.0,26,9,0,0,39.0,16,4,0,21,33.025,28,31,54.109,382.51,3,7,1.002,16,5.6
6.0,34.762,54.0,57.0,26,9,0,0,39.0,16,4,0,21,33.025,28,31,54.109,382.51,3,7,1.002,16,5.6
6.0,36.069,56.0,59.0,28,9,0,0,39.0,16,4,0,22,33.837,28,31,55.665,380.54,2,6,0.994,16,3.6
6.326,33.756,52.0,55.0,25,8,0,0,38.0,16,3,0,21,32.003,27,30,52.007,367.49,3,6,1.0,16,5.8
6.312,35.455,55.0,58.0,26,9,0,0,40.0,16,3,0,22,33.914,29,32,55.403,399.51,3,7,1.007,16,5.5
6.281,34.875,54.0,57.0,24,9,0,0,41.0,16,3,0,22,33.965,30,33,55.101,419.49,2,8,1.02,16,3.7
6.688,46.603,70.0,74.0,32,9,1,1,55.0,24,4,2,28,44.222,38,42,70.491,536.71,5,10,1.007,22,7.1
6.27,38.279,59.0,63.0,29,11,0,0,42.0,16,3,0,24,36.057,30,34,58.774,407.56,3,6,0.996,16,5.1
6.0,39.04,61.0,64.0,31,11,0,0,41.0,16,3,0,24,36.584,30,33,60.658,409.58,3,6,0.994,16,4.9
6.451,37.546,59.0,62.0,26,10,0,0,44.0,16,3,0,23,36.922,33,36,60.64,465.52,4,10,1.028,16,6.8
6.465,39.938,60.0,63.0,27,9,2,1,46.0,18,4,2,22,37.996,33,36,61.047,495.05,5,11,1.017,16,8.3
6.447,39.739,62.0,65.0,30,10,0,0,44.0,17,4,1,24,37.793,32,35,62.203,438.58,4,8,1.003,16,6.5
6.0,34.762,54.0,57.0,26,9,0,0,39.0,16,4,0,21,33.025,28,31,54.109,382.51,3,7,1.002,16,5.6
7.481,38.284,60.0,63.0,30,10,0,0,41.0,16,4,0,23,36.078,30,33,59.876,410.57,3,7,0.998,16,5.0
6.807,42.711,67.0,70.0,33,12,0,0,46.0,17,3,1,26,40.54,34,37,67.196,467.62,5,8,1.003,16,7.5
6.75,37.216,58.0,61.0,28,10,0,0,41.0,16,3,0,23,35.44,30,33,58.287,413.54,3,7,1.005,16,5.2
6.646,42.603,66.0,69.0,32,11,1,1,47.0,18,4,2,24,40.222,34,37,66.491,488.67,5,10,1.007,16,7.6
6.701,42.256,66.0,70.0,33,13,0,0,45.0,16,3,0,26,39.825,33,37,65.869,451.62,4,7,0.998,16,6.1
6.0,37.671,59.0,62.0,28,10,0,0,42.0,16,3,0,23,36.155,31,34,59.614,429.54,4,8,1.01,16,6.8
6.431,36.069,56.0,59.0,28,9,0,0,39.0,16,4,0,22,33.837,28,31,55.665,380.54,2,6,0.994,16,3.6
7.509,40.802,64.0,67.0,33,12,0,0,42.0,16,3,0,25,38.111,31,34,63.541,423.61,3,6,0.993,16,4.7
6.74,44.262,69.0,73.0,34,13,0,0,48.0,17,4,1,27,41.847,35,39,68.97,478.65,4,8,1.0,16,5.8
6.481,34.949,52.0,55.0,25,8,1,1,38.0,16,3,0,21,32.476,27,30,51.756,383.56,2,6,0.995,16,3.8
6.0,34.949,52.0,55.0,25,8,1,1,38.0,16,3,0,21,32.476,27,30,51.756,383.56,2,6,0.995,16,3.8
6.0,37.216,58.0,61.0,28,10,0,0,41.0,16,3,0,23,35.44,30,33,58.287,413.54,3,7,1.005,16,5.2
6.0,38.165,57.0,60.0,27,9,1,1,42.0,17,3,1,23,35.717,30,33,56.967,425.6,3,7,0.999,16,5.3
6.0,36.711,55.0,58.0,27,9,1,1,39.0,16,3,0,22,34.003,28,31,54.64,397.59,2,6,0.993,16,3.6
6.0,36.711,55.0,58.0,27,9,1,1,39.0,16,3,0,22,34.003,28,31,54.64,397.59,2,6,0.993,16,3.6
6.599,37.659,56.0,59.0,24,8,2,1,45.0,18,4,2,21,36.137,32,35,57.349,483.01,4,11,1.024,16,7.1
6.712,36.375,55.0,58.0,26,9,1,0,40.0,16,3,0,22,34.358,29,32,55.214,415.96,3,7,1.004,16,5.5
6.708,41.597,64.0,67.0,31,11,1,1,46.0,18,3,2,24,39.2,33,36,64.389,473.65,5,9,1.006,16,7.8
6.599,36.671,57.0,60.0,26,9,0,0,44.0,18,4,2,22,35.454,31,34,57.763,426.52,5,9,1.013,16,8.8
7.284,50.131,77.0,81.0,37,12,1,1,56.5,23,5,2,29,47.297,40,44,77.36,567.78,5,11,1.005,21,6.5
7.444,39.125,61.0,64.0,28,10,0,0,45.0,17,3,1,24,37.87,33,36,61.941,457.55,5,9,1.015,16,8.2
8.097,39.676,62.0,65.0,29,10,0,0,45.0,17,4,1,24,38.176,33,36,62.716,456.57,4,9,1.012,16,6.5
8.523,40.046,61.0,64.0,28,10,1,0,45.0,17,3,1,24,38.314,33,36,61.752,474.0,5,9,1.012,16,8.2
7.324,36.068,54.0,57.0,24,8,1,0,42.0,17,3,1,22,34.546,30,33,54.658,429.94,4,8,1.012,16,7.4
6.599,41.637,63.0,66.0,28,10,2,1,48.0,18,4,2,23,39.906,35,38,64.443,527.07,5,12,1.023,16,7.9
6.622,35.017,51.0,54.0,23,8,2,0,39.0,16,3,0,21,32.944,28,31,51.327,420.37,2,7,1.006,16,3.9
6.757,45.853,70.0,74.0,32,10,1,1,54.5,23,6,2,26,43.738,38,42,70.811,540.71,5,12,1.012,21,7.1
6.51,35.955,54.0,57.0,26,9,1,1,39.0,16,4,0,21,33.497,28,31,53.858,398.58,2,7,0.997,16,3.7
7.26,48.336,75.0,79.0,37,15,1,1,52.0,18,3,2,28,45.496,38,42,75.367,543.75,6,10,1.005,16,8.0
6.0,38.472,58.0,61.0,29,10,1,1,40.0,16,3,0,23,35.529,29,32,57.523,411.62,2,6,0.992,16,3.4
6.0,35.648,53.0,56.0,24,7,1,1,41.0,17,4,1,21,33.685,29,32,53.302,412.56,3,8,1.006,16,5.7
6.0,36.188,52.0,55.0,23,4,1,1,43.0,22,3,0,23,33.949,29,32,51.872,405.56,2,6,0.998,22,3.8
6.442,37.568,55.0,58.0,26,9,2,1,40.0,16,3,0,22,34.83,29,32,54.963,432.03,2,7,0.999,16,3.6
6.0,97.137,149.0,154.0,68,20,2,2,109.0,37,12,9,55,92.959,81,86,151.043,1153.49,12,26,1.014,28,8.1
6.0,96.683,148.0,153.0,68,20,2,2,108.0,37,12,9,55,92.244,80,85,149.716,1137.49,11,25,1.012,28,7.4
5.0,92.609,141.0,146.0,63,18,2,2,106.0,37,11,9,53,88.884,78,83,143.174,1110.41,12,25,1.015,28,8.5
6.0,101.114,156.0,161.0,72,22,2,2,112.0,37,12,9,57,96.727,84,89,158.137,1197.55,13,27,1.014,28,8.3
6.543,86.171,130.0,135.0,58,16,2,2,99.0,36,10,8,50,82.379,72,77,131.65,1023.32,10,22,1.013,28,7.7
6.0,94.37,144.0,149.0,65,19,2,2,107.0,37,11,9,54,90.411,79,84,146.057,1124.44,12,25,1.014,28,8.3
6.0,87.154,135.0,139.0,63,20,2,2,95.0,30,11,8,48,83.169,72,76,136.847,1034.36,11,24,1.014,22,8.1
7.967,88.671,138.0,142.0,66,22,2,2,94.0,29,10,7,49,84.201,72,76,139.512,1035.39,11,23,1.011,22,8.0
7.187,91.33,138.0,142.0,65,22,3,2,95.0,29,10,7,49,85.518,73,77,139.581,1161.28,11,24,1.011,22,8.0
7.194,103.41,159.0,164.0,75,28,3,2,107.0,29,10,7,55,97.726,84,89,161.636,1323.44,16,29,1.017,22,10.1
