pXC50,LOC,MATS3p,Chi1_EA.ed.,Eig11_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig15_EA.bo.,Vindex,Xindex,Eig05_AEA.ed.,Eig05_EA.ed.,SM14_AEA.dm.,JGI5,GNar,HNar,IVDE,X0A,SpMax5_Bh.e.,Eig12_EA,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,SM06_AEA.dm.,SpMAD_AEA.ed.,ZM2V,PDI,Yindex,CIC5,SIC5,MATS3v,JGT,D.Dtr06,Eig14_AEA.bo.,Eig14_EA.bo.,Eig15_AEA.bo.,Eta_beta,Eta_betaP,Eta_FL,NaaCH,nAB,nBM,nCar,nCsp2,piPC01,piPC02,piPC03,SaaCH,SCBO,SM02_AEA.bo.,SM02_EA.bo.,SM03_AEA.bo.,SpAD_EA.bo.,SpMax4_Bh.e.,SpMax4_Bh.i.,SpMax4_Bh.p.,SpMax4_Bh.v.,SpMax5_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.p.
8.745,0.997,-0.009,7.819,2.089,2.913,2.476,1.5,0.179,0.273,5.519,7.4,7.4,0.026,2.058,1.911,1.461,0.71,3.594,1.491,2.027,1.465,2.668,1.491,1.582,665.0,0.971,0.52,0.592,0.905,-0.018,0.415,645.146,2.555,1.525,2.5,59.25,30.5,12.459,11,24,27,21,25,4.143,4.745,5.354,19.612,62.0,5.389,5.434,6.604,90.8,3.837,3.859,3.727,3.74,3.433,1.784,1.763,1.92
8.409,1.118,0.017,5.825,1.529,2.181,1.967,0.013,0.203,0.312,5.579,6.814,6.814,0.035,2.018,1.842,1.681,0.72,3.556,1.028,1.148,0.965,2.094,1.028,1.608,534.0,0.974,0.581,0.746,0.875,0.077,0.519,305.432,2.0,1.0,1.299,39.25,17.0,7.322,3,11,15,9,11,3.839,4.463,5.028,4.714,45.5,5.128,5.15,6.374,68.208,3.602,3.639,3.446,3.413,3.373,1.618,1.556,1.864
6.301,1.175,0.057,6.57,1.709,2.408,1.984,0.695,0.226,0.338,5.894,7.981,7.981,0.029,1.992,1.814,1.549,0.725,3.383,1.09,1.253,0.983,2.168,1.09,1.632,596.0,0.939,0.68,1.208,0.803,0.058,0.467,439.564,2.0,1.0,1.86,48.5,23.0,10.325,5,17,20,16,19,3.998,4.615,5.274,8.532,53.5,5.264,5.303,6.491,78.79,3.636,3.635,3.488,3.51,3.155,1.547,1.544,1.745
7.292,1.193,0.04,6.472,1.451,2.307,1.968,0.939,0.215,0.326,5.689,7.524,7.524,0.029,2.007,1.835,1.536,0.721,3.46,1.061,1.209,0.965,2.064,1.061,1.613,535.0,0.947,0.632,0.633,0.896,0.049,0.458,416.942,2.037,1.0,2.0,43.75,20.0,8.915,6,17,19,16,18,3.942,4.554,5.2,11.381,50.5,5.205,5.242,6.425,74.705,3.638,3.658,3.516,3.522,3.235,1.591,1.567,1.756
7.167,1.059,0.02,5.047,1.066,1.76,1.416,0.325,0.233,0.347,5.719,7.541,7.541,0.029,2.048,1.875,1.522,0.714,3.303,0.494,0.595,0.448,1.576,0.494,1.636,482.0,0.961,0.701,1.188,0.792,0.002,0.462,203.899,1.516,0.413,1.404,39.75,20.0,8.501,5,17,18,16,17,3.773,4.443,5.149,9.284,42.5,5.039,5.13,6.281,63.986,3.318,3.355,3.094,3.117,3.044,1.274,1.259,1.561
4.0,1.261,0.091,7.075,1.824,2.426,2.112,1.0,0.223,0.335,5.953,8.127,8.127,0.029,1.979,1.8,1.554,0.727,3.46,1.182,1.326,1.089,2.177,1.182,1.64,636.0,0.927,0.665,0.76,0.879,0.118,0.456,482.328,2.064,1.036,2.039,49.25,21.5,10.374,4,17,19,16,18,4.034,4.644,5.321,6.907,55.5,5.305,5.333,6.526,82.14,3.65,3.656,3.492,3.514,3.237,1.556,1.547,1.763
5.699,1.374,0.089,7.279,1.769,2.644,2.277,1.0,0.21,0.32,6.023,8.549,8.549,0.029,1.979,1.804,1.549,0.727,3.524,1.362,1.66,1.234,2.305,1.362,1.621,642.0,0.925,0.612,1.141,0.82,0.116,0.463,505.734,2.168,1.149,2.032,51.0,23.0,10.691,5,17,20,16,19,4.069,4.663,5.314,8.57,57.5,5.334,5.352,6.55,84.551,3.653,3.654,3.5,3.524,3.295,1.56,1.556,1.77
7.027,1.259,0.12,7.004,1.709,2.426,2.112,1.0,0.217,0.328,5.895,7.992,7.992,0.029,1.992,1.822,1.538,0.724,3.461,1.163,1.323,1.09,2.168,1.163,1.618,600.0,0.922,0.642,1.15,0.817,0.105,0.452,472.403,2.05,1.012,2.0,48.75,21.5,10.542,5,17,19,16,18,4.016,4.615,5.279,8.67,54.5,5.279,5.303,6.493,80.253,3.644,3.651,3.487,3.509,3.236,1.555,1.545,1.76
7.77,1.293,0.132,7.15,1.741,2.437,2.128,1.0,0.215,0.326,5.898,8.011,8.011,0.029,1.992,1.822,1.538,0.724,3.467,1.173,1.342,1.106,2.165,1.173,1.611,606.0,0.932,0.635,0.734,0.883,0.143,0.452,474.179,2.063,1.029,2.038,47.75,21.0,9.802,5,17,19,16,18,4.016,4.615,5.269,8.9,54.5,5.279,5.303,6.493,80.36,3.654,3.666,3.496,3.516,3.252,1.57,1.554,1.778
5.854,1.175,0.05,6.57,1.704,2.361,1.967,0.692,0.226,0.338,5.894,7.981,7.981,0.029,1.992,1.814,1.549,0.725,3.387,1.09,1.22,0.965,2.168,1.09,1.632,581.0,0.938,0.68,1.223,0.802,0.048,0.467,439.564,2.0,1.0,1.858,47.5,21.5,10.248,5,17,19,16,18,3.98,4.595,5.264,8.763,52.5,5.248,5.283,6.471,77.76,3.635,3.64,3.477,3.498,3.153,1.546,1.536,1.749
