pXC50,CATS2D_09_LL,IC3,Eig04_EA.bo.,SM14_AEA.ri.,P_VSA_e_2,X1A,P_VSA_p_3,P_VSA_v_3,LOC,SpMin2_Bh.p.,nBnz,SpMin2_Bh.e.,Eig04_AEA.bo.,SpMax1_Bh.m.,D.Dtr06,SpMaxA_AEA.dm.,SpMax7_Bh.s.,GGI10,Eig06_AEA.bo.,SpMax2_Bh.p.,C.024,SpMin6_Bh.i.,ATSC5m,Eig08_EA.ed.,SM03_AEA.ri.,SpDiam_EA.bo.,ATSC6p,SpMin5_Bh.v.,ATSC5p,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,GGI9,NaaCH,ZM1V,SpMin6_Bh.e.,CATS2D_06_AP,RBN,NRS,SpMin5_Bh.p.,SpMax2_Bh.m.,ATSC5i,SpMin2_Bh.v.,ZM1MulPer,D.Dtr09,IC2,ATSC6v,ATS8m,ZM1Kup,ATSC4i,ATSC3i,ATSC7p,SpMax3_Bh.m.,ATSC6i,D.Dtr05,SpMin2_Bh.i.,SpMAD_AEA.ri.,ATS3p,X3v,RBF,Eig04_EA,SM12_AEA.bo.,C.034,nH,MSD,ATS4p,SaaaC,RDCHI,SpMax4_Bh.p.,SpMax6_Bh.s.,IC5,Eig12_EA.bo.,IDE,GGI8,Eig12_EA,SM06_AEA.dm.,SpMax4_Bh.v.,P_VSA_m_2,CATS2D_04_AP,SpMax2_Bh.v.,GMTI,ATSC4p,IC4,HVcpx,ATSC7v,P_VSA_p_1,ATS7i,Eig10_AEA.ri.,ATS5p,NsOH,SpMin4_Bh.e.,NaaaC,piPC02,SM02_EA.bo.,CSI,Hypnotic.80,GMTIV,SpMax4_Bh.m.,SpMin4_Bh.p.,SpMax2_Bh.i.,SMTI,PJI2,Depressant.80,ATSC1m,SpMin6_Bh.s.,Eig12_EA.ed.,SM07_AEA.ri.,ATS3v,SpMax1_Bh.p.,SpMaxA_EA,ATS4v,nPyrroles,CATS2D_08_LL,SpMin6_Bh.p.,Eig03_EA.bo.,SM13_AEA.ri.,SpMax4_Bh.i.,C.019,MW,SpMin4_Bh.v.,Chi0_EA.ri.,XMOD,P_VSA_LogP_7,UNIP,CIC0,SpMaxA_AEA.ri.,ECC,Eig13_EA.ed.,SM08_AEA.ri.,Chi0_EA.ed.,ATSC3v,CID,S2K,ATS6e,X1,Eig13_AEA.ri.,P_VSA_s_4,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.
5.319,6,4.949,2.857,2.857,126.635,0.432,126.635,126.635,0.575,2.025,2,1.914,3.833,3.973,416.587,0.109,4.068,0.147,3.19,3.855,7,1.13,47.597,4.215,4.215,7.029,14.465,1.545,17.119,4.029,4.029,4.029,0.193,7,392.0,1.171,0,5,4,1.532,3.876,2.059,2.031,413.196,146.461,4.415,21.432,3.62,442.647,2.083,1.915,11.668,3.752,1.819,85.479,1.887,1.5,4.381,7.156,0.075,2.708,2.708,0,32,8.14,4.426,0.0,4.406,3.515,4.295,5.203,1.0,3.943,0.247,1.0,1.0,3.519,132.884,0,3.855,15698.0,16.907,5.203,3.754,16.962,364.904,5.333,2.193,4.37,1,1.644,0,4.263,4.949,968.0,0,35784.0,3.572,1.811,3.968,14359.0,1.0,0,15.057,0.825,2.372,2.372,4.28,3.938,0.099,4.269,0,6,1.518,3.449,3.449,3.738,0,424.59,1.824,21.937,95.377,341.362,153.0,4.541,0.126,433.0,2.275,2.275,12.371,20.122,4.183,8.985,5.189,15.126,1.967,83.465,17.209,17.209,17.209
6.947,8,4.308,2.118,2.118,102.519,0.465,102.519,102.519,0.463,1.972,2,1.863,2.956,3.86,132.841,0.154,3.674,0.049,2.5,3.805,9,0.821,14.895,1.749,1.749,6.614,4.73,1.107,5.303,3.614,3.614,3.614,0.02,9,218.0,0.886,0,6,2,1.116,3.819,0.674,1.973,231.926,0.0,3.721,6.824,2.687,240.218,0.759,0.826,4.327,3.409,0.609,0.0,1.845,1.399,3.522,2.556,0.167,1.678,1.678,0,17,6.068,3.359,0.0,3.312,2.986,3.674,4.501,-1.324,3.476,0.09,-1.0,-1.0,2.982,120.53,0,3.807,3423.0,5.985,4.501,3.349,6.02,176.567,4.218,0.627,3.24,1,1.148,0,3.738,4.419,386.0,1,8815.0,3.037,1.388,3.905,3375.0,0.857,1,7.718,0.218,-2.347,-2.347,3.414,3.858,0.138,3.207,0,6,1.062,2.708,2.708,3.233,0,243.33,1.404,12.643,55.046,176.567,67.0,3.717,0.188,184.0,-2.596,-2.596,7.891,8.832,3.623,6.915,4.035,8.843,0.0,85.286,9.416,9.416,9.416
7.602,1,4.725,2.189,2.189,71.858,0.437,71.858,71.858,1.085,1.856,1,1.665,3.071,3.994,57.82,0.185,3.34,0.0,2.453,3.609,3,0.726,24.776,1.395,1.395,7.072,7.31,1.36,9.525,4.072,4.072,4.072,0.016,3,176.0,0.783,0,2,1,1.335,3.642,1.115,1.868,187.063,42.888,4.538,10.716,1.878,187.795,1.185,1.133,4.272,3.326,0.856,24.681,1.602,1.503,3.873,4.278,0.053,1.876,1.876,0,19,3.984,3.887,0.0,2.901,3.206,3.511,4.837,-1.087,2.813,0.033,-0.937,-0.937,3.186,74.982,0,3.609,2148.0,9.657,4.837,2.746,6.189,211.88,4.247,0.577,3.754,1,1.418,0,3.676,4.357,249.0,1,4320.0,3.167,1.596,3.787,2149.0,0.8,1,8.71,0.259,-2.112,-2.112,3.743,3.987,0.172,3.731,0,3,1.083,2.553,2.553,3.415,0,229.35,1.635,11.924,51.005,211.88,41.0,3.87,0.224,115.0,-3.409,-3.409,6.963,12.573,3.589,4.282,4.468,8.309,-0.399,41.029,9.341,9.341,9.341
5.951,1,4.6,2.328,2.328,42.637,0.441,42.637,42.637,0.843,1.978,1,1.851,3.146,3.973,144.377,0.161,3.613,0.0,2.656,3.743,2,0.959,30.099,2.136,2.136,7.171,8.917,1.429,9.949,4.171,4.171,4.171,0.016,2,232.0,1.032,0,2,2,1.376,3.714,1.232,1.997,248.207,0.0,4.218,13.281,2.687,261.347,1.281,1.26,7.676,3.395,1.124,0.0,1.806,1.492,3.989,4.779,0.044,1.897,1.897,0,23,4.482,3.966,0.0,3.141,3.198,4.156,4.775,-0.728,2.96,0.094,-0.688,-0.688,3.185,75.534,0,3.729,3362.0,10.622,4.775,2.872,11.526,223.651,4.931,1.138,3.895,2,1.363,0,3.773,4.454,308.0,1,7353.0,3.188,1.569,3.885,3327.0,0.8,1,10.68,0.627,-1.632,-1.632,3.884,3.944,0.146,3.841,0,3,1.245,2.754,2.754,3.435,0,277.4,1.593,13.824,60.541,223.651,56.0,4.019,0.19,144.0,-1.87,-1.87,7.964,14.874,3.738,5.82,4.76,9.703,0.212,18.952,10.771,10.771,10.771
8.658,7,5.04,2.608,2.608,134.88,0.444,134.88,134.88,0.805,2.037,2,1.904,3.528,3.948,435.653,0.109,3.834,0.148,3.162,3.838,8,1.192,40.014,3.298,3.298,6.867,15.447,1.801,14.565,3.867,3.867,3.867,0.084,8,350.0,1.238,0,6,4,1.769,3.871,1.907,2.04,370.056,0.0,4.305,22.632,3.623,384.406,1.935,1.922,15.229,3.684,1.991,0.0,1.876,1.48,4.346,6.164,0.087,2.393,2.393,0,35,7.863,4.35,0.0,4.321,3.536,4.262,5.112,1.0,3.878,0.263,1.0,1.0,3.54,144.253,0,3.842,14274.0,14.948,5.112,3.702,22.655,411.989,5.452,2.191,4.36,0,1.68,0,4.22,4.905,891.0,0,28257.0,3.585,1.864,3.96,13539.0,0.889,0,15.953,0.825,2.275,2.275,4.231,3.915,0.089,4.218,0,5,1.464,3.108,3.108,3.762,0,421.64,1.878,21.594,93.74,411.989,149.0,4.674,0.117,413.0,2.136,2.136,12.767,20.459,4.17,10.517,5.208,15.097,1.967,102.833,16.826,16.826,16.826
5.77,8,4.738,2.845,2.845,119.985,0.43,119.985,119.985,0.335,2.023,2,1.918,3.812,3.971,383.38,0.115,3.965,0.114,3.061,3.854,8,1.115,43.652,4.06,4.06,7.029,13.651,1.487,16.051,4.029,4.029,4.029,0.138,8,348.0,1.156,0,4,4,1.52,3.858,1.937,2.033,366.831,133.244,4.162,20.045,3.485,386.911,1.982,1.858,11.072,3.746,1.706,77.85,1.887,1.507,4.339,6.864,0.063,2.613,2.613,0,30,7.645,4.362,0.0,4.271,3.514,4.076,5.001,1.0,3.852,0.215,1.0,1.0,3.518,126.234,0,3.849,13204.0,16.097,5.001,3.67,15.957,341.362,5.232,2.052,4.295,1,1.644,0,4.205,4.89,863.0,0,28298.0,3.567,1.809,3.966,11947.0,0.889,0,14.102,0.825,2.275,2.275,4.224,3.937,0.105,4.195,0,6,1.433,3.449,3.449,3.736,0,394.56,1.824,20.44,88.67,317.82,134.0,4.475,0.134,382.0,2.136,2.136,11.749,19.684,4.122,8.172,5.114,14.194,1.967,82.059,16.298,16.298,16.298
6.93,7,4.332,2.28,2.28,101.757,0.447,101.757,101.757,0.432,1.981,2,1.888,3.146,3.91,198.618,0.148,3.594,0.033,2.838,3.821,9,0.841,23.702,2.275,2.275,6.839,8.021,1.414,8.669,3.839,3.839,3.839,0.049,9,224.0,0.886,0,3,3,1.376,3.822,1.101,1.993,237.67,0.0,3.518,11.65,2.673,239.44,1.169,1.169,6.295,3.579,0.99,0.0,1.861,1.46,3.852,3.844,0.071,1.945,1.945,0,20,5.559,3.814,0.0,3.388,3.017,3.674,4.572,-0.71,3.345,0.119,-0.603,-0.603,3.014,108.006,0,3.819,4196.0,9.091,4.572,3.2,9.486,223.651,4.64,1.111,3.748,1,1.174,0,3.871,4.554,404.0,1,9298.0,3.053,1.394,3.92,4015.0,1.0,1,9.219,0.302,-1.35,-1.35,3.731,3.881,0.136,3.654,0,4,1.15,2.592,2.592,3.268,0,268.39,1.429,14.095,60.724,223.651,70.0,3.948,0.179,186.0,-2.118,-2.118,8.467,11.888,3.743,6.184,4.529,9.826,0.102,91.535,10.888,10.888,10.888
6.907,9,3.965,2.267,2.267,111.233,0.448,111.233,111.233,0.0,1.981,2,1.894,3.104,3.9,188.438,0.15,3.568,0.016,2.5,3.823,10,0.821,21.41,2.136,2.136,6.55,7.593,1.414,8.452,3.55,3.55,3.55,0.009,10,192.0,0.886,0,3,3,1.376,3.815,1.064,1.997,201.453,0.0,3.164,11.128,2.561,199.29,1.135,1.152,6.078,3.574,0.942,0.0,1.862,1.45,3.831,3.743,0.073,1.799,1.799,0,20,5.464,3.783,0.0,3.357,3.017,3.674,4.311,-1.0,3.33,0.07,-0.838,-0.838,3.013,117.482,0,3.817,3775.0,8.991,4.26,3.209,9.012,235.422,4.566,1.067,3.706,0,1.174,0,3.807,4.489,383.0,1,7425.0,3.052,1.394,3.92,3582.0,1.0,1,9.121,0.304,-1.849,-1.849,3.685,3.882,0.137,3.59,0,6,1.065,2.556,2.556,3.268,0,252.39,1.429,13.565,57.682,235.422,64.0,4.049,0.182,175.0,-2.347,-2.347,8.308,11.949,3.698,6.004,4.436,9.416,0.0,101.011,10.421,10.421,10.421
7.337,7,5.082,2.619,2.619,134.88,0.444,134.88,134.88,0.805,2.036,2,1.905,3.553,3.946,413.819,0.11,3.842,0.128,3.091,3.839,8,1.155,42.505,3.482,3.482,6.868,16.133,1.801,15.26,3.868,3.868,3.868,0.141,8,350.0,1.227,0,7,4,1.769,3.866,2.029,2.037,369.674,0.0,4.397,23.653,3.651,384.406,1.985,1.922,16.501,3.706,2.093,0.0,1.876,1.471,4.352,6.236,0.101,2.458,2.458,0,35,7.568,4.375,0.0,4.287,3.534,4.194,5.264,1.421,3.808,0.259,1.123,1.123,3.538,144.253,0,3.841,13778.0,15.287,5.203,3.617,24.822,411.989,5.588,2.365,4.402,0,1.68,0,4.22,4.905,842.0,0,27977.0,3.587,1.865,3.96,13107.0,1.0,0,15.953,0.825,2.78,2.78,4.237,3.919,0.089,4.232,0,5,1.446,3.094,3.094,3.763,0,421.64,1.879,21.583,93.74,411.989,143.0,4.674,0.117,391.0,2.275,2.275,12.77,20.338,4.171,10.517,5.232,15.097,1.967,102.833,16.83,16.83,16.83
6.676,7,5.008,3.113,3.113,144.638,0.441,144.638,144.638,0.541,2.042,2,1.932,3.776,3.967,422.489,0.109,4.315,0.14,3.416,3.875,7,1.117,32.475,4.697,4.697,7.083,11.763,1.69,12.436,4.083,4.083,4.083,0.189,7,456.0,1.159,0,7,3,1.663,3.908,1.485,2.031,488.154,0.0,4.588,16.318,3.566,544.698,1.679,1.736,10.118,3.714,1.44,0.0,1.91,1.485,4.223,5.893,0.117,2.506,2.506,0,26,8.917,4.164,0.0,4.425,3.478,4.597,5.153,1.164,4.071,0.172,0.971,0.971,3.482,147.762,0,3.879,16180.0,13.277,5.153,3.889,13.96,321.009,5.067,2.0,4.076,0,1.591,0,4.317,5.004,1046.0,0,45851.0,3.527,1.777,3.977,15195.0,1.0,0,11.417,0.825,2.275,2.275,4.164,3.917,0.092,4.068,0,7,1.41,3.304,3.304,3.655,0,423.52,1.791,21.309,94.498,294.278,171.0,4.321,0.121,481.0,2.22,2.22,12.281,16.197,4.168,9.655,4.9,15.008,1.928,89.817,16.723,16.723,16.723
