pXC50,GATS5s,GATS6s,nDB,SRW07,SRW09,SdO,GATS4p,SaaN,PW5,MATS4p,nImidazoles,GATS5e,SpMAD_EA.dm.,SM06_EA.dm.,SM04_EA.dm.,SpMaxA_EA.dm.,SM08_EA.dm.,SM12_EA.dm.,SM10_EA.dm.,SM02_EA.dm.,Eig01_EA.dm.,SM14_EA.dm.,SpMax_EA.dm.,X4A,SpAD_EA.dm.,GATS4v,NdssC,SpDiam_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Eig02_EA.dm.,Eig03_EA.dm.,C.032,SpMin1_Bh.i.,MATS7p,MATS4v,C.034,O.058,GATS6e,X3A,SdssC,NdO,D.Dtr05,nR05,C.028,GATS4i,GATS7v,SRW05,SpMin1_Bh.e.,Eig02_AEA.dm.,X5A,F.084,SM07_EA.dm.,nPyrimidines,Eig04_EA.dm.,SM05_EA.dm.,SM09_EA.dm.,SM11_EA.dm.,SM13_EA.dm.,SM15_EA.dm.,SM03_EA.dm.,MATS7v,P_VSA_LogP_6,Eig03_AEA.dm.,JGI6,N.075,NaaN,GATS7p
6.914,0.564,0.416,1,4.727,6.862,11.6,0.992,8.82,0.102,-0.121,1,0.717,0.197,7.185,5.027,0.098,9.348,13.675,11.511,2.913,2.95,15.838,2.95,0.112,5.9,1.052,0,5.9,4.698,6.698,4.698,0.0,0.0,0,1.915,-0.179,-0.148,1,1,0.446,0.179,0.0,1,74.848,1,1,1.04,1.166,2.398,1.93,3.207,0.071,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.209,17.717,2.897,0.012,2,2,1.094
5.05,0.874,1.108,0,0.0,0.0,0.0,1.059,12.929,0.108,-0.115,0,1.034,0.077,0.187,0.391,0.024,0.089,0.019,0.042,0.809,0.68,0.009,0.68,0.116,2.16,1.042,0,1.36,3.258,5.258,3.258,0.4,0.0,0,2.023,-0.109,-0.086,0,0,1.183,0.183,0.0,0,0.0,0,1,1.198,1.098,0.0,2.047,2.961,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.117,2.328,2.823,0.012,3,3,1.07
5.05,1.263,1.478,1,4.727,6.862,13.244,0.991,4.812,0.103,-0.024,0,1.337,0.206,3.315,2.627,0.039,4.177,6.093,5.117,2.274,1.656,7.084,1.656,0.113,8.846,0.946,1,2.912,3.613,5.613,3.613,0.86,0.86,0,2.051,-0.107,0.032,0,1,1.433,0.179,-0.338,1,114.727,1,1,1.07,1.078,2.398,2.066,3.536,0.074,0,3.414,0,0.8,2.354,4.466,5.504,6.531,7.551,1.305,-0.089,4.276,3.227,0.02,1,1,1.117
5.0,1.313,1.132,1,5.416,7.086,12.261,0.725,0.0,0.086,0.106,0,1.27,0.242,5.14,3.697,0.078,6.612,9.57,8.09,2.425,2.095,11.049,2.095,0.118,6.542,0.79,1,4.191,4.041,6.041,4.041,0.776,0.4,0,1.912,0.008,0.12,0,1,1.042,0.189,-0.663,1,0.0,0,0,0.96,0.976,3.714,1.93,3.49,0.074,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.127,29.92,3.218,0.019,0,0,0.71
5.1,2.132,1.904,2,2.708,5.094,26.389,1.267,4.16,0.108,-0.069,0,1.802,0.067,0.016,0.097,0.017,0.003,0.0,0.0,0.495,0.4,0.0,0.4,0.112,1.6,1.035,0,0.8,4.751,6.751,4.751,0.4,0.0,0,2.089,-0.258,-0.042,0,2,1.637,0.172,0.0,2,0.0,0,0,1.073,1.318,0.0,2.091,3.07,0.071,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,2.794,0.018,1,1,1.121
5.1,0.764,1.007,3,4.727,6.804,35.375,0.827,11.817,0.091,0.044,0,0.852,0.4,8.081,5.512,0.101,10.74,16.1,13.418,3.378,3.825,18.783,3.825,0.113,15.187,1.032,1,5.335,4.47,6.47,4.47,1.987,0.657,1,1.886,0.07,-0.109,0,3,0.975,0.177,-0.147,3,92.93,1,0,0.681,0.814,2.398,1.91,4.38,0.074,0,9.397,1,0.4,6.718,12.077,14.759,17.441,20.125,3.979,0.193,6.555,3.683,0.019,3,3,0.832
5.3,1.318,1.192,1,5.416,7.535,12.744,0.945,14.315,0.106,-0.034,1,1.035,0.178,4.326,3.17,0.041,5.604,8.273,6.928,2.373,1.987,9.631,1.987,0.113,8.742,0.974,1,3.497,3.628,5.628,3.628,0.86,0.8,1,1.917,-0.074,-0.004,1,1,1.129,0.176,-0.07,1,209.351,2,2,1.11,1.025,3.045,1.944,3.328,0.072,0,4.656,1,0.4,3.181,6.091,7.501,8.894,10.279,1.668,-0.06,28.198,3.126,0.015,3,3,1.078
6.166,1.338,1.176,1,5.416,7.535,12.755,0.942,14.369,0.107,-0.031,1,1.12,0.178,4.326,3.17,0.041,5.604,8.273,6.928,2.373,1.987,9.631,1.987,0.113,8.742,0.962,1,3.497,3.628,5.628,3.628,0.86,0.8,1,1.917,-0.073,0.008,1,1,1.116,0.175,-0.071,1,204.642,2,2,1.107,1.017,3.045,1.944,3.328,0.072,0,4.656,1,0.4,3.181,6.091,7.501,8.894,10.279,1.668,-0.047,28.198,3.143,0.014,3,3,1.069
5.7,0.652,0.921,1,4.727,6.862,11.244,1.18,4.123,0.104,-0.232,0,0.722,0.167,1.275,1.37,0.045,1.193,1.062,1.123,1.481,0.98,1.01,0.98,0.111,3.68,1.126,1,1.96,3.522,5.522,3.522,0.86,0.0,0,1.886,0.116,-0.198,2,1,0.613,0.181,-0.444,1,39.057,1,0,1.18,1.057,2.398,1.899,3.221,0.074,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,2.104,2.914,0.018,1,1,0.889
5.1,0.887,0.835,1,4.949,7.222,12.208,1.05,0.0,0.12,-0.086,0,0.831,0.127,1.379,1.356,0.039,1.439,1.602,1.516,1.412,1.058,1.691,1.058,0.104,3.431,1.021,1,2.117,3.64,5.64,3.64,0.657,0.0,0,1.935,0.031,-0.059,2,1,0.781,0.167,-0.215,1,36.502,1,0,0.981,0.961,2.398,1.951,3.26,0.066,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,19.861,2.897,0.019,0,0,0.963
