pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.05,377.47,30.037,42.5,31.387,27,30,24,46,43.407,43,47.87,21,8.778,48.8,37.2,1.009,1.113,0.73,0.699,7.0,23,0,0,0,0,20
5.05,346.84,28.074,39.5,29.449,25,28,23,43,40.033,40,44.428,20,8.671,50.0,37.5,1.001,1.111,0.736,0.702,10.0,23,0,0,1,0,19
5.05,527.73,46.68,55.0,49.574,39,43,23,80,75.629,76,85.763,31,6.944,40.8,48.7,0.995,1.128,0.652,0.614,6.6,22,0,0,0,0,20
5.0,478.68,27.598,34.0,29.404,25,27,13,41,40.345,39,44.081,17,12.274,43.6,35.9,1.034,1.13,0.754,0.708,5.1,12,0,0,1,0,13
6.7,319.47,26.422,31.5,28.426,22,24,13,45,42.989,43,48.571,16,7.43,37.2,48.8,1.0,1.13,0.661,0.614,7.0,11,0,0,0,0,9
6.5,507.55,36.846,50.0,36.955,35,38,21,58,57.378,55,63.377,21,9.228,38.2,36.4,1.043,1.152,0.672,0.67,12.7,18,0,0,0,0,16
5.1,587.76,48.561,66.5,50.972,43,49,34,78,72.163,72,80.394,33,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,0,0,0,28
5.1,587.76,48.561,66.5,50.972,43,49,34,78,72.163,72,80.394,33,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,0,0,0,28
5.1,349.22,21.792,31.0,22.966,20,22,17,31,29.698,29,31.838,14,12.042,48.3,31.0,1.024,1.098,0.792,0.751,6.9,16,0,1,0,0,14
5.1,323.4,27.377,36.0,28.5,24,27,17,45,42.214,42,47.366,19,7.7,45.2,42.9,1.005,1.128,0.679,0.652,7.1,16,0,0,0,0,15
5.0,485.99,38.257,47.5,39.563,34,37,19,62,60.047,59,66.971,24,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,0,0,1,0,17
5.1,251.31,21.413,29.5,22.279,19,21,17,34,32.051,32,35.78,15,7.853,46.9,40.6,1.002,1.118,0.696,0.669,9.4,17,0,0,0,0,14
5.05,436.28,29.022,42.0,29.517,28,31,17,40,38.8,37,41.268,19,11.791,51.4,24.3,1.049,1.115,0.798,0.784,8.1,12,0,0,2,0,19
