pXC50,MW,nAB,nAT,nBM
9.699,531.7,24,67,27
6.347,437.57,18,54,21
7.658,400.51,18,48,20
6.553,367.87,18,44,18
7.959,412.52,18,49,20
6.0,367.87,18,44,18
6.432,412.52,18,49,20
6.481,347.46,18,47,18
6.602,401.43,18,47,18
5.959,363.46,18,48,18
7.097,358.44,18,45,19
5.824,333.43,18,44,18
8.523,398.54,18,50,20
7.602,438.56,18,53,20
8.222,438.56,18,53,20
6.509,425.57,18,53,20
8.523,410.55,18,51,20
10.301,475.58,24,55,27
10.0,489.61,24,58,27
10.301,489.61,24,58,27
10.301,517.67,24,64,27
10.301,503.64,24,61,27
9.699,545.73,24,70,27
10.301,524.05,24,58,27
10.301,538.08,24,61,27
9.959,566.14,24,67,27
6.959,355.86,18,43,18
