pXC50,Eig11_AEA.bo.,Eig12_AEA.bo.,SpMax8_Bh.m.,Eig11_EA.bo.,nCrs,CATS2D_05_DA,ATS3m,Eig12_AEA.ri.,ZM2Per,ZM1Mad,SpMax4_Bh.e.,ATSC8s,X4sol,SM04_AEA.bo.,ATSC5m,CATS2D_05_AA,Eig10_AEA.bo.,MPC03,Eig15_AEA.bo.,MWC03,ZM2,ATS8s,MWC04,MWC05,Eig01_AEA.bo.,SpMax_AEA.bo.,Eig14_AEA.bo.,piPC02,SM02_EA.bo.,Eig12_AEA.ed.,Eig13_AEA.bo.,O.058,MAXDP,MATS4e,SM04_EA.bo.,Eta_B,ATSC7m,NdO,Eig03_AEA.dm.,Eig09_AEA.bo.,MAXDN,Eig09_EA.bo.,MWC06,Eig12_AEA.dm.,Eta_C_A,TIC1,Eig11_EA.ed.,SM06_AEA.ri.,Eig11_EA,SM05_AEA.dm.,nCs,GATS1p,Eig04_AEA.dm.,X4,X0sol,ATSC8e,X1sol,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA.ed.,SM15_EA.ed.,SM11_EA.bo.
5.357,2.5,2.436,3.174,1.5,2,3,4.447,2.104,821.36,244.52,3.753,185.979,10.863,7.584,46.924,2,2.821,4.22,1.945,6.071,216.0,6.417,6.917,7.755,4.328,4.328,2.038,4.394,5.081,3.539,2.396,3,5.841,0.072,7.083,0.877,47.923,3,3.571,2.917,2.885,1.944,8.607,1.769,1.083,270.151,2.847,2.847,1.39,1.39,9,1.097,3.411,10.116,29.2,1.421,19.372,6.638,10.559,10.559,17.615,6.638,10.559,35.616,15.636
5.569,2.953,2.785,3.22,2.073,2,4,4.429,2.382,969.59,247.927,3.826,183.269,12.64,7.845,39.886,3,2.992,4.431,2.5,6.248,258.0,6.526,7.112,7.969,4.388,4.388,2.5,4.691,5.38,3.747,2.559,4,6.177,-0.005,7.445,0.959,40.897,4,3.581,3.187,2.93,2.431,8.835,1.771,0.826,259.381,3.51,3.51,1.515,1.515,4,1.001,3.571,12.64,30.183,1.317,20.885,6.65,10.618,10.618,17.769,6.65,10.618,35.913,15.948
5.081,2.953,2.785,3.227,2.073,2,3,4.433,2.382,973.49,248.26,3.826,179.843,12.64,7.845,39.09,2,2.992,4.431,2.5,6.248,258.0,6.52,7.112,7.969,4.388,4.388,2.5,4.691,5.38,3.747,2.559,4,6.176,-0.001,7.445,0.959,40.496,4,3.581,3.187,2.933,2.431,8.835,1.771,0.825,258.739,3.51,3.51,1.515,1.515,4,1.001,3.571,12.64,30.183,1.286,20.885,6.65,10.618,10.618,17.769,6.65,10.618,35.913,15.948
5.022,2.953,2.785,3.223,2.073,2,3,4.431,2.382,970.03,247.927,3.826,181.661,12.64,7.845,39.005,2,2.992,4.431,2.5,6.248,258.0,6.519,7.112,7.969,4.388,4.388,2.5,4.691,5.38,3.747,2.559,4,6.177,0.024,7.445,0.959,41.262,4,3.581,3.187,2.931,2.431,8.835,1.771,0.825,259.381,3.51,3.51,1.515,1.515,4,1.001,3.571,12.64,30.183,1.303,20.885,6.65,10.618,10.618,17.769,6.65,10.618,35.913,15.948
5.201,2.992,2.953,3.395,2.191,2,4,4.562,2.515,1086.91,292.932,3.827,196.716,14.175,7.917,41.895,3,3.232,4.477,2.5,6.301,272.0,6.576,7.174,8.03,4.388,4.388,2.662,4.745,5.434,4.078,2.785,4,6.197,0.001,7.526,1.171,39.458,4,3.585,3.376,2.955,2.642,8.904,1.926,0.896,268.264,4.19,4.19,1.68,1.68,4,0.893,3.58,13.411,32.924,1.564,22.25,6.65,10.618,10.618,17.769,6.65,10.618,35.934,16.138
7.0,2.992,2.953,3.276,2.191,2,3,4.62,2.515,1065.67,289.578,3.828,190.719,14.64,7.92,42.177,2,3.232,4.5,2.5,6.308,274.0,6.554,7.183,8.045,4.448,4.448,2.66,4.745,5.434,4.077,2.785,4,6.203,0.107,7.535,1.138,44.586,4,3.681,3.252,2.953,2.483,8.921,1.924,0.911,265.073,4.19,4.19,1.68,1.68,4,0.876,3.58,13.731,32.924,1.467,22.284,6.679,10.618,10.618,17.769,6.679,10.618,36.368,16.327
5.046,2.953,2.785,3.227,2.073,2,3,4.429,2.382,951.47,246.539,3.828,179.382,12.64,7.845,40.292,2,2.992,4.431,2.5,6.248,258.0,6.523,7.112,7.969,4.388,4.388,2.5,4.691,5.38,3.747,2.559,4,6.18,0.004,7.445,0.959,41.704,4,3.581,3.187,2.925,2.431,8.835,1.771,0.832,246.956,3.51,3.51,1.515,1.515,4,0.979,3.571,12.64,30.183,1.235,20.885,6.65,10.618,10.618,17.769,6.65,10.618,35.913,15.948
5.201,2.953,2.917,3.227,2.085,2,3,4.499,2.461,1012.41,259.418,3.829,181.16,13.412,7.892,44.156,2,2.992,4.489,2.5,6.297,271.0,6.57,7.166,8.027,4.388,4.388,2.549,4.727,5.416,3.872,2.785,4,6.209,0.049,7.499,1.01,44.781,4,3.611,3.266,2.936,2.494,8.898,1.771,0.863,275.14,3.51,3.51,1.515,1.515,4,1.03,3.58,13.412,31.761,1.322,21.834,6.65,10.618,10.618,17.769,6.65,10.618,36.095,16.152
5.102,2.953,2.917,3.121,2.087,2,3,4.499,2.497,1021.55,259.476,3.828,215.287,12.219,7.871,40.009,2,2.992,4.466,2.5,6.279,266.0,6.585,7.146,8.005,4.388,4.388,2.5,4.71,5.398,4.04,2.785,3,6.171,0.077,7.492,1.048,40.879,3,3.58,3.232,2.967,2.481,8.874,1.824,0.875,266.95,3.596,3.596,1.516,1.516,4,1.017,3.398,13.02,29.313,1.659,20.474,6.65,10.618,10.618,17.769,6.65,10.618,36.022,16.192
5.06,2.917,2.845,3.238,2.073,2,3,4.494,2.382,964.86,261.334,3.827,181.009,12.812,7.832,41.072,2,2.953,4.431,2.5,6.248,258.0,6.529,7.111,7.967,4.388,4.388,2.5,4.682,5.371,3.749,2.785,3,6.187,0.012,7.445,0.959,42.963,3,3.58,2.992,2.899,2.191,8.832,1.771,0.881,259.977,3.51,3.51,1.515,1.515,4,0.963,3.235,12.543,30.683,1.366,21.174,6.65,10.618,10.618,17.769,6.65,10.618,35.907,16.004
