pXC50,nROH,SsOH,NsOH,O.057,Eig10_AEA.dm.,ATS5s,nArNHR,nPyrimidines,IC4,C.035,Eig08_AEA.bo.,nDB,nTriazoles,SpMax8_Bh.v.,Eig12_AEA.bo.,CATS2D_02_AA,SpMin3_Bh.i.,CATS2D_04_AN,nCconj,nBnz,IC5,NdO,O.058,Eig12_EA.bo.,Eig12_EA.ri.,Eig12_AEA.ri.,Eig12_EA.ed.,SM07_AEA.ri.,SpMax3_Bh.p.,ATS1s,ATS5m,C.044,P_VSA_i_2,CATS2D_03_DA,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,CATS2D_01_AA,H.051,SpAD_AEA.ed.,Eig10_AEA.ri.,ATS3v,ATS6v,P_VSA_e_5,Eig06_AEA.dm.,CATS2D_03_AA,Eig10_EA.ri.,N.075,NaaN,Eig08_AEA.dm.,SpAD_AEA.dm.,CATS2D_09_NL,SpMax7_Bh.m.,CATS2D_08_NL,Eig11_AEA.bo.,P_VSA_i_3,Eig10_EA,SM04_AEA.dm.,nCbH,RDSQ,CATS2D_03_NL,ATS5v,Pol,MPC01,MWC01,nBO
6.388,1,9.805,1,1,1.189,6.071,0,0,5.147,0,3.046,1,0,2.715,2.389,0,1.754,1,1,2,5.147,1,1,1.335,0.903,1.904,2.136,2.136,3.717,5.125,4.082,0,135.592,0,1,1,2,0,2,50.198,2.162,4.09,3.894,67.828,2.329,0,1.161,2,2,1.818,50.418,2,2.803,1,2.5,232.624,1.166,1.166,8,268.802,2,4.035,52,3.497,3.497,32
7.432,1,9.837,1,1,1.58,6.091,0,0,5.342,0,3.046,1,0,2.779,2.391,0,1.765,1,1,3,5.342,1,1,1.337,0.904,1.909,2.451,2.451,3.752,5.141,4.276,0,142.656,0,1,1,2,0,0,52.488,2.381,4.168,3.959,67.828,2.799,0,1.375,1,1,2.367,54.682,2,2.962,1,2.595,244.395,1.385,1.385,10,281.579,1,4.105,54,3.526,3.526,33
7.602,1,9.837,1,1,1.498,6.063,0,0,5.342,0,3.046,1,0,2.782,2.392,0,1.772,1,1,3,5.342,1,1,1.339,0.891,1.899,2.474,2.474,3.749,5.142,4.219,0,142.656,0,1,1,1,0,0,52.672,2.414,4.177,3.969,67.828,2.829,0,1.406,1,1,2.13,54.949,2,2.965,1,2.616,244.395,1.414,1.414,10,282.765,2,4.119,55,3.526,3.526,33
7.092,1,9.831,1,1,1.458,6.113,0,0,5.333,0,3.046,1,0,2.766,2.391,0,1.768,1,1,2,5.333,1,1,1.337,0.906,1.907,2.451,2.451,3.733,5.16,4.125,0,138.127,0,1,1,2,0,2,52.488,2.377,4.146,3.958,67.828,2.404,0,1.371,2,2,2.052,52.113,2,2.96,1,2.595,256.166,1.385,1.385,7,281.579,2,4.092,54,3.526,3.526,33
8.081,1,9.82,1,1,1.189,6.086,0,0,5.187,0,3.046,1,0,2.715,2.389,0,1.769,1,1,3,5.187,1,1,1.335,0.924,1.925,2.136,2.136,3.734,5.117,4.08,0,145.926,0,1,1,2,0,0,50.198,2.165,4.13,3.928,67.828,2.329,0,1.165,1,1,1.818,50.418,2,2.815,1,2.5,244.395,1.166,1.166,11,268.802,2,4.073,52,3.497,3.497,32
7.77,1,9.811,1,1,1.455,6.052,0,0,5.154,0,3.046,1,0,2.715,2.389,0,1.746,1,1,3,5.154,1,1,1.335,0.902,1.907,2.136,2.136,3.731,5.105,4.242,0,140.122,0,1,1,2,0,0,50.198,2.163,4.113,3.887,67.828,2.73,0,1.161,1,1,1.913,52.859,2,2.823,1,2.5,220.853,1.166,1.166,11,268.802,1,4.046,52,3.497,3.497,32
6.0,1,9.86,1,1,1.182,6.089,0,0,5.187,0,3.041,1,0,2.715,2.378,0,1.772,1,1,3,5.187,1,1,1.319,0.915,1.916,2.136,2.136,3.736,5.117,4.095,0,145.926,0,1,1,2,0,0,50.205,2.164,4.13,3.955,67.828,2.335,0,1.164,1,1,1.841,50.396,2,2.803,2,2.5,244.395,1.164,1.164,11,271.08,2,4.076,52,3.497,3.497,32
7.229,1,9.846,1,1,1.458,6.124,0,0,5.368,0,3.046,1,0,2.78,2.391,0,1.788,1,1,3,5.368,1,1,1.337,0.925,1.927,2.451,2.451,3.755,5.152,4.12,0,148.461,0,1,1,2,0,0,52.488,2.383,4.184,3.997,67.828,2.404,0,1.381,1,1,2.052,52.113,2,2.96,1,2.595,267.937,1.385,1.385,10,281.579,2,4.13,54,3.526,3.526,33
7.367,1,9.82,1,1,1.633,6.312,0,0,5.368,0,3.175,1,0,2.781,2.562,0,1.785,1,1,3,5.368,1,1,1.589,1.072,2.081,2.557,2.557,3.754,5.276,4.262,0,147.395,0,1,1,2,0,0,57.687,2.431,4.218,4.044,67.828,2.618,0,1.419,1,1,2.079,56.922,2,3.098,1,2.667,232.624,1.437,1.437,10,320.28,2,4.171,60,3.611,3.611,36
7.509,1,9.864,1,1,1.61,6.216,0,0,5.198,0,3.066,1,0,2.715,2.5,0,1.777,1,1,3,5.198,1,1,1.5,1.0,2.0,2.446,2.446,3.743,5.223,4.207,0,147.75,0,1,1,2,0,0,55.273,2.421,4.204,4.049,67.828,2.411,0,1.393,1,1,1.876,55.018,2,2.969,1,2.635,244.395,1.428,1.428,11,308.442,2,4.161,58,3.584,3.584,35
