pXC50,Eig10_AEA.ri.,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,Wap,Eig12_EA.ri.,Eig08_EA.ri.,Eig12_AEA.ri.,Eig08_EA,SM02_AEA.dm.,Eig08_AEA.ri.,GGI9,Eig08_AEA.ed.,Eig10_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.,Eig09_EA.bo.,Eig10_EA,SM04_AEA.dm.,Eig07_EA.bo.,Eig10_AEA.ed.,Eig08_AEA.dm.,Eig12_EA.ed.,SM07_AEA.ri.,SpMin3_Bh.e.,Eig12_EA.bo.,Eig13_AEA.ed.,SpMaxA_AEA.bo.,Eig10_EA.bo.,Eig12_AEA.bo.,SpMax3_Bh.p.,Xindex,IC5,D.Dtr06,Eig07_AEA.bo.,nAB,Eta_beta,Eig06_EA.ed.,SM15_AEA.dm.,Eig04_AEA.bo.,SpMin3_Bh.i.,Eig11_AEA.ri.,Ui,Eig04_EA.ri.,Eig11_EA.ri.,Eig09_AEA.ri.,Eig09_AEA.bo.,nCsp2,Eig05_AEA.bo.,PCD,MDDD,X2sol,Eta_betaP,HVcpx,Eig05_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMax3_Bh.v.,Eig09_EA.ed.,SM04_AEA.ri.,TPC
8.071,2.531,1.499,3.565,3.565,3.145,2.342,3.317,3.317,31620.0,1.043,1.642,2.062,1.778,1.778,2.714,0.273,4.679,2.925,4.961,4.961,2.153,1.549,1.549,2.507,4.093,2.336,2.423,2.423,1.883,1.5,3.46,0.109,2.0,2.5,3.819,0.253,5.383,439.652,3.294,23,49.5,6.01,6.01,3.9,1.855,2.304,3.858,2.51,1.284,2.572,2.969,23,3.826,3.167,46.44,16.673,26.5,3.842,3.45,2.187,2.187,3.81,4.297,4.297,7.901
6.155,2.28,1.257,2.961,2.961,2.943,2.033,3.423,3.423,25281.0,1.0,1.527,2.0,1.552,1.552,2.537,0.174,4.152,2.673,3.686,3.686,1.977,1.313,1.313,2.154,3.578,1.832,2.275,2.275,1.883,1.5,3.376,0.118,1.697,2.5,3.819,0.244,5.361,405.858,2.969,23,47.0,5.885,5.885,3.9,1.856,2.03,3.858,2.507,1.008,2.396,2.865,23,3.725,3.1,45.363,15.244,25.5,3.87,3.345,2.098,2.098,3.81,3.486,3.486,7.698
5.886,2.0,1.0,2.493,2.493,2.86,1.932,3.04,3.04,12704.0,0.874,1.353,1.883,1.452,1.452,2.405,0.226,4.186,2.5,3.727,3.727,1.5,1.0,1.0,2.023,3.487,1.819,2.136,2.136,1.658,1.285,3.247,0.145,1.5,2.355,3.676,0.311,5.12,234.005,2.923,17,38.75,5.089,5.089,3.857,1.626,1.957,3.524,2.401,0.955,2.134,2.5,16,3.658,2.679,32.396,11.938,19.0,3.64,3.185,1.924,1.924,3.688,2.818,2.818,7.172
7.31,2.0,1.0,2.493,2.493,2.86,1.932,3.04,3.04,12704.0,0.875,1.356,1.883,1.452,1.452,2.408,0.226,4.186,2.5,3.727,3.727,1.5,1.0,1.0,2.023,3.487,1.819,2.136,2.136,1.657,1.285,3.247,0.145,1.5,2.355,3.675,0.311,5.031,234.005,2.923,17,38.75,5.089,5.089,3.857,1.625,1.958,3.524,2.401,0.955,2.138,2.5,16,3.658,2.679,32.396,11.938,19.0,3.64,3.16,1.924,1.924,3.688,2.818,2.818,7.172
7.553,2.0,1.0,2.494,2.494,2.876,1.963,3.068,3.068,15833.0,0.948,1.398,1.957,1.476,1.476,2.435,0.226,4.224,2.5,3.754,3.754,1.5,1.024,1.024,2.034,3.488,1.822,2.136,2.136,1.659,1.292,3.247,0.137,1.5,2.359,3.639,0.298,5.171,252.884,2.945,17,40.5,5.09,5.09,3.857,1.626,1.965,3.524,2.401,0.959,2.188,2.5,16,3.724,2.717,36.688,12.079,19.5,3.776,3.345,1.925,1.925,3.652,2.845,2.845,7.324
7.009,2.185,1.166,2.85,2.85,2.882,2.006,3.068,3.068,17738.0,0.953,1.403,1.965,1.484,1.484,2.44,0.246,4.225,2.5,3.956,3.956,1.938,1.217,1.217,2.046,3.853,1.906,2.275,2.275,1.66,1.305,3.368,0.133,1.5,2.368,3.675,0.301,5.245,260.722,2.946,17,41.25,5.863,5.863,3.883,1.627,2.0,3.524,2.402,1.0,2.391,2.845,17,3.725,2.79,38.088,12.607,20.0,3.772,3.345,2.072,2.072,3.69,3.065,3.065,7.416
5.699,2.0,1.0,2.275,2.275,2.535,1.548,3.067,3.067,13238.0,0.948,1.221,1.961,1.27,1.27,2.24,0.146,3.876,2.5,3.009,3.009,1.5,1.022,1.022,1.994,3.414,1.748,2.086,2.086,1.67,1.153,3.122,0.144,1.5,2.257,3.676,0.286,5.133,227.597,2.926,17,37.75,4.076,4.076,3.725,1.631,2.0,3.524,2.26,1.0,2.05,2.5,17,3.43,2.8,32.521,12.079,19.5,3.804,3.033,1.696,1.696,3.681,2.573,2.573,7.143
7.602,2.0,1.0,2.494,2.494,2.876,1.963,3.068,3.068,15833.0,0.94,1.401,1.948,1.476,1.476,2.437,0.226,4.224,2.5,3.754,3.754,1.5,1.024,1.024,2.034,3.488,1.822,2.136,2.136,1.658,1.292,3.247,0.137,1.5,2.359,3.675,0.298,5.171,252.884,2.945,17,40.5,5.09,5.09,3.857,1.626,1.968,3.524,2.401,0.962,2.189,2.5,16,3.724,2.717,36.688,12.079,19.5,3.776,3.32,1.925,1.925,3.688,2.845,2.845,7.324
5.721,2.0,1.0,2.494,2.494,2.876,1.963,3.068,3.068,15833.0,0.948,1.386,1.955,1.476,1.476,2.426,0.226,4.224,2.5,3.754,3.754,1.5,1.024,1.024,2.034,3.488,1.822,2.136,2.136,1.658,1.292,3.247,0.137,1.5,2.359,3.626,0.298,5.171,252.884,2.945,17,40.5,5.09,5.09,3.857,1.625,1.964,3.524,2.401,0.957,2.186,2.5,16,3.724,2.717,36.688,12.079,19.5,3.776,3.345,1.925,1.925,3.642,2.845,2.845,7.324
5.26,2.0,1.0,2.494,2.494,2.876,1.963,3.068,3.068,15833.0,0.948,1.372,1.961,1.476,1.476,2.416,0.226,4.224,2.5,3.754,3.754,1.5,1.024,1.024,2.034,3.488,1.822,2.136,2.136,1.658,1.292,3.247,0.137,1.5,2.359,3.621,0.298,5.018,252.884,2.945,17,40.5,5.09,5.09,3.857,1.624,1.984,3.524,2.401,0.983,2.181,2.5,16,3.724,2.717,36.688,12.079,19.5,3.776,3.345,1.925,1.925,3.638,2.845,2.845,7.324
