pXC50,AMW,C.
4.303,8.878,47.8
4.493,5.593,41.7
4.303,8.379,34.7
4.303,9.452,50.0
4.303,9.151,42.0
4.303,8.112,39.1
4.303,8.736,45.0
4.303,9.831,50.0
4.303,8.189,50.0
4.303,8.808,44.4
4.371,7.829,40.9
4.303,11.445,43.8
4.303,8.282,44.1
4.303,9.917,42.9
4.303,8.122,44.4
4.303,8.868,40.5
4.303,7.47,40.4
4.303,9.216,48.3
4.303,8.172,44.2
4.303,8.26,43.8
4.303,8.859,45.9
4.303,7.636,43.8
4.303,8.412,50.0
4.303,8.011,42.9
4.303,12.631,40.0
4.303,8.166,47.1
4.303,8.679,36.1
4.303,8.469,44.3
4.303,9.105,42.6
4.303,8.062,41.4
4.303,8.57,42.0
4.303,11.767,52.4
4.303,8.51,43.1
4.303,9.275,46.5
4.303,9.936,49.1
4.303,8.772,47.8
4.314,8.174,39.3
4.303,9.561,47.1
4.303,9.72,41.5
4.303,9.037,44.7
4.303,7.489,42.0
4.303,10.373,44.4
4.303,10.22,41.7
4.303,8.206,44.3
4.303,8.941,40.5
4.303,12.699,42.3
4.303,8.107,35.7
4.303,9.922,47.5
5.321,9.187,47.1
4.303,9.498,46.7
4.303,8.098,39.1
4.303,8.385,41.1
4.303,7.479,42.9
4.303,9.284,44.4
4.303,8.642,51.0
4.303,9.8,42.9
4.303,8.379,43.9
4.303,9.07,47.1
4.303,8.48,46.9
4.303,8.939,43.6
4.303,8.624,47.7
4.303,8.354,45.5
4.303,7.829,40.9
4.303,7.709,43.3
4.303,7.885,35.4
4.739,12.297,45.2
4.303,8.162,47.8
4.303,8.102,43.6
4.303,9.562,51.1
4.303,7.987,45.5
4.303,8.344,44.4
4.303,8.952,45.3
4.303,8.888,51.5
4.303,8.011,38.9
4.303,7.481,39.7
4.303,10.054,50.0
5.006,6.868,37.1
4.303,8.177,40.7
4.651,8.238,45.8
4.303,7.857,43.5
4.303,10.978,45.9
4.303,8.765,51.2
4.303,8.765,51.2
4.303,8.987,42.9
4.303,11.89,47.1
4.303,9.709,43.2
4.303,8.708,42.9
4.303,8.481,49.1
4.303,7.039,42.4
4.334,6.444,43.5
4.303,8.379,51.9
4.308,9.13,38.2
