pXC50,AMW,C.,H.,MW,Me,Mi,Mp,Mv,N.,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHM,nHet,nI,nN,nO,nP,nS,nSK,nTB,nX
7.432,7.659,38.8,45.0,612.69,1.023,1.129,0.637,0.623,2.5,13.8,0.108,9,58,81.825,90.358,50.955,49.861,0.0,12,80,0,17,47,0,83,31,0,0,19,12,5,0,36,0,13,0,2,11,0,0,44,0,0
6.788,9.094,42.6,34.0,427.43,1.04,1.153,0.678,0.685,14.9,2.1,0.08,4,46,48.88,54.208,31.875,32.175,6.4,22,47,0,23,34,0,50,20,0,0,17,3,1,3,16,0,11,0,7,1,0,0,31,0,3
6.593,7.965,44.4,40.0,358.44,1.005,1.126,0.69,0.667,13.3,2.2,0.083,4,42,45.24,50.69,31.057,30.004,0.0,22,45,0,23,30,0,48,20,0,0,17,3,1,0,18,0,7,0,6,1,0,0,27,0,0
6.425,8.065,40.7,40.7,435.51,1.018,1.14,0.666,0.651,13.0,3.7,0.088,5,47,54.949,61.568,35.978,35.177,1.9,16,54,0,20,35,0,57,22,0,0,17,5,4,1,22,0,10,0,7,2,0,0,32,0,1
7.292,7.732,40.7,42.6,417.52,1.008,1.134,0.667,0.644,13.0,3.7,0.088,5,46,54.436,61.229,36.04,34.794,0.0,16,54,0,20,34,0,57,22,0,0,17,5,4,0,23,0,9,0,7,2,0,0,31,0,0
7.319,8.169,43.2,38.6,359.43,1.01,1.131,0.689,0.67,15.9,2.3,0.085,4,42,44.458,49.774,30.301,29.499,0.0,22,44,0,23,30,0,47,19,0,0,17,2,1,0,17,0,8,0,7,1,0,0,27,0,0
6.932,7.912,41.2,41.2,403.49,1.011,1.134,0.672,0.652,13.7,3.9,0.093,5,45,51.552,57.813,34.279,33.267,0.0,22,51,0,23,33,0,54,21,0,0,17,4,1,0,21,0,9,0,7,2,0,0,30,0,0
6.481,7.833,43.1,41.2,399.5,1.004,1.129,0.683,0.658,13.7,2.0,0.091,5,46,51.225,57.604,34.824,33.552,0.0,22,51,0,23,34,0,55,22,0,0,17,5,1,0,21,0,8,0,7,1,0,0,30,0,0
6.613,7.648,39.7,43.1,443.57,1.005,1.138,0.665,0.64,15.5,1.7,0.081,5,49,58.312,66.016,38.597,37.122,0.0,22,58,0,23,37,0,62,23,0,0,16,7,1,0,25,0,10,0,9,1,0,0,33,0,0
6.827,8.952,43.2,36.4,393.87,1.018,1.13,0.708,0.689,15.9,2.3,0.085,4,43,44.782,49.718,31.159,30.326,2.3,22,44,0,23,31,0,47,19,1,0,17,2,1,0,16,1,9,0,7,1,0,0,28,0,1
7.357,7.946,42.6,40.4,373.46,1.007,1.132,0.682,0.66,14.9,2.1,0.08,4,43,47.342,53.189,32.063,31.025,0.0,22,47,0,23,31,0,50,20,0,0,17,3,1,0,19,0,8,0,7,1,0,0,28,0,0
7.018,7.75,42.0,42.0,387.49,1.005,1.132,0.676,0.651,14.0,2.0,0.075,4,44,50.225,56.604,33.824,32.552,0.0,22,50,0,23,32,0,53,21,0,0,17,4,1,0,21,0,8,0,7,1,0,0,29,0,0
6.364,8.751,40.0,38.0,437.53,1.021,1.131,0.692,0.673,14.0,6.0,0.094,5,48,51.073,56.528,34.62,33.642,0.0,22,50,0,25,34,0,53,20,0,0,17,3,3,0,19,1,11,0,7,3,0,1,31,0,0
6.53,8.031,43.8,39.6,385.47,1.007,1.129,0.689,0.667,14.6,2.1,0.077,4,45,48.342,54.189,33.063,32.025,0.0,22,48,0,23,33,0,52,21,0,0,17,4,1,0,19,0,8,0,7,1,0,0,29,0,0
5.719,7.576,41.5,43.4,401.52,1.002,1.132,0.671,0.643,13.2,1.9,0.089,5,45,53.109,60.019,35.586,34.079,0.0,22,53,0,23,33,0,56,22,0,0,17,5,1,0,23,0,8,0,7,1,0,0,30,0,0
6.281,7.732,38.9,42.6,417.53,1.008,1.141,0.664,0.641,16.7,1.9,0.088,5,46,54.429,61.601,35.836,34.595,0.0,22,54,0,23,34,0,57,21,0,0,16,5,1,0,23,0,10,0,9,1,0,0,31,0,0
6.863,7.912,39.2,41.2,403.5,1.011,1.141,0.668,0.648,17.6,2.0,0.093,5,45,51.545,58.185,34.074,33.068,0.0,22,51,0,23,33,0,54,20,0,0,16,4,1,0,21,0,10,0,9,1,0,0,30,0,0
7.036,8.169,43.2,38.6,359.43,1.01,1.131,0.689,0.67,15.9,2.3,0.064,3,42,44.458,49.774,30.301,29.499,0.0,22,44,0,23,30,0,47,19,0,0,17,2,1,0,17,0,8,0,7,1,0,0,27,0,0
5.86,7.896,39.6,41.5,418.51,1.012,1.138,0.666,0.647,15.1,3.8,0.107,6,46,53.654,60.312,35.284,34.288,0.0,22,53,0,23,34,0,56,21,0,0,16,5,1,0,22,0,10,0,8,2,0,0,31,0,0
7.276,7.946,42.6,40.4,373.46,1.007,1.132,0.682,0.66,14.9,2.1,0.08,4,43,47.342,53.189,32.063,31.025,0.0,22,47,0,23,31,0,50,20,0,0,17,3,1,0,19,0,8,0,7,1,0,0,28,0,0
6.947,7.732,38.9,42.6,417.53,1.008,1.141,0.664,0.641,16.7,1.9,0.088,5,46,54.429,61.601,35.836,34.595,0.0,22,54,0,23,34,0,57,21,0,0,16,5,1,0,23,0,10,0,9,1,0,0,31,0,0
6.434,9.094,42.6,34.0,427.43,1.04,1.153,0.678,0.685,14.9,2.1,0.06,3,46,48.88,54.208,31.875,32.175,6.4,22,47,0,23,34,0,50,20,0,0,17,3,1,3,16,0,11,0,7,1,0,0,31,0,3
6.452,7.75,42.0,42.0,387.49,1.005,1.132,0.676,0.651,14.0,2.0,0.094,5,44,50.225,56.604,33.824,32.552,0.0,22,50,0,23,32,0,53,21,0,0,17,4,1,0,21,0,8,0,7,1,0,0,29,0,0
6.583,7.576,41.5,43.4,401.52,1.002,1.132,0.671,0.643,13.2,1.9,0.107,6,45,53.109,60.019,35.586,34.079,0.0,22,53,0,23,33,0,56,22,0,0,17,5,1,0,23,0,8,0,7,1,0,0,30,0,0
7.013,7.571,40.4,43.9,431.55,1.006,1.134,0.663,0.637,12.3,3.5,0.1,6,47,57.32,64.644,37.801,36.321,0.0,16,57,0,20,35,0,60,23,0,0,17,6,4,0,25,0,9,0,7,2,0,0,32,0,0
6.703,7.75,42.0,42.0,387.49,1.005,1.132,0.676,0.651,14.0,2.0,0.075,4,44,50.225,56.604,33.824,32.552,0.0,22,50,0,23,32,0,53,21,0,0,17,4,1,0,21,0,8,0,7,1,0,0,29,0,0
7.125,8.382,41.9,37.2,360.42,1.016,1.136,0.687,0.674,18.6,2.3,0.087,4,42,43.676,48.857,29.546,28.993,0.0,22,43,0,23,30,0,46,18,0,0,16,2,1,0,16,0,9,0,8,1,0,0,27,0,0
7.444,8.14,41.3,39.1,374.45,1.012,1.136,0.681,0.663,17.4,2.2,0.082,4,43,46.56,52.272,31.307,30.52,0.0,22,46,0,23,31,0,49,19,0,0,16,3,1,0,18,0,9,0,8,1,0,0,28,0,0
6.666,8.829,42.0,36.0,441.46,1.035,1.152,0.673,0.674,14.0,2.0,0.075,4,47,51.763,57.623,33.637,33.702,6.0,22,50,0,23,35,0,53,21,0,0,17,4,1,3,18,0,11,0,7,1,0,0,32,0,3
6.616,9.909,42.0,30.0,495.43,1.066,1.173,0.669,0.697,14.0,2.0,0.075,4,50,53.301,58.642,33.449,34.852,12.0,22,50,0,23,38,0,53,21,0,0,17,4,1,6,15,0,14,0,7,1,0,0,35,0,6
7.252,8.578,43.2,36.4,377.42,1.022,1.139,0.687,0.679,15.9,2.3,0.085,4,43,44.971,50.113,30.239,29.882,2.3,22,44,0,23,31,0,47,19,0,0,17,2,1,1,16,0,9,0,7,1,0,0,28,0,1
6.397,7.716,39.7,43.1,447.55,1.011,1.135,0.66,0.639,12.1,5.2,0.115,7,48,58.647,65.853,38.256,37.035,0.0,16,58,0,20,36,0,61,23,0,0,17,6,4,0,25,0,10,0,7,3,0,0,33,0,0
7.009,8.287,40.7,38.9,447.5,1.022,1.134,0.67,0.661,13.0,7.4,0.105,6,49,55.207,61.232,36.188,35.697,0.0,16,54,0,21,36,0,57,22,0,0,18,4,5,0,21,0,11,0,7,4,0,0,33,0,0
6.879,8.09,40.0,40.0,404.48,1.015,1.138,0.67,0.655,16.0,4.0,0.094,5,45,50.771,56.896,33.523,32.762,0.0,22,50,0,23,33,0,53,20,0,0,16,4,1,0,20,0,10,0,8,2,0,0,30,0,0
7.284,8.349,42.0,38.0,417.47,1.02,1.132,0.679,0.669,14.0,6.0,0.113,6,47,50.996,56.608,33.972,33.455,0.0,22,50,0,24,34,0,53,21,0,0,18,3,2,0,19,0,10,0,7,3,0,0,31,0,0
