pXC50,GATS5v,MATS1p,MATS2m,MATS4i,MATS5m,NssCH2,PW3,SpMAD_EA.ed.,SssCH2,X3A,ATS4m,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8s,ATSC3m,ATSC4m,ATSC5e,ATSC5m,ATSC5p,ATSC5s,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8m,ATSC8s,C.002,C.006,C.008,C.040,CATS2D_02_DA,CATS2D_04_DD,CATS2D_05_AA,CATS2D_05_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_07_AL,CATS2D_08_AA,CATS2D_08_DA,CATS2D_08_DD,CATS2D_09_LL,CIC1,Eig01_AEA.dm.,Eig01_AEA.ed.,Eig01_AEA.ri.,Eig01_EA,Eig01_EA.dm.,Eig01_EA.ed.,Eig01_EA.ri.,Eig02_AEA.dm.,Eig02_AEA.ed.,Eig02_AEA.ri.,Eig02_EA,Eig02_EA.dm.,Eig02_EA.ed.,Eig02_EA.ri.,Eig03_AEA.dm.,Eig03_AEA.ed.,Eig03_AEA.ri.,Eig03_EA,Eig03_EA.dm.,Eig03_EA.ed.,Eig03_EA.ri.,Eig04_AEA.dm.,Eig04_AEA.ed.,Eig04_EA.dm.,Eig04_EA.ed.,Eig05_AEA.dm.,Eig05_EA.dm.,Eig06_AEA.dm.,Eig06_EA.dm.,Eig07_AEA.dm.,Eig07_EA.dm.,Eta_L,Eta_sh_y,GATS2p,GATS3i,GATS3p,GATS4p,GATS5p,GATS6m,GATS7e,GATS7m,GATS7p,GATS7s,GATS8i,GATS8v,GGI10,GGI3,GGI4,GGI5,GGI6,GGI7,H.046,H.051,H.053,JGI10,JGI7,LOC,MATS1m,MATS2i,MATS2v,MATS3e,MATS3i,MATS3m,MATS3p,MATS4s,MATS6e,MATS6i,MATS7e,MATS7p,MATS7s,MATS7v,MATS8i,MATS8m,MATS8v,MAXDN,MAXDP,MCD,N.067,N.072,nCrs,nCs,nCsp3,NdssC,nHM,nRCONHR,nRNHR,nRSR,nS,NssS,NsssCH,O.058,P_VSA_i_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_m_4,P_VSA_MR_2,P_VSA_MR_8,P_VSA_s_3,PW2
7.086,1.001,0.065,-0.015,0.019,-0.002,8,0.325,4.025,3.653,0.196,4.692,4.773,4.694,7.12,4.631,5.74,5.962,4.776,4.806,6.905,4.712,5.822,6.062,4.763,4.809,6.991,4.706,7.13,63.805,74.265,2.364,77.227,18.901,449.152,1.931,2.899,82.355,21.997,317.097,32.043,1.882,91.607,22.036,298.057,33.704,2.558,91.604,476.286,5,3,7,6,6,3,5,8,13,4,9,4,7,1,3,3.291,4.239,6.465,4.033,3.053,2.95,9.912,2.984,3.873,6.342,3.928,2.949,2.006,9.461,2.879,3.805,6.202,3.838,2.856,1.985,8.999,2.796,3.749,6.126,1.956,8.804,3.644,1.925,3.58,1.901,3.514,1.886,13.555,0.363,1.429,1.077,1.062,0.961,1.005,1.116,1.148,1.122,1.167,1.088,0.994,1.034,0.472,3.5,2.8,1.778,1.51,1.019,10,2,2,0.009,0.014,2.258,0.0,-0.218,-0.105,0.007,0.018,-0.008,-0.016,-0.023,-0.086,0.042,-0.13,-0.116,-0.081,-0.104,-0.062,-0.052,-0.061,2.846,6.325,0.31,0,6,6,12,20,6,1,5,0,1,1,1,8,6,32.22,172.426,85.367,179.097,32.22,280.352,32.22,77.025,0.575
7.301,0.982,0.049,-0.042,0.01,0.007,12,0.32,3.878,6.363,0.199,4.825,4.913,4.901,7.207,4.822,5.93,6.156,4.93,5.008,7.047,4.906,6.023,6.269,4.929,5.019,7.142,4.909,7.259,76.942,87.764,2.297,91.183,23.901,434.67,1.823,3.689,97.789,27.523,299.564,39.828,1.814,109.673,28.002,297.286,42.172,2.518,108.667,466.961,8,4,7,6,6,3,5,8,17,6,11,4,7,1,7,3.433,4.239,6.472,4.037,3.057,2.95,9.941,2.987,3.877,6.365,3.938,2.96,2.007,9.556,2.886,3.812,6.229,3.847,2.864,1.988,9.084,2.806,3.76,6.127,1.961,8.862,3.66,1.931,3.587,1.905,3.514,1.886,16.49,0.309,1.367,1.05,1.04,0.96,0.984,1.137,1.285,1.128,1.096,1.238,0.964,0.977,0.638,3.688,3.111,2.035,1.652,1.219,14,2,2,0.008,0.014,1.004,0.012,-0.184,-0.12,0.043,0.019,0.008,-0.018,-0.019,-0.073,-0.002,-0.127,-0.091,-0.085,-0.078,-0.022,-0.035,-0.023,2.848,6.531,0.365,0,6,6,15,24,6,1,6,0,1,1,1,8,6,32.22,167.249,132.748,179.097,32.22,303.894,32.22,89.92,0.567
7.745,0.968,0.055,-0.044,-0.017,0.001,10,0.327,3.996,4.691,0.194,4.925,4.997,5.003,7.246,4.922,5.993,6.219,5.031,5.098,7.095,5.003,6.086,6.323,5.067,5.131,7.221,5.035,7.349,81.229,93.123,2.285,96.816,27.107,428.095,1.775,4.199,102.545,30.353,283.227,42.559,1.745,115.1,31.857,292.791,45.513,2.511,117.213,465.59,6,4,7,6,6,3,5,8,19,7,14,4,7,1,12,3.395,4.239,6.472,4.037,3.057,2.95,9.941,2.987,3.877,6.365,3.938,2.96,2.007,9.556,2.911,3.812,6.229,3.919,2.924,1.988,9.226,2.886,3.76,6.183,1.961,9.085,3.66,1.931,3.587,1.905,3.514,1.886,17.199,0.318,1.279,1.035,1.023,0.985,0.965,1.114,1.353,1.117,1.061,1.307,0.965,0.957,0.75,4.0,3.467,2.208,1.896,1.375,10,2,2,0.007,0.013,0.779,0.023,-0.151,-0.1,0.032,0.032,-0.021,-0.017,-0.025,-0.059,0.007,-0.124,-0.072,-0.073,-0.052,-0.005,-0.034,-0.006,2.867,6.869,0.483,0,6,6,13,22,6,1,6,0,1,1,1,8,6,32.22,129.282,199.082,197.108,32.22,303.894,32.22,92.754,0.574
7.357,0.973,0.052,-0.038,-0.012,0.004,10,0.323,3.929,4.458,0.198,4.804,4.893,4.85,7.191,4.781,5.884,6.107,4.916,4.963,7.026,4.87,5.977,6.216,4.922,4.982,7.129,4.882,7.248,72.884,83.688,2.336,87.326,22.349,437.427,1.865,3.525,93.624,26.005,302.542,37.478,1.855,105.112,26.867,304.451,40.0,2.543,104.866,470.565,6,4,7,6,6,3,5,8,16,5,12,4,7,1,8,3.297,4.239,6.472,4.037,3.057,2.95,9.941,2.987,3.877,6.365,3.938,2.96,2.007,9.556,2.886,3.812,6.229,3.847,2.865,1.988,9.085,2.806,3.76,6.127,1.961,8.862,3.66,1.931,3.587,1.905,3.514,1.886,15.49,0.322,1.36,1.054,1.043,0.973,0.976,1.122,1.285,1.122,1.1,1.248,0.975,0.991,0.617,3.688,3.031,2.035,1.734,1.241,10,2,2,0.008,0.014,1.023,0.011,-0.182,-0.112,0.03,0.02,-0.003,-0.021,-0.028,-0.079,0.025,-0.134,-0.087,-0.088,-0.071,-0.027,-0.045,-0.03,2.851,6.509,0.38,0,6,6,13,22,6,1,6,0,1,1,1,8,6,32.22,162.18,132.748,179.097,32.22,303.894,32.22,84.851,0.57
5.301,0.954,0.03,-0.006,-0.021,-0.015,6,0.319,3.897,2.527,0.201,4.557,4.6,4.641,7.005,4.572,5.662,5.9,4.575,4.705,6.783,4.613,5.737,5.987,4.63,4.763,6.861,4.674,7.075,61.057,69.428,1.927,70.006,17.772,370.838,1.513,2.755,69.604,20.093,239.177,30.261,1.217,74.595,20.518,210.98,32.213,1.957,81.121,385.375,2,4,6,5,5,2,4,6,10,10,7,3,5,0,2,3.111,3.867,6.459,4.025,3.044,2.005,9.887,2.977,3.768,6.325,3.887,2.91,1.982,9.375,2.836,3.727,6.19,3.779,2.792,1.95,8.834,2.748,3.619,6.021,1.919,8.553,3.514,1.898,2.764,0.672,2.758,0.657,12.812,0.316,1.258,1.098,1.093,0.934,0.921,1.064,1.117,1.032,1.032,1.037,1.037,1.053,0.413,3.125,2.382,1.514,1.245,0.84,6,0,0,0.006,0.011,2.311,-0.013,-0.131,-0.087,0.047,-0.029,-0.049,-0.078,0.008,-0.007,0.054,-0.084,-0.052,-0.029,-0.027,-0.083,-0.087,-0.094,2.796,6.189,0.25,2,5,0,8,17,5,0,4,2,0,0,0,7,5,0.0,118.432,216.151,149.248,0.0,255.207,0.0,43.386,0.572
6.812,0.964,0.045,0.016,-0.031,-0.026,6,0.323,3.985,1.857,0.2,4.629,4.642,4.659,7.051,4.599,5.673,5.908,4.616,4.717,6.811,4.633,5.764,6.01,4.675,4.776,6.927,4.697,7.106,61.826,72.305,2.232,71.912,17.945,414.078,1.762,2.762,70.133,20.092,273.465,30.19,1.697,76.935,20.515,264.001,32.276,2.302,82.837,424.663,2,4,6,5,5,2,4,6,10,10,7,3,5,0,2,2.976,3.867,6.459,4.025,3.044,2.612,9.887,2.977,3.778,6.325,3.887,2.91,2.005,9.375,2.836,3.768,6.19,3.779,2.792,1.982,8.834,2.749,3.727,6.021,1.95,8.553,3.619,1.919,3.514,1.898,2.766,0.672,13.09,0.341,1.266,1.125,1.119,0.95,0.928,1.036,1.018,1.025,1.031,0.943,1.041,1.074,0.438,3.438,2.653,1.75,1.327,0.903,6,0,0,0.006,0.012,2.286,-0.007,-0.137,-0.075,0.019,-0.044,-0.04,-0.086,-0.017,-0.012,0.056,-0.074,-0.044,-0.035,-0.03,-0.087,-0.092,-0.096,2.832,6.221,0.235,2,5,0,8,17,5,0,4,2,0,0,0,7,5,0.0,118.432,206.674,149.248,0.0,255.207,0.0,46.143,0.577
7.215,0.958,0.042,-0.024,-0.001,0.064,18,0.314,3.857,14.044,0.2,5.029,5.121,5.127,7.401,5.044,6.153,6.386,5.157,5.225,7.257,5.129,6.258,6.503,5.18,5.252,7.408,5.153,7.512,96.797,110.328,2.755,113.776,30.245,520.659,2.218,4.574,120.336,33.585,353.179,49.797,2.468,136.449,34.738,410.009,53.093,3.372,137.187,593.986,14,4,8,7,7,3,6,9,19,9,14,6,11,1,11,3.815,4.239,6.476,4.042,3.062,2.95,9.957,2.992,3.883,6.376,3.956,2.978,2.612,9.606,2.905,3.825,6.24,3.871,2.886,2.008,9.139,2.836,3.779,6.128,1.992,8.885,3.775,1.969,3.697,1.943,3.618,1.917,21.118,0.307,1.387,1.063,1.05,0.97,0.984,1.07,1.203,1.091,1.087,1.144,0.975,0.979,0.794,4.375,3.862,2.632,2.182,1.571,27,2,2,0.007,0.013,1.918,0.016,-0.199,-0.122,0.044,0.009,0.027,-0.018,-0.018,-0.048,0.001,-0.093,-0.076,-0.053,-0.054,-0.007,-0.025,-0.016,2.979,6.879,0.288,1,7,6,22,32,7,1,6,1,1,1,1,9,7,32.22,182.456,141.282,208.947,32.22,352.581,32.22,112.589,0.567
7.398,0.969,0.081,-0.02,-0.007,0.018,9,0.33,4.12,3.395,0.192,5.042,5.12,5.074,7.383,5.013,6.064,6.278,5.154,5.17,7.23,5.095,6.178,6.406,5.189,5.206,7.389,5.127,7.505,84.131,99.527,2.863,102.379,28.453,532.721,2.37,4.472,107.807,31.449,382.14,43.894,2.646,124.73,33.479,436.097,47.899,3.519,128.776,611.444,6,3,8,7,7,3,6,9,20,7,15,6,11,1,12,3.285,4.239,6.476,4.042,3.062,2.95,9.957,2.992,3.883,6.376,3.956,2.978,2.612,9.606,2.912,3.825,6.24,3.919,2.924,2.008,9.226,2.904,3.779,6.183,1.992,9.139,3.775,1.969,3.697,1.943,3.618,1.917,17.981,0.356,1.299,1.053,1.05,0.981,0.979,1.103,1.201,1.108,1.081,1.137,0.943,0.965,0.857,4.688,4.298,2.75,2.262,1.642,10,2,2,0.007,0.014,0.869,0.017,-0.161,-0.091,0.003,0.026,-0.034,-0.028,-0.055,-0.08,-0.006,-0.115,-0.086,-0.069,-0.07,0.003,-0.025,-0.001,2.99,6.926,0.439,0,7,6,14,22,7,1,6,0,1,1,1,9,7,32.22,160.074,189.605,226.958,32.22,329.039,32.22,98.109,0.582
7.432,0.972,0.081,-0.009,-0.002,0.018,9,0.327,4.087,3.158,0.195,4.934,5.029,4.932,7.334,4.884,5.962,6.173,5.052,5.045,7.17,4.975,6.078,6.308,5.061,5.069,7.311,4.988,7.419,76.236,90.367,2.934,92.861,23.719,547.786,2.493,3.789,99.029,27.2,409.604,39.028,2.8,115.119,28.49,462.579,42.59,3.573,117.069,626.113,6,3,8,7,7,3,6,9,17,5,13,6,11,1,8,3.186,4.239,6.476,4.042,3.062,2.95,9.957,2.992,3.883,6.376,3.956,2.978,2.612,9.606,2.905,3.825,6.24,3.871,2.886,2.008,9.139,2.835,3.779,6.127,1.992,8.884,3.775,1.969,3.697,1.943,3.618,1.917,16.272,0.367,1.382,1.079,1.075,0.97,0.993,1.107,1.149,1.107,1.124,1.093,0.954,0.996,0.724,4.375,3.862,2.576,2.1,1.509,10,2,2,0.008,0.015,1.075,0.007,-0.194,-0.099,-0.002,0.014,-0.016,-0.03,-0.061,-0.099,0.012,-0.123,-0.102,-0.082,-0.089,-0.019,-0.032,-0.024,2.981,6.574,0.339,0,7,6,14,22,7,1,6,0,1,1,1,9,7,32.22,192.971,123.272,208.947,32.22,329.039,32.22,90.207,0.579
8.0,0.977,0.067,-0.03,-0.023,-0.011,10,0.329,4.06,4.14,0.193,4.975,5.025,5.016,7.283,4.942,6.001,6.224,5.056,5.107,7.114,5.017,6.105,6.338,5.095,5.143,7.259,5.054,7.389,81.797,95.465,2.588,98.272,27.281,470.221,2.053,4.204,102.532,30.223,324.07,42.319,2.189,116.902,31.973,350.23,45.524,2.994,120.007,519.587,6,4,7,6,6,3,5,8,18,7,14,4,9,1,12,3.292,4.239,6.472,4.037,3.057,2.95,9.941,2.987,3.877,6.365,3.938,2.96,2.612,9.556,2.911,3.812,6.229,3.919,2.924,2.007,9.226,2.886,3.778,6.183,1.988,9.085,3.76,1.961,3.66,1.931,3.587,1.905,17.478,0.337,1.286,1.054,1.041,0.996,0.971,1.097,1.229,1.114,1.072,1.168,0.953,0.97,0.807,4.313,3.738,2.444,1.977,1.431,10,2,2,0.007,0.013,0.83,0.024,-0.153,-0.092,0.011,0.019,-0.017,-0.024,-0.041,-0.068,0.003,-0.131,-0.074,-0.084,-0.059,0.0,-0.039,-0.006,2.907,6.884,0.46,0,6,6,13,22,6,1,6,0,1,1,1,8,6,32.22,129.282,189.605,197.108,32.22,303.894,32.22,95.51,0.579
