pXC50,nHet,MW,nCsp2,O.,nBO,X.,Sv,nX,N.,nO,nSK,SCBO,nAB,Se,Si,nBT,nBM,nC,nAT,nCsp3,Mv,Sp,H.,RBF,nCL,nDB,Mp,nN,Me,nH
6.0,3,318.45,15,2.2,27,0.0,29.026,0,4.3,1,24,36.0,16,45.367,51.358,49.0,17,21,46.0,6,0.631,31.08,47.8,0.061,0,1,0.676,2,0.986,22
6.0,3,362.56,15,1.8,29,0.0,34.133,0,3.5,1,27,38.0,16,55.901,64.019,59.0,17,24,57.0,9,0.599,37.126,52.6,0.119,0,1,0.651,2,0.981,30
6.0,4,452.74,15,0.0,34,1.4,41.096,1,2.9,0,32,43.0,16,67.698,77.73,71.0,17,28,69.0,13,0.596,45.302,53.6,0.183,0,1,0.657,2,0.981,37
6.0,4,340.53,13,2.1,26,0.0,29.74,0,4.2,1,24,34.5,15,47.327,53.693,50.0,16,20,48.0,7,0.62,32.489,50.0,0.14,0,1,0.677,2,0.986,24
6.0,5,417.41,15,1.9,30,3.7,34.261,2,3.7,1,28,39.0,16,53.665,60.492,56.0,17,23,54.0,8,0.634,37.08,48.1,0.143,2,1,0.687,2,0.994,26
8.824,15,692.85,21,9.6,52,0.0,57.571,0,6.4,9,50,67.0,16,95.345,106.763,96.0,23,35,94.0,14,0.612,59.591,46.8,0.208,0,7,0.634,6,1.014,44
7.52,9,538.76,12,6.2,42,0.0,47.669,0,4.9,5,39,51.0,10,80.832,91.929,84.0,14,30,81.0,18,0.589,50.762,51.9,0.143,0,4,0.627,4,0.998,42
6.783,7,449.6,17,6.3,35,0.0,39.299,0,4.7,4,33,46.0,16,63.985,72.145,66.0,19,26,64.0,9,0.614,41.495,48.4,0.182,0,3,0.648,3,1.0,31
9.027,9,586.8,18,5.9,47,0.0,51.669,0,4.7,5,43,59.0,16,84.832,95.929,89.0,20,34,85.0,16,0.608,54.762,49.4,0.135,0,4,0.644,4,0.998,42
7.424,13,618.76,20,8.4,48,0.0,51.561,0,7.2,7,45,62.0,16,84.04,94.099,86.0,22,32,83.0,12,0.621,53.398,45.8,0.163,0,6,0.643,6,1.013,38
7.469,9,546.73,18,6.4,43,0.0,47.615,0,5.1,5,40,55.0,16,78.065,88.099,81.0,20,31,78.0,13,0.61,50.239,48.7,0.16,0,4,0.644,4,1.001,38
6.836,7,508.78,11,3.7,40,0.0,46.766,0,4.9,3,37,48.0,10,80.061,91.925,84.0,13,30,81.0,19,0.577,50.614,54.3,0.143,0,3,0.625,4,0.988,44
6.523,9,546.73,18,6.4,43,0.0,47.615,0,5.1,5,40,55.0,16,78.065,88.099,81.0,20,31,78.0,13,0.61,50.239,48.7,0.16,0,4,0.644,4,1.001,38
6.432,7,455.66,11,5.7,35,0.0,40.879,0,4.3,4,33,43.0,10,69.636,79.391,72.0,13,26,70.0,15,0.584,43.779,52.9,0.167,0,3,0.625,3,0.995,37
9.201,29,1143.42,30,11.4,81,0.0,87.909,0,7.1,16,78,104.0,22,143.458,158.889,143.0,34,49,140.0,19,0.628,91.069,44.3,0.231,0,12,0.65,10,1.025,62
5.151,10,588.77,18,7.2,47,0.0,50.857,0,4.8,6,43,59.0,16,83.276,93.723,87.0,20,33,83.0,15,0.613,53.455,48.2,0.126,0,4,0.644,4,1.003,40
5.268,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.11,0,4,0.647,5,1.004,37
8.483,9,512.61,23,7.6,41,0.0,42.981,0,6.1,5,38,55.0,18,66.647,74.023,69.0,23,29,66.0,6,0.651,44.432,42.4,0.101,0,5,0.673,4,1.01,28
9.854,8,539.74,22,3.9,43,0.0,47.68,0,6.5,3,40,56.0,18,76.629,86.763,80.0,22,32,77.0,10,0.619,50.574,48.1,0.113,0,4,0.657,5,0.995,37
9.959,9,540.73,21,3.9,43,0.0,47.175,0,7.9,3,40,56.0,18,75.847,85.846,79.0,22,31,76.0,10,0.621,49.819,47.4,0.114,0,4,0.656,6,0.998,36
5.301,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.11,0,4,0.647,5,1.004,37
8.9,9,512.67,21,4.3,41,0.0,44.121,0,8.6,3,38,54.0,18,70.08,79.016,73.0,22,29,70.0,8,0.63,46.296,45.7,0.096,0,4,0.661,6,1.001,32
9.959,7,516.64,28,4.5,43,0.0,44.552,0,6.0,3,39,59.0,24,66.992,74.604,71.0,28,32,67.0,4,0.665,46.523,41.8,0.085,0,4,0.694,4,1.0,28
9.367,9,484.61,21,4.7,39,0.0,41.068,0,9.4,3,36,52.0,18,64.312,72.185,67.0,22,27,64.0,6,0.642,42.773,43.8,0.09,0,4,0.668,6,1.005,28
9.284,7,482.63,22,4.5,39,0.0,42.078,0,6.1,3,36,52.0,18,65.876,74.019,69.0,22,29,66.0,7,0.638,44.284,45.5,0.087,0,4,0.671,4,0.998,30
9.796,10,513.6,22,7.7,41,0.0,42.476,0,7.7,5,38,56.0,18,65.865,73.106,68.0,24,28,65.0,6,0.653,43.676,41.5,0.103,0,6,0.672,5,1.013,27
5.301,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.11,0,4,0.647,5,1.004,37
6.65,22,977.22,28,10.1,72,0.0,79.348,0,6.2,13,69,93.0,22,131.119,146.424,132.0,32,47,129.0,19,0.615,82.398,46.5,0.212,0,10,0.639,8,1.016,60
5.256,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.11,0,4,0.647,5,1.004,37
9.076,9,552.74,21,3.9,45,0.0,48.175,0,7.8,3,41,58.0,18,76.847,86.846,81.0,22,32,77.0,11,0.626,50.819,46.8,0.086,0,4,0.66,6,0.998,36
5.9,6,436.33,20,4.3,31,2.2,31.733,1,6.5,2,28,42.0,18,46.258,51.077,49.0,20,22,46.0,2,0.69,33.37,39.1,0.061,0,2,0.725,3,1.006,18
6.3,9,533.68,17,8.1,42,0.0,45.782,0,4.1,6,39,53.0,12,74.407,83.395,77.0,17,30,74.0,13,0.619,47.926,47.3,0.091,0,5,0.648,3,1.005,35
6.42,10,603.75,17,7.3,49,1.2,51.219,1,3.7,6,44,60.0,12,82.687,92.565,87.0,17,34,82.0,17,0.625,53.387,46.3,0.08,0,5,0.651,3,1.008,38
6.27,9,599.79,17,7.1,49,0.0,52.362,0,3.5,6,44,60.0,12,85.058,95.64,90.0,17,35,85.0,18,0.616,55.211,48.2,0.078,0,5,0.65,3,1.001,41
7.66,10,603.75,17,7.3,49,1.2,51.219,1,3.7,6,44,60.0,12,82.687,92.565,87.0,17,34,82.0,17,0.625,53.387,46.3,0.08,0,5,0.651,3,1.008,38
6.75,9,588.73,17,7.5,48,1.3,50.197,1,2.5,6,43,59.0,12,80.585,90.066,85.0,17,34,80.0,17,0.627,52.381,46.3,0.082,0,5,0.655,2,1.007,37
6.78,9,547.71,17,7.8,43,0.0,47.309,0,3.9,6,40,54.0,12,77.29,86.81,80.0,17,31,77.0,14,0.614,49.688,48.1,0.088,0,5,0.645,3,1.004,37
6.795,9,585.76,17,7.3,48,0.0,50.835,0,3.7,6,43,59.0,12,82.174,92.225,87.0,17,34,82.0,17,0.62,53.449,47.6,0.08,0,5,0.652,3,1.002,39
5.76,9,507.64,17,8.6,39,0.0,43.255,0,4.3,6,37,50.0,12,70.523,78.979,72.0,17,28,70.0,11,0.618,45.165,47.1,0.097,0,5,0.645,3,1.007,33
6.86,10,615.79,17,8.1,50,0.0,53.077,0,3.5,7,45,61.0,12,86.385,96.85,91.0,17,35,86.0,18,0.617,55.665,47.7,0.088,0,5,0.647,3,1.004,41
9.252,17,714.88,20,10.9,52,0.0,56.946,0,6.5,10,50,68.0,16,93.865,104.477,94.0,24,33,92.0,13,0.619,58.932,45.7,0.202,0,8,0.641,6,1.02,42
7.032,13,596.78,19,7.7,44,0.0,48.506,0,7.7,6,42,57.0,16,78.905,88.394,80.0,21,29,78.0,10,0.622,50.83,46.2,0.2,0,5,0.652,6,1.012,36
8.481,15,767.97,27,7.6,59,0.0,64.931,0,6.7,8,56,77.0,22,105.887,118.883,108.0,29,41,105.0,14,0.618,67.665,46.7,0.194,0,7,0.644,7,1.008,49
5.638,6,384.52,13,7.1,29,0.0,33.75,0,3.6,4,28,37.5,11,56.0,63.232,57.0,14,22,56.0,9,0.603,35.728,50.0,0.158,0,3,0.638,2,1.0,28
5.092,8,407.94,9,7.4,30,1.9,33.073,1,5.6,4,28,36.0,6,54.542,61.259,56.0,9,20,54.0,11,0.612,34.83,48.1,0.125,1,3,0.645,3,1.01,26
6.097,8,436.0,9,6.7,32,1.7,36.126,1,5.0,4,30,38.0,6,60.309,68.089,62.0,9,22,60.0,13,0.602,38.353,50.0,0.113,1,3,0.639,3,1.005,30
5.42,8,421.97,9,7.0,31,1.8,34.599,1,5.3,4,29,37.0,6,57.425,64.674,59.0,9,21,57.0,12,0.607,36.591,49.1,0.119,1,3,0.642,3,1.007,28
5.097,8,395.93,9,7.5,28,1.9,32.073,1,5.7,4,27,34.0,6,53.542,60.259,54.0,9,19,53.0,10,0.605,33.83,49.1,0.13,1,3,0.638,3,1.01,26
5.444,8,403.34,9,8.0,26,4.0,30.879,2,4.0,4,26,32.0,6,50.763,56.705,50.0,9,18,50.0,9,0.618,32.682,48.0,0.18,2,3,0.654,2,1.015,24
4.991,8,389.31,9,8.5,25,4.3,29.352,2,4.3,4,25,31.0,6,47.88,53.289,47.0,9,17,47.0,8,0.625,30.921,46.8,0.213,2,3,0.658,2,1.019,22
5.569,7,429.62,9,6.1,33,0.0,38.352,0,4.5,4,31,39.0,6,65.752,74.976,68.0,9,24,66.0,15,0.581,41.017,53.0,0.118,0,3,0.621,3,0.996,35
5.208,10,455.53,9,6.7,34,5.0,36.448,3,5.0,4,32,40.0,6,61.523,69.164,62.0,9,22,60.0,13,0.607,37.307,46.7,0.113,0,3,0.622,3,1.025,28
5.538,8,403.34,9,8.0,26,4.0,30.879,2,4.0,4,26,32.0,6,50.763,56.705,50.0,9,18,50.0,9,0.618,32.682,48.0,0.18,2,3,0.654,2,1.015,24
6.523,8,481.46,9,6.5,35,3.2,38.459,2,3.2,4,32,41.0,6,62.414,69.95,65.0,9,24,62.0,15,0.62,40.966,48.4,0.138,2,3,0.661,2,1.007,30
5.155,7,394.94,9,7.4,28,1.9,32.578,1,3.7,4,27,34.0,6,54.323,61.176,55.0,9,20,54.0,11,0.603,34.586,50.0,0.127,1,3,0.64,2,1.006,27
