pXC50,nBT,Se,AMW,C.
5.113,46,45.131,9.264,46.5
7.523,39,38.447,8.327,42.1
6.076,31,29.727,8.767,51.7
4.523,44,41.687,8.947,46.3
4.523,44,41.363,8.107,46.3
4.775,32,31.055,9.008,50.0
5.378,15,14.735,9.724,35.7
5.975,33,32.382,9.234,48.4
4.938,33,32.382,9.234,48.4
4.438,43,42.36,8.399,43.9
5.623,35,35.036,9.644,45.5
4.061,18,17.844,9.597,41.2
4.502,20,20.516,8.209,45.0
4.423,51,47.803,7.03,43.8
4.184,48,44.92,7.187,44.4
4.325,53,49.905,7.049,42.0
4.248,49,46.803,6.924,42.6
4.085,52,49.131,7.213,42.9
4.162,49,46.247,7.379,43.5
4.201,46,43.363,7.567,44.2
4.137,55,52.014,7.067,42.3
4.272,50,48.131,7.113,41.7
4.037,51,48.349,7.384,41.7
4.354,54,51.232,7.225,41.2
4.523,55,51.338,8.254,45.1
4.523,25,24.611,8.468,41.7
5.305,36,34.818,6.953,40.0
5.788,37,35.894,7.65,38.9
5.613,34,33.011,7.921,39.4
5.678,37,36.145,7.204,38.9
6.222,37,36.145,7.204,38.9
5.034,35,34.589,7.686,38.2
4.782,38,36.363,7.565,38.9
6.509,35,33.051,7.979,48.5
5.438,38,35.934,7.704,47.2
5.607,36,34.378,8.215,47.1
4.699,41,41.894,8.584,37.5
5.173,39,38.247,7.22,36.8
5.717,41,40.574,7.559,37.5
6.022,41,40.356,7.234,37.5
6.854,39,39.018,8.009,36.8
7.699,38,37.363,7.685,40.5
4.282,77,76.491,8.364,37.0
4.963,16,15.509,9.01,33.3
4.678,27,26.284,7.393,42.3
4.027,23,23.4,7.748,43.5
5.18,32,31.055,9.008,50.0
5.086,20,19.96,9.376,47.4
4.441,56,55.764,8.762,39.6
4.0,73,71.742,8.617,43.5
4.301,19,19.516,8.008,42.1
4.42,30,28.4,8.509,53.6
6.155,32,31.055,9.008,50.0
4.996,34,33.709,9.445,46.9
4.0,30,28.4,8.509,53.6
4.673,29,28.371,7.402,32.1
5.745,32,31.055,9.008,50.0
4.0,37,36.149,8.294,42.9
5.9,22,21.022,10.512,35.0
5.348,31,29.789,9.46,41.4
4.0,30,30.556,8.078,30.0
4.109,33,32.444,9.882,38.7
4.395,22,21.022,10.512,35.0
4.0,28,26.789,9.165,34.6
5.684,27,25.578,9.772,44.0
6.051,25,23.655,10.45,34.8
4.437,35,32.345,8.887,43.8
5.364,33,32.382,9.234,48.4
4.0,23,21.796,9.965,33.3
4.0,24,23.385,7.749,34.8
4.301,19,19.516,8.008,42.1
4.0,36,35.593,8.949,44.1
5.6,37,36.593,9.037,45.7
4.519,16,15.509,9.01,33.3
4.0,26,25.058,7.93,44.0
4.992,19,18.716,10.201,33.3
4.732,72,70.414,8.508,44.1
4.0,79,78.047,8.115,37.3
4.0,24,23.393,9.097,47.8
5.213,78,77.818,8.467,36.5
4.71,73,69.76,8.391,47.1
4.0,27,26.385,8.24,42.3
4.924,76,75.164,8.258,37.5
4.0,90,87.72,8.526,45.9
4.0,75,74.935,8.627,36.6
6.745,30,29.698,9.973,42.9
5.178,40,39.127,8.588,39.5
4.0,25,25.047,9.551,41.7
4.0,23,22.498,9.939,45.5
4.708,31,29.487,8.32,41.4
4.015,46,45.571,8.235,40.9
4.796,49,48.454,8.008,40.4
4.775,37,35.822,8.18,45.7
4.376,75,72.636,6.311,37.0
4.0,38,37.476,8.508,41.7
4.672,43,41.894,7.535,42.9
4.528,20,20.844,8.408,40.0
4.444,41,40.804,8.88,43.6
5.553,34,33.709,9.445,46.9
4.092,30,28.931,9.116,42.9
4.83,76,75.164,8.258,37.5
4.0,26,26.596,10.089,44.0
5.186,79,79.145,8.568,36.0
4.0,72,70.414,8.508,44.1
6.398,28,26.494,9.087,46.2
4.0,75,74.935,8.627,36.6
4.0,79,79.145,8.568,36.0
4.761,30,28.16,8.046,42.9
5.127,26,25.829,9.129,44.0
4.734,72,71.829,8.487,37.7
4.376,75,72.636,6.311,37.0
5.658,29,28.149,9.491,40.7
4.702,36,36.025,8.552,40.0
4.098,66,63.971,7.75,37.1
4.0,61,60.204,8.215,39.7
4.0,68,68.727,8.463,37.9
4.783,50,46.854,7.159,42.6
4.0,37,36.149,8.294,42.9
4.505,35,34.138,6.921,32.4
4.809,21,22.171,8.77,38.1
4.034,17,16.585,10.451,31.3
4.0,49,48.127,7.923,42.6
4.523,32,30.284,8.009,50.0
5.114,40,39.476,8.692,44.7
4.0,53,52.338,7.891,41.2
4.416,55,54.436,8.623,40.4
4.613,22,20.771,11.316,35.0
5.554,32,31.055,9.008,50.0
6.796,35,34.44,7.894,32.4
6.31,45,42.88,7.639,39.5
4.0,30,29.153,7.113,34.5
4.032,35,32.345,8.887,43.8
5.244,30,28.462,9.226,42.9
4.175,25,23.905,9.751,34.8
4.0,33,33.44,7.769,30.3
5.85,35,36.018,7.666,31.4
4.569,32,31.254,7.139,32.3
5.411,28,27.345,8.308,33.3
4.0,21,20.502,8.209,35.0
5.672,32,33.134,7.946,31.3
4.0,27,26.269,7.394,34.6
4.0,28,27.814,8.194,33.3
4.0,28,26.538,9.783,34.6
5.73,22,20.771,11.316,35.0
5.955,38,38.902,7.43,31.6
5.545,31,30.229,7.945,33.3
6.939,34,33.113,7.648,33.3
4.0,36,36.323,7.511,30.6
4.9,32,32.363,7.009,31.3
6.481,25,23.905,9.751,34.8
4.024,84,81.73,6.448,37.8
4.301,34,32.938,8.508,46.9
