pXC50,CATS2D_03_DD,CATS2D_01_DD,nN.N,P_VSA_v_2,SAacc,P_VSA_p_2,O.057,CATS2D_03_DA,Eig08_AEA.dm.,SaasC,Psi_e_A,Psi_i_A,SpMax3_Bh.s.,SpMax4_Bh.s.,P_VSA_LogP_4,SpMax2_Bh.s.,nBeta.Lactams,TPSA.NO.,SsssCH,P_VSA_e_5,SdssC,ATS5s,Hy,P_VSA_e_3,CATS2D_04_DA,nDB,P_VSA_s_6,P_VSA_m_3,D.Dtr04,Eig07_AEA.dm.,ATSC1e,SsOH,O.,MATS1s,CATS2D_05_DL,NsOH,TPSA.Tot.,MAXDN,SAdon,nR04,nHDon,CATS2D_07_DL,H.050,MATS1i,CATS2D_02_DL,CATS2D_03_DL,P_VSA_s_5,CATS2D_04_DL,NssNH,Eig09_AEA.dm.,Eig05_AEA.dm.,ALOGP2,Eig10_AEA.dm.,GGI3,Me,CATS2D_06_DL,MATS1p,SpMax5_Bh.s.,C.009,N.072,ATS4s,CATS2D_09_DL,ATS4m,Eig06_AEA.dm.,ATSC1s,NdssC,nArOH,nN.CO.2,CATS2D_02_DA,ATSC3e,SM03_EA.ri.,CATS2D_05_DA,MATS1m,GGI4,SpAD_EA.dm.,ATSC5s,P_VSA_MR_2,Eig06_AEA.ed.,MATS1v,nHAcc,C.008,Eig04_EA.dm.,SpMax1_Bh.s.,Eig07_EA.dm.,JGI2,ATSC4e,ATS5e,nHet,AAC,IC0,MAXDP,Eig11_AEA.dm.,PDI,Ram,BIC3,Eta_epsi_A,ATS6s,ATSC3s,SssNH,Eig03_AEA.dm.,Eta_sh_p,P_VSA_i_4,CATS2D_08_DL,BAC,BIC0,SdS,BIC4,Eig05_EA.ed.,SM14_AEA.dm.,DELS,SM05_EA,Eig12_AEA.dm.,CATS2D_05_DN,ATSC4s,H.054,SIC0,GGI5,ATS3m,SssCH2,SM05_EA.ri.,BIC5,CATS2D_06_DA,Eig06_EA.ed.,SM15_AEA.dm.,SIC4,SM06_EA.ri.,Eig03_EA.dm.,SpMax7_Bh.s.,ATS4v,P_VSA_MR_8,H.047,Eig13_AEA.dm.,SpDiam_EA.ed.,MLOGP2,Eig05_EA.dm.,ALOGP,SM03_EA,CATS2D_02_AN,BLTA96,BLTD48,BLTF96,MLOGP
5.207,0,0,0,18.685,16.786,18.685,0,0,1.378,4.01,7.541,2.041,4.751,4.688,48.946,4.888,0,17.82,0.0,0.0,0.0,6.026,-0.869,18.685,0,0,55.934,0.0,0.0,1.38,0.021,0.0,0.0,-0.048,0,0,17.82,1.836,0.0,0,0,0,0,-0.109,0,0,0.0,0,0,1.14,1.948,27.279,1.0,2.778,0.99,0,-0.021,4.338,0,0,5.743,0,4.248,1.636,7.5,0,0,0,0,0.099,3.871,0,0.031,1.443,3.621,29.016,0.0,4.0,0.01,1,0,0.0,5.014,0.0,0.08,0.187,4.911,3,1.354,1.354,2.58,1.0,1.012,7,0.684,0.573,6.138,20.873,0.0,2.361,0.057,18.685,0,2.0,0.233,0.0,0.756,4.315,4.315,9.904,6.781,0.623,0,20.009,0,0.251,0.494,4.022,0.0,6.607,0.771,0,3.229,3.229,0.816,8.143,0.0,3.674,4.191,0.0,14,0.618,25.633,24.255,0.0,5.223,4.007,0,-6.15,-6.0,-5.58,4.925
6.529,0,0,0,193.785,193.785,148.905,1,1,2.111,-3.452,8.517,3.017,8.191,7.48,115.802,8.201,0,101.45,-0.169,92.973,-3.219,6.254,0.994,55.931,2,3,187.536,137.854,0.0,2.575,0.301,9.332,6.8,-0.067,1,1,101.45,3.233,75.581,0,3,3,3,-0.093,2,0,0.0,1,0,2.027,2.895,6.311,1.601,2.722,1.048,2,0.02,7.422,0,0,6.418,2,4.244,2.731,49.834,3,0,0,1,1.071,4.217,1,-0.007,2.498,6.073,177.528,116.515,5.278,0.049,10,1,0.0,8.212,0.0,0.088,1.447,4.702,10,1.895,1.895,6.713,1.359,0.988,13,0.909,0.728,6.262,151.773,0.0,3.313,0.174,100.812,0,51.0,0.326,0.0,0.909,6.807,6.807,69.74,6.804,1.131,0,228.212,0,0.347,1.757,4.223,1.41,6.582,0.909,1,6.47,6.47,0.967,7.97,0.8,5.01,3.985,0.0,9,0.815,19.494,8.955,0.0,2.512,4.369,0,-4.22,-4.16,-3.93,2.992
7.222,2,0,0,185.33,185.33,185.33,0,4,2.103,0.0,7.967,2.467,6.435,6.386,40.849,6.517,0,102.26,-6.487,164.195,-0.147,6.36,1.771,21.135,1,1,203.343,164.195,0.0,2.476,0.104,30.623,8.3,-0.132,5,3,127.56,2.695,146.061,0,4,4,4,-0.099,0,4,18.011,2,1,1.718,2.868,1.912,1.397,2.882,1.006,3,0.037,4.739,1,1,6.341,3,4.314,2.583,22.645,1,0,0,1,1.139,3.982,0,0.024,2.331,14.133,153.499,95.772,5.063,0.022,7,7,0.751,7.428,0.0,0.1,1.192,5.258,9,1.655,1.655,5.901,1.363,0.814,11,0.892,0.573,6.301,136.316,2.932,3.401,0.311,21.135,2,92.0,0.278,0.0,0.911,6.605,6.605,47.284,6.635,1.075,0,141.538,0,0.28,1.295,4.299,3.859,6.297,0.916,1,5.468,5.468,0.918,7.636,0.815,4.373,4.177,32.22,15,1.037,18.77,0.061,0.163,1.383,4.205,0,-1.48,-1.55,-1.6,0.247
5.431,0,0,0,44.571,27.785,44.571,0,0,1.751,2.999,7.81,2.31,4.73,4.52,16.786,5.028,0,37.91,0.0,11.0,0.0,5.13,-0.197,33.571,1,0,145.231,11.0,0.0,2.068,0.112,0.0,3.3,-0.15,1,0,63.21,1.315,16.786,0,1,2,1,-0.052,2,1,16.786,0,0,1.321,2.55,35.789,1.047,1.854,1.033,1,0.029,4.397,0,0,5.345,0,3.913,2.297,4.833,0,0,0,1,0.515,3.466,0,-0.006,1.338,7.62,20.411,11.0,4.638,0.025,2,0,0.0,5.143,0.0,0.081,0.502,3.948,7,1.954,1.954,2.269,0.455,1.01,8,0.892,0.71,5.164,29.97,0.0,3.255,0.238,33.571,2,18.0,0.367,0.0,0.892,5.547,5.547,20.664,6.293,0.164,0,31.069,0,0.398,0.698,4.212,0.0,5.683,0.892,0,4.891,4.891,0.968,7.135,0.0,3.891,3.476,32.22,8,0.039,16.748,17.899,0.0,5.982,3.892,0,-5.46,-5.34,-4.99,4.231
4.934,0,0,0,118.05,101.265,118.05,0,0,1.396,3.397,7.616,2.116,4.919,4.317,33.571,4.967,0,91.98,0.0,0.0,0.329,5.47,1.822,118.05,4,1,83.254,0.0,0.0,1.546,0.048,0.0,0.0,-0.208,2,0,91.98,1.338,67.693,0,4,2,4,-0.136,4,4,34.796,3,1,1.13,2.147,7.127,0.694,1.979,0.995,9,0.003,4.188,0,0,5.528,1,3.58,2.025,9.109,1,0,0,2,0.198,3.636,0,0.03,0.716,3.002,35.368,23.542,4.618,0.033,5,0,0.0,5.189,0.0,0.059,0.242,4.543,6,1.439,1.439,1.909,0.198,1.005,7,0.824,0.57,5.3,24.16,3.107,2.759,0.128,118.05,2,10.0,0.25,0.0,0.832,4.973,4.973,14.561,6.089,-0.075,0,30.36,0,0.265,0.511,3.657,1.552,5.899,0.832,0,4.963,4.963,0.882,7.355,0.0,3.986,3.634,0.0,7,-0.11,16.912,4.901,0.0,2.67,3.761,0,-3.44,-3.42,-3.27,2.214
5.638,0,0,0,165.14,165.14,165.14,1,1,2.2,2.004,8.206,2.706,7.427,6.351,128.437,7.431,0,104.73,0.0,129.118,-2.04,6.042,0.908,36.022,1,3,207.415,129.118,0.0,2.542,0.203,9.198,10.6,-0.104,2,1,104.73,2.809,78.705,0,3,2,3,0.022,6,7,36.022,6,2,1.887,2.767,19.196,1.538,2.063,1.033,4,0.052,5.05,0,2,6.082,2,4.199,2.628,22.441,3,0,0,3,0.81,3.954,0,-0.014,1.698,11.117,113.182,129.118,4.928,0.052,7,0,0.892,7.475,0.0,0.084,0.804,4.642,9,1.773,1.773,5.404,1.371,0.955,10,0.864,0.692,6.096,84.448,5.207,3.538,0.185,36.022,5,38.0,0.299,0.0,0.891,5.867,5.867,47.202,6.431,1.312,0,79.236,0,0.319,1.104,4.225,-0.268,6.222,0.901,2,5.502,5.502,0.951,7.672,1.058,4.69,3.899,0.0,13,1.0,16.482,9.676,0.141,4.381,4.111,0,-4.34,-4.28,-4.03,3.111
4.743,0,0,0,223.753,218.083,178.873,0,3,2.668,-1.246,8.615,3.115,7.999,7.815,92.035,7.999,0,130.32,-1.59,137.182,-2.74,6.642,0.253,41.692,0,5,221.211,182.062,0.0,2.788,0.42,0.0,10.5,-0.06,4,0,130.32,5.935,36.022,0,2,2,2,0.009,2,6,36.022,5,2,2.057,3.523,29.245,1.899,3.063,1.052,3,0.035,7.439,0,2,6.51,5,4.392,3.139,58.863,3,0,0,2,1.253,4.357,1,0.007,2.538,26.657,295.761,131.315,5.098,0.024,11,1,2.133,8.513,0.162,0.097,1.723,4.983,13,1.941,1.941,5.975,1.826,0.951,14,0.866,0.739,6.476,160.024,4.54,3.805,0.216,86.572,3,105.0,0.314,0.0,0.881,8.351,8.351,87.233,6.995,1.756,0,252.745,0,0.333,1.625,4.428,-0.671,6.654,0.881,2,6.119,6.119,0.935,8.038,2.537,7.424,4.167,0.0,14,1.441,18.708,19.66,1.068,5.408,4.575,0,-5.66,-5.53,-5.16,4.434
5.05,0,0,0,79.774,77.875,79.774,0,0,1.525,4.69,7.539,2.039,4.772,4.721,116.707,4.953,0,68.77,0.0,9.507,0.0,5.799,-0.382,70.266,3,0,59.864,9.507,0.0,1.644,0.016,0.0,2.0,0.035,3,0,68.77,1.084,18.011,0,1,3,1,-0.209,2,1,18.011,1,1,1.335,2.206,15.166,1.248,1.854,0.998,4,-0.076,4.541,0,0,5.762,0,4.044,1.816,8.787,0,0,0,1,0.136,3.821,0,0.071,1.661,0.8,27.149,33.05,4.682,-0.006,5,0,0.0,5.229,0.0,0.048,0.369,4.793,6,1.479,1.479,2.742,1.0,1.042,8,0.79,0.59,5.905,21.955,3.48,2.645,0.0,70.266,1,0.0,0.242,0.0,0.834,6.244,6.244,16.419,6.431,1.0,0,31.127,0,0.261,0.831,3.992,2.629,6.33,0.853,1,4.698,4.698,0.896,7.878,0.0,3.887,4.042,0.0,14,1.0,19.879,20.846,0.0,3.894,3.892,0,-5.8,-5.66,-5.27,4.566
6.379,0,0,0,68.367,68.367,68.367,0,0,1.218,3.431,7.542,2.042,4.751,4.436,80.138,4.826,0,50.7,0.0,0.0,0.0,5.383,-0.383,68.367,1,0,50.357,0.0,0.0,1.433,0.025,0.0,0.0,-0.078,3,0,50.7,1.037,18.011,0,1,1,1,-0.115,2,3,18.011,4,1,1.058,1.832,17.786,1.0,0.875,0.993,1,-0.016,4.164,0,0,5.457,0,3.652,1.606,6.193,0,0,0,1,0.153,3.512,1,0.054,1.009,1.315,21.712,0.0,3.896,0.019,4,0,0.0,5.094,0.0,0.056,0.183,4.377,4,1.361,1.361,1.701,1.0,1.043,6,0.821,0.58,5.359,22.362,3.435,2.675,0.0,68.367,0,0.0,0.236,0.0,0.879,4.677,4.677,11.909,6.043,0.669,0,23.796,0,0.256,0.66,3.774,0.712,5.87,0.879,0,3.273,3.273,0.953,7.445,0.0,3.802,3.66,0.0,14,-0.097,17.408,15.783,0.0,4.217,3.611,0,-5.2,-5.09,-4.77,3.973
5.569,0,0,0,18.685,16.786,18.685,0,0,1.609,4.391,7.66,2.16,4.933,4.627,48.946,4.948,0,17.82,0.194,0.0,0.0,5.338,-0.74,18.685,0,0,134.231,0.0,0.0,2.106,0.023,0.0,0.0,-0.014,0,0,43.12,1.139,0.0,0,0,0,0,-0.124,0,0,0.0,0,0,1.3,2.659,32.785,1.0,1.285,1.008,0,-0.001,4.333,0,0,5.47,0,4.225,2.554,4.842,0,0,0,0,0.203,3.359,0,0.014,1.031,8.18,24.168,0.0,4.694,0.002,1,1,0.0,5.022,0.0,0.07,0.311,4.464,6,1.685,1.685,2.316,0.678,0.982,7,0.837,0.626,5.483,24.278,0.0,3.012,0.168,18.685,0,10.0,0.299,0.0,0.872,5.691,5.691,14.714,6.089,0.618,0,33.879,0,0.319,0.66,4.111,1.662,5.57,0.884,0,4.847,4.847,0.928,7.096,0.0,3.815,3.793,32.22,12,0.519,16.813,27.556,0.0,5.726,3.761,0,-6.48,-6.31,-5.85,5.249
