pXC50,SM05_AEA.bo.,SM04_EA.bo.,P_VSA_s_3,SM03_AEA.bo.,SM04_AEA.bo.,SM06_AEA.bo.,SM07_AEA.bo.,SM08_AEA.bo.,X4A,Eig07_AEA.bo.,Eig08_AEA.ed.,ATS2m,ATS3m,piPC02,SM02_EA.bo.,ZM1Mad,ZM2Mad,Eig04_EA.bo.,Eta_F,SM14_AEA.ri.,Eig07_EA.bo.,Eta_sh_y,GGI10,IDE,SMTIV,ZM2MulPer,ZM2V,SM02_AEA.bo.,ATS2s,CATS2D_03_AL,Eig06_AEA.ed.,Eig06_EA.ed.,Eig06_EA.ri.,SM04_EA,SM15_AEA.dm.,Vindex,Xindex,Yindex,ZM1MulPer,ZM1Per,ZM1V,AECC,Eig05_AEA.ri.,Eig08_EA.ed.,HVcpx,SM03_AEA.ri.,Eig09_AEA.bo.,ATS1m,ZM2Per,MSD,SM06_AEA.ed.,UNIP,DLS_04,GMTIV,MW,O.060,P_VSA_LogP_5,S1K,ZM1Kup,Eig08_AEA.bo.,Psi_i_s,SM02_AEA.ed.,SM03_AEA.ed.,SM04_AEA.ed.,SM05_AEA.ed.,SM06_EA,GATS1i,X3A,Eig04_AEA.bo.,Eig04_AEA.ri.,Eig04_EA,Eig05_EA.ri.,SM12_AEA.bo.,X4sol,Eig07_EA,Eig08_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,Eig13_EA.bo.,Eig13_EA.ed.,Eig15_AEA.bo.,Eig15_AEA.ri.,Eig15_EA,Eig15_EA.bo.,Eig15_EA.ed.,Eig15_EA.ri.,GATS6e,IDET,IDMT,LPRS,piPC01,piPC03,S3K,SCBO,SM08_AEA.ri.,SM09_AEA.dm.,SM10_AEA.ri.,SM15_AEA.bo.,X0,X1sol,X1v,X4,XMOD,Eig12_AEA.ed.,piID,Eta_FL,ZM2Kup,Dz,Eig07_AEA.dm.,Eta_beta,Eta_epsi,MATS6m,ON0,SM02_EA.ed.,SpAD_EA.bo.,SpAD_EA.ed.,SPI,SRW06,SRW08,X2,D.Dtr09,DELS,AAC
7.553,9.256,7.322,16.281,6.43,7.831,10.703,12.165,13.638,0.112,3.6,5.195,4.545,4.617,4.398,5.085,335.163,399.29,3.39,38.328,3.39,2.799,0.316,0.383,3.765,31305.0,724.285,673.0,5.131,6.595,0,5.966,8.144,2.273,6.569,8.144,0.215,0.339,0.585,793.202,1024.81,718.0,12.061,3.732,5.927,3.506,5.927,2.919,4.261,1089.71,7.407,13.277,148.0,0.5,68726.0,538.26,0,23.769,26.717,836.888,3.112,111.417,6.192,7.853,9.615,11.431,8.709,2.023,0.166,4.148,4.001,3.055,2.727,3.055,14.591,2.251,2.187,1.757,1.574,0.729,0.608,1.274,0.007,0.016,1.0,0.721,-0.216,-0.233,-0.734,-0.208,0.774,1987.76,29629.6,174.952,3.773,4.704,6.222,42.5,0.016,-0.216,-0.734,2.251,24.93,17.629,13.185,10.63,124.296,3.792,9.233,6.925,638.23,81.5,2.744,35.75,40.933,-0.06,20.083,7.138,64.666,177.484,26.405,7.255,8.895,16.831,149.012,87.727,2.077
4.81,9.028,7.211,21.572,6.31,7.654,10.432,11.857,13.298,0.105,3.151,4.802,4.237,4.246,4.366,5.053,230.906,271.891,3.237,33.315,3.237,2.277,0.374,0.247,3.558,21873.0,549.287,515.0,5.074,6.188,0,5.254,6.35,2.035,6.347,6.35,0.205,0.314,0.588,584.953,771.38,538.0,10.742,3.367,4.854,3.364,4.854,2.806,3.922,819.57,6.473,12.965,116.0,0.8,42792.0,454.4,0,26.955,22.228,618.422,2.974,87.972,6.057,7.67,9.385,11.157,8.373,1.579,0.171,3.917,3.536,2.555,2.273,2.555,9.956,1.898,2.042,2.238,1.883,1.177,0.877,1.752,0.719,1.7,1.162,0.843,-0.021,-0.022,-0.051,-0.018,0.905,1654.66,22818.5,158.555,3.773,4.829,4.631,42.5,1.7,-0.021,-0.051,1.898,22.336,15.564,10.817,9.646,103.282,3.421,10.105,7.31,522.395,72.167,2.363,36.25,35.933,-0.033,16.917,6.944,63.912,160.002,19.259,7.155,8.782,14.672,125.188,59.837,1.906
5.0,9.075,7.263,25.073,6.349,7.698,10.48,11.903,13.343,0.104,3.41,4.914,4.316,4.332,4.404,5.091,252.425,288.65,3.24,34.262,3.24,2.676,0.39,0.302,3.62,25191.0,585.798,549.0,5.104,6.209,0,5.268,6.509,2.054,6.389,6.509,0.201,0.309,0.573,647.046,842.73,594.0,11.313,3.367,5.699,3.425,5.699,2.915,3.977,872.83,6.707,12.997,124.0,0.8,51907.0,488.84,0,30.455,23.469,652.625,3.094,91.75,6.098,7.713,9.426,11.194,8.406,1.574,0.172,4.015,3.594,2.63,2.273,2.63,10.264,2.045,2.176,2.239,1.885,1.179,0.878,1.752,0.719,1.7,1.242,0.861,-0.009,-0.01,-0.023,-0.008,0.903,1795.73,25407.3,165.749,3.795,4.865,4.979,43.5,1.7,-0.009,-0.023,2.045,23.206,16.246,11.294,9.788,108.82,3.421,10.223,7.383,549.258,74.5,2.625,37.0,37.019,-0.082,17.75,6.984,65.905,166.685,21.228,7.194,8.82,15.294,131.247,63.63,2.017
4.264,9.08,7.269,25.073,6.349,7.7,10.489,11.918,13.362,0.104,3.165,4.811,4.316,4.366,4.404,5.091,252.425,291.601,3.239,34.344,3.239,2.285,0.39,0.264,3.574,24580.0,586.632,550.0,5.104,6.207,0,5.329,6.658,2.047,6.395,6.658,0.205,0.314,0.589,646.892,843.31,594.0,10.813,3.367,5.054,3.373,5.054,2.866,3.977,875.9,6.567,13.031,122.0,0.8,50211.0,488.84,0,30.455,23.469,652.625,2.977,91.75,6.103,7.724,9.445,11.221,8.426,1.574,0.171,4.126,3.733,2.79,2.273,2.79,10.49,1.899,2.051,2.239,1.883,1.178,0.877,1.752,0.719,1.7,1.241,0.861,-0.009,-0.01,-0.023,-0.008,0.909,1772.77,24989.0,165.235,3.795,4.876,4.832,43.5,1.7,-0.009,-0.023,1.899,23.206,16.263,11.3,9.927,108.921,3.599,10.26,7.398,550.258,74.5,2.469,37.0,37.019,-0.024,17.75,6.997,65.916,167.122,21.055,7.198,8.831,15.189,129.012,64.34,2.017
4.854,8.865,6.979,16.281,6.105,7.471,10.285,11.724,13.178,0.104,2.919,4.636,4.08,4.083,4.115,4.8,198.573,234.392,2.967,24.323,2.967,1.979,0.43,0.161,3.316,12825.0,473.996,443.0,4.846,6.083,0,5.195,5.924,1.788,6.201,5.924,0.256,0.389,0.74,517.894,675.23,474.0,8.8,3.158,4.556,3.104,4.556,2.237,3.765,710.14,5.561,12.879,82.0,0.7,26092.0,378.3,0,23.769,18.592,554.422,2.713,76.806,5.889,7.529,9.267,11.057,8.267,1.909,0.168,3.707,3.367,2.428,2.038,2.428,8.1,1.652,1.723,1.006,0.736,-0.204,-0.165,0.747,-0.556,-1.165,0.544,0.07,-0.86,-0.979,-2.5,-0.79,0.917,994.931,11683.4,118.484,3.512,4.547,3.54,32.5,-1.165,-0.86,-2.5,1.652,18.516,12.508,8.699,7.79,85.032,2.71,8.74,5.391,450.114,60.167,2.213,26.75,30.533,-0.058,14.583,6.806,49.75,133.796,17.68,6.969,8.609,12.149,98.738,55.652,1.984
4.246,9.075,7.263,25.073,6.349,7.698,10.48,11.904,13.344,0.105,3.322,4.85,4.316,4.332,4.404,5.091,252.425,288.65,3.239,34.3,3.239,2.552,0.39,0.3,3.592,24885.0,585.934,549.0,5.104,6.21,0,5.288,6.591,2.051,6.389,6.591,0.203,0.312,0.581,647.11,842.75,594.0,10.844,3.367,5.441,3.388,5.441,2.912,3.977,873.1,6.634,12.998,123.0,0.8,51059.0,488.84,0,30.455,23.469,652.625,3.08,91.75,6.098,7.713,9.426,11.195,8.408,1.574,0.17,4.042,3.621,2.662,2.273,2.662,10.575,1.966,2.165,2.238,1.883,1.177,0.877,1.752,0.719,1.7,1.167,0.843,-0.021,-0.022,-0.052,-0.018,0.896,1781.63,25200.2,165.499,3.795,4.865,4.979,43.5,1.7,-0.021,-0.052,1.966,23.206,16.246,11.294,9.997,108.82,3.483,10.232,7.383,549.258,74.5,2.584,37.0,37.019,-0.007,17.75,6.986,65.745,166.317,21.147,7.194,8.822,15.305,130.032,63.904,2.017
7.301,10.231,8.179,197.254,7.662,8.936,11.554,12.892,14.243,0.126,4.076,6.205,5.623,5.778,5.638,6.33,872.041,943.244,3.336,269.107,3.336,3.276,0.356,3.182,5.573,1783690.0,2046.84,1916.0,6.504,7.541,19,6.232,9.292,2.895,7.612,9.292,0.176,0.289,0.449,2457.85,3109.04,2250.0,44.34,3.953,9.104,5.328,9.104,3.999,5.276,2942.6,24.559,14.049,2314.0,0.6,3123530.0,2242.02,0,56.728,140.245,2580.02,4.048,432.222,7.405,8.956,10.605,12.309,9.445,1.539,0.196,4.13,3.974,2.992,2.913,2.992,36.957,2.917,3.253,3.924,3.723,3.098,2.698,3.893,3.05,8.35,3.81,3.609,2.614,2.975,7.974,2.592,1.117,67380.1,3371540.0,1258.43,5.242,5.864,52.86,188.0,8.35,2.614,7.974,2.917,117.457,74.499,53.519,36.439,477.635,6.01,10.549,28.056,2048.57,353.5,3.841,146.75,190.333,-0.034,93.0,8.174,264.073,633.838,145.375,8.511,10.04,66.233,0.0,387.865,1.684
4.307,9.081,7.267,27.607,6.362,7.707,10.484,11.906,13.343,0.106,3.421,4.896,4.334,4.348,4.416,5.103,256.425,292.483,3.24,34.503,3.24,2.701,0.377,0.35,3.711,27725.0,589.481,553.0,5.122,6.228,0,5.324,6.699,2.084,6.399,6.699,0.193,0.299,0.541,651.033,848.41,598.0,12.061,3.368,5.696,3.503,5.696,2.951,3.999,877.65,7.087,12.998,135.0,0.7,56282.0,502.87,0,30.455,24.437,656.625,3.148,93.25,6.111,7.722,9.431,11.197,8.409,1.572,0.174,4.012,3.591,2.621,2.274,2.621,10.396,2.088,2.243,2.244,1.896,1.188,0.889,1.877,0.782,1.702,1.273,0.885,-0.005,-0.006,-0.013,-0.005,0.965,1959.48,28728.8,173.636,3.818,4.872,5.362,44.5,1.702,-0.005,-0.013,2.088,23.913,16.746,11.794,9.92,111.82,3.421,10.241,7.407,553.258,76.5,2.602,37.5,38.319,-0.102,18.25,6.989,67.202,169.305,21.778,7.209,8.83,15.635,138.377,63.886,1.985
5.272,9.087,7.271,30.142,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.352,4.365,4.428,5.115,260.425,296.483,3.24,34.744,3.24,2.707,0.365,0.444,3.802,30459.0,593.641,557.0,5.14,6.246,0,5.344,6.737,2.097,6.409,6.737,0.185,0.289,0.511,655.194,854.17,602.0,12.824,3.368,5.696,3.574,5.696,2.961,4.02,883.37,7.489,13.0,147.0,0.7,60925.0,516.9,0,30.455,25.406,660.625,3.168,94.75,6.125,7.731,9.437,11.2,8.414,1.571,0.175,4.011,3.59,2.619,2.274,2.619,10.615,2.107,2.263,2.28,2.0,1.253,1.0,2.202,1.139,2.275,1.378,1.091,0.156,0.179,0.37,0.134,0.94,2132.71,32387.8,181.637,3.839,4.88,5.771,45.5,2.275,0.156,0.37,2.107,24.621,17.246,12.294,10.139,114.82,3.474,10.258,7.407,557.258,78.5,2.59,38.0,39.619,-0.074,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,64.129,1.955
4.367,9.041,7.22,28.222,6.335,7.672,10.44,11.862,13.3,0.107,3.175,4.811,4.285,4.291,4.391,5.078,242.449,283.102,3.24,35.392,3.24,2.273,0.353,0.366,3.736,27231.0,582.459,547.0,5.11,6.24,2,5.325,6.729,2.091,6.368,6.729,0.189,0.294,0.527,626.365,825.7,578.0,12.121,3.368,5.067,3.51,5.067,2.917,3.976,868.19,7.211,12.968,137.0,0.8,53310.0,484.43,1,40.013,24.122,670.157,2.976,92.972,6.084,7.688,9.396,11.163,8.38,1.63,0.174,3.897,3.469,2.525,2.274,2.525,10.306,1.899,2.1,2.263,1.968,1.224,0.957,2.174,1.111,2.136,1.301,0.958,0.031,0.036,0.08,0.029,0.884,1972.35,29176.8,174.141,3.818,4.845,5.394,44.5,2.136,0.031,0.08,1.899,23.75,16.564,11.456,9.997,110.19,3.422,10.145,7.752,559.85,77.167,2.46,38.25,38.7,-0.03,17.917,6.957,66.518,165.213,20.232,7.186,8.802,15.367,139.124,64.277,1.892
