pXC50,NNRS,RCI,Eig02_AEA.bo.,RFD,Eig02_AEA.dm.,SM03_AEA.bo.,SM04_AEA.bo.,Eig02_AEA.ri.,Eig04_AEA.bo.,Eig02_EA,SM10_AEA.bo.,piPC02,SM02_EA.bo.,P_VSA_LogP_4,P_VSA_e_2,SM02_AEA.bo.,Eig02_EA.bo.,SM12_AEA.ri.,X2sol,TIE,Eig02_EA.ri.,Eig04_EA.bo.,SM14_AEA.ri.,ATS7m,SpAD_EA.bo.,Rperim,SpMax2_Bh.m.,SM02_EA.ri.,X0sol,SpMax3_Bh.m.,MW,Eta_alpha,SpMax8_Bh.s.,Eig04_AEA.ri.,IDDM,Eig09_AEA.dm.,XMOD,SM05_AEA.bo.,SpMax2_Bh.e.,P_VSA_p_3,P_VSA_v_3,HDcpx,SpAD_EA.ri.,SpMax4_Bh.m.,X2v,Eig09_AEA.ed.,X2,P_VSA_i_2,NRS,Eig11_AEA.bo.,nC..N.N2,Eig08_AEA.ed.,Eig08_AEA.bo.,SpAD_AEA.ri.,SpMax6_Bh.v.,piPC01,SCBO,SMTIV,Eig14_AEA.ed.,SpMaxA_EA.bo.,Eig14_AEA.bo.,ATS1m,Eta_betaP,SpMin2_Bh.i.,Eig04_EA,SM12_AEA.bo.,Eig08_EA.ri.,SpAD_AEA.bo.
4.034,0.75,1.091,4.015,0.091,3.703,6.195,7.479,3.828,3.583,2.822,2.822,4.357,5.043,92.25,150.387,5.019,3.614,3.614,14.254,55.908,2.831,3.01,3.01,3.903,63.569,22,3.996,4.454,22.631,3.8,455.07,15.481,4.014,3.4,4.925,1.525,98.847,8.796,3.944,189.535,189.535,1.729,47.731,3.616,8.992,3.859,13.437,111.823,3,2.491,0,4.213,2.889,50.1,3.17,3.795,43.5,24808.0,3.136,0.131,1.75,3.755,18.5,1.894,2.409,2.409,1.5,50.098
4.102,0.143,1.5,4.48,0.667,3.502,6.652,7.98,4.17,4.053,3.196,3.196,4.779,5.468,85.367,198.245,5.434,4.127,4.127,19.771,82.513,3.115,3.637,3.637,4.855,94.437,30,3.954,4.914,30.534,3.861,594.76,20.8,4.409,3.704,5.447,2.433,134.265,9.338,4.001,198.245,198.245,1.832,72.219,3.783,12.082,5.32,19.771,198.245,1,3.235,0,5.513,3.516,75.854,3.376,4.143,62.0,41339.0,4.352,0.086,2.5,4.07,27.0,1.958,2.766,2.766,2.108,76.042
5.258,1.0,1.0,3.966,0.0,3.357,6.249,7.506,3.777,3.89,2.823,2.823,4.388,5.075,29.85,178.896,5.103,3.535,3.535,13.584,79.597,2.694,3.109,3.109,4.089,68.969,24,3.851,4.561,22.719,3.772,476.66,16.705,4.003,3.467,5.098,1.65,105.98,8.791,3.931,178.896,178.896,1.763,53.572,3.755,9.359,4.021,14.828,178.896,4,2.5,0,4.22,2.945,55.277,3.347,3.892,48.0,32406.0,3.333,0.1,2.147,3.792,19.5,1.896,2.501,2.501,1.633,55.678
8.2,1.0,1.0,4.01,0.0,2.942,6.289,7.535,3.782,3.839,2.811,2.811,4.425,5.112,29.85,188.887,5.156,3.459,3.459,16.022,72.464,2.725,3.125,3.125,4.075,73.141,23,3.838,4.642,26.581,3.79,511.82,18.533,3.981,3.521,5.212,1.797,113.816,8.811,3.918,188.887,188.887,1.783,58.304,3.728,11.114,4.098,16.022,188.887,4,2.5,0,4.363,2.966,59.32,3.345,3.951,51.0,35968.0,3.414,0.096,2.459,3.86,19.5,1.89,2.524,2.524,1.608,59.426
4.034,0.5,1.2,4.039,0.2,2.9,6.081,7.393,3.612,3.623,2.65,2.65,4.331,5.017,16.786,147.324,4.864,3.798,3.798,10.227,25.292,2.548,3.056,3.056,3.419,56.304,20,3.833,4.259,16.355,3.686,314.41,11.633,3.674,3.213,4.552,1.247,72.811,8.75,3.892,147.324,147.324,1.672,38.661,3.303,5.603,3.534,10.227,147.324,2,2.155,0,3.594,2.747,39.866,2.943,3.664,38.0,9206.0,2.404,0.175,1.055,3.429,21.0,1.846,2.276,2.276,1.24,39.963
4.034,1.0,1.0,4.199,0.0,3.776,6.081,7.379,3.969,3.535,3.01,3.01,4.086,4.771,65.994,110.376,4.924,3.41,3.41,12.307,71.658,2.876,2.72,2.72,3.834,53.827,17,3.782,4.411,21.562,3.696,416.59,13.9,4.001,3.304,4.875,1.562,92.757,8.717,3.842,110.376,110.376,1.73,44.829,3.479,7.718,3.802,12.307,110.376,3,2.052,0,3.905,2.832,46.686,3.088,3.664,38.0,17689.0,2.754,0.119,1.475,3.683,10.5,1.767,2.373,2.373,1.205,47.436
4.034,1.0,1.0,4.319,0.0,3.457,6.541,7.845,3.967,3.997,3.024,3.024,4.712,5.4,45.06,199.825,5.324,3.924,3.924,20.219,75.933,2.831,3.603,3.603,4.737,87.024,29,4.075,4.654,31.225,4.06,652.26,20.919,4.488,3.52,5.294,2.497,136.72,9.18,3.949,434.717,434.717,1.806,59.099,3.951,11.939,4.856,17.844,199.825,5,2.947,0,4.96,3.459,66.582,3.254,4.086,58.5,46207.0,3.584,0.09,2.5,4.099,27.0,1.907,2.598,2.598,1.774,66.533
9.0,1.0,1.0,4.032,0.0,3.368,5.99,7.262,3.624,3.549,2.671,2.671,4.178,4.864,27.902,171.996,4.806,3.516,3.516,10.714,32.128,2.539,2.852,2.852,3.391,52.304,17,3.85,4.158,17.131,3.797,336.44,11.8,3.674,3.112,4.559,1.113,77.211,8.57,3.899,171.996,171.996,1.664,36.423,3.442,6.052,3.247,10.131,140.719,3,2.118,0,3.481,2.607,37.847,2.731,3.624,36.5,11633.0,2.266,0.153,0.788,3.509,19.5,1.854,2.14,2.14,1.091,38.343
6.759,0.5,1.211,3.896,0.211,2.811,6.006,7.302,3.523,3.51,2.529,2.529,4.201,4.887,0.0,126.517,4.828,3.444,3.444,10.62,27.958,2.522,2.845,2.845,3.206,53.537,19,3.844,4.295,17.062,3.613,332.53,12.3,3.66,3.134,4.615,1.176,75.193,8.642,3.928,126.517,126.517,1.671,40.407,3.439,7.324,3.552,10.62,126.517,2,2.031,0,3.662,2.594,41.431,3.022,3.611,36.0,10804.0,2.547,0.168,0.884,3.477,14.0,1.897,2.17,2.17,1.379,41.601
4.034,0.75,1.048,4.234,0.0,3.636,6.06,7.374,3.984,3.747,3.035,3.035,4.069,4.754,40.849,80.797,4.887,3.433,3.433,13.269,56.147,2.88,2.865,2.865,4.044,52.261,22,3.912,4.391,20.725,3.656,425.44,13.895,3.815,3.548,4.779,1.605,89.815,8.717,3.917,159.094,159.094,1.714,43.612,3.603,9.5,3.88,12.528,80.797,3,1.778,0,4.042,2.483,46.872,2.952,3.584,35.0,14475.0,2.961,0.125,1.517,3.699,7.5,1.846,2.616,2.616,1.356,46.806
