pXC50,MATS5v,SpMAD_EA.bo.,MATS4e,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.007,C.008,C.009,C.024,C.025,C.026,C.033,C.034,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_LL,CATS2D_03_NL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DN,CATS2D_04_LL,CATS2D_04_NL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN
5.824,-0.012,1.874,-0.164,1.755,10.222,1.549,2.398,98.541,7.792,0.357,4.016,4.134,3.744,3.517,5.158,3.475,4.556,4.711,3.978,3.891,6.049,3.821,4.863,5.084,3.963,4.024,5.987,3.918,4.914,5.135,4.045,4.032,6.056,3.94,4.945,5.154,4.128,4.0,6.469,3.923,4.941,5.153,4.072,3.995,6.246,3.906,4.927,5.132,4.051,3.946,6.258,3.87,4.873,5.068,3.915,3.823,6.488,3.749,0.276,0.735,14.162,4.949,41.187,5.823,0.755,1.126,22.393,8.509,123.692,10.55,0.803,1.339,31.917,10.511,123.738,13.638,0.807,1.366,36.073,10.703,134.346,13.697,1.297,1.334,37.259,11.004,233.679,13.655,1.071,1.304,38.072,11.017,160.619,12.908,1.09,1.219,40.963,11.415,178.411,12.595,1.488,1.085,34.772,9.775,273.174,11.616,69,39,0.297,0.668,0.833,0.898,0.905,0.905,3.34,1.097,-2.62,-2.64,-2.57,33.3,1,4,0,0,2,0,4,2,0,1,1,2,4,9,0,0,5,3,5,1,8,1,2,0,2,2,7,6,2,0,4,2,0,0,7,1,3,2,2,4,0,4,3,7,2
6.585,-0.043,1.953,-0.13,1.595,13.85,4.27,18.234,152.945,7.443,0.488,4.404,4.521,4.061,3.982,5.499,3.922,4.951,5.106,4.368,4.387,6.244,4.304,5.294,5.503,4.42,4.557,6.385,4.439,5.415,5.647,4.421,4.592,6.439,4.46,5.431,5.656,4.551,4.588,6.612,4.471,5.493,5.714,4.635,4.619,6.807,4.498,5.507,5.723,4.63,4.662,6.723,4.538,5.564,5.776,4.593,4.638,6.807,4.537,0.187,1.072,19.465,8.107,36.436,9.4,0.602,1.75,32.782,13.408,127.85,16.822,0.806,2.268,48.294,18.075,120.058,22.945,0.749,2.448,56.953,19.983,149.357,25.043,0.888,2.483,58.722,19.982,181.888,24.974,1.442,2.553,64.324,21.347,250.411,25.341,0.931,2.587,69.145,23.808,193.44,26.193,1.152,2.605,70.464,23.135,229.03,26.566,75,61,0.244,0.585,0.761,0.844,0.884,0.897,3.718,1.051,-3.79,-3.75,-3.57,39.5,2,4,1,0,2,1,11,5,0,1,1,2,3,22,0,0,4,1,6,2,26,2,3,0,3,4,10,22,2,0,4,1,0,0,9,0,16,3,1,7,1,1,1,12,3
5.149,-0.015,1.876,-0.123,1.604,13.676,3.818,14.576,141.096,7.255,0.41,4.354,4.477,3.99,3.905,5.435,3.839,4.907,5.072,4.275,4.298,6.197,4.206,5.251,5.473,4.304,4.454,6.329,4.323,5.364,5.611,4.31,4.479,6.372,4.338,5.362,5.593,4.458,4.479,6.551,4.365,5.439,5.659,4.533,4.523,6.769,4.41,5.445,5.671,4.513,4.578,6.631,4.444,5.511,5.731,4.476,4.547,6.733,4.436,0.188,1.03,19.56,7.781,36.213,9.262,0.607,1.655,32.748,12.72,128.455,16.343,0.819,2.091,47.765,16.883,121.426,21.956,0.774,2.21,55.636,18.232,150.933,23.471,0.921,2.225,57.293,18.007,183.297,22.808,1.528,2.288,60.926,18.952,263.243,23.31,0.874,2.353,65.48,21.829,180.445,25.075,1.194,2.351,67.44,20.91,231.052,25.019,75,54,0.25,0.591,0.773,0.859,0.879,0.879,3.642,1.089,-3.35,-3.33,-3.19,37.0,2,5,1,0,2,1,9,3,0,1,1,2,3,18,0,0,4,1,6,2,19,2,3,0,3,4,10,13,2,0,4,1,0,0,9,0,9,3,1,7,1,1,1,11,3
5.959,0.011,1.896,-0.132,1.623,13.028,3.362,11.301,136.495,7.366,0.421,4.316,4.437,3.968,3.869,5.412,3.806,4.864,5.025,4.256,4.261,6.178,4.174,5.207,5.423,4.285,4.417,6.306,4.291,5.324,5.567,4.292,4.443,6.351,4.307,5.321,5.548,4.468,4.447,6.538,4.339,5.392,5.605,4.558,4.502,6.764,4.397,5.426,5.64,4.486,4.543,6.663,4.427,5.469,5.691,4.406,4.497,6.683,4.392,0.198,0.991,18.604,7.447,36.871,8.724,0.614,1.591,31.093,12.143,128.034,15.424,0.827,2.012,45.49,16.132,121.498,20.733,0.8,2.132,53.576,17.527,153.955,22.291,0.923,2.144,54.018,17.152,182.401,21.618,1.459,2.231,59.275,18.623,247.73,22.101,1.014,2.276,63.877,20.912,200.0,23.643,1.168,2.249,63.335,19.913,224.046,24.27,75,53,0.255,0.602,0.778,0.856,0.877,0.877,3.616,1.078,-3.15,-3.14,-3.02,37.1,2,4,1,0,2,1,9,3,0,1,1,2,3,17,0,0,4,1,6,2,18,2,3,0,3,4,10,12,2,0,4,1,0,0,9,0,7,3,1,7,1,1,1,12,3
4.824,-0.024,1.84,-0.14,1.652,11.065,2.33,5.427,116.4,7.199,0.313,4.205,4.333,3.844,3.716,5.288,3.649,4.767,4.943,4.127,4.105,6.093,4.013,5.106,5.332,4.167,4.266,6.219,4.14,5.222,5.468,4.203,4.309,6.274,4.181,5.22,5.444,4.337,4.305,6.486,4.21,5.307,5.523,4.341,4.326,6.69,4.23,5.282,5.517,4.238,4.352,6.45,4.219,5.313,5.548,4.165,4.286,6.495,4.164,0.211,0.887,17.814,6.614,37.112,7.994,0.639,1.397,29.771,10.634,129.915,13.972,0.863,1.714,42.536,13.843,122.981,18.303,0.843,1.808,49.35,14.836,154.637,19.437,0.984,1.818,51.147,14.523,181.639,18.88,1.62,1.832,53.508,15.02,270.789,19.418,0.919,1.834,54.862,17.076,173.403,20.994,1.158,1.757,55.065,15.82,209.786,20.396,109,45,0.268,0.617,0.804,0.875,0.881,0.881,3.472,1.134,-2.32,-2.35,-2.32,33.3,3,4,1,0,2,1,4,2,0,1,1,2,3,11,0,0,4,1,6,2,10,2,3,0,3,4,10,5,2,0,4,1,0,0,9,0,4,3,1,7,1,1,1,10,3
5.131,-0.061,1.889,-0.098,1.684,9.714,1.959,3.838,103.852,7.706,0.379,4.042,4.155,3.762,3.582,5.185,3.529,4.58,4.731,4.006,3.958,6.063,3.882,4.905,5.11,4.021,4.135,6.032,4.022,5.011,5.242,4.111,4.15,6.112,4.043,5.011,5.211,4.223,4.133,6.521,4.043,5.038,5.252,4.117,4.109,6.345,4.008,5.018,5.218,4.067,4.01,6.348,3.946,4.904,5.112,3.975,3.899,6.495,3.813,0.238,0.742,14.512,5.473,38.659,6.27,0.729,1.157,22.92,9.261,123.984,11.244,0.707,1.467,32.174,11.799,115.142,14.863,0.732,1.545,39.776,12.846,139.724,16.251,1.202,1.531,38.297,12.433,223.196,15.115,0.989,1.509,44.47,13.518,162.02,14.892,1.112,1.349,41.886,12.098,205.881,13.563,1.253,1.207,35.36,10.977,237.353,13.261,83,41,0.282,0.631,0.781,0.837,0.867,0.879,3.375,1.087,-3.75,-3.71,-3.53,35.8,2,2,1,0,2,0,7,3,0,0,0,2,4,15,0,0,5,3,2,1,19,1,2,0,2,2,4,15,2,0,4,2,0,0,8,1,9,3,2,6,0,4,2,10,1
5.469,-0.007,1.881,-0.099,1.726,10.357,1.042,1.086,102.488,7.619,0.345,4.067,4.188,3.766,3.579,5.198,3.522,4.612,4.773,4.017,3.948,6.033,3.881,4.938,5.149,3.985,4.077,6.117,3.977,5.017,5.268,3.992,4.097,6.059,3.981,4.977,5.199,4.153,4.068,6.275,3.988,5.045,5.252,4.184,4.088,6.505,4.0,5.031,5.258,4.066,4.086,6.282,3.969,5.001,5.206,3.975,3.969,6.311,3.882,0.251,0.773,14.906,5.633,39.497,6.406,0.675,1.2,25.161,8.881,126.159,11.297,0.919,1.432,33.59,10.92,127.853,14.722,0.785,1.482,38.659,11.72,136.302,15.896,0.907,1.444,38.375,11.019,159.296,14.512,1.405,1.434,41.07,11.912,223.869,14.707,0.962,1.389,44.953,13.599,164.739,15.532,1.156,1.259,41.446,11.543,197.569,13.544,84,41,0.289,0.666,0.84,0.871,0.878,0.878,3.374,1.109,-1.64,-1.71,-1.74,33.3,2,2,1,1,2,0,4,2,0,1,1,2,3,9,0,0,4,1,5,2,9,1,2,0,3,4,7,5,1,0,3,1,0,0,6,0,3,2,1,5,1,1,1,7,3
6.018,-0.031,1.898,-0.123,1.755,9.667,1.344,1.807,98.488,7.792,0.357,4.016,4.134,3.744,3.517,5.165,3.475,4.557,4.711,3.994,3.898,6.052,3.833,4.866,5.075,3.972,4.049,6.004,3.941,4.971,5.209,4.063,4.058,6.082,3.959,4.95,5.154,4.175,4.022,6.49,3.943,4.966,5.175,4.083,4.017,6.317,3.928,4.958,5.158,4.005,3.934,6.287,3.868,4.85,5.063,3.93,3.826,6.446,3.741,0.276,0.735,14.162,4.949,40.205,5.823,0.759,1.131,22.439,8.518,125.004,10.552,0.776,1.368,31.193,10.66,118.144,13.731,0.856,1.415,38.953,11.3,145.793,14.765,1.289,1.361,36.696,10.93,225.473,13.464,1.139,1.328,42.06,11.936,166.261,13.206,1.225,1.207,39.848,10.891,210.634,12.5,1.284,1.094,33.711,10.001,229.743,12.386,83,40,0.297,0.677,0.836,0.869,0.876,0.876,3.34,1.081,-2.62,-2.64,-2.57,33.3,2,2,1,0,2,0,4,2,0,1,1,2,4,9,0,0,5,3,5,1,9,1,2,0,2,2,7,5,2,0,4,2,0,0,8,1,3,2,2,5,0,4,3,7,2
5.553,0.012,1.89,-0.152,1.755,9.63,1.412,1.993,98.412,7.792,0.357,4.016,4.134,3.744,3.517,5.165,3.475,4.557,4.711,3.994,3.898,6.049,3.833,4.866,5.075,4.006,4.058,6.002,3.958,4.978,5.201,4.12,4.102,6.118,4.0,5.029,5.248,4.186,4.066,6.549,3.975,4.997,5.2,4.038,4.006,6.34,3.926,4.937,5.153,4.018,3.937,6.224,3.861,4.864,5.071,3.906,3.81,6.476,3.732,0.276,0.735,14.162,4.949,40.307,5.823,0.759,1.131,22.439,8.518,124.136,10.552,0.776,1.378,31.249,10.646,123.038,13.724,0.821,1.47,37.667,11.374,133.581,14.666,1.411,1.429,43.555,12.468,242.733,14.838,1.273,1.315,40.946,11.412,198.372,13.111,1.021,1.215,38.787,11.116,169.666,13.27,1.444,1.075,34.812,9.784,261.509,11.834,83,40,0.297,0.677,0.842,0.896,0.902,0.902,3.34,1.087,-2.62,-2.64,-2.57,33.3,2,2,1,0,2,0,4,2,0,1,1,2,4,9,0,0,5,3,5,1,8,1,2,0,2,2,8,6,2,0,5,2,0,0,8,1,3,3,2,5,0,4,3,8,2
5.523,0.022,1.893,-0.133,1.648,13.622,3.094,9.575,138.189,7.487,0.41,4.338,4.455,3.993,3.874,5.467,3.82,4.877,5.033,4.292,4.269,6.218,4.192,5.225,5.434,4.324,4.429,6.365,4.314,5.347,5.588,4.314,4.456,6.392,4.325,5.336,5.564,4.483,4.455,6.552,4.35,5.401,5.61,4.574,4.508,6.785,4.408,5.442,5.655,4.503,4.551,6.687,4.44,5.485,5.704,4.464,4.507,6.705,4.409,0.25,1.002,18.625,7.497,43.549,8.624,0.651,1.604,30.979,12.19,131.712,15.331,0.932,2.026,45.967,16.19,135.766,20.622,0.958,2.152,54.813,17.707,175.989,22.533,1.037,2.154,54.683,17.276,196.282,21.891,1.585,2.228,59.501,18.57,262.167,21.954,1.193,2.285,64.862,20.975,219.844,23.739,1.395,2.255,64.607,19.903,248.356,24.377,92,55,0.258,0.618,0.804,0.875,0.879,0.879,3.642,1.061,-2.69,-2.7,-2.63,36.6,2,4,1,0,2,1,8,3,1,1,1,2,3,15,0,0,4,1,8,2,16,2,3,0,3,4,12,11,2,0,4,1,0,0,10,0,6,3,1,7,1,1,1,13,3
