pXC50,Se,Si,Sv,nBT,Sp,nH,MW,nC,nBO,nAT,RBN
9.578,100.501,113.142,61.556,103,65.091,48,733.99,39,55,100,19
8.301,100.167,113.474,59.588,102,63.609,51,698.99,37,51,100,20
8.0,104.167,117.474,63.588,107,67.609,51,747.03,41,56,104,20
7.06,72.047,80.979,45.034,75,47.909,34,534.74,29,41,72,10
9.222,83.949,94.344,54.196,89,56.824,37,627.81,37,52,84,12
5.658,71.298,80.099,45.616,75,47.54,31,537.68,30,44,71,10
6.0,55.218,62.145,35.299,58,36.796,24,416.53,23,34,55,8
8.959,88.196,98.323,55.474,90,58.398,39,744.75,34,51,87,14
5.125,76.192,86.597,46.691,80,50.086,39,513.74,32,41,77,11
4.229,49.447,55.219,31.304,51,32.853,22,387.9,20,29,49,8
9.63,92.388,102.916,57.125,93,58.62,39,733.86,35,54,90,14
5.638,73.632,83.126,45.992,77,49.182,36,534.15,31,41,74,11
8.959,79.545,88.077,50.893,81,53.114,33,702.66,31,48,78,11
9.777,90.621,100.085,58.072,92,59.097,35,753.84,37,57,88,12
5.585,73.309,83.182,45.164,77,48.324,37,499.71,31,40,74,11
6.097,76.192,86.597,46.691,80,50.086,39,513.74,32,41,77,11
9.699,82.73,91.208,54.562,85,56.597,32,752.69,35,53,81,12
6.131,83.076,94.012,52.218,88,55.847,41,575.81,37,47,84,12
9.751,83.243,91.547,54.945,85,56.534,31,770.68,35,54,81,12
9.444,85.749,94.171,57.36,88,60.137,33,817.61,36,55,84,13
9.377,91.061,101.706,56.41,92,58.165,39,717.86,35,53,89,13
5.456,73.632,83.126,45.992,77,49.182,36,534.15,31,41,74,11
6.62,79.076,90.012,48.218,83,51.847,41,527.77,33,42,80,12
6.398,76.192,86.597,46.691,80,50.086,39,513.74,32,41,77,11
9.481,85.312,94.908,53.947,87,56.637,37,730.72,33,50,84,13
8.886,89.505,99.5,55.598,90,56.858,37,719.83,34,53,87,13
9.444,89.312,98.908,57.947,92,60.637,37,778.76,37,55,88,13
8.766,85.123,94.512,54.391,87,57.557,37,747.17,33,50,84,13
9.4,86.923,95.8,56.213,88,56.819,32,741.8,36,56,84,12
9.482,83.851,92.804,52.937,85,54.835,35,688.24,32,50,82,13
5.301,54.687,61.109,35.487,58,37.506,25,399.52,26,33,55,5
6.523,51.803,57.694,33.961,55,35.745,23,385.49,25,32,52,4
7.398,58.687,65.109,39.487,63,41.506,25,447.56,30,38,59,5
5.0,68.665,76.564,44.783,73,47.245,31,505.65,33,42,69,8
5.602,48.92,54.279,32.434,52,33.983,21,371.46,24,31,49,4
7.523,58.687,65.109,39.487,63,41.506,25,447.56,30,38,59,5
6.523,52.349,57.986,34.17,55,35.443,22,402.48,24,33,52,4
5.444,64.952,72.939,41.265,68,43.932,30,490.68,27,38,65,8
4.854,61.654,68.481,40.234,65,41.46,25,483.57,27,40,61,7
6.699,65.0,72.232,42.75,69,44.728,28,492.61,31,41,65,6
6.886,60.211,67.517,40.1,65,41.591,24,476.59,27,41,60,5
4.921,71.392,79.678,44.717,72,44.978,28,578.61,29,44,69,8
5.18,58.225,64.773,38.498,62,40.0,24,452.55,27,38,58,5
5.0,62.094,69.933,40.627,67,42.353,26,478.61,27,41,62,5
5.0,60.109,67.189,39.025,64,40.762,26,454.57,27,38,60,5
5.658,66.432,75.225,41.89,71,44.591,32,468.65,29,39,67,9
4.979,61.112,69.474,39.429,66,42.165,29,435.62,28,37,62,5
4.886,61.112,69.474,39.429,66,42.165,29,435.62,28,37,62,5
5.678,65.432,74.225,40.89,69,43.591,32,456.64,28,37,66,8
6.0,61.312,68.282,40.492,65,42.784,26,509.47,27,39,61,6
5.0,60.69,68.074,38.603,63,39.944,26,464.56,26,37,60,7
4.77,60.327,67.272,39.519,64,41.006,25,467.57,27,39,60,5
6.31,63.549,71.81,40.364,67,42.83,30,454.62,28,37,64,9
5.469,59.665,67.394,37.837,63,40.069,28,428.58,26,35,60,7
6.131,62.549,70.81,39.364,66,41.83,30,442.61,27,36,63,8
4.796,63.549,71.81,40.364,68,42.83,30,454.62,28,38,64,7
4.602,57.672,64.853,38.09,62,40.097,25,435.57,27,37,58,4
4.959,59.665,67.394,37.837,63,40.069,28,428.58,26,35,60,7
4.921,61.091,68.667,40.74,66,42.756,25,497.05,27,41,61,6
4.939,58.229,66.059,37.902,63,40.404,27,421.59,27,36,59,5
5.222,65.625,72.848,41.663,66,41.455,24,550.55,27,42,63,7
5.796,68.316,77.64,42.417,72,45.353,34,470.67,29,38,69,9
5.721,59.429,65.867,39.965,63,42.023,24,507.45,27,39,59,6
6.523,68.316,77.64,42.417,72,45.353,34,470.67,29,38,69,9
7.886,87.891,97.405,57.479,91,60.608,37,734.76,37,54,87,12
6.514,84.12,93.381,53.059,86,55.654,37,669.26,33,49,83,14
