pXC50,Mi,C.,nHet,nAT,nN,nCsp3,Mp,nBM,Mv,nC,nBO,Sp,Sv,Se,Si,nSK,nCsp2,nBT,nAB,MW,RBN,nH
5.3,1.113,48.8,6,43,3,1,0.73,24,0.699,21,30,31.387,30.037,43.407,47.87,27,20,46,23,377.47,4,16
5.35,1.111,50.0,5,40,4,1,0.736,23,0.702,20,28,29.449,28.074,40.033,44.428,25,19,43,23,346.84,4,15
6.9,1.131,39.6,9,53,5,5,0.684,18,0.65,21,32,36.267,34.46,53.647,59.95,30,16,55,18,448.39,9,23
5.3,1.128,40.8,8,76,5,11,0.652,23,0.614,31,43,49.574,46.68,75.629,85.763,39,20,80,22,527.73,8,37
4.301,1.136,37.2,6,43,3,8,0.633,11,0.603,16,24,27.233,25.95,43.24,48.86,22,8,45,11,303.4,4,21
5.0,1.13,43.6,8,39,2,4,0.754,13,0.708,17,27,29.404,27.598,40.345,44.081,25,13,41,12,478.68,6,14
6.301,1.121,46.7,9,45,6,3,0.725,23,0.712,21,35,32.608,32.02,46.007,50.429,30,18,50,22,418.87,2,15
8.301,1.137,40.8,10,76,5,11,0.651,23,0.624,31,45,49.449,47.447,76.654,86.442,41,20,80,22,563.71,10,35
5.398,1.131,42.9,7,35,5,1,0.685,18,0.676,15,24,23.983,23.644,35.698,39.571,22,14,37,17,295.33,4,13
7.056,1.126,42.3,6,52,4,6,0.664,18,0.63,22,31,34.546,32.783,51.898,58.564,28,16,55,18,376.5,4,24
6.056,1.128,42.3,7,52,5,5,0.669,19,0.64,22,32,34.79,33.278,52.116,58.647,29,17,55,18,389.5,5,23
6.519,1.127,43.4,8,53,6,5,0.68,20,0.656,23,34,36.034,34.772,53.334,59.73,31,17,56,18,414.51,6,22
7.161,1.122,43.4,8,53,6,5,0.702,20,0.665,23,34,37.228,35.245,53.083,59.441,31,17,56,18,430.58,6,22
7.284,1.125,41.4,10,58,6,6,0.688,22,0.659,24,37,39.898,38.201,58.622,65.275,34,17,61,18,476.61,7,24
8.097,1.128,42.9,8,56,6,6,0.675,20,0.648,24,35,37.796,36.299,56.218,63.145,32,17,59,18,428.54,6,24
6.264,1.127,43.4,8,53,6,5,0.68,20,0.656,23,34,36.034,34.772,53.334,59.73,31,17,56,18,414.51,6,22
