pXC50,nC,O.,RBN,nH,nAT,Se,RBF,nBT,AMW,nO,MW,N.,Sv,Si,Sp,SCBO,nCsp2
4.889,25,8.1,9,29,62,62.429,0.141,64,7.283,5,451.57,4.8,38.487,69.94,40.188,45.0,16
6.824,24,6.3,11,33,63,62.625,0.172,64,6.852,4,431.65,1.6,37.496,70.899,40.654,40.5,12
5.71,25,6.2,12,33,65,64.869,0.182,66,6.763,4,439.61,4.6,38.825,73.561,41.256,42.0,15
6.0,32,8.2,15,42,85,85.487,0.172,87,6.997,7,594.78,4.7,51.098,96.348,53.671,56.0,17
5.21,30,7.2,11,31,69,69.312,0.153,72,7.444,5,513.64,4.3,44.013,77.355,45.949,54.0,22
5.0,25,9.5,11,29,63,63.756,0.169,65,7.422,6,467.57,4.8,39.201,71.149,40.642,46.0,16
4.978,25,8.1,10,29,62,62.429,0.156,64,7.283,5,451.57,4.8,38.487,69.94,40.188,45.0,16
7.343,36,4.9,17,38,81,80.494,0.202,84,7.344,4,594.83,2.5,51.571,90.228,55.182,61.0,27
5.342,26,7.7,10,31,65,65.312,0.149,67,7.163,5,465.6,4.6,40.013,73.355,41.949,46.0,16
6.824,40,6.5,13,41,93,93.454,0.133,98,7.741,6,719.93,5.4,60.065,104.142,63.108,77.0,31
5.0,18,0.0,4,21,42,41.258,0.093,43,6.653,0,279.42,7.1,25.805,47.232,27.87,30.0,10
5.0,14,0.0,3,13,30,29.723,0.097,31,7.443,0,223.3,10.0,19.698,33.571,20.824,26.0,10
4.959,32,7.4,13,37,81,81.687,0.155,84,7.652,6,619.81,6.2,51.012,91.311,53.586,62.0,23
4.301,17,2.6,5,17,39,38.894,0.122,41,7.986,1,311.44,7.7,25.654,43.531,27.449,32.5,11
5.0,15,0.0,3,12,33,34.145,0.088,34,8.827,0,291.3,9.1,22.375,38.005,22.398,30.0,10
5.0,15,0.0,3,12,33,34.145,0.088,34,8.827,0,291.3,9.1,22.375,38.005,22.398,30.0,10
5.0,15,0.0,3,12,33,34.145,0.088,34,8.827,0,291.3,9.1,22.375,38.005,22.398,30.0,10
5.0,15,0.0,3,11,33,34.469,0.088,34,9.871,0,325.74,9.1,23.202,37.949,23.256,31.0,10
5.0,19,0.0,4,21,43,42.258,0.089,45,6.777,0,291.43,7.0,26.805,48.232,28.87,32.0,10
5.0,15,5.6,4,15,36,36.338,0.108,37,8.372,2,301.4,8.3,23.842,40.325,25.142,32.0,10
5.0,15,0.0,3,15,33,32.607,0.088,34,7.192,0,237.33,9.1,21.225,36.986,22.586,27.0,10
5.0,19,4.1,5,20,49,50.654,0.098,51,8.315,2,407.44,10.2,31.428,56.666,31.603,39.0,9
5.377,20,0.0,5,21,48,48.781,0.1,50,7.801,0,374.45,8.3,30.504,55.164,31.449,37.0,10
5.631,20,0.0,8,23,50,50.665,0.157,51,7.529,0,376.47,8.0,31.03,57.58,32.211,36.0,10
5.19,19,0.0,6,21,47,47.781,0.125,48,7.711,0,362.44,8.5,29.504,54.164,30.449,35.0,10
5.0,20,0.0,5,30,54,52.894,0.089,56,6.047,0,326.54,7.4,30.934,61.391,33.921,31.0,4
6.284,14,0.0,3,21,42,41.898,0.068,44,6.843,0,287.42,16.7,24.837,48.395,26.37,28.0,3
4.64,43,8.3,25,60,121,122.061,0.205,122,7.017,10,849.11,6.6,72.016,137.876,75.387,78.0,23
4.654,37,10.0,22,53,110,111.956,0.198,111,7.273,11,799.99,8.2,65.645,125.923,67.802,72.0,18
5.854,39,9.5,23,57,116,117.723,0.197,117,7.138,11,828.05,7.8,68.699,132.753,71.324,74.0,18
4.907,38,9.7,22,55,113,114.839,0.193,114,7.204,11,814.02,8.0,67.172,129.338,69.563,73.0,18
4.409,29,7.5,13,39,80,80.57,0.159,82,7.322,6,585.8,6.3,48.538,90.726,51.347,55.0,17
6.367,20,11.5,8,21,52,53.374,0.145,55,8.915,6,463.58,5.8,34.468,58.328,35.892,44.5,13
6.0,31,9.1,12,35,77,77.811,0.15,80,7.711,7,593.76,3.9,48.684,86.524,51.029,59.0,21
5.754,22,9.4,8,23,53,53.778,0.143,56,7.726,5,409.48,5.7,33.906,59.694,34.904,42.0,15
5.0,33,6.7,13,34,75,75.054,0.167,78,7.61,5,570.76,2.7,48.233,83.607,51.114,60.0,26
