pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
4.0,8.578,21.4,46.4,1.052,1.16,0.607,0.586,240.18,7.1,0,28,0,3,14,0
1.8,6.901,25.0,53.6,1.033,1.159,0.557,0.546,193.23,3.6,0,28,0,0,13,0
2.3,6.686,25.8,54.8,1.026,1.157,0.56,0.542,207.26,3.2,0,31,0,0,14,0
1.5,6.901,25.0,53.6,1.033,1.159,0.557,0.546,193.23,3.6,0,28,0,0,13,0
2.45,7.507,25.0,50.0,1.053,1.156,0.554,0.56,180.18,0.0,0,24,0,0,12,0
1.7,8.912,34.1,41.5,1.052,1.149,0.637,0.634,365.39,2.4,6,41,0,7,25,0
2.1,8.424,27.8,44.4,1.071,1.181,0.567,0.589,303.27,2.8,0,36,0,1,20,0
2.6,7.772,36.8,44.7,1.03,1.134,0.627,0.619,295.32,2.6,10,38,0,10,23,0
1.9,7.193,25.9,51.9,1.043,1.154,0.558,0.555,194.21,0.0,0,27,0,0,13,0
3.4,7.652,35.7,45.2,1.024,1.14,0.628,0.616,321.37,7.1,6,42,0,9,24,0
4.0,7.656,26.5,47.1,1.04,1.163,0.584,0.583,260.29,11.8,0,34,0,4,17,0
4.4,10.004,26.7,46.7,1.049,1.15,0.614,0.601,300.13,3.3,0,30,0,1,16,1
4.096,7.657,35.1,45.9,1.031,1.137,0.617,0.609,283.31,2.7,6,37,0,7,21,0
3.9,7.663,24.1,48.3,1.051,1.164,0.562,0.569,222.23,6.9,0,29,0,1,15,0
2.4,8.48,23.5,47.1,1.061,1.151,0.583,0.583,288.31,0.0,0,34,0,2,18,0
2.1,8.111,24.1,44.8,1.058,1.166,0.571,0.586,235.23,10.3,0,29,0,2,16,0
1.6,7.193,25.9,51.9,1.043,1.154,0.558,0.555,194.21,0.0,0,27,0,0,13,0
2.1,8.765,27.3,42.4,1.081,1.185,0.565,0.596,289.24,3.0,0,33,0,1,19,0
1.8,8.007,26.9,46.2,1.061,1.152,0.567,0.583,208.19,0.0,0,26,0,1,14,0
3.0,8.177,25.0,50.0,1.042,1.144,0.604,0.58,196.25,0.0,0,24,0,0,12,0
2.7,7.383,25.0,50.0,1.042,1.161,0.565,0.563,236.26,6.3,0,32,0,1,16,0
4.0,7.165,33.3,48.9,1.015,1.146,0.615,0.593,322.41,8.9,6,45,0,9,23,0
4.8,8.008,25.7,45.7,1.057,1.159,0.571,0.584,280.27,5.7,0,35,0,2,19,0
3.0,7.522,27.0,48.6,1.042,1.156,0.575,0.575,278.3,5.4,0,37,0,2,19,0
2.0,7.527,29.6,48.1,1.039,1.15,0.587,0.584,203.22,3.7,0,27,0,1,14,0
2.3,8.252,24.2,48.5,1.053,1.149,0.587,0.579,272.31,0.0,0,33,0,2,17,0
3.7,7.375,26.7,50.0,1.042,1.155,0.569,0.567,221.24,3.3,0,30,0,1,15,0
2.6,7.663,27.6,48.3,1.051,1.151,0.569,0.576,222.22,0.0,0,29,0,1,15,0
2.4,8.034,34.1,46.3,1.027,1.132,0.64,0.616,329.41,2.4,6,41,0,7,23,0
2.5,7.663,24.1,48.3,1.051,1.164,0.562,0.569,222.23,6.9,0,29,0,1,15,0
1.7,7.193,25.9,51.9,1.043,1.154,0.558,0.555,194.21,0.0,0,27,0,0,13,0
1.6,7.234,25.8,51.6,1.044,1.154,0.557,0.555,224.24,0.0,0,31,0,0,15,0
4.0,6.987,34.8,50.0,1.01,1.141,0.618,0.591,321.42,6.5,6,46,0,9,23,0
3.4,7.674,25.9,48.1,1.051,1.157,0.567,0.573,207.21,3.7,0,27,0,1,14,0
2.7,8.177,25.0,50.0,1.042,1.144,0.604,0.58,196.25,0.0,0,24,0,0,12,0
1.7,8.171,25.8,48.4,1.043,1.148,0.604,0.587,253.31,3.2,0,31,0,1,16,0
1.8,7.39,26.5,50.0,1.043,1.155,0.567,0.566,251.27,2.9,0,34,0,1,17,0
1.8,7.608,26.7,48.9,1.052,1.153,0.564,0.57,342.34,0.0,0,45,0,0,24,0
4.1,7.653,25.8,48.4,1.051,1.157,0.565,0.571,237.24,3.2,0,31,0,1,16,0
2.3,7.877,34.2,44.7,1.038,1.139,0.613,0.612,299.31,2.6,6,38,0,7,22,0
1.8,7.507,25.0,50.0,1.053,1.156,0.554,0.56,210.21,0.0,0,28,0,0,14,0
3.4,7.383,25.0,50.0,1.042,1.161,0.565,0.563,236.26,6.3,0,32,0,1,16,0
1.3,6.854,26.9,53.8,1.032,1.152,0.562,0.549,178.21,0.0,0,26,0,0,12,0
1.6,7.663,27.6,48.3,1.051,1.151,0.569,0.576,222.22,0.0,0,29,0,1,15,0
3.4,7.674,25.9,48.1,1.051,1.157,0.567,0.573,207.21,3.7,0,27,0,1,14,0
2.1,7.829,28.6,46.4,1.049,1.152,0.582,0.588,219.22,3.6,0,28,0,1,15,0
3.7,8.371,27.3,45.5,1.074,1.182,0.557,0.581,184.16,0.0,0,22,0,0,12,0
