pXC50,JGI2,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.006,C.013,C.014,C.024,C.025,C.026,C.027,C.028,C.034,C.035,C.040,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AL,CATS2D_02_AN,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_AP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL
6.041,0.085,1.461,10.348,4.402,19.374,90.447,7.473,0.68,3.801,3.912,3.364,3.403,4.967,3.372,4.278,4.43,3.693,3.776,5.473,3.718,4.503,4.695,3.702,3.885,5.578,3.792,4.596,4.815,3.607,3.86,5.625,3.741,4.591,4.838,3.445,3.761,5.586,3.63,4.448,4.691,3.337,3.608,5.484,3.492,4.194,4.415,3.261,3.455,5.261,3.354,4.172,4.413,3.038,3.297,5.255,3.178,0.057,0.555,8.026,3.812,9.145,4.799,0.139,0.874,13.885,6.263,31.921,8.306,0.191,1.068,18.598,7.912,30.458,10.722,0.229,1.155,21.383,8.483,32.529,11.663,0.24,1.085,22.891,8.666,49.148,11.729,0.264,0.917,20.222,7.496,53.321,9.904,0.078,0.772,14.267,5.616,19.91,7.713,0.161,0.709,15.011,5.446,34.752,7.281,11,34,0.256,0.585,0.681,0.777,0.832,0.832,3.187,0.908,-4.59,-4.51,-4.24,46.3,1,2,0,0,0,0,9,4,0,0,1,1,0,1,0,0,0,1,1,16,0,1,1,0,1,2,0,21,1,0,1,3,0,0,0,2,1,20,1,0,0,2,0,1,2,0,16,2,0,0,3,0,0,3,13
5.37,0.083,1.554,7.353,2.883,8.313,65.311,7.429,0.611,3.525,3.642,3.072,3.069,4.713,3.048,3.999,4.163,3.385,3.42,5.241,3.371,4.193,4.394,3.35,3.491,5.303,3.403,4.28,4.512,3.238,3.436,5.333,3.324,4.236,4.491,3.043,3.297,5.281,3.181,4.078,4.319,2.987,3.149,5.213,3.067,3.795,4.011,2.942,3.003,4.995,2.94,3.742,3.979,2.558,2.706,4.99,2.617,0.063,0.44,6.275,2.868,8.983,3.618,0.15,0.674,10.9,4.568,32.052,6.208,0.199,0.773,14.065,5.475,29.278,7.613,0.242,0.8,16.16,5.644,31.022,8.062,0.26,0.701,16.603,5.43,47.021,7.551,0.284,0.582,14.418,4.562,52.873,6.115,0.083,0.506,9.638,3.319,14.667,4.693,0.167,0.414,10.042,2.954,29.757,4.05,11,24,0.295,0.654,0.738,0.797,0.838,0.838,2.907,0.915,-3.34,-3.32,-3.18,41.9,1,2,0,0,0,0,5,2,0,0,1,1,0,1,0,0,0,1,1,9,0,1,1,0,1,2,0,11,1,0,1,3,0,0,0,2,1,9,1,0,0,2,0,1,2,0,6,2,0,0,3,0,0,3,4
6.523,0.083,1.625,9.435,4.151,17.23,86.063,8.167,0.68,3.746,3.849,3.376,3.34,4.999,3.331,4.212,4.348,3.734,3.71,5.542,3.685,4.43,4.597,3.747,3.816,5.678,3.761,4.533,4.744,3.658,3.8,5.668,3.717,4.478,4.689,3.593,3.745,5.605,3.664,4.436,4.639,3.534,3.66,5.65,3.586,4.358,4.596,3.384,3.478,5.536,3.405,4.083,4.302,3.241,3.244,5.323,3.198,0.092,0.586,6.357,3.48,11.848,3.936,0.196,0.921,11.289,5.668,35.286,6.848,0.306,1.135,15.518,7.094,43.046,8.514,0.378,1.16,19.312,7.774,51.389,9.917,0.311,1.013,18.936,7.751,53.905,9.863,0.318,1.015,17.744,7.064,46.09,8.678,0.348,0.958,18.368,6.716,57.997,8.429,0.226,0.749,13.116,4.926,37.713,6.087,18,35,0.289,0.635,0.748,0.85,0.863,0.863,3.188,0.86,-4.74,-4.65,-4.37,47.4,1,1,0,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,2,1,18,1,0,0,2,0,1,2,0,14,2,0,0,4,0,0,4,12
6.523,0.074,1.718,7.368,3.159,9.978,75.82,8.785,0.714,3.562,3.653,3.323,3.221,4.768,3.175,4.029,4.153,3.734,3.625,5.302,3.547,4.18,4.326,3.66,3.67,5.35,3.554,4.265,4.46,3.567,3.599,5.372,3.471,4.134,4.324,3.499,3.431,5.29,3.314,4.044,4.221,3.354,3.303,5.252,3.207,3.836,4.046,3.034,3.073,4.98,3.01,3.615,3.794,2.828,2.849,4.905,2.803,0.076,0.44,5.204,2.884,9.001,3.121,0.167,0.7,9.953,5.029,31.403,5.712,0.218,0.827,15.885,6.494,26.056,6.952,0.268,0.882,16.811,6.588,29.419,7.542,0.256,0.74,16.458,5.988,39.768,6.514,0.278,0.676,17.891,5.851,36.278,5.65,0.136,0.524,10.94,4.226,22.596,5.106,0.082,0.445,6.075,2.671,9.633,3.203,11,30,0.32,0.713,0.799,0.869,0.881,0.881,3.011,0.959,-3.52,-3.5,-3.34,45.2,1,1,0,0,0,0,5,2,0,0,1,3,0,1,0,0,0,1,1,6,0,1,1,0,1,2,0,11,1,0,1,3,0,0,0,2,1,10,1,0,0,1,0,1,1,0,5,1,0,0,3,0,0,3,6
5.854,0.083,1.598,9.435,3.549,12.593,87.885,7.933,0.68,3.764,3.885,3.373,3.357,4.99,3.34,4.233,4.384,3.727,3.728,5.483,3.695,4.452,4.625,3.744,3.834,5.676,3.773,4.549,4.77,3.649,3.823,5.645,3.731,4.503,4.729,3.59,3.781,5.577,3.685,4.479,4.706,3.528,3.704,5.624,3.61,4.406,4.666,3.378,3.528,5.519,3.432,4.135,4.375,3.235,3.299,5.305,3.229,0.072,0.632,6.921,3.429,10.658,4.153,0.116,0.975,12.203,5.799,24.797,7.324,0.261,1.184,16.552,7.224,43.556,8.856,0.313,1.21,19.974,7.771,45.904,10.227,0.229,1.087,19.418,7.687,44.119,10.32,0.239,1.093,19.052,7.261,42.571,9.602,0.278,1.02,19.483,6.941,51.847,9.225,0.178,0.804,14.095,5.125,34.005,6.734,18,35,0.282,0.624,0.746,0.846,0.858,0.858,3.188,0.867,-4.33,-4.27,-4.03,46.2,1,1,0,0,0,0,8,4,1,0,1,1,0,1,1,1,1,0,0,13,0,1,0,1,1,2,0,18,0,0,1,3,0,1,0,2,0,18,0,1,0,2,0,1,2,1,14,0,1,0,4,0,0,4,12
6.398,0.089,1.625,10.217,4.151,17.23,86.063,8.167,0.68,3.746,3.849,3.376,3.34,4.999,3.331,4.212,4.348,3.734,3.71,5.541,3.685,4.43,4.597,3.747,3.816,5.68,3.761,4.533,4.744,3.636,3.791,5.674,3.704,4.475,4.699,3.534,3.698,5.592,3.609,4.365,4.572,3.434,3.547,5.598,3.475,4.228,4.468,3.18,3.292,5.457,3.216,3.907,4.15,2.922,3.034,5.042,2.962,0.092,0.586,6.357,3.48,11.848,3.936,0.196,0.921,11.289,5.668,35.226,6.848,0.306,1.135,15.518,7.094,43.392,8.514,0.375,1.159,19.235,7.774,50.207,9.911,0.326,0.994,19.606,7.747,55.679,10.015,0.314,0.939,16.865,6.486,45.392,7.953,0.34,0.84,16.337,5.758,51.089,7.05,0.266,0.598,12.21,4.363,49.663,5.366,18,35,0.289,0.635,0.723,0.798,0.826,0.826,3.188,0.86,-4.74,-4.65,-4.37,47.4,1,1,0,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,2,1,18,1,0,0,2,0,1,2,0,13,2,0,0,4,0,0,4,10
6.301,0.076,1.625,8.87,4.151,17.23,86.063,8.167,0.68,3.746,3.849,3.376,3.34,4.999,3.331,4.212,4.348,3.734,3.71,5.542,3.685,4.43,4.597,3.747,3.816,5.669,3.761,4.533,4.743,3.692,3.799,5.688,3.724,4.49,4.696,3.636,3.743,5.686,3.676,4.448,4.647,3.541,3.659,5.691,3.592,4.351,4.592,3.379,3.479,5.503,3.401,4.091,4.309,3.191,3.244,5.331,3.191,0.092,0.586,6.357,3.48,11.848,3.936,0.196,0.921,11.289,5.668,35.346,6.848,0.306,1.135,15.518,7.094,44.071,8.514,0.357,1.173,19.227,7.775,46.933,9.948,0.343,1.084,19.216,7.79,58.273,9.58,0.371,1.073,18.109,7.103,56.875,8.364,0.321,0.929,18.186,6.697,54.399,8.585,0.275,0.765,13.383,4.945,45.738,5.899,18,35,0.289,0.635,0.76,0.873,0.891,0.901,3.189,0.86,-4.74,-4.65,-4.37,47.4,1,1,0,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,2,1,17,1,0,0,2,0,1,2,0,13,2,0,0,4,0,0,4,12
6.046,0.083,1.625,8.826,4.151,17.23,86.063,8.167,0.68,3.746,3.849,3.376,3.34,5.0,3.331,4.212,4.348,3.734,3.71,5.532,3.685,4.431,4.596,3.779,3.815,5.689,3.768,4.544,4.75,3.732,3.797,5.763,3.736,4.5,4.703,3.643,3.742,5.726,3.681,4.442,4.643,3.537,3.659,5.663,3.589,4.357,4.597,3.336,3.479,5.509,3.395,4.075,4.297,3.236,3.245,5.274,3.194,0.092,0.586,6.357,3.48,11.909,3.936,0.196,0.921,11.289,5.668,36.372,6.848,0.284,1.148,15.434,7.094,39.615,8.545,0.389,1.244,19.507,7.813,51.301,9.666,0.397,1.142,19.581,7.828,69.058,9.267,0.344,1.044,17.927,7.083,53.277,8.521,0.37,0.945,18.453,6.716,62.424,8.397,0.2,0.72,12.934,4.906,32.947,6.244,18,35,0.289,0.635,0.757,0.869,0.901,0.901,3.189,0.86,-4.74,-4.65,-4.37,47.4,1,1,0,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,17,1,0,1,3,0,0,0,2,1,16,1,0,0,2,0,1,2,0,13,2,0,0,4,0,0,4,12
6.398,0.092,1.746,10.385,4.888,23.89,91.82,8.789,0.607,3.834,3.932,3.509,3.397,5.118,3.41,4.347,4.478,3.969,3.772,6.131,3.778,4.51,4.664,3.925,3.896,5.852,3.866,4.688,4.894,3.879,3.882,6.013,3.841,4.607,4.82,3.721,3.8,5.854,3.745,4.476,4.672,3.633,3.718,5.695,3.657,4.443,4.663,3.63,3.589,5.741,3.552,4.317,4.528,3.545,3.398,5.738,3.408,0.198,0.787,5.795,3.922,36.691,3.955,0.868,1.595,12.406,6.485,159.902,6.95,0.463,1.401,14.234,7.821,60.747,8.88,0.814,1.564,22.062,9.077,116.424,10.318,0.807,1.308,22.262,8.699,139.422,10.017,0.553,1.097,17.243,7.356,84.117,8.824,0.565,1.14,18.613,7.26,85.327,8.928,0.657,1.138,16.77,6.17,109.535,6.527,41,41,0.306,0.634,0.737,0.831,0.854,0.854,3.304,0.835,-5.19,-5.09,-4.76,46.3,1,1,0,0,1,0,8,5,0,0,1,1,0,1,0,0,0,1,1,15,0,1,1,0,1,2,0,20,1,0,1,3,0,0,0,2,1,19,1,0,0,2,0,1,2,0,15,2,0,0,4,0,0,4,14
5.959,0.098,1.746,11.154,4.888,23.89,91.82,8.789,0.607,3.834,3.932,3.509,3.397,5.118,3.41,4.347,4.478,3.969,3.772,6.131,3.778,4.51,4.664,3.925,3.896,5.854,3.866,4.688,4.894,3.862,3.874,6.018,3.83,4.605,4.83,3.669,3.755,5.844,3.695,4.408,4.608,3.543,3.612,5.645,3.554,4.324,4.544,3.475,3.424,5.669,3.391,4.181,4.408,3.339,3.203,5.613,3.21,0.198,0.787,5.795,3.922,36.691,3.955,0.868,1.595,12.406,6.485,159.791,6.95,0.463,1.401,14.234,7.821,61.246,8.88,0.81,1.559,21.918,9.076,114.535,10.309,0.828,1.273,23.203,8.663,141.823,10.196,0.539,1.01,16.506,6.759,82.399,8.114,0.53,1.013,16.527,6.306,74.631,7.543,0.655,0.998,16.155,5.592,110.948,5.859,41,41,0.306,0.634,0.709,0.76,0.795,0.82,3.303,0.835,-5.19,-5.09,-4.76,46.3,1,1,0,0,1,0,8,5,0,0,1,1,0,1,0,0,0,1,1,15,0,1,1,0,1,2,0,20,1,0,1,3,0,0,0,2,1,19,1,0,0,2,0,1,2,0,14,2,0,0,4,0,0,4,12
