pXC50,SpMAD_EA.ed.,Hy,GATS2v,SpMax3_Bh.p.,SpMin1_Bh.s.,JGI3,P_VSA_LogP_2,Eta_epsi_A,MATS1p,Eta_B_A,MATS2p,CATS2D_03_AA,SpMAD_AEA.ri.,SpMAD_EA,X3A,H.050,nHDon,CATS2D_04_DL,P_VSA_i_4,Me,P_VSA_MR_5,P_VSA_e_3,MATS2v,CATS2D_02_AA,H.052,H.,CATS2D_07_AA,GATS7e,Eig01_AEA.ri.,SpMax_AEA.ri.,GATS1e,Eta_L_A,C.003,nCt,GATS2p,O.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,MATS1m,CATS2D_05_DL,SpMAD_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,X4A,MATS4s,ATSC2e,SpDiam_AEA.ri.,Psi_e_A,Psi_i_A,CATS2D_03_AL,NssO,SssO,AAC,IC0,NddssS,S.110,SddssS,CATS2D_03_DL,SM13_EA.ed.,GATS1m,MATS1i,MAXDN,Eig01_AEA.ed.,Eig01_EA.ed.
7.9,4.157,4.153,1.091,3.854,1.328,0.047,124.52,0.581,0.045,0.028,-0.054,1,1.469,1.469,0.19,8,8,16,108.065,1.004,159.821,108.065,-0.039,1,7,49.1,0,1.408,4.091,4.091,0.77,0.259,3,3,1.16,7.3,3.044,5.044,3.044,0.004,16,1.56,3.111,3.111,3.111,0.123,-0.089,0.575,5.148,8.039,2.539,8,0,0.0,1.538,1.538,0,0,0.0,12,30.991,0.883,-0.014,2.887,6.512,10.185
8.07,4.27,4.89,1.073,3.854,1.328,0.051,124.52,0.585,0.054,0.028,-0.051,1,1.483,1.482,0.184,9,9,16,124.85,1.005,176.606,124.85,-0.029,1,7,48.2,0,1.381,4.228,4.228,0.786,0.257,3,3,1.149,7.0,3.182,5.182,3.182,0.007,14,1.572,3.248,3.248,3.248,0.117,-0.092,0.588,5.286,8.008,2.508,7,0,0.0,1.554,1.554,0,0,0.0,15,31.822,0.869,-0.012,2.894,6.784,11.205
6.89,4.046,4.127,1.13,3.854,1.344,0.045,132.552,0.577,0.043,0.026,-0.095,1,1.457,1.456,0.192,8,8,14,108.065,1.003,159.028,108.065,-0.073,1,9,49.6,0,1.424,4.09,4.09,0.769,0.265,1,1,1.204,7.1,3.043,5.043,3.043,0.005,18,1.536,3.111,3.111,3.111,0.122,-0.083,0.554,5.148,8.015,2.515,7,0,0.0,1.528,1.528,0,0,0.0,11,30.827,0.892,-0.014,2.886,6.511,10.184
7.26,4.164,4.863,1.11,3.854,1.344,0.05,132.552,0.581,0.052,0.027,-0.089,1,1.471,1.47,0.186,9,9,14,124.85,1.004,175.813,124.85,-0.062,1,9,48.7,0,1.397,4.228,4.228,0.784,0.262,1,1,1.191,6.8,3.182,5.182,3.182,0.008,16,1.55,3.248,3.248,3.248,0.117,-0.086,0.566,5.286,7.986,2.486,6,0,0.0,1.543,1.543,0,0,0.0,14,31.754,0.877,-0.012,2.893,6.784,11.205
7.28,4.075,4.964,1.151,3.784,1.326,0.044,132.981,0.584,0.023,0.026,-0.116,1,1.461,1.461,0.193,9,9,13,141.636,1.006,187.617,141.636,-0.087,1,11,49.6,0,1.424,4.134,4.134,0.796,0.272,1,1,1.242,7.1,3.06,5.06,3.06,0.006,17,1.539,3.166,3.166,3.166,0.121,-0.154,0.636,5.193,8.035,2.535,7,0,0.0,1.574,1.574,0,0,0.0,13,31.4,0.889,-0.072,2.88,6.736,10.893
6.29,4.353,4.162,1.08,3.84,1.339,0.044,112.597,0.589,0.015,0.029,-0.061,3,1.499,1.499,0.185,8,8,11,126.749,1.007,176.058,126.749,-0.031,2,10,48.6,0,1.303,4.244,4.244,0.784,0.268,2,2,1.168,7.2,3.16,5.16,3.16,0.015,12,1.584,3.28,3.28,3.28,0.114,-0.154,0.665,5.309,8.026,2.526,8,0,0.0,1.583,1.583,0,0,0.0,13,32.145,0.862,-0.099,2.871,6.904,11.516
6.66,4.322,3.332,1.081,3.854,1.37,0.042,112.597,0.578,0.033,0.029,-0.056,3,1.495,1.494,0.186,7,7,11,93.178,1.003,147.897,93.178,-0.034,2,12,49.1,0,1.341,4.246,4.246,0.755,0.267,2,2,1.153,7.0,3.17,5.17,3.17,0.015,13,1.58,3.278,3.278,3.278,0.114,-0.142,0.567,5.306,7.991,2.491,10,0,0.0,1.526,1.526,0,0,0.0,12,32.143,0.874,-0.043,2.862,6.904,11.515
6.74,4.292,4.918,1.07,3.854,1.326,0.048,122.414,0.589,0.056,0.029,-0.059,1,1.489,1.489,0.187,9,9,14,124.85,1.006,174.5,124.85,-0.032,1,8,47.7,0,1.389,4.228,4.228,0.787,0.253,2,2,1.153,7.2,3.182,5.182,3.182,0.006,14,1.572,3.248,3.248,3.248,0.115,-0.134,0.589,5.286,8.026,2.526,7,0,0.0,1.564,1.564,0,0,0.0,16,31.785,0.86,-0.012,2.895,6.784,11.205
7.3,4.179,4.179,1.088,3.854,1.326,0.044,122.414,0.585,0.047,0.029,-0.063,1,1.476,1.475,0.193,8,8,14,108.065,1.005,157.715,108.065,-0.041,1,8,48.6,0,1.417,4.09,4.09,0.772,0.255,2,2,1.165,7.5,3.044,5.044,3.044,0.003,16,1.559,3.111,3.111,3.111,0.12,-0.131,0.576,5.148,8.058,2.558,8,0,0.0,1.549,1.549,0,0,0.0,13,30.904,0.874,-0.014,2.888,6.512,10.184
4.561,4.199,2.492,1.206,3.032,1.253,0.038,35.432,0.608,-0.037,0.039,-0.201,0,1.479,1.479,0.216,4,4,4,32.897,1.014,35.432,32.897,-0.163,0,0,48.0,0,1.519,4.286,4.286,1.182,0.239,0,0,1.428,12.0,3.272,5.272,3.272,0.25,6,1.487,3.292,3.292,3.292,0.134,-0.235,0.387,5.286,8.447,2.947,1,0,0.0,1.773,1.773,0,0,0.0,3,31.602,0.911,0.2,4.95,7.058,11.368
