pXC50,AMW,H.,Mp,Mv,nCsp3,RBF
4.046,7.799,42.1,0.666,0.644,0,0.103
6.959,9.986,34.2,0.721,0.701,1,0.15
7.512,6.566,53.2,0.605,0.569,14,0.241
6.593,6.566,53.2,0.605,0.569,14,0.241
6.595,6.607,52.9,0.604,0.57,15,0.241
6.488,6.676,52.4,0.605,0.572,14,0.238
4.937,6.768,51.8,0.606,0.575,14,0.241
6.527,6.607,52.9,0.604,0.57,15,0.241
4.59,6.781,50.6,0.633,0.596,13,0.212
7.591,6.544,53.5,0.602,0.567,16,0.244
6.836,6.521,53.6,0.602,0.566,15,0.238
6.567,6.566,53.2,0.605,0.569,14,0.241
6.61,6.564,53.0,0.609,0.572,14,0.241
6.423,6.59,53.1,0.603,0.568,14,0.235
6.812,6.676,52.4,0.605,0.572,14,0.238
6.951,6.599,52.6,0.614,0.577,17,0.219
7.495,6.618,52.2,0.621,0.582,15,0.226
6.582,6.768,51.8,0.606,0.575,14,0.241
6.636,6.692,51.8,0.618,0.583,14,0.221
7.292,6.497,53.7,0.604,0.567,15,0.244
6.343,6.433,54.1,0.604,0.565,16,0.247
6.971,6.612,53.0,0.603,0.569,15,0.253
6.654,6.612,53.0,0.603,0.569,15,0.253
5.387,6.599,53.0,0.603,0.569,18,0.24
4.886,7.815,48.4,0.651,0.6,2,0.129
4.456,7.697,43.8,0.635,0.617,0,0.156
4.398,7.847,50.0,0.685,0.615,4,0.167
4.611,7.447,43.8,0.682,0.647,6,0.087
4.631,8.832,35.3,0.673,0.678,0,0.171
4.796,8.468,37.5,0.667,0.661,0,0.08
5.284,7.51,43.1,0.688,0.653,5,0.079
4.975,7.584,42.6,0.688,0.655,3,0.103
5.708,9.985,31.7,0.692,0.701,1,0.14
4.971,10.441,29.5,0.682,0.706,2,0.13
6.979,9.108,36.6,0.695,0.683,1,0.14
5.914,10.892,31.6,0.743,0.723,1,0.15
4.622,8.1,40.9,0.674,0.659,4,0.13
4.411,7.691,43.2,0.675,0.65,4,0.13
4.0,7.01,47.8,0.664,0.625,5,0.125
5.301,9.597,36.6,0.711,0.687,2,0.14
5.025,8.35,39.0,0.68,0.67,3,0.116
5.095,8.641,36.8,0.688,0.682,2,0.125
5.31,9.985,31.7,0.692,0.701,1,0.14
4.342,10.441,29.5,0.682,0.706,2,0.13
4.796,7.704,41.7,0.696,0.665,1,0.079
5.45,8.806,38.6,0.688,0.671,2,0.13
4.0,9.731,32.6,0.69,0.696,1,0.156
5.033,8.276,40.0,0.669,0.66,4,0.128
6.013,10.424,29.3,0.691,0.711,1,0.14
4.924,10.424,29.3,0.691,0.711,1,0.14
4.86,7.916,41.9,0.679,0.657,3,0.111
5.395,7.676,42.9,0.678,0.652,3,0.136
4.0,7.792,43.5,0.661,0.641,5,0.125
6.509,9.985,31.7,0.692,0.701,1,0.14
5.869,7.978,40.6,0.679,0.66,3,0.152
5.738,10.424,29.3,0.691,0.711,1,0.14
4.0,7.282,45.5,0.677,0.641,4,0.13
5.06,8.533,38.1,0.675,0.671,3,0.136
4.0,10.788,31.7,0.737,0.723,1,0.14
4.582,10.424,29.3,0.691,0.711,1,0.14
4.0,8.966,37.8,0.683,0.672,2,0.149
5.036,8.638,39.5,0.693,0.67,2,0.111
5.369,9.623,34.1,0.685,0.688,2,0.13
