pXC50,nCsp2,AMW,C.,H.,Me,Mi
7.523,20,8.348,44.1,39.0,1.022,1.142
7.495,11,7.067,38.5,48.1,1.0,1.136
8.699,11,7.05,38.0,48.0,0.998,1.139
8.301,11,7.214,38.8,46.9,1.002,1.136
8.222,11,7.067,38.5,48.1,1.0,1.136
8.301,11,7.214,38.8,46.9,1.002,1.136
7.102,11,8.387,40.0,40.0,1.032,1.156
7.699,11,8.155,39.6,41.7,1.028,1.155
7.495,11,6.892,39.2,49.0,0.994,1.134
7.602,11,8.836,41.5,41.5,1.008,1.129
8.523,11,9.152,40.0,37.8,1.039,1.155
8.523,11,7.405,39.6,45.8,1.006,1.141
7.602,11,7.78,39.6,43.8,1.017,1.148
7.495,11,8.53,39.6,39.6,1.038,1.162
6.9,11,8.315,38.8,40.8,1.034,1.156
6.699,11,9.007,40.5,40.5,1.016,1.131
8.097,11,9.301,39.1,37.0,1.046,1.156
8.097,11,7.581,38.8,44.9,1.013,1.143
8.155,11,7.078,38.6,47.7,0.998,1.137
8.699,11,7.031,39.6,47.9,0.996,1.134
9.0,11,7.188,40.0,46.7,0.998,1.134
7.658,11,7.254,39.0,46.3,1.001,1.137
7.377,11,6.892,39.2,49.0,0.994,1.134
7.658,11,6.769,38.9,50.0,0.992,1.135
6.672,11,7.05,38.0,48.0,0.998,1.139
6.772,11,6.915,37.7,49.1,0.996,1.139
7.237,11,6.915,37.7,49.1,0.996,1.139
6.747,17,6.926,41.7,48.3,0.991,1.128
6.87,18,6.979,43.1,47.7,0.99,1.125
7.215,12,6.528,38.9,51.9,0.988,1.133
7.432,18,7.654,43.6,45.5,0.996,1.122
7.161,15,7.101,40.0,47.3,0.996,1.134
6.622,18,7.061,42.4,47.5,0.994,1.125
7.155,20,7.213,44.1,45.8,0.992,1.123
5.772,12,6.915,39.6,49.1,0.996,1.132
7.174,12,6.637,39.2,51.0,0.989,1.133
7.745,18,7.355,43.6,45.5,0.999,1.129
7.027,18,7.355,43.6,45.5,0.999,1.129
6.793,18,6.881,43.5,48.4,0.987,1.123
6.432,12,6.527,39.7,51.7,0.987,1.131
7.119,18,7.061,42.4,47.5,0.994,1.125
6.154,18,7.061,42.4,47.5,0.994,1.125
6.924,17,7.176,42.6,46.3,0.994,1.127
7.523,20,7.349,44.6,44.6,0.994,1.122
7.444,19,7.501,43.6,43.6,0.998,1.126
6.461,18,7.658,42.6,42.6,1.002,1.13
7.076,12,6.431,38.6,52.6,0.986,1.133
6.154,12,6.436,39.3,52.5,0.985,1.131
7.495,17,7.026,41.3,47.6,0.993,1.13
7.187,18,7.654,43.6,45.5,0.996,1.122
6.971,18,6.885,44.6,48.2,0.986,1.119
5.36,18,7.839,46.0,44.0,0.996,1.116
6.239,12,6.15,39.1,54.7,0.981,1.13
6.357,18,7.188,42.9,46.4,0.996,1.125
6.444,12,6.392,40.0,52.7,0.984,1.129
6.812,18,7.176,44.4,46.3,0.994,1.12
6.83,12,6.4,40.7,52.5,0.983,1.127
5.0,12,7.035,42.5,47.5,0.993,1.126
5.762,18,8.176,44.4,40.7,1.023,1.139
5.797,18,7.839,46.0,44.0,0.996,1.116
6.62,18,7.028,43.6,47.3,0.99,1.123
5.899,24,7.226,48.3,45.0,0.987,1.111
6.77,12,6.76,39.6,50.0,0.991,1.132
6.676,12,6.492,41.1,51.8,0.984,1.127
6.629,12,6.492,41.1,51.8,0.984,1.127
6.77,12,6.84,42.6,48.9,0.989,1.125
5.661,12,7.078,40.9,47.7,0.998,1.128
6.475,18,7.176,44.4,46.3,0.994,1.12
6.745,12,6.87,41.9,48.8,0.99,1.127
6.154,18,7.839,46.0,44.0,0.996,1.116
6.767,12,6.491,40.4,51.9,0.985,1.129
7.066,18,7.01,45.3,47.2,0.988,1.118
6.58,12,6.392,40.0,52.7,0.984,1.129
6.815,18,7.045,43.9,47.4,0.992,1.121
7.125,18,7.164,44.2,46.2,0.992,1.122
6.224,18,7.199,43.1,46.6,0.998,1.123
5.0,18,7.176,42.6,46.3,0.994,1.127
6.277,18,7.51,46.0,44.0,1.0,1.124
6.418,18,7.15,46.0,46.0,0.989,1.117
6.133,18,7.176,44.4,46.3,0.994,1.12
6.733,12,6.595,41.5,50.9,0.986,1.126
6.602,12,6.727,41.3,50.0,0.988,1.127
5.733,12,6.87,41.9,48.8,0.99,1.127
7.398,12,6.899,40.0,48.9,0.993,1.132
4.959,13,6.214,40.7,53.7,0.978,1.128
6.377,9,5.855,37.9,56.9,0.975,1.133
5.229,13,6.158,41.0,54.1,0.976,1.127
7.284,13,6.234,41.4,53.4,0.977,1.126
