pXC50,Eta_betaS_A,N.,Hy,Eig11_EA.dm.,GATS8v,ATSC7m,ATSC7v,JGI8,Eig12_EA.ed.,SM07_AEA.ri.,BIC0,SpMin5_Bh.i.,CATS2D_03_LL,ATSC5p,SpMax3_Bh.m.,Eig07_EA.bo.,GATS8p,ATSC1v,ATSC6p,Eta_FL,ATSC5v,P_VSA_i_4,P_VSA_LogP_7,ATS7i,SpMax5_Bh.v.,piPC04,SM04_EA.bo.,CATS2D_08_LL,X1Per,X1MulPer,piID,SpMax2_Bh.i.,Eig06_EA.bo.,ATS5p,Chi1_EA.bo.,Eig07_AEA.bo.,ATSC5i,Eta_beta,ATSC3p,ATS6s,SpMax6_Bh.v.,ATSC6v,P_VSA_s_3,Eig04_AEA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,piPC02,SM02_EA.bo.,Eig06_AEA.bo.,GATS8m,ATS5m,SpMax4_Bh.m.,ATS6e,ATS6v,piPC03,ATS1v,nCt,SpMax6_Bh.p.,X5Av,Eta_betaP,Psi_i_s,ICR,Eig08_AEA.bo.,SpMax6_Bh.m.,Eig12_EA.dm.,piPC01,SCBO,X1Kup
5.27,0.652,3.1,-0.412,0.0,0.973,42.4,21.901,0.012,2.384,2.384,0.228,1.441,10,15.519,3.61,2.393,0.931,8.561,15.134,7.096,21.194,19.91,353.133,5.447,3.328,5.782,7.402,9,9.588,11.564,12.392,4.011,2.488,4.432,14.913,3.228,2.053,38.0,14.012,6.189,3.25,20.681,59.371,3.749,2.949,2.949,4.463,5.15,3.303,1.106,4.289,3.48,5.199,4.328,5.119,3.765,0,3.259,0.025,16.5,68.0,3.106,3.141,3.273,0.0,3.85,46.0,11.886
6.3,0.66,2.8,-0.815,0.0,0.939,47.586,25.02,0.011,3.603,3.603,0.224,1.508,9,18.561,3.837,2.749,0.929,8.563,18.023,10.242,24.496,5.023,364.904,5.582,3.428,5.995,7.642,7,10.368,12.536,13.818,4.016,2.995,4.616,16.907,3.455,2.411,49.75,14.423,6.378,3.298,23.353,59.767,4.029,3.203,3.203,4.694,5.382,3.707,1.048,4.479,3.588,5.341,4.529,5.345,3.9,0,3.299,0.024,24.0,82.833,3.225,3.29,3.328,0.0,4.06,57.0,12.935
5.95,0.662,3.3,-0.421,0.0,0.957,33.793,17.505,0.011,2.974,2.974,0.233,1.435,10,14.029,3.831,2.408,0.891,6.986,12.986,9.094,17.564,19.91,282.506,5.242,3.308,5.881,7.535,12,9.125,11.072,13.44,4.01,2.948,4.32,14.899,3.265,1.851,45.0,12.501,6.123,3.118,16.495,52.418,3.9,3.073,3.073,4.598,5.286,3.6,1.123,4.233,3.57,5.043,4.207,5.241,3.775,0,3.097,0.024,22.5,71.667,3.21,3.175,3.23,0.0,3.951,51.0,11.383
5.62,0.645,3.4,-0.393,0.0,0.954,39.087,19.854,0.013,1.745,1.745,0.246,1.433,10,15.128,3.711,2.393,0.878,7.643,14.952,6.541,19.157,19.91,338.268,5.346,3.32,5.776,7.394,8,8.754,10.583,12.277,4.007,2.483,4.398,13.913,3.225,1.952,36.5,13.333,6.108,3.184,19.142,82.829,3.749,2.949,2.949,4.44,5.127,3.298,1.003,4.279,3.512,5.107,4.257,5.107,3.715,0,3.201,0.027,16.5,63.333,2.983,3.14,3.274,0.0,3.807,44.0,11.036
5.21,0.7,7.7,-0.349,0.0,0.932,29.89,14.634,0.013,2.273,2.273,0.258,1.363,7,11.793,3.753,2.406,0.893,5.807,11.174,7.901,15.488,56.292,235.422,5.13,3.271,5.892,7.513,5,7.963,9.668,13.129,4.013,2.822,4.239,13.331,3.239,1.751,40.0,9.821,5.894,3.029,14.967,44.797,3.917,2.988,2.988,4.533,5.22,3.45,1.013,4.166,3.526,4.946,4.091,5.209,3.635,0,3.041,0.023,19.0,61.167,2.961,3.175,3.048,0.0,3.839,45.5,9.972
5.95,0.653,3.5,-0.457,0.0,0.939,35.005,19.272,0.011,2.499,2.499,0.221,1.433,17,14.914,3.809,2.405,0.902,7.12,13.936,8.153,20.416,19.91,282.506,5.289,3.297,5.834,7.485,11,8.668,10.511,13.364,4.012,2.802,4.381,13.676,3.23,1.929,41.25,12.354,5.899,3.058,19.041,43.169,3.871,2.989,2.989,4.535,5.223,3.426,1.03,4.141,3.547,5.055,4.228,5.187,3.724,0,3.067,0.026,21.0,59.5,3.112,3.175,3.07,0.0,3.871,47.0,10.837
5.71,0.655,3.8,-0.371,0.0,0.893,33.081,16.786,0.014,1.586,1.586,0.258,1.387,9,13.681,3.706,2.393,0.831,6.521,12.837,6.603,16.725,19.91,291.184,5.181,3.254,5.748,7.382,7,7.852,9.531,12.148,4.006,2.408,4.272,12.925,3.175,1.737,35.5,11.588,5.933,3.049,16.289,77.76,3.747,2.948,2.948,4.416,5.103,3.266,1.002,4.155,3.494,4.944,4.088,5.082,3.637,0,3.121,0.026,16.5,60.333,2.94,3.124,3.211,0.0,3.761,42.0,9.975
5.51,0.667,3.6,-0.382,0.0,0.842,34.97,18.511,0.014,1.587,1.587,0.243,1.405,8,13.671,3.589,2.393,0.768,6.928,12.863,7.096,17.946,19.91,282.506,5.275,3.283,5.767,7.391,5,8.326,10.096,12.214,4.01,2.469,4.304,13.352,3.216,1.801,36.5,11.615,6.076,3.081,16.935,51.767,3.748,2.949,2.949,4.428,5.115,3.287,1.03,4.188,3.415,5.044,4.166,5.101,3.653,0,3.092,0.024,16.5,63.5,2.961,3.139,3.082,0.0,3.784,43.0,10.386
4.55,0.647,2.9,-0.421,0.0,0.967,44.506,23.095,0.012,2.402,2.402,0.224,1.442,11,16.269,3.617,2.393,0.919,9.097,15.905,7.096,22.435,19.91,376.675,5.497,3.33,5.786,7.405,10,10.004,12.054,12.445,4.011,2.488,4.468,15.413,3.228,2.134,38.5,14.789,6.213,3.277,21.944,61.905,3.749,2.949,2.949,4.474,5.162,3.303,1.123,4.308,3.515,5.244,4.359,5.125,3.8,0,3.285,0.026,16.5,69.5,3.181,3.141,3.3,0.0,3.871,47.0,12.386
4.66,0.682,3.4,-0.702,-1.392,0.0,4.927,2.764,0.0,0.0,0.0,0.283,0.804,0,3.216,2.947,-1.0,0.0,3.762,2.562,1.649,5.333,0.0,200.109,3.58,2.57,2.944,5.22,0,3.305,3.873,4.663,3.695,-0.836,2.907,5.454,0.0,0.378,7.5,5.057,4.511,2.44,4.323,6.698,1.732,-0.228,-0.228,2.833,3.497,0.164,0.0,2.493,2.499,3.934,2.409,2.708,2.683,0,2.46,0.045,0.0,22.167,1.868,0.0,2.464,0.0,2.485,11.0,4.113
