pXC50,nAB,nO,MW,nSK,nAT,nBO,Si,nBT,nCsp2
4.606,12,12,604.67,43,79,44,89.568,80,17
5.046,12,12,673.79,48,91,49,103.312,92,18
4.523,12,12,604.67,43,79,44,89.568,80,17
5.706,18,13,765.89,55,102,57,115.352,104,24
4.777,12,12,659.76,47,88,48,99.897,89,18
4.1,6,2,294.46,20,42,21,47.487,43,7
4.607,22,4,555.71,40,69,46,77.232,75,20
4.097,6,0,282.39,21,39,23,44.481,41,7
4.1,17,5,465.53,33,52,36,58.365,55,20
4.1,12,2,317.41,24,43,27,47.654,46,17
4.17,12,5,377.46,26,45,27,50.784,46,14
4.097,11,1,256.38,19,39,21,43.943,41,9
4.0,18,7,476.52,35,59,37,66.03,61,22
4.1,6,3,219.26,16,29,17,32.618,30,9
4.1,22,5,462.52,33,51,36,56.867,54,21
4.097,12,4,319.41,22,39,23,43.578,40,13
4.1,17,4,321.35,24,39,26,43.242,41,17
4.1,6,6,508.84,33,52,33,61.218,52,9
4.185,16,6,463.53,34,59,39,66.319,64,15
4.538,12,3,326.75,23,34,25,37.645,36,17
4.0,16,2,387.92,26,44,29,49.099,47,14
5.759,18,5,521.39,34,55,36,61.037,57,22
4.1,11,3,312.1,18,24,19,27.377,25,9
4.255,16,2,399.54,27,44,30,49.242,47,13
4.1,6,4,293.4,21,44,22,49.903,45,7
4.026,6,5,323.37,21,30,22,33.046,31,12
4.1,12,2,335.84,22,36,23,40.269,37,13
5.773,0,2,235.28,17,30,18,34.571,31,5
4.1,11,4,384.92,25,46,27,51.85,48,9
4.415,17,5,366.36,27,41,29,46.116,43,17
4.352,17,5,485.99,32,48,35,52.651,51,21
4.1,22,2,465.6,33,57,36,64.322,60,19
4.0,22,4,388.45,29,49,32,54.571,52,20
4.1,12,2,311.18,20,32,21,35.795,33,12
4.0,11,0,316.53,21,41,23,45.573,43,11
4.0,12,4,540.17,35,65,38,73.511,68,13
4.572,21,2,381.86,26,38,29,41.854,41,19
4.121,12,4,426.55,29,47,31,51.996,49,18
4.1,6,2,297.86,20,44,21,49.844,45,6
4.1,16,1,345.44,26,45,29,50.607,48,17
4.1,12,4,394.51,29,55,32,61.817,58,15
4.1,17,4,571.75,42,79,46,89.554,83,19
4.1,16,2,252.29,19,31,21,34.491,33,14
4.358,6,1,341.95,22,46,23,52.136,47,7
4.1,11,3,272.33,20,36,21,40.531,37,12
4.1,16,1,315.18,19,30,22,33.124,33,14
4.1,18,5,415.47,31,52,34,57.697,55,21
4.499,12,4,382.47,27,45,29,50.076,47,17
4.1,11,4,383.54,25,46,27,51.909,48,10
4.1,6,0,317.31,19,37,20,41.541,38,7
