pXC50,P_VSA_LogP_1,MATS2v,SsCH3,NsCH3,GATS5i,MATS3v,CATS2D_06_AL,Eta_betaS_A,H.051,N.072,GATS5p,GNar,DECC,MATS3p,Eta_sh_p,ICR,GATS3v,P_VSA_LogP_2,SpMAD_AEA.ed.,C.001,HNar,PDI,NsssN,SsssN,Vindex,X0A,Yindex,BAC,CATS2D_06_DA,P_VSA_MR_3,X1A,MATS5i,C.019,MATS2p,N.074,Xindex,nCp,Eig02_EA.bo.,SM12_AEA.ri.,LOC,nCrs,MCD,SsOH,SM02_EA.dm.,SM04_EA.dm.,HVcpx,IDE,ATS6m,NdssC,nCONN,nR.Cs,C.041,CATS2D_05_DL,MATS2m,ATS5m,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpAD_EA.dm.,SpDiam_EA.dm.
7.74,44.126,0.116,8.945,5,1.135,0.101,21,0.612,8,0,1.067,2.022,1.892,0.11,0.176,3.024,0.878,14.254,1.578,5,1.869,0.942,0,0.0,0.186,0.717,0.515,62,4,11.0,0.448,-0.117,1,0.083,1,0.29,5,3.897,3.897,1.258,0,0.605,10.89,2.697,3.31,3.584,3.845,4.642,6,0,1,0,0,0.164,4.538,4.106,5.002,5.957,6.944,7.949,11.372,3.349
8.386,44.126,0.14,8.954,5,1.186,0.137,22,0.618,8,0,1.123,2.023,1.5,0.147,0.187,2.785,0.842,14.254,1.598,5,1.862,0.944,0,0.0,0.207,0.717,0.598,62,4,11.0,0.445,-0.164,1,0.103,1,0.316,5,4.251,4.251,1.298,0,0.583,10.888,2.697,3.31,3.356,3.585,4.623,6,0,1,0,0,0.185,4.507,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.04,44.126,0.116,8.954,5,1.165,0.129,22,0.612,8,0,1.105,2.022,1.521,0.137,0.176,2.827,0.85,14.254,1.582,5,1.869,0.942,0,0.0,0.201,0.717,0.575,62,4,11.0,0.448,-0.136,1,0.083,1,0.308,5,4.028,4.028,1.258,0,0.605,10.932,2.697,3.31,3.459,3.671,4.691,6,0,1,0,0,0.164,4.585,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.137,35.301,0.079,7.113,4,1.097,0.119,22,0.615,5,0,0.995,2.039,1.344,0.105,0.153,2.624,0.856,14.254,1.563,4,1.897,0.943,0,0.0,0.223,0.713,0.671,49,4,11.0,0.449,-0.06,1,0.047,1,0.334,4,3.973,3.973,1.249,0,0.622,11.04,2.697,3.31,3.23,3.444,4.747,6,0,1,0,0,0.133,4.588,4.106,5.002,5.957,6.944,7.949,11.372,3.349
6.489,69.579,0.188,13.175,7,1.078,0.003,11,0.611,0,0,1.058,1.956,2.005,0.005,0.228,3.193,1.067,14.778,1.623,2,1.793,0.899,1,2.472,0.211,0.73,0.573,101,0,0.0,0.456,-0.046,0,0.226,1,0.333,2,3.909,3.909,1.057,5,0.5,0.0,3.023,4.455,3.692,3.887,4.297,0,0,0,0,0,0.077,4.351,6.24,8.078,9.923,11.769,13.615,13.514,5.034
6.444,25.378,0.118,3.167,2,1.116,0.01,8,0.62,3,0,1.244,2.015,1.034,0.044,0.167,2.375,0.942,0.0,1.587,1,1.852,0.937,0,0.0,0.278,0.719,0.843,31,0,61.747,0.445,-0.107,0,0.161,1,0.412,1,3.935,3.935,1.127,1,0.68,10.297,3.772,5.994,2.962,3.099,4.001,3,0,0,0,2,0.092,4.11,8.449,10.968,13.514,16.073,18.642,17.934,7.163
9.0,48.161,0.196,8.499,5,1.116,0.237,17,0.612,3,0,1.028,1.881,0.987,0.215,0.281,2.338,0.747,9.185,1.63,4,1.689,0.892,0,0.0,0.361,0.749,1.124,106,2,61.747,0.459,-0.063,1,0.121,1,0.53,4,4.027,4.027,1.618,0,0.414,10.595,3.771,5.487,2.944,3.119,4.562,6,0,1,0,1,0.123,4.443,7.474,9.55,11.662,13.79,15.928,22.497,5.9
7.097,48.161,0.196,8.609,5,1.113,0.201,19,0.612,3,0,0.998,1.881,0.987,0.187,0.281,2.338,0.782,9.185,1.624,4,1.689,0.892,0,0.0,0.359,0.749,1.116,106,2,61.747,0.459,-0.077,1,0.121,1,0.527,4,3.964,3.964,1.618,0,0.414,10.595,3.771,5.487,2.936,3.12,4.635,6,0,1,0,1,0.123,4.441,7.474,9.55,11.662,13.79,15.928,22.497,5.9
4.523,8.825,-0.097,1.771,1,0.861,-0.006,4,0.63,2,1,1.034,2.005,2.28,0.129,0.137,3.102,0.968,30.207,1.512,1,1.851,0.954,0,0.0,0.178,0.72,0.456,29,1,0.0,0.441,-0.162,0,-0.077,0,0.293,2,3.688,3.688,1.155,2,0.556,0.0,3.164,4.764,3.656,3.887,3.681,1,0,0,0,2,0.084,3.744,6.755,8.888,11.071,13.27,15.477,13.305,4.531
4.523,8.396,0.108,1.997,1,1.056,-0.053,4,0.657,0,0,1.001,2.088,1.649,-0.053,0.108,2.911,1.077,15.169,1.551,0,1.94,1.014,2,3.991,0.203,0.704,0.574,18,0,0.0,0.43,-0.153,0,0.182,0,0.313,1,3.908,3.908,0.76,1,0.815,0.0,3.162,5.426,3.343,3.484,3.935,0,0,0,0,1,0.091,3.995,8.058,10.734,13.416,16.1,18.783,12.165,5.335
4.699,8.825,-0.014,1.991,1,0.908,-0.02,3,0.663,3,0,0.971,2.172,2.231,0.02,0.04,3.075,0.963,8.423,1.492,1,2.108,1.018,1,2.322,0.163,0.683,0.423,2,0,0.0,0.441,0.057,0,-0.017,0,0.264,1,3.675,3.675,0.362,0,0.923,0.0,0.956,0.447,3.594,3.776,3.449,0,0,0,0,2,-0.002,3.602,0.252,0.158,0.103,0.067,0.043,3.2,1.2
