pXC50,CATS2D_08_PP,SsssN,SpMin3_Bh.e.,SM05_EA.dm.,SdO,SpMax7_Bh.p.,SpMin1_Bh.s.,ATSC6p,Yindex,Vindex,ATS6p,SM13_EA.dm.,ATS8i,SM11_EA.dm.,ATSC6m,ATSC7p,ATSC7v,ATSC8m,ATSC6i,ATS8e,ATS6v,ATSC7m,ATS6i,Infective.50,ATS5p,ATS7e,ATS5i,ATS2i,Eta_C,ON1V,SM15_EA.dm.,ATSC6v,Eta_L,ATSC5i,ATS7p,ATS5e,DLS_04,SpMin8_Bh.v.,ATSC8i,Inflammat.80,ATS5v,SM03_EA.dm.,ATSC5v,ATSC5p,ATSC7i,MATS1i,ATS2e,ATS3e,ATS7i,ATS7v,ATS4e,ATSC4v,ATSC5m,Se,ATS4v,ATSC8v,ATSC3i,SpMax8_Bh.s.,ATS4p,Si,ATS6e,SM07_EA.dm.,SpMin8_Bh.p.,ATS4i,ATSC8p,ON0V,ATS1i,ATS8p,CATS2D_08_DP
7.721,0,2.277,1.812,3.476,13.113,3.118,1.366,17.79,0.63,0.214,4.549,9.544,5.563,8.057,52.142,18.506,26.997,46.957,2.399,5.305,4.43,51.405,5.65,0,4.497,5.397,5.555,4.995,32.925,4.036,11.024,25.651,7.835,2.285,4.541,5.323,1.0,1.415,2.215,0,4.397,1.858,23.091,15.936,2.4,-0.12,4.797,5.042,5.665,4.408,5.183,20.329,47.752,63.432,4.335,23.594,1.847,3.996,4.425,72.225,5.403,5.034,1.379,5.395,16.052,12.6,4.365,4.453,0
8.222,0,2.402,1.814,3.476,13.154,3.171,1.411,19.726,0.63,0.214,4.645,9.544,5.644,8.057,54.563,20.778,30.693,49.33,2.656,5.37,4.496,55.805,5.73,0,4.586,5.491,5.613,5.029,34.686,4.286,11.024,29.115,8.245,2.473,4.629,5.369,1.0,1.415,2.402,0,4.457,1.858,25.933,17.574,2.652,-0.082,4.822,5.086,5.778,4.467,5.242,22.83,49.452,64.989,4.386,26.711,1.972,3.945,4.503,74.431,5.467,5.034,1.38,5.472,17.921,12.933,4.39,4.528,0
6.747,0,2.41,1.82,3.476,13.217,3.172,1.412,21.063,0.588,0.204,4.694,9.544,5.723,8.057,58.203,21.328,31.504,52.927,2.797,5.445,4.538,56.836,5.806,0,4.669,5.515,5.719,5.121,39.304,4.786,11.024,31.292,9.24,2.693,4.672,5.468,1.0,1.56,2.558,0,4.527,1.858,29.111,19.619,2.731,-0.078,4.909,5.185,5.795,4.51,5.342,25.797,54.605,70.756,4.475,28.928,2.155,3.996,4.601,81.261,5.534,5.034,1.517,5.575,19.339,14.267,4.471,4.593,0
7.658,0,2.284,1.808,3.476,13.11,3.171,1.409,19.463,0.648,0.218,4.622,9.544,5.615,8.057,54.866,20.139,29.246,49.892,2.691,5.353,4.483,55.453,5.725,0,4.558,5.464,5.574,4.983,33.897,4.078,11.024,28.387,8.083,2.493,4.596,5.339,0.8,1.388,2.637,0,4.442,1.858,24.198,16.924,2.698,-0.076,4.784,5.061,5.745,4.457,5.198,20.356,47.915,62.618,4.361,24.714,2.041,3.996,4.453,71.355,5.462,5.034,1.367,5.416,17.342,12.076,4.351,4.488,0
8.0,0,2.31,1.807,3.476,13.111,3.171,1.409,19.479,0.638,0.216,4.622,9.544,5.607,8.057,54.813,20.092,29.456,48.519,2.663,5.34,4.481,55.352,5.725,0,4.558,5.463,5.574,4.983,33.754,4.072,11.024,28.324,8.082,2.493,4.597,5.339,0.8,1.388,2.453,0,4.442,1.858,24.198,16.924,2.642,-0.076,4.784,5.061,5.745,4.449,5.19,20.685,47.915,62.618,4.357,25.134,2.021,3.996,4.453,71.355,5.461,5.034,1.367,5.41,17.287,12.076,4.351,4.49,0
6.759,0,2.408,1.817,3.476,13.187,3.171,1.412,20.398,0.606,0.208,4.67,9.544,5.684,8.057,56.411,21.046,31.087,51.143,2.727,5.408,4.517,56.297,5.769,0,4.629,5.503,5.667,5.076,36.663,4.661,11.024,30.216,8.841,2.584,4.651,5.419,1.0,1.542,2.48,0,4.493,1.858,27.533,18.6,2.691,-0.08,4.866,5.135,5.787,4.488,5.273,23.817,52.05,67.872,4.428,27.826,2.052,3.996,4.547,77.846,5.502,5.034,1.496,5.498,18.631,13.433,4.431,4.561,0
8.046,0,2.41,1.82,3.476,13.217,3.172,1.412,21.063,0.588,0.204,4.694,9.544,5.723,8.057,58.203,21.328,31.504,52.927,2.797,5.445,4.538,56.836,5.806,0,4.669,5.515,5.719,5.121,39.304,4.786,11.024,31.292,9.24,2.693,4.672,5.468,1.0,1.56,2.558,0,4.527,1.858,29.111,19.619,2.731,-0.078,4.909,5.185,5.795,4.51,5.342,25.797,54.605,70.756,4.475,28.928,2.155,3.996,4.601,81.261,5.534,5.034,1.517,5.575,19.339,14.267,4.471,4.593,0
8.155,0,2.193,1.812,6.728,13.146,3.171,1.411,20.512,0.6,0.207,4.653,17.442,5.657,14.759,59.782,20.828,29.979,51.927,2.9,5.395,4.525,59.429,5.787,0,4.596,5.509,5.62,5.054,38.664,4.205,20.125,28.824,8.818,2.763,4.627,5.391,1.0,1.39,2.657,0,4.5,4.007,24.662,17.852,2.769,-0.064,4.863,5.104,5.788,4.491,5.274,21.032,49.646,66.527,4.428,25.768,2.238,4.225,4.502,75.45,5.524,9.401,1.405,5.491,17.835,12.612,4.402,4.54,0
7.602,0,2.169,1.791,6.728,13.124,3.165,1.394,19.105,0.62,0.212,4.638,17.442,5.623,14.759,51.163,20.52,29.421,50.651,2.629,5.356,4.517,57.944,5.667,0,4.558,5.49,5.58,5.006,36.236,3.955,20.125,27.292,8.318,2.592,4.616,5.348,0.8,1.382,2.498,0,4.467,4.007,23.013,16.723,2.743,-0.066,4.818,5.053,5.765,4.481,5.229,19.75,47.853,63.643,4.396,24.404,2.165,4.218,4.463,72.035,5.422,9.401,1.371,5.441,16.966,12.112,4.359,4.466,0
6.66,0,2.384,1.808,3.476,13.173,3.171,1.41,20.063,0.606,0.208,4.653,9.544,5.658,8.057,56.577,20.426,30.155,50.561,2.685,5.388,4.507,55.827,5.764,0,4.61,5.484,5.639,5.043,35.095,4.244,11.024,29.658,8.339,2.527,4.628,5.397,1.0,1.495,2.41,0,4.48,1.858,26.63,18.068,2.624,-0.117,4.842,5.088,5.763,4.474,5.24,22.382,50.67,66.316,4.407,26.896,1.952,3.996,4.514,75.64,5.498,5.034,1.46,5.457,18.051,13.1,4.407,4.535,0
