pXC50,RBN,nCsp2,nBM,nCsp3,nBT,H.,nSK,nHet,nDB,RBF,Se,Si,nO,nAT,nH,Mv,nBO
8.52,20,21,23,14,96,46.8,50,15,7,0.208,95.345,106.763,9,94,44,0.612,52
7.638,23,27,29,16,118,47.0,61,18,7,0.195,116.41,130.63,10,115,54,0.612,64
5.745,8,16,16,9,64,46.8,33,8,4,0.125,62.429,69.94,5,62,29,0.621,35
5.602,8,15,15,11,67,50.8,32,6,3,0.119,64.541,73.351,3,65,33,0.602,34
5.678,8,9,9,14,64,54.0,29,6,3,0.125,62.65,71.477,4,63,34,0.577,30
5.745,9,21,21,10,75,48.6,37,6,3,0.12,71.425,80.766,3,72,35,0.62,40
6.161,11,22,22,10,80,46.8,41,9,4,0.138,77.181,86.683,5,77,36,0.625,44
5.658,9,21,21,9,75,47.2,38,8,3,0.12,71.97,81.059,4,72,34,0.623,41
5.62,9,21,21,9,73,47.1,37,7,3,0.123,69.869,78.561,4,70,33,0.626,40
6.377,9,21,21,9,73,45.7,38,8,3,0.123,70.381,78.9,4,70,32,0.632,41
6.046,11,22,22,10,78,46.7,40,8,4,0.141,75.08,84.185,5,75,35,0.628,43
6.538,9,22,22,8,74,45.1,39,9,4,0.122,71.414,79.853,5,71,32,0.634,42
5.886,9,21,21,9,73,47.1,37,7,3,0.123,69.618,78.271,3,70,33,0.633,40
4.959,21,21,23,16,104,48.0,53,16,7,0.202,103.214,116.092,9,102,49,0.604,55
8.77,20,27,29,14,110,43.9,60,19,7,0.182,109.527,122.4,8,107,47,0.627,63
5.824,8,16,16,12,75,47.2,38,10,4,0.107,72.625,81.478,6,72,34,0.615,41
6.097,9,21,22,9,74,46.5,38,8,4,0.122,70.945,79.481,4,71,33,0.634,41
5.284,7,15,15,11,67,50.8,32,6,3,0.104,64.541,73.351,3,65,33,0.602,34
5.886,8,16,16,10,69,47.8,35,9,4,0.116,67.414,75.853,5,67,32,0.612,37
5.886,10,22,22,9,75,45.8,39,8,4,0.133,72.196,80.77,5,72,33,0.633,42
5.658,8,21,21,9,72,47.8,36,6,3,0.111,68.541,77.351,3,69,33,0.625,39
5.77,8,17,19,18,89,49.4,42,7,3,0.09,82.403,93.221,4,83,41,0.614,48
8.638,23,27,29,17,120,47.9,61,17,7,0.192,117.967,132.836,9,117,56,0.609,64
8.796,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
6.638,27,22,26,20,126,47.6,65,23,10,0.214,126.338,141.507,13,124,59,0.604,67
5.284,22,21,23,18,111,48.6,56,17,7,0.198,110.308,124.132,10,109,53,0.6,58
6.284,13,18,22,12,77,51.4,36,6,2,0.169,73.083,83.47,2,74,38,0.601,39
7.538,13,20,23,12,79,51.3,37,5,2,0.165,74.865,85.387,2,76,39,0.605,40
5.248,13,14,17,12,70,52.9,32,6,2,0.186,67.199,77.055,2,68,36,0.587,34
9.222,33,30,34,19,143,44.3,78,29,12,0.231,143.458,158.889,16,140,62,0.628,81
4.959,14,13,14,13,69,52.9,32,6,3,0.203,67.534,76.893,4,68,36,0.586,33
5.886,14,11,13,13,67,53.0,31,7,3,0.209,65.752,74.976,4,66,35,0.581,32
5.456,14,12,14,13,68,52.2,32,7,3,0.206,66.752,75.976,4,67,35,0.587,33
6.745,7,25,29,4,65,42.6,35,6,2,0.108,60.781,67.979,2,61,26,0.661,39
7.174,16,25,29,13,93,49.4,45,7,2,0.172,88.061,99.925,3,89,44,0.615,49
7.319,13,19,23,12,78,49.3,38,7,2,0.167,74.596,84.81,2,75,37,0.611,41
7.678,13,19,23,12,80,49.4,39,8,2,0.163,76.738,86.889,4,77,38,0.609,42
5.284,13,20,23,12,80,50.6,38,6,2,0.163,76.192,86.597,3,77,39,0.606,41
5.377,14,13,14,13,69,52.9,32,6,3,0.203,67.534,76.893,4,68,36,0.586,33
7.337,13,18,20,13,79,50.0,38,7,3,0.165,75.41,85.68,3,76,38,0.608,41
6.056,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
6.398,11,26,30,6,74,42.9,40,8,3,0.149,70.203,78.228,4,70,30,0.654,44
6.721,13,16,18,12,72,50.0,35,7,2,0.181,69.629,78.86,2,70,35,0.616,37
5.824,13,16,18,13,77,53.3,35,6,2,0.169,73.967,84.886,2,75,40,0.587,37
5.959,13,16,18,13,77,53.3,35,6,2,0.169,73.967,84.886,2,75,40,0.587,37
5.377,14,12,14,13,68,52.2,32,7,3,0.206,66.752,75.976,4,67,35,0.587,33
5.947,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
7.638,13,19,23,12,78,50.7,37,6,2,0.167,74.083,84.47,2,75,38,0.606,40
7.726,32,29,33,24,152,47.7,78,25,11,0.211,151.294,169.417,15,149,71,0.607,81
6.35,16,29,32,14,106,46.5,54,11,5,0.151,101.028,113.467,6,101,47,0.628,59
4.7,3,20,20,2,49,39.1,28,6,2,0.061,46.258,51.077,2,46,18,0.69,31
5.5,18,25,27,11,92,46.1,48,12,5,0.196,89.705,100.431,7,89,41,0.625,51
6.8,17,29,32,12,102,45.9,53,12,5,0.167,98.472,110.261,7,98,45,0.629,57
6.0,17,29,32,10,95,44.0,51,12,5,0.179,91.89,102.561,6,91,40,0.64,55
7.2,17,29,32,10,95,45.1,50,11,5,0.179,91.378,102.222,6,91,41,0.636,54
6.7,17,29,32,15,110,46.7,56,12,5,0.155,105.239,118.092,7,105,49,0.626,61
6.1,17,29,32,13,105,43.6,57,15,5,0.162,102.894,114.696,7,101,44,0.637,61
6.7,17,29,32,12,102,44.9,54,13,5,0.167,98.985,110.601,7,98,44,0.633,58
5.1,7,17,17,17,87,47.6,43,9,5,0.08,82.174,92.225,6,82,39,0.62,48
7.2,18,29,32,13,106,46.1,55,13,5,0.17,102.683,114.886,8,102,47,0.626,59
7.699,18,20,22,14,95,48.4,48,14,6,0.189,93.792,105.843,7,93,45,0.604,50
