pXC50,Eig03_AEA.dm.,P_VSA_s_5,H.051,NssNH,X2A,SM02_EA.dm.,SM04_EA.dm.,Eig02_EA.bo.,MATS4s,NaasC,SM08_EA.bo.,SM12_AEA.ri.,MCD,SM11_EA.bo.,SM12_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,X1A,SM07_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,C.008,Eta_beta_A,C.026,C.039,DBI,nArCO,nArOH,nCb.,CATS2D_04_DD,SM03_EA.dm.,Eig01_EA.bo.,SM06_EA.bo.,SM11_AEA.ri.,SpMax1_Bh.e.,SpMax_EA.bo.,Eig01_AEA.bo.,SpDiam_AEA.bo.,SpMax_AEA.bo.,MATS4e,SM03_EA.bo.,Mv,MPC09,nCIC,nCIR,Rperim,TRS,NsssCH,C.040,nDB,Eta_C_A,Eta_FL_A,O.057,NdssC,GNar,ATS6i,SpMax1_Bh.s.,DLS_05,GATS1v,N.072,D.Dtr10,nR10,Eig03_EA.ed.,Qindex,SM12_AEA.dm.
5.62,3.53,18.011,3,1,0.315,3.047,3.976,3.204,-0.158,0,10.709,3.204,0.316,14.293,15.559,18.032,19.265,0.46,9.364,11.825,13.113,3,0.974,0,0,3.873,0,0,0,0,2.221,3.563,8.38,3.563,3.927,3.563,4.319,5.25,4.319,-0.121,4.29,0.592,2.565,1,1,6,6,3,3,4,0.861,0.22,1,4,1.772,4.819,7.475,1.0,1.122,2,0.0,0,7.583,11,7.583
7.602,3.531,18.011,3,1,0.32,3.159,4.035,3.205,-0.163,0,10.884,3.205,0.273,14.436,15.711,18.18,19.409,0.46,9.513,11.971,13.274,3,1.011,0,0,4.359,0,0,0,0,2.311,3.591,8.57,3.591,3.938,3.591,4.341,5.275,4.341,-0.124,4.443,0.594,3.258,1,1,6,6,3,3,5,0.894,0.232,1,5,1.778,5.065,7.475,1.0,1.087,2,0.0,0,7.854,12,7.854
8.398,3.531,18.011,3,1,0.311,3.047,3.976,3.233,-0.09,0,10.747,3.233,0.25,14.33,15.596,18.069,19.304,0.471,9.394,11.859,13.149,3,0.875,0,0,4.472,0,0,0,0,2.221,3.567,8.427,3.567,3.941,3.567,4.327,5.272,4.327,-0.061,4.29,0.568,3.638,1,1,6,6,3,3,4,1.099,0.171,1,4,1.817,5.317,7.475,1.0,1.225,2,0.0,0,7.857,11,7.857
6.699,3.132,36.022,3,2,0.319,2.488,3.301,2.932,-0.098,0,10.425,2.932,0.333,13.982,15.258,17.729,18.958,0.47,9.049,11.51,12.817,3,0.861,0,0,3.464,0,0,0,1,1.593,3.525,8.121,3.525,3.953,3.525,4.245,5.187,4.245,-0.104,4.007,0.563,2.565,1,1,6,6,3,2,3,0.966,0.172,1,3,1.817,4.949,7.475,1.0,1.162,1,0.0,0,5.832,9,5.832
7.046,3.28,18.011,3,1,0.31,2.54,3.322,2.981,-0.079,0,10.513,2.981,0.3,14.073,15.347,17.822,19.054,0.47,9.148,11.604,12.904,3,0.838,0,0,3.873,0,0,0,0,1.668,3.543,8.211,3.543,3.968,3.543,4.287,5.234,4.287,-0.081,4.111,0.556,2.833,1,1,6,6,3,2,3,1.09,0.163,1,3,1.808,5.335,7.475,1.0,1.24,1,0.0,0,7.353,10,7.353
8.222,3.326,18.011,3,1,0.305,2.54,3.322,3.013,-0.074,0,10.568,3.013,0.286,14.12,15.389,17.859,19.09,0.467,9.217,11.66,12.953,4,0.821,0,0,4.123,0,0,0,0,1.668,3.547,8.272,3.547,3.973,3.547,4.3,5.25,4.3,-0.086,4.205,0.553,3.045,1,1,6,6,4,2,3,1.159,0.155,1,3,1.792,5.449,7.475,1.0,1.255,1,0.0,0,7.836,11,7.836
5.569,3.533,36.022,5,2,0.318,2.877,3.792,2.973,-0.161,0,10.544,2.973,0.316,14.069,15.334,17.79,19.014,0.466,9.193,11.623,12.912,3,0.934,0,0,3.742,0,0,0,1,2.179,3.529,8.262,3.529,3.954,3.529,4.253,5.197,4.253,-0.186,4.205,0.583,2.773,1,1,6,6,3,3,4,0.924,0.193,1,4,1.799,4.89,7.475,1.0,1.092,2,0.0,0,6.465,10,6.465
7.071,3.281,18.011,3,1,0.311,2.54,3.322,2.981,-0.072,0,10.515,2.981,0.286,14.073,15.348,17.822,19.055,0.471,9.148,11.604,12.905,3,0.821,0,0,4.0,0,0,0,0,1.668,3.543,8.216,3.543,3.969,3.543,4.287,5.238,4.287,-0.064,4.111,0.553,3.135,1,1,6,6,3,2,3,1.129,0.155,1,3,1.817,5.363,7.475,1.0,1.255,1,0.0,0,7.357,10,7.357
7.0,3.263,18.011,3,1,0.308,2.54,3.322,3.444,-0.075,1,11.057,3.444,0.5,14.463,15.884,18.341,19.472,0.455,9.459,11.961,13.451,3,1.052,0,0,3.808,0,0,1,0,1.668,3.542,8.731,3.542,3.983,3.542,4.282,5.235,4.282,-0.048,4.311,0.592,3.912,2,2,12,12,3,2,3,0.95,0.219,1,3,1.925,5.252,7.475,1.0,1.065,1,0.0,0,7.154,14,7.154
4.509,3.09,18.011,3,1,0.32,2.461,3.293,2.92,-0.115,0,10.396,2.92,0.4,13.956,15.23,17.698,18.926,0.461,9.029,11.487,12.79,3,0.917,0,0,3.0,0,0,0,1,1.593,3.518,8.084,3.518,3.939,3.518,4.232,5.163,4.232,-0.126,4.007,0.579,1.609,1,1,6,6,3,2,3,0.829,0.195,1,3,1.783,4.489,7.475,1.0,1.012,1,0.0,0,5.225,9,5.225
