pXC50,nDB,nCsp,nTB,MW,nBM,nBO,nHet,nN,nSK,RBN,SCBO
4.896,0,2,1,356.47,13,27,7,4,26,4,35.0
7.268,3,0,0,486.63,21,39,9,6,36,8,51.0
5.959,0,2,1,328.45,19,27,4,4,25,3,38.0
5.681,0,2,1,358.48,19,29,5,4,27,4,40.0
5.351,0,2,1,358.48,19,29,5,4,27,4,40.0
6.247,0,2,1,358.48,19,29,5,4,27,4,40.0
4.815,0,2,1,388.51,19,31,6,4,29,4,42.0
4.696,0,2,1,358.48,19,29,5,4,27,3,40.0
7.337,3,0,0,228.32,9,18,3,2,17,3,24.0
7.018,3,0,0,472.6,21,38,9,6,35,7,50.0
6.77,3,0,0,500.66,21,40,9,6,37,9,52.0
5.638,0,2,1,314.38,13,24,7,4,23,4,32.0
5.319,0,2,1,328.41,13,25,7,4,24,4,33.0
4.148,0,0,0,290.36,12,22,7,4,21,5,28.0
5.668,0,2,1,328.41,13,25,7,4,24,4,33.0
4.536,0,2,1,358.44,13,27,8,4,26,5,35.0
4.839,0,2,1,344.41,13,26,8,4,25,4,34.0
4.755,0,2,1,342.44,13,26,7,4,25,4,34.0
7.869,3,0,0,454.5,20,35,13,8,33,9,46.5
4.674,0,2,1,330.38,13,25,8,4,24,4,33.0
7.824,3,0,0,440.47,20,34,13,8,32,8,45.5
4.762,0,2,1,358.48,19,29,5,4,27,3,40.0
6.261,0,2,1,342.44,13,26,7,4,25,5,34.0
5.931,0,2,1,298.38,13,23,6,4,22,3,31.0
6.287,0,2,1,312.41,13,24,6,4,23,4,32.0
5.26,0,2,1,326.44,13,25,6,4,24,5,33.0
5.036,0,2,1,312.41,13,24,6,4,23,4,32.0
5.495,0,2,1,252.35,13,20,4,4,19,2,28.0
5.339,0,2,1,358.48,19,29,5,4,27,3,40.0
5.77,0,2,1,284.35,13,22,6,4,21,3,30.0
5.236,0,2,1,356.47,13,27,7,4,26,5,35.0
