pXC50,nHM,nS,RBF,nAB,Me,O.
4.415,2,2,0.128,23,1.019,9.1
4.432,2,2,0.102,23,1.017,8.5
6.476,2,2,0.095,23,1.013,7.9
6.423,2,2,0.09,23,1.011,7.4
6.527,2,2,0.097,23,1.014,8.0
7.17,2,2,0.102,18,1.014,7.9
4.702,0,0,0.12,23,1.017,8.9
6.222,2,2,0.137,46,1.017,9.1
5.62,2,2,0.138,46,1.015,8.7
5.959,2,2,0.145,46,1.017,9.1
6.149,2,2,0.152,46,1.017,9.1
6.237,1,1,0.116,46,1.017,9.1
5.523,4,4,0.117,46,1.017,8.4
8.409,4,4,0.108,46,1.013,7.8
7.745,4,4,0.105,46,1.011,7.4
7.301,0,0,0.108,46,1.014,8.2
8.62,4,4,0.123,46,1.014,8.1
8.796,4,4,0.109,46,1.013,7.9
8.284,4,4,0.111,46,1.013,8.0
8.328,4,4,0.105,46,1.014,8.0
8.301,4,4,0.104,46,1.013,7.9
8.337,4,4,0.103,46,1.014,8.0
8.252,4,4,0.105,46,1.013,7.9
8.409,4,4,0.108,46,1.013,7.8
8.377,4,4,0.111,46,1.013,7.7
7.699,4,4,0.109,36,1.014,8.0
8.62,4,4,0.104,46,1.014,8.1
4.62,2,2,0.205,23,1.017,8.7
6.443,0,0,0.095,23,1.014,8.3
8.585,4,4,0.111,46,1.013,8.0
8.319,4,4,0.128,46,1.014,8.5
6.507,2,2,0.195,23,1.012,7.8
4.699,2,2,0.201,17,1.018,9.3
5.699,2,2,0.201,23,1.013,8.0
4.796,0,0,0.215,23,1.019,9.4
5.509,2,2,0.209,23,1.018,9.3
4.569,2,2,0.214,23,1.016,8.5
4.745,2,2,0.204,23,1.014,8.3
6.591,2,2,0.186,23,1.011,7.6
4.432,0,0,0.192,23,1.011,7.8
4.583,2,2,0.209,23,1.017,8.8
4.41,2,2,0.206,23,1.017,8.7
5.143,2,2,0.189,23,1.012,7.7
5.699,2,2,0.208,23,1.016,8.6
4.469,2,2,0.132,23,1.023,10.3
4.721,2,2,0.191,23,1.013,7.8
4.638,0,0,0.183,23,1.01,7.7
6.276,2,2,0.186,23,1.011,7.6
4.585,2,2,0.207,23,1.018,8.4
4.253,2,2,0.208,23,1.016,8.4
4.503,2,2,0.201,28,1.016,8.5
5.611,3,3,0.195,23,1.011,7.8
4.461,0,0,0.217,23,1.018,9.3
6.39,2,2,0.193,24,1.011,7.7
5.77,2,2,0.206,23,1.017,8.7
4.215,2,2,0.137,23,1.02,10.4
4.076,2,2,0.208,23,1.02,9.4
4.745,2,2,0.208,23,1.017,8.6
4.509,0,0,0.214,23,1.02,9.5
4.362,0,0,0.215,23,1.019,9.4
4.194,3,3,0.151,17,1.014,8.5
5.495,2,2,0.202,23,1.015,8.5
5.886,2,2,0.193,24,1.011,7.7
4.469,2,2,0.22,23,1.019,9.1
6.0,2,2,0.198,23,1.013,7.9
7.134,2,2,0.195,24,1.011,7.4
4.367,3,2,0.208,23,1.016,8.3
4.288,2,2,0.213,17,1.02,9.3
4.699,2,2,0.213,23,1.017,8.8
5.62,2,2,0.202,23,1.015,8.5
4.469,2,2,0.205,23,1.016,8.3
5.904,2,2,0.2,18,1.01,7.7
5.678,2,2,0.198,23,1.013,7.9
5.444,2,2,0.205,28,1.016,8.4
4.886,3,3,0.184,23,1.013,7.8
4.854,2,2,0.192,29,1.011,7.4
5.648,2,2,0.191,24,1.01,7.6
5.77,2,2,0.204,23,1.016,8.6
4.796,2,2,0.208,23,1.016,8.6
4.886,2,2,0.201,28,1.016,8.5
4.472,2,2,0.207,23,1.018,8.8
6.47,2,2,0.196,23,1.013,7.8
5.432,2,2,0.194,23,1.015,8.4
4.495,2,2,0.203,29,1.013,7.9
4.06,2,2,0.207,23,1.015,8.2
5.092,2,2,0.209,23,1.016,8.2
6.503,2,2,0.204,23,1.016,8.6
6.959,3,3,0.192,23,1.01,7.1
5.097,2,2,0.191,23,1.01,7.3
5.699,2,2,0.204,23,1.016,8.6
4.796,2,2,0.204,23,1.013,8.0
4.398,2,2,0.211,23,1.018,8.9
5.886,2,2,0.201,29,1.014,8.2
4.319,2,2,0.209,23,1.017,8.8
4.943,2,2,0.206,23,1.017,8.7
5.699,2,2,0.206,23,1.017,8.7
4.495,0,0,0.213,23,1.02,9.6
4.373,2,2,0.207,23,1.017,9.0
4.678,2,2,0.213,23,1.017,8.8
4.509,2,2,0.208,23,1.016,8.6
4.509,2,2,0.211,23,1.018,8.9
5.387,2,2,0.204,23,1.016,8.6
6.434,2,2,0.193,24,1.011,7.7
5.432,3,2,0.208,23,1.016,8.3
4.523,0,0,0.217,23,1.018,9.3
5.347,2,2,0.204,23,1.016,8.6
4.092,0,0,0.215,23,1.019,9.4
4.396,2,2,0.128,23,1.019,9.0
4.638,2,2,0.206,23,1.019,9.4
4.149,0,0,0.214,23,1.02,9.5
5.854,2,2,0.196,23,1.015,8.5
4.285,0,0,0.218,23,1.018,9.2
4.42,0,0,0.186,23,1.011,7.8
4.886,2,2,0.203,29,1.015,8.3
6.301,2,2,0.2,18,1.011,7.5
6.35,2,2,0.204,23,1.016,8.6
4.886,2,2,0.205,23,1.017,8.7
4.257,2,2,0.139,29,1.017,8.3
4.523,2,2,0.211,23,1.017,8.7
4.481,0,0,0.218,23,1.018,9.2
4.097,2,2,0.208,23,1.016,8.6
4.77,2,2,0.202,23,1.015,8.5
5.77,2,2,0.193,23,1.014,8.5
4.886,2,2,0.194,23,1.011,7.7
5.301,2,2,0.196,23,1.015,8.5
4.569,2,2,0.204,23,1.016,8.6
4.638,3,3,0.184,23,1.013,7.8
5.923,2,2,0.202,18,1.01,7.6
4.574,2,2,0.195,29,1.016,8.5
4.436,2,2,0.22,23,1.019,9.1
4.509,2,2,0.217,23,1.017,8.4
4.155,2,2,0.206,23,1.027,8.7
5.699,2,2,0.202,23,1.015,8.5
4.678,2,2,0.187,23,1.014,8.3
5.429,2,2,0.192,24,1.01,7.7
4.0,2,2,0.187,23,1.014,8.3
4.056,2,2,0.204,23,1.016,8.6
5.387,2,2,0.209,23,1.016,8.2
4.143,2,2,0.207,23,1.026,8.4
6.488,2,2,0.189,23,1.012,7.7
4.886,2,2,0.202,29,1.016,8.6
5.553,2,2,0.203,29,1.015,8.3
5.347,2,2,0.202,23,1.015,8.5
4.921,2,2,0.205,28,1.016,8.4
5.306,2,2,0.204,23,1.014,8.3
4.523,2,2,0.206,23,1.017,8.7
4.244,2,2,0.192,29,1.011,7.4
5.229,2,2,0.194,29,1.013,8.1
4.469,2,2,0.2,17,1.02,9.7
4.443,2,2,0.193,18,1.011,8.0
5.31,2,2,0.198,23,1.014,8.2
6.377,2,2,0.202,23,1.015,8.5
5.239,2,2,0.188,18,1.009,7.5
5.658,3,3,0.181,23,1.012,7.7
5.398,3,2,0.208,23,1.016,8.3
5.796,2,2,0.204,23,1.016,8.6
5.461,0,0,0.217,23,1.018,9.3
5.367,2,2,0.201,29,1.014,8.2
5.77,2,2,0.202,23,1.015,8.5
4.036,2,2,0.204,23,1.016,8.6
4.469,0,0,0.214,23,1.02,9.5
6.208,2,2,0.183,23,1.01,7.5
5.495,2,2,0.202,29,1.016,8.6
5.921,2,2,0.198,18,1.011,7.8
4.046,2,2,0.207,23,1.018,8.8
4.658,2,2,0.194,29,1.013,8.1
5.878,3,3,0.196,23,1.012,7.8
5.638,2,2,0.191,23,1.013,7.8
6.123,2,2,0.188,18,1.009,7.5
4.567,2,2,0.199,23,1.018,9.2
4.745,2,2,0.206,23,1.017,8.7
4.585,2,2,0.211,23,1.02,9.3
4.222,0,0,0.217,23,1.018,9.3
4.509,2,2,0.202,17,1.015,8.5
4.585,2,2,0.202,27,1.017,8.6
