pXC50,N.,SCBO,nCsp2,nN,O.,nBM
8.523,8.9,59.5,21,7,3.8,25
8.18,9.0,293.0,56,45,8.6,56
7.345,9.0,273.0,53,42,8.6,53
7.863,9.1,291.0,56,45,8.7,56
6.921,9.3,268.0,53,42,8.6,53
8.009,9.9,300.0,61,49,8.1,65
8.022,9.2,275.0,54,43,8.8,54
6.664,8.9,277.0,54,42,8.7,54
6.0,8.6,255.0,51,37,9.1,51
7.222,10.1,55.5,21,7,2.9,25
8.721,9.8,304.0,62,49,8.2,66
9.137,8.7,284.0,55,42,8.7,55
6.0,9.3,262.0,52,41,8.9,52
6.0,9.2,276.0,54,43,8.8,54
6.0,9.0,273.0,53,42,8.6,53
6.886,8.8,268.0,53,40,8.6,53
6.0,9.1,279.0,54,43,8.6,54
7.022,9.0,274.0,53,42,8.5,53
7.754,9.0,288.0,56,44,8.8,56
7.695,8.7,271.0,53,40,8.9,53
6.0,8.1,266.0,52,37,8.8,52
6.078,9.1,274.0,54,42,8.9,54
7.355,9.6,285.5,57,46,8.1,59
7.772,9.2,274.0,53,43,8.3,53
8.252,9.1,284.0,55,44,8.7,55
6.0,9.1,274.0,54,42,8.9,54
6.507,9.3,262.0,47,42,8.6,47
6.0,8.7,261.0,52,38,9.1,52
7.693,9.3,275.0,54,43,8.9,54
6.0,8.8,273.0,53,41,8.6,53
8.143,9.1,277.0,54,43,8.5,54
6.0,8.7,228.0,47,33,8.9,47
7.666,8.9,295.0,56,45,8.5,56
6.0,8.7,267.0,52,40,8.3,52
6.424,9.3,268.0,48,43,8.6,48
6.0,9.4,267.0,53,42,8.9,53
9.097,8.9,284.0,55,43,8.9,55
8.886,3.5,52.0,15,3,4.7,15
9.0,3.7,51.0,15,3,4.9,15
8.0,4.3,44.0,14,3,2.9,14
8.602,3.8,50.0,15,3,5.1,15
8.638,3.9,49.0,15,3,5.3,15
8.824,5.5,50.0,14,4,6.8,16
8.538,3.9,50.0,15,3,6.5,15
8.699,3.8,50.0,15,3,5.1,15
9.097,3.7,51.0,15,3,4.9,15
8.357,4.2,48.0,15,3,7.0,15
9.0,3.8,50.0,15,3,5.1,15
8.678,4.1,48.0,15,3,5.5,15
8.155,5.0,55.0,17,4,5.0,19
8.18,3.9,50.0,15,3,6.5,15
8.602,4.1,48.0,15,3,5.5,15
8.721,3.9,49.0,15,3,5.3,15
8.222,5.2,54.0,17,4,5.2,19
7.553,5.0,55.0,17,4,5.0,19
8.081,5.2,54.0,17,4,5.2,19
7.77,4.4,44.0,14,3,4.4,14
8.237,5.4,53.0,17,4,5.4,19
7.854,5.9,48.0,16,4,2.9,18
