pXC50,MW,nBO,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3
5.05,377.47,30,42.5,8.778,48.8,37.2,1.009,1.113,0.73,0.699,7.0,23,43,0,24,0,46,21,0,0,20,1
5.05,346.84,28,39.5,8.671,50.0,37.5,1.001,1.111,0.736,0.702,10.0,23,40,0,23,0,43,20,1,0,19,1
5.0,527.73,43,55.0,6.944,40.8,48.7,0.995,1.128,0.652,0.614,6.6,22,76,0,23,0,80,31,0,0,20,11
5.0,478.68,27,34.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,5.1,12,39,0,13,0,41,17,1,0,13,4
5.1,319.47,24,31.5,7.43,37.2,48.8,1.0,1.13,0.661,0.614,7.0,11,43,0,13,0,45,16,0,0,9,7
5.8,507.55,38,50.0,9.228,38.2,36.4,1.043,1.152,0.672,0.67,12.7,18,55,0,21,0,58,21,0,0,16,5
5.1,587.76,49,66.5,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,72,0,34,0,78,33,0,0,28,5
5.4,587.76,49,66.5,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,72,0,34,0,78,33,0,0,28,5
5.1,349.22,22,31.0,12.042,48.3,31.0,1.024,1.098,0.792,0.751,6.9,16,29,0,17,1,31,14,0,0,14,0
5.0,485.99,37,47.5,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,59,0,19,0,62,24,1,0,17,7
5.1,251.31,21,29.5,7.853,46.9,40.6,1.002,1.118,0.696,0.669,9.4,17,32,0,17,0,34,15,0,0,14,1
5.1,390.44,32,44.0,8.307,42.6,38.3,1.019,1.13,0.68,0.669,12.8,22,47,0,23,0,50,20,0,0,18,2
5.0,436.28,31,42.0,11.791,51.4,24.3,1.049,1.115,0.798,0.784,8.1,12,37,0,17,0,40,19,2,0,19,0
5.0,413.86,29,40.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,7.3,16,41,0,19,0,43,17,1,0,14,3
5.1,388.41,31,39.0,8.444,41.3,39.1,1.032,1.144,0.66,0.657,8.7,12,46,0,14,0,49,19,0,0,13,6
5.0,359.45,30,43.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,17.9,26,39,0,26,0,43,18,0,0,17,1
5.1,440.5,34,46.0,7.866,39.3,42.9,1.022,1.132,0.649,0.636,7.1,16,56,0,20,0,58,22,0,0,15,7
5.585,586.69,52,69.0,7.928,47.3,40.5,1.007,1.114,0.692,0.669,5.4,30,74,0,32,0,82,35,0,0,26,9
5.2,440.46,34,46.0,8.47,38.5,38.5,1.034,1.138,0.656,0.656,11.5,18,52,0,21,0,54,20,0,0,17,3
5.0,308.38,26,36.0,7.907,41.0,41.0,1.009,1.135,0.674,0.653,15.4,20,39,0,20,0,42,16,0,0,13,3
5.5,401.53,33,45.0,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,48,0,23,0,52,22,0,0,19,3
5.0,562.79,45,54.5,6.781,37.3,50.6,0.998,1.136,0.633,0.596,7.2,17,83,0,18,0,87,31,0,0,15,16
5.1,519.52,41,56.5,8.957,46.6,34.5,1.034,1.136,0.691,0.692,8.6,17,58,0,22,0,61,27,0,2,20,5
6.796,524.76,40,51.0,7.188,37.0,49.3,0.999,1.134,0.65,0.608,8.2,18,73,0,20,0,76,27,0,0,16,11
5.745,386.51,31,44.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,46,0,24,0,49,22,0,0,21,1
5.15,464.86,34,45.0,9.685,43.8,33.3,1.048,1.144,0.691,0.696,8.3,18,48,0,20,0,50,21,1,0,19,2
5.2,315.41,27,38.0,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,22,41,0,22,0,44,19,0,0,17,2
5.1,332.84,24,32.5,9.51,42.9,37.1,1.016,1.118,0.737,0.699,11.4,17,35,0,17,0,37,15,1,0,13,2
5.1,375.39,31,44.0,9.156,41.5,31.7,1.033,1.14,0.695,0.699,22.0,22,41,0,24,0,44,17,0,0,17,0
5.05,488.07,36,45.5,8.272,37.3,44.1,1.01,1.134,0.679,0.642,11.9,17,59,0,18,0,62,22,1,0,14,8
5.1,255.27,21,30.0,8.802,48.3,34.5,1.023,1.128,0.705,0.699,10.3,16,29,0,17,0,31,14,0,0,14,0
5.0,354.51,28,36.0,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,16,52,0,16,0,54,19,0,0,11,8
5.1,275.33,24,34.0,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,16,34,0,18,0,37,17,0,0,16,1
5.0,457.71,29,38.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,9.5,16,42,0,17,1,44,17,1,0,14,3
5.1,415.89,32,41.5,8.664,41.7,39.6,1.022,1.136,0.684,0.666,10.4,17,48,0,18,0,51,20,1,0,14,6
8.26,466.58,42,55.0,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,61,0,25,0,68,28,0,0,19,9
5.1,416.39,34,43.0,9.253,44.4,33.3,1.047,1.145,0.678,0.69,8.9,12,45,0,15,0,49,20,0,0,15,5
5.1,235.27,21,31.0,8.714,48.1,33.3,1.01,1.123,0.724,0.71,18.5,20,27,0,20,0,30,13,0,0,13,0
5.1,292.39,24,34.5,8.86,48.5,36.4,1.001,1.108,0.749,0.708,12.1,21,33,0,21,0,36,16,0,0,16,0
5.1,306.42,25,35.5,8.512,47.2,38.9,0.997,1.111,0.735,0.692,11.1,21,36,0,21,0,39,17,0,0,16,1
5.1,332.45,29,39.0,7.388,42.2,44.4,0.995,1.131,0.675,0.64,13.3,20,45,0,20,0,49,19,0,0,13,6
5.1,292.38,25,35.0,7.694,42.1,42.1,1.001,1.133,0.68,0.652,15.8,20,38,0,20,0,41,16,0,0,13,3
5.1,391.49,33,43.5,7.676,43.1,43.1,1.006,1.133,0.672,0.646,9.8,21,51,0,21,0,55,22,0,0,16,6
5.398,442.54,35,43.5,7.501,39.0,45.8,1.014,1.138,0.643,0.621,6.8,11,59,0,14,0,62,23,0,0,14,9
5.1,210.25,18,25.0,8.087,50.0,38.5,1.003,1.11,0.712,0.687,7.7,12,26,0,13,0,28,13,0,0,13,0
5.1,361.47,29,40.5,8.606,50.0,38.1,1.002,1.111,0.736,0.698,7.1,23,42,0,23,0,45,21,0,0,20,1
5.1,496.57,43,57.0,8.14,44.3,39.3,1.014,1.124,0.684,0.668,9.8,20,61,0,24,0,67,27,0,0,20,7
5.678,306.41,26,35.5,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,15,41,0,16,0,44,17,0,1,9,7
5.0,557.1,43,58.5,8.074,43.5,42.0,1.008,1.124,0.687,0.658,8.7,23,69,0,26,0,72,30,1,1,23,6
5.1,450.38,33,41.5,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,17,52,0,17,0,55,21,2,0,14,7
