pXC50,nS,nCsp2,nAB,Sp,nBT,Sv,Si,nH,nBO,nHet,nBM,nC,nHM,Se,nDB,MW,nCsp3,SCBO,C.,nSK,RBF,nO,nAT,AMW
4.0,0,9,10,18.938,30,18.327,32.618,13,17,4,11,12,0,29.385,1,219.26,3,23.0,41.4,16,0.1,3,29,7.561
7.678,0,13,12,19.028,27,18.606,28.648,9,18,4,13,13,1,26.724,1,248.67,0,25.0,50.0,17,0.074,3,26,9.564
7.77,0,13,12,20.79,30,20.133,32.063,11,19,4,13,14,1,29.607,1,262.7,1,26.0,48.3,18,0.067,3,29,9.059
7.201,0,13,12,20.79,30,20.133,32.063,11,19,4,13,14,1,29.607,1,262.7,1,26.0,48.3,18,0.067,3,29,9.059
6.775,0,13,12,21.028,29,20.606,30.648,9,20,4,14,15,1,28.724,1,272.69,0,29.0,53.6,19,0.034,3,28,9.739
8.824,0,13,12,18.108,27,18.162,29.044,9,18,4,13,13,0,26.913,1,232.22,0,25.0,50.0,17,0.074,3,26,8.932
5.523,0,13,12,24.767,37,23.901,40.103,15,22,5,13,16,1,36.702,1,306.76,3,29.0,44.4,21,0.108,4,36,8.521
7.854,0,13,12,26.074,39,24.713,42.309,17,22,4,13,17,1,38.258,1,304.79,4,29.0,44.7,21,0.128,3,38,8.021
7.538,0,13,12,26.074,39,24.713,42.309,17,22,4,13,17,1,38.258,1,304.79,4,29.0,44.7,21,0.103,3,38,8.021
6.328,0,13,12,26.074,39,24.713,42.309,17,22,4,13,17,1,38.258,1,304.79,4,29.0,44.7,21,0.077,3,38,8.021
7.585,0,13,12,21.057,31,21.997,34.292,8,23,8,13,14,1,32.473,1,332.67,1,30.0,46.7,22,0.097,4,30,11.089
4.242,1,11,11,22.04,33,21.229,35.747,13,20,6,14,13,1,32.789,3,279.34,2,28.5,40.6,19,0.152,4,32,8.729
5.955,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.046,0,12,11,21.847,34,21.756,37.037,13,21,6,13,14,0,34.04,2,275.28,2,28.5,42.4,20,0.088,5,33,8.342
4.523,1,13,12,24.04,36,23.229,37.747,13,23,6,15,15,1,34.789,3,303.36,2,32.0,44.1,21,0.083,4,34,8.922
4.481,0,12,11,21.392,33,21.041,35.827,13,20,5,13,14,0,32.713,2,259.28,2,27.5,43.8,19,0.152,4,32,8.103
4.504,0,11,11,20.693,32,19.832,34.535,14,18,3,12,14,0,31.167,1,230.28,3,24.5,45.2,17,0.094,3,31,7.428
4.523,1,13,12,25.801,39,24.755,41.162,15,24,6,15,16,1,37.673,3,317.39,3,33.0,43.2,22,0.077,4,37,8.578
6.553,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
6.155,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.888,0,13,12,18.722,28,18.085,29.993,11,17,3,13,13,0,27.174,1,213.25,0,24.0,48.1,16,0.107,2,27,7.898
5.523,0,13,12,18.722,28,18.085,29.993,11,17,3,13,13,0,27.174,1,213.25,0,24.0,48.1,16,0.107,2,27,7.898
5.47,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
4.716,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
4.818,0,13,12,20.296,31,20.762,34.427,10,21,6,13,14,0,31.596,1,281.25,1,28.0,46.7,20,0.097,2,30,9.375
4.72,0,13,12,19.58,28,18.913,29.937,10,18,4,13,13,1,27.498,1,247.69,0,25.0,48.1,17,0.107,2,27,9.174
4.744,0,13,12,20.074,28,19.11,29.835,10,18,4,13,13,1,27.404,1,292.14,0,25.0,48.1,17,0.107,2,27,10.82
4.508,0,13,12,25.767,40,24.192,43.654,19,21,3,13,17,0,38.709,1,269.37,4,28.0,43.6,20,0.1,2,39,6.907
4.949,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.251,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
4.523,1,13,12,25.801,39,24.755,41.162,15,24,6,15,16,1,37.673,3,317.39,3,33.0,43.2,22,0.077,4,37,8.578
4.523,1,7,6,26.875,43,25.116,46.282,20,23,6,9,15,1,41.214,3,308.44,8,29.0,36.6,21,0.07,3,41,7.523
4.373,0,7,6,20.762,33,19.171,37.156,18,15,2,7,13,0,32.607,1,206.31,6,19.0,39.4,15,0.121,2,33,6.252
4.215,0,16,16,27.852,43,27.478,45.997,16,27,6,18,19,0,41.993,2,341.36,3,37.0,46.3,25,0.093,4,41,8.326
4.248,0,16,16,30.534,46,29.449,49.017,18,28,6,18,20,1,44.687,2,371.84,4,38.0,45.5,26,0.109,4,44,8.451
4.264,0,16,16,29.676,46,28.622,49.073,19,27,5,18,20,0,44.363,2,337.4,4,37.0,45.5,25,0.087,4,44,7.668
4.523,1,13,12,24.801,37,23.755,40.162,15,22,6,15,15,1,36.673,3,305.38,2,31.0,41.7,21,0.162,4,36,8.483
5.088,0,17,17,24.636,37,24.536,38.91,12,25,6,20,17,0,35.931,3,308.31,0,36.5,48.6,23,0.108,4,35,8.809
6.009,0,14,12,22.847,35,22.756,38.037,13,22,6,14,15,0,35.04,2,287.29,1,30.0,44.1,21,0.143,5,34,8.45
5.201,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.129,4,30,8.575
6.155,0,13,12,27.983,44,26.434,48.279,21,23,4,13,18,0,42.92,1,299.4,5,30.0,41.9,22,0.114,3,43,6.963
5.169,0,13,12,25.369,40,24.81,43.867,17,23,6,13,16,0,39.807,1,303.34,3,30.0,41.0,22,0.15,5,39,7.778
5.489,0,13,12,24.46,38,23.38,41.448,17,21,4,13,16,0,37.153,1,271.34,3,28.0,43.2,20,0.105,3,37,7.334
5.573,0,14,12,23.512,36,24.003,40.052,12,24,7,14,16,0,36.807,2,323.29,2,32.0,45.7,23,0.111,3,35,9.237
5.419,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
5.401,0,14,12,23.091,35,23.251,38.12,12,23,7,16,15,0,35.258,4,300.29,1,33.0,44.1,22,0.143,5,34,8.832
4.896,0,15,12,25.154,38,24.568,41.242,15,23,5,15,17,0,37.596,3,297.33,2,32.0,45.9,22,0.132,4,37,8.036
5.684,0,14,12,23.512,36,24.003,40.052,12,24,7,14,16,0,36.807,2,323.29,2,32.0,45.7,23,0.111,3,35,9.237
5.047,0,14,12,24.154,37,23.568,40.242,15,22,5,14,16,0,36.596,2,285.32,2,30.0,44.4,21,0.135,4,36,7.926
5.499,0,14,12,23.091,35,23.251,38.12,12,23,7,16,15,0,35.258,4,300.29,1,33.0,44.1,22,0.143,5,34,8.832
5.726,0,15,12,25.154,38,24.568,41.242,15,23,5,15,17,0,37.596,3,297.33,2,32.0,45.9,22,0.132,4,37,8.036
5.593,0,14,12,22.796,33,22.154,35.562,12,21,5,14,15,1,32.709,2,289.73,1,29.0,46.9,20,0.121,3,32,9.054
5.446,0,14,12,24.154,37,23.568,40.242,15,22,5,14,16,0,36.596,2,285.32,2,30.0,44.4,21,0.135,4,36,7.926
5.547,0,14,12,23.699,36,22.853,39.033,15,21,4,14,16,0,35.269,2,269.32,2,29.0,45.7,20,0.111,3,35,7.695
5.876,0,14,12,23.091,35,23.251,38.12,12,23,7,16,15,0,35.258,4,300.29,1,33.0,44.1,22,0.143,5,34,8.832
4.728,0,15,12,25.154,38,24.568,41.242,15,23,5,15,17,0,37.596,3,297.33,2,32.0,45.9,22,0.132,4,37,8.036
5.564,0,14,12,23.512,36,24.003,40.052,12,24,7,14,16,0,36.807,2,323.29,2,32.0,45.7,23,0.111,3,35,9.237
5.652,0,14,12,22.796,33,22.154,35.562,12,21,5,14,15,1,32.709,2,289.73,1,29.0,46.9,20,0.121,3,32,9.054
6.31,0,14,12,23.29,33,22.352,35.459,12,21,5,14,15,1,32.614,2,334.18,1,29.0,46.9,20,0.121,3,32,10.443
6.041,0,14,12,24.154,37,23.568,40.242,15,22,5,14,16,0,36.596,2,285.32,2,30.0,44.4,21,0.135,4,36,7.926
5.085,0,14,12,23.699,36,22.853,39.033,15,21,4,14,16,0,35.269,2,269.32,2,29.0,45.7,20,0.111,3,35,7.695
5.152,0,14,12,28.983,45,27.434,49.279,21,24,4,14,19,0,43.92,2,311.41,5,32.0,43.2,23,0.111,3,44,7.077
4.724,0,15,12,23.847,36,23.756,39.037,13,23,6,15,16,0,36.04,3,299.3,1,32.0,45.7,22,0.139,5,35,8.551
5.406,0,14,12,25.307,39,25.492,42.744,14,25,8,16,16,0,39.469,4,330.32,2,35.0,42.1,24,0.154,6,38,8.693
4.796,0,14,12,25.085,39,26.68,44.486,11,28,10,14,17,0,41.229,2,391.29,3,36.0,44.7,27,0.103,3,38,10.297
4.572,0,14,12,26.369,41,25.81,44.867,17,24,6,14,17,0,40.807,2,315.35,3,32.0,42.5,23,0.146,5,40,7.884
4.975,0,14,12,25.46,39,24.38,42.448,17,22,4,14,17,0,38.153,2,283.35,3,30.0,44.7,21,0.103,3,38,7.457
4.5,0,16,12,25.756,39,26.186,42.455,13,26,8,16,17,0,39.695,4,343.31,1,36.0,44.7,25,0.154,7,38,9.034
4.796,0,13,12,20.296,31,20.762,34.427,10,21,6,13,14,0,31.596,1,281.25,1,28.0,46.7,20,0.097,2,30,9.375
5.321,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
4.487,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
4.821,0,13,12,20.296,31,20.762,34.427,10,21,6,13,14,0,31.596,1,281.25,1,28.0,46.7,20,0.097,2,30,9.375
4.575,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.714,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
4.437,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
5.144,0,13,12,19.58,28,18.913,29.937,10,18,4,13,13,1,27.498,1,247.69,0,25.0,48.1,17,0.107,2,27,9.174
4.818,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.64,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
4.0,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.129,4,30,8.575
4.701,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.129,4,30,8.575
4.987,0,13,12,22.245,34,21.139,36.824,15,19,3,13,15,0,32.942,1,241.31,2,26.0,45.5,18,0.088,2,33,7.312
5.193,0,15,12,23.847,36,23.756,39.037,13,23,6,15,16,0,36.04,3,299.3,1,32.0,45.7,22,0.139,5,35,8.551
5.362,0,13,12,21.449,33,22.686,36.929,9,24,9,15,14,0,34.469,3,326.25,1,33.0,43.8,23,0.121,4,32,10.195
5.255,0,13,12,22.091,34,22.251,37.12,12,22,7,15,14,0,34.258,3,288.28,1,31.0,42.4,21,0.147,5,33,8.736
5.75,0,13,12,21.903,34,23.401,38.139,9,25,10,15,14,0,35.796,3,342.25,1,34.0,42.4,24,0.147,5,33,10.371
4.717,0,13,12,21.87,34,23.438,38.862,9,25,9,13,15,0,36.018,1,349.25,2,32.0,45.5,24,0.088,2,33,10.583
4.25,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
4.351,0,13,12,22.245,34,21.139,36.824,15,19,3,13,15,0,32.942,1,241.31,2,26.0,45.5,18,0.088,2,33,7.312
4.0,0,15,12,22.54,34,22.944,36.831,11,23,7,15,15,0,34.484,3,301.27,0,32.0,45.5,22,0.147,6,33,9.129
4.955,0,13,12,20.296,31,20.762,34.427,10,21,6,13,14,0,31.596,1,281.25,1,28.0,46.7,20,0.097,2,30,9.375
4.533,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.0,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
4.074,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
4.668,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
4.955,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
4.611,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
4.699,0,13,12,19.58,28,18.913,29.937,10,18,4,13,13,1,27.498,1,247.69,0,25.0,48.1,17,0.107,2,27,9.174
4.523,0,13,12,20.074,28,19.11,29.835,10,18,4,13,13,1,27.404,1,292.14,0,25.0,48.1,17,0.107,2,27,10.82
4.64,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
