pXC50,nPyrroles,SaaNH,Chi0_EA.dm.,SpMax2_Bh.i.,Chi1_EA.dm.,SpMin4_Bh.v.,P_VSA_LogP_6,NaaNH,SpMin4_Bh.p.,SpMax2_Bh.e.,SpMax1_Bh.e.,CATS2D_06_DL,Hy,D.Dtr09,H.050,nHDon,GMTI,N.073,SpMin3_Bh.v.,IC5,Eta_beta,C.025,SpMax1_Bh.p.,P_VSA_e_3,SaaaC,SpMax6_Bh.m.,Eig07_AEA.bo.,ATSC5p,SpMin3_Bh.p.,Eig07_EA.bo.,CATS2D_02_DL,XMOD,SpMax8_Bh.p.,X2sol,SpMin7_Bh.s.,SpMax8_Bh.m.,ATSC5m,Eig09_EA.ed.,SM04_AEA.ri.,SpMin7_Bh.m.,C.034,piPC09,piPC06,piPC07,ATS5i,CATS2D_04_DD,SpMAD_EA.ri.,piPC08,GATS4p,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e
5.1,0,3.368,4.368,3.916,2.498,1.633,17.717,1,1.597,3.902,4.093,0,-0.346,0.0,1,1,8549.0,1,1.928,4.758,40.5,3,4.01,50.357,0.0,2.853,2.997,7.981,1.923,2.177,2,88.885,2.735,12.132,0.218,2.687,19.997,2.575,2.575,1.181,1,8.009,6.579,7.074,4.819,0,1.437,7.513,0.992,1.682,10.037,3.884,15.085,105.742,8.778,0.767,3.876,3.969,3.685,3.557,5.067,3.514,4.342,4.468,3.966,3.915,5.557,3.863,4.56
5.1,0,0.0,18.364,3.913,28.435,1.544,2.328,0,1.553,3.883,4.095,1,-0.356,0.0,1,1,7458.0,1,1.939,4.872,38.25,3,4.02,68.122,2.127,3.047,2.887,6.324,1.929,2.053,3,78.749,2.735,11.219,0.218,2.687,17.499,2.575,2.575,1.181,0,7.786,6.381,6.84,4.676,0,1.413,7.327,1.059,1.496,10.4,4.705,22.138,100.976,8.671,0.821,3.803,3.913,3.514,3.464,4.975,3.437,4.262,4.398,3.86,3.837,5.382,3.788,4.511
5.15,0,0.0,36.989,4.073,47.755,1.946,4.276,0,1.919,4.037,4.112,6,0.111,0.0,2,2,26024.0,1,1.977,5.326,48.25,3,4.047,57.585,1.871,3.392,3.493,14.355,1.982,2.652,3,117.51,3.059,17.699,0.72,3.166,46.823,4.897,4.897,1.598,0,7.713,6.657,7.013,5.537,0,1.445,7.346,0.991,1.476,15.333,5.907,34.897,153.448,6.944,0.512,4.416,4.543,3.928,3.926,5.446,3.899,4.975,5.161,4.296,4.324,5.966,4.279,5.224
5.0,0,0.0,16.843,3.945,19.271,1.429,29.92,0,1.425,3.897,4.002,1,0.352,0.0,2,2,6836.0,1,1.68,4.978,29.75,1,4.034,38.636,0.0,3.249,2.872,6.22,1.699,1.964,3,92.629,2.716,11.547,0.17,2.872,12.827,2.393,2.393,1.093,0,6.586,5.809,5.966,4.525,1,1.344,6.235,0.725,1.983,9.88,4.908,24.087,99.228,12.274,0.444,3.792,3.884,3.775,3.435,5.022,3.394,4.273,4.4,4.197,3.786,5.534,3.708,4.519
6.1,1,3.111,9.487,4.075,7.5,1.78,14.099,1,1.751,4.024,4.173,4,1.039,160.199,3,3,6351.0,2,1.793,4.821,33.5,3,4.042,118.479,3.55,2.869,3.033,5.727,1.791,2.3,3,73.909,2.619,10.782,0.125,2.583,17.915,2.661,2.661,1.179,0,8.22,6.837,7.362,4.713,0,1.477,7.89,0.688,1.489,7.958,2.304,5.309,92.691,7.79,0.714,3.866,4.003,3.491,3.399,4.96,3.4,4.407,4.584,3.888,3.84,5.44,3.815,4.643
6.5,0,0.0,17.457,3.927,25.392,1.665,0.0,0,1.633,3.886,4.173,2,-0.265,0.0,1,1,4109.0,0,1.872,4.973,27.0,3,4.154,36.315,1.642,2.979,2.589,12.051,1.853,1.589,1,73.491,2.516,11.108,0.399,2.509,40.448,2.293,2.293,1.172,0,7.161,6.135,6.517,5.105,0,1.437,6.815,1.267,1.636,7.182,1.577,2.486,87.781,7.43,0.458,3.852,3.966,3.602,3.427,4.807,3.36,4.444,4.629,3.909,3.84,5.605,3.754,4.74
6.7,0,0.0,36.58,4.013,61.621,1.84,6.555,0,1.797,4.0,4.056,3,0.962,159.647,3,3,17627.0,1,1.911,5.413,48.5,3,3.979,105.907,0.0,3.277,3.338,10.813,1.918,2.514,7,114.441,2.92,16.279,0.574,2.97,33.221,4.807,4.807,1.467,0,7.233,6.249,6.584,5.154,1,1.437,6.97,0.827,2.002,12.6,3.111,9.678,125.221,9.228,0.474,4.149,4.255,3.99,3.651,5.359,3.667,4.704,4.855,4.362,4.024,6.412,4.039,4.88
5.2,0,0.0,30.357,4.003,47.09,1.928,28.198,0,1.94,3.962,4.161,2,0.114,0.0,2,2,37147.0,2,1.997,5.642,62.25,2,4.068,90.789,0.857,3.554,3.646,14.663,1.991,2.944,5,136.469,3.103,19.496,0.709,3.27,39.082,5.07,5.07,1.576,1,8.394,6.999,7.517,5.404,0,1.416,7.949,0.945,1.601,17.093,6.24,38.943,169.241,8.163,0.673,4.398,4.509,4.085,3.997,5.506,3.973,4.916,5.065,4.454,4.381,6.004,4.342,5.142
5.2,0,0.0,30.357,4.004,49.59,1.926,28.198,0,1.939,3.963,4.161,2,0.114,0.0,2,2,36139.0,2,1.997,5.753,62.25,2,4.068,90.789,0.856,3.552,3.614,14.309,1.99,2.875,5,136.469,3.104,19.508,0.709,3.27,38.901,5.071,5.071,1.577,1,8.396,7.0,7.518,5.405,0,1.414,7.95,0.942,1.601,16.395,6.24,38.943,169.241,8.163,0.673,4.398,4.509,4.085,3.997,5.506,3.973,4.916,5.065,4.454,4.381,6.004,4.342,5.142
5.2,0,0.0,10.938,3.885,11.167,1.244,2.104,0,1.232,3.868,4.077,0,0.41,75.218,2,2,3709.0,0,1.68,4.513,28.5,1,4.081,95.637,1.704,2.886,2.544,4.257,1.696,1.5,0,72.423,2.074,10.411,0.0,2.564,8.956,1.832,1.832,0.889,2,7.189,6.231,6.559,4.03,0,1.382,7.018,1.18,1.898,8.55,3.143,9.881,81.507,12.042,0.727,3.513,3.582,3.534,3.235,4.777,3.191,3.943,4.021,3.991,3.623,5.265,3.552,4.129
5.2,1,3.317,15.923,3.922,15.194,1.719,19.861,1,1.719,3.89,4.184,2,0.957,68.607,3,3,5913.0,1,1.828,4.946,31.0,5,4.106,52.807,1.507,2.948,2.927,8.934,1.818,2.037,7,72.924,2.735,9.973,0.24,2.687,23.514,2.275,2.275,1.181,2,8.027,6.72,7.216,4.893,0,1.468,7.661,1.05,1.57,9.417,2.959,8.757,92.409,7.7,0.593,3.853,3.976,3.449,3.432,4.97,3.416,4.386,4.553,3.831,3.854,5.502,3.818,4.663
5.0,0,0.0,32.664,3.913,46.591,1.771,17.288,0,1.761,3.891,4.088,0,0.235,0.0,2,2,16064.0,1,1.907,5.45,43.5,1,3.986,72.717,1.256,3.341,3.322,10.023,1.902,2.502,5,107.252,2.804,14.94,0.469,3.013,28.054,4.261,4.261,1.44,0,7.901,6.549,6.987,5.044,0,1.374,7.471,0.796,1.772,12.294,3.917,15.346,129.707,8.237,0.459,4.189,4.302,3.832,3.687,5.339,3.692,4.726,4.893,4.197,4.056,5.876,4.048,4.942
5.2,0,0.0,13.8,3.907,23.856,1.516,2.328,0,1.501,3.882,4.064,0,-0.301,0.0,1,1,3281.0,1,1.566,4.851,29.5,1,3.972,51.582,1.913,2.719,2.681,4.869,1.571,1.763,3,58.619,2.474,7.942,0.126,2.495,14.098,0.627,0.627,1.051,0,7.244,6.04,6.426,4.401,0,1.387,6.838,1.088,1.517,7.895,3.461,11.979,74.095,7.853,0.81,3.584,3.694,3.21,3.156,4.756,3.15,4.04,4.191,3.51,3.488,5.171,3.467,4.194
