pXC50,P_VSA_e_1,P_VSA_m_1,P_VSA_MR_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,SpMin4_Bh.m.,ATSC3v,P_VSA_LogP_7,SpMin5_Bh.m.,SpMin6_Bh.s.,ATSC1v,ATSC2v,SpMin3_Bh.v.,SpMin8_Bh.m.,CATS2D_07_LL,SpMin2_Bh.m.,SpMin2_Bh.s.,SpMin2_Bh.v.,GATS5s,DECC,SpMin4_Bh.v.,ATS4p,ATS5i,ATS5p,ATSC3p,ATSC4i,ATSC4p,ATSC5i,ATSC5p,ATSC6i,X4v,X5v,SM10_EA.bo.,SpDiam_AEA.dm.,X3Av,C.002,H.046,SpMin6_Bh.m.,CATS2D_06_LL,ATS2p,ATS3p,ATS3v,ATSC2i,ATSC2p,ATSC3i,P_VSA_MR_5,ATS4v,ATS5e,ATS5v,ATS6e,ATS6i,ATS6p,ATS6v,ATS7e,ATS7i,ATS7p,ATS7v,ATS8e,ATS8i,ATS8p,ATSC1p,ATSC2s,ATSC6p
4.77,400.217,400.217,400.217,400.217,400.217,400.217,1.817,18.252,400.217,1.721,0.928,8.986,14.953,1.882,1.401,9,2.027,1.377,1.97,0.988,2.476,1.778,4.04,5.275,3.977,12.349,1.364,11.817,1.286,11.169,1.214,3.319,2.087,13.821,5.91,0.134,14,29,1.66,10,3.992,4.088,3.934,1.221,10.544,1.426,44.309,3.884,4.996,3.791,4.943,5.231,3.915,3.719,4.879,5.174,3.853,3.648,4.811,5.106,3.784,6.623,29.307,10.586
6.399,176.567,176.567,206.487,206.487,176.567,176.567,1.832,8.723,176.567,1.574,0.408,4.076,7.001,1.976,1.21,12,1.977,1.109,1.997,0.983,2.109,1.849,4.257,5.081,4.227,9.968,1.901,10.664,1.746,10.741,1.726,4.541,3.123,15.864,5.992,0.069,0,0,1.369,16,4.163,4.278,4.316,1.359,7.7,1.743,10.288,4.295,4.942,4.255,4.902,5.029,4.185,4.221,4.882,5.012,4.093,4.121,4.692,4.826,4.008,4.712,74.805,10.4
5.0,153.024,153.024,153.024,153.024,153.024,153.024,1.574,7.276,153.024,1.369,0.281,3.426,5.879,1.976,1.116,8,1.977,1.108,1.989,1.232,1.669,1.555,3.996,4.802,3.952,7.631,1.246,8.009,1.171,7.873,1.071,3.586,2.455,15.673,5.992,0.068,0,0,1.268,14,3.941,4.036,4.072,0.949,6.146,1.14,10.288,4.039,4.674,3.982,4.613,4.724,3.939,3.961,4.653,4.78,3.878,3.882,4.488,4.644,3.771,3.801,50.555,7.718
5.099,129.482,129.482,129.482,129.482,129.482,129.482,1.376,7.003,129.482,1.299,0.221,2.954,5.073,1.976,1.089,10,1.992,1.106,1.989,1.472,1.696,1.519,3.888,4.606,3.797,7.12,1.129,7.285,0.961,6.505,0.841,3.382,2.302,15.6,5.984,0.068,0,0,1.21,16,3.899,3.975,3.999,0.845,5.249,1.066,10.288,3.923,4.483,3.822,4.377,4.472,3.759,3.777,4.409,4.554,3.7,3.676,4.232,4.397,3.552,3.281,43.816,5.726
5.048,223.651,223.651,223.651,223.651,223.651,223.651,1.877,10.657,223.651,1.699,0.578,5.207,9.229,1.976,1.266,14,1.977,1.109,1.997,1.074,2.333,1.886,4.379,5.21,4.369,10.719,1.775,12.079,1.768,12.255,1.724,4.801,3.302,15.841,5.992,0.071,0,0,1.574,18,4.244,4.371,4.383,1.327,8.707,1.636,37.124,4.385,5.063,4.365,5.043,5.195,4.339,4.333,5.024,5.173,4.258,4.248,4.872,5.027,4.176,5.281,55.108,12.29
5.048,223.651,223.651,223.651,223.651,223.651,223.651,1.869,10.425,223.651,1.574,0.574,5.029,8.492,1.976,1.266,11,1.977,1.109,1.997,1.081,2.087,1.865,4.342,5.19,4.339,10.318,1.659,11.397,1.708,12.17,1.643,4.692,3.241,15.867,5.992,0.07,0,0,1.573,16,4.199,4.329,4.347,1.219,8.428,1.466,10.288,4.355,5.043,4.332,5.014,5.165,4.299,4.285,4.986,5.145,4.188,4.176,4.772,4.928,4.078,5.161,51.576,12.215
6.601,247.193,247.193,223.651,247.193,247.193,247.193,1.889,14.261,247.193,1.876,0.532,5.935,10.591,1.976,1.289,11,2.01,1.193,2.024,1.187,2.036,1.864,4.36,5.191,4.343,11.922,1.818,12.161,1.733,12.284,1.715,4.723,3.316,15.811,5.984,0.073,1,3,1.428,16,4.262,4.377,4.358,1.357,8.965,1.724,23.754,4.342,5.025,4.318,5.004,5.16,4.324,4.304,5.019,5.192,4.286,4.255,4.941,5.116,4.252,5.372,44.235,11.537
5.301,247.193,247.193,247.193,247.193,247.193,247.193,1.876,12.164,247.193,1.756,0.558,5.625,9.413,1.976,1.293,11,1.977,1.117,2.0,1.192,2.018,1.864,4.342,5.186,4.319,11.402,1.704,12.14,1.679,12.325,1.626,4.646,3.212,15.811,5.984,0.072,0,0,1.51,14,4.233,4.35,4.353,1.293,9.07,1.579,19.473,4.339,5.03,4.311,4.991,5.13,4.288,4.295,5.005,5.146,4.255,4.256,4.904,5.05,4.242,5.533,54.155,11.361
5.522,141.253,141.253,141.253,141.253,141.253,141.253,1.574,6.83,141.253,1.369,0.279,3.147,5.504,1.971,1.115,9,1.976,1.108,1.976,1.201,1.68,1.555,4.027,4.801,3.976,7.618,1.223,8.107,1.16,7.937,1.063,3.781,2.611,15.714,5.992,0.07,0,0,1.262,13,3.974,4.077,4.107,0.931,5.99,1.112,10.288,4.068,4.681,4.008,4.616,4.723,3.955,3.976,4.66,4.78,3.913,3.916,4.502,4.641,3.824,3.621,56.968,7.631
6.349,223.651,223.651,223.651,223.651,223.651,223.651,1.862,10.358,223.651,1.574,0.573,5.029,8.492,1.976,1.264,12,1.977,1.109,1.997,1.06,2.26,1.865,4.332,5.183,4.301,10.315,1.658,11.452,1.684,12.144,1.535,4.604,3.181,15.831,5.992,0.071,0,0,1.565,15,4.199,4.328,4.343,1.219,8.428,1.466,10.288,4.334,5.019,4.287,4.945,5.095,4.237,4.238,4.905,5.033,4.151,4.159,4.766,4.904,4.101,5.161,51.623,11.284
5.522,223.651,223.651,223.651,223.651,223.651,223.651,1.864,10.358,223.651,1.574,0.573,5.029,8.492,1.976,1.266,12,1.977,1.109,1.997,1.064,2.166,1.865,4.332,5.182,4.311,10.315,1.658,11.456,1.685,12.085,1.558,4.624,3.216,15.836,5.992,0.071,0,0,1.568,16,4.199,4.328,4.343,1.219,8.428,1.466,10.288,4.339,5.025,4.305,4.965,5.103,4.268,4.267,4.956,5.099,4.187,4.179,4.801,4.961,4.102,5.161,51.723,11.369
6.0,223.651,223.651,188.338,223.651,223.651,223.651,1.876,12.594,223.651,1.804,0.417,5.334,9.471,1.976,1.211,11,2.002,1.147,2.021,1.196,2.079,1.864,4.328,5.147,4.305,10.965,1.699,11.426,1.668,11.675,1.645,4.654,3.227,15.811,5.984,0.072,0,0,1.368,14,4.223,4.34,4.33,1.282,8.276,1.623,21.219,4.317,4.987,4.284,4.963,5.122,4.264,4.248,4.941,5.111,4.205,4.184,4.824,4.983,4.18,5.0,42.357,10.999
