pXC50,P_VSA_LogP_4,SsssCH,TPSA.NO.,TPSA.Tot.,P_VSA_p_2,IC1,LLS_01,MATS4s,BAC,CATS2D_08_AL,Eta_FL,Eta_sh_p,HNar,HVcpx,JGI5,JGT,nDB,NdssC,SM05_EA.bo.,JGI6,C.040,N.072,NdO,O.058,Psi_e_A,Psi_i_A,P_VSA_e_5,P_VSA_v_2,SAacc,SdO,SpMax2_Bh.s.,IC3,SpMax7_Bh.s.,ZM1Kup,AECC,ATSC5s,BIC3,Eig01_AEA.dm.,Eig04_AEA.dm.,Eig05_AEA.bo.,Eig05_EA.bo.,Eig06_EA.bo.,Eta_epsi_A,Eta_F_A,GGI1,GNar,IVDE,JGI1,SM03_EA.bo.,SM15_AEA.ri.,SpDiam_AEA.dm.,SPI,SpMax_AEA.dm.,X0A,ZM2Kup,ZM2MulPer,ZM2Per,ZM2V,ICR,IDE,MSD,AAC
8.013,46.635,-0.027,41.99,41.99,59.941,2.95,0.5,-0.072,6.0,4,7.989,0.061,2.049,3.31,0.025,0.33,1,1,7.844,0.013,1,1,1,1,7.607,2.107,25.145,59.941,59.941,13.246,4.988,4.749,3.903,355.714,10.071,51.002,0.787,3.623,2.657,3.322,2.716,2.408,0.555,1.074,4.0,2.137,1.198,0.129,4.732,2.716,5.623,9.293,3.623,0.691,379.425,390.886,572.44,371.0,2.7,3.435,6.046,1.32
6.721,89.318,-0.143,62.22,62.22,102.625,3.239,0.17,0.176,11.0,4,8.26,0.084,2.0,3.29,0.026,0.349,1,1,7.974,0.017,1,1,1,1,7.73,2.23,67.828,102.625,102.625,13.307,6.467,4.795,4.181,395.863,10.034,69.519,0.792,3.669,2.682,3.447,2.84,2.431,0.573,1.128,4.0,2.111,1.314,0.125,4.844,2.84,5.669,11.455,3.669,0.697,410.455,420.839,619.7,399.0,2.698,3.419,5.993,1.394
7.959,346.423,-6.396,283.5,308.8,437.746,3.612,0.17,-0.132,326.0,15,12.135,0.222,1.71,4.134,0.022,0.479,9,9,7.756,0.017,9,7,9,9,8.266,2.766,311.671,437.746,437.746,115.224,7.472,5.804,7.425,1005.4,19.034,509.145,0.827,4.093,3.794,3.851,3.177,2.982,0.608,1.297,14.0,1.876,1.558,0.233,5.182,3.177,6.093,45.289,4.093,0.747,787.056,794.241,1130.89,740.0,3.611,4.351,11.07,1.67
5.699,208.947,-5.444,299.32,324.62,417.567,3.581,0.17,-0.12,320.0,17,11.867,0.208,1.735,4.122,0.021,0.447,8,8,7.698,0.016,7,7,7,7,8.041,2.541,176.014,417.567,417.567,93.994,7.434,5.853,7.421,899.213,18.885,397.59,0.82,4.093,3.787,3.875,3.177,2.982,0.573,1.219,13.5,1.888,1.521,0.218,5.112,3.177,6.093,44.872,4.093,0.743,746.23,758.898,1080.16,708.0,3.606,4.322,10.964,1.615
5.0,238.797,-5.726,302.4,327.7,427.825,3.536,0.17,-0.138,239.0,20,12.522,0.179,1.778,4.051,0.019,0.434,9,9,7.768,0.016,8,8,8,8,8.049,2.549,201.159,427.825,427.825,108.779,7.434,5.873,7.422,977.969,18.531,453.496,0.817,4.093,3.789,3.875,3.183,2.997,0.582,1.275,14.0,1.926,1.494,0.212,5.182,3.183,6.093,44.228,4.093,0.735,809.134,819.042,1169.33,766.0,3.578,4.265,10.642,1.634
5.7,179.097,-3.672,175.94,175.94,245.947,3.462,0.17,-0.102,72.0,18,12.736,0.102,1.957,3.943,0.023,0.389,6,6,8.295,0.017,6,5,6,6,7.814,2.314,150.87,245.947,244.048,83.629,7.43,5.877,5.008,859.659,17.083,282.838,0.824,4.036,3.715,3.909,3.257,3.188,0.568,1.23,10.5,2.087,1.4,0.159,5.373,3.257,6.036,31.433,4.036,0.703,794.015,799.956,1174.56,756.0,3.424,4.187,10.323,1.497
5.0,174.393,-3.776,185.17,185.17,256.947,3.564,0.17,-0.109,73.0,17,13.096,0.101,1.957,3.987,0.023,0.385,6,6,8.295,0.017,5,5,6,6,7.833,2.333,161.869,256.947,255.048,83.473,7.432,5.897,5.008,907.395,17.869,290.152,0.826,4.036,3.727,3.909,3.257,3.188,0.576,1.246,10.5,2.086,1.391,0.157,5.373,3.257,6.036,31.827,4.036,0.703,827.47,831.271,1222.36,784.0,3.475,4.237,10.576,1.52
5.929,307.535,-10.594,347.57,372.87,521.551,3.507,0.17,-0.101,453.0,12,10.931,0.25,1.684,4.348,0.024,0.499,9,9,7.817,0.018,9,8,9,9,8.216,2.716,311.671,521.551,521.551,118.482,7.447,6.033,7.424,1032.36,22.406,586.033,0.84,4.093,3.822,3.927,3.129,3.08,0.59,1.187,15.0,1.86,1.578,0.231,5.239,3.129,6.093,52.203,4.093,0.751,814.203,818.532,1180.77,765.0,3.858,4.569,12.494,1.653
5.565,307.535,-10.653,338.78,364.08,506.665,3.508,0.17,-0.093,453.0,15,11.047,0.242,1.707,4.35,0.024,0.489,9,9,7.898,0.019,9,8,9,9,8.169,2.669,311.671,506.665,506.665,120.384,7.446,6.148,7.424,1055.67,22.348,600.831,0.851,4.093,3.845,3.946,3.156,3.093,0.587,1.185,15.0,1.887,1.578,0.221,5.301,3.156,6.093,53.001,4.093,0.746,847.4,851.923,1237.5,797.0,3.849,4.555,12.374,1.642
4.745,179.097,-4.646,197.03,222.33,276.945,3.412,0.17,-0.116,164.0,18,9.726,0.168,1.82,4.001,0.023,0.421,6,6,7.689,0.017,6,6,6,6,7.907,2.407,150.87,276.945,276.945,81.762,7.433,5.781,5.007,770.187,17.389,341.401,0.828,4.093,3.759,3.851,3.133,3.03,0.564,1.08,10.5,1.973,1.5,0.184,5.037,3.133,6.093,35.147,4.093,0.726,665.368,676.919,983.17,635.0,3.482,4.196,9.958,1.565
