pXC50,Sv,X.,MW,nSK,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB
7.26,16.305,0.0,192.23,14,7.393,42.3,46.2,1.011,1.12,0.651,0.627,0.0,6,26,0
5.284,36.896,1.8,442.98,32,8.054,47.3,41.8,0.998,1.115,0.708,0.671,7.3,23,55,0
5.495,43.245,1.4,505.11,36,7.32,42.0,47.8,0.995,1.124,0.67,0.627,5.8,23,69,0
6.357,41.347,1.6,514.02,37,8.427,45.9,39.3,1.011,1.118,0.703,0.678,8.2,29,61,0
6.721,41.653,1.6,513.04,37,8.275,45.2,40.3,1.007,1.121,0.7,0.672,9.7,29,62,0
5.319,37.369,1.9,452.97,33,8.388,50.0,38.9,1.0,1.109,0.726,0.692,7.4,29,54,0
5.036,37.874,1.8,451.98,33,8.218,50.9,40.0,0.996,1.105,0.726,0.689,5.5,29,55,0
5.658,36.864,1.9,453.96,33,8.565,49.1,37.7,1.004,1.113,0.725,0.696,9.4,29,53,0
4.876,36.864,1.9,453.96,33,8.565,49.1,37.7,1.004,1.113,0.725,0.696,9.4,29,53,0
5.319,36.068,0.0,408.54,31,7.428,47.3,43.6,0.992,1.116,0.693,0.656,7.3,23,55,0
4.812,29.279,0.0,325.44,25,7.396,50.0,43.2,0.986,1.109,0.707,0.665,6.8,23,44,0
4.928,36.535,1.9,458.01,32,8.808,50.0,38.5,1.0,1.102,0.747,0.703,5.8,28,52,0
4.796,32.348,2.1,389.91,28,8.123,47.9,41.7,0.998,1.112,0.712,0.674,6.3,23,48,0
5.678,38.455,1.7,446.03,32,7.434,45.0,46.7,0.991,1.117,0.687,0.641,5.0,23,60,0
5.066,37.17,1.9,452.98,33,8.389,48.1,38.9,1.0,1.116,0.722,0.688,11.1,29,54,0
4.866,42.938,1.5,506.09,36,7.442,42.6,47.1,0.998,1.122,0.671,0.631,4.4,23,68,0
6.097,30.557,0.0,368.41,27,7.839,44.7,42.6,1.017,1.115,0.667,0.65,0.0,12,47,0
7.824,29.156,2.1,329.45,24,6.864,41.7,50.0,0.997,1.13,0.646,0.607,2.1,12,48,0
8.222,23.741,2.9,375.22,20,11.036,50.0,41.2,0.991,1.098,0.778,0.698,2.9,12,34,0
7.69,22.807,2.9,267.32,20,7.862,50.0,41.2,1.004,1.116,0.698,0.671,2.9,12,34,0
7.863,21.907,3.3,362.17,19,12.072,53.3,36.7,1.001,1.088,0.805,0.73,0.0,12,30,0
6.487,20.38,3.7,348.14,18,12.894,55.6,33.3,1.005,1.082,0.829,0.755,0.0,12,27,0
8.553,20.579,0.0,256.35,18,8.545,46.7,40.0,1.001,1.107,0.731,0.686,6.7,16,30,0
4.797,31.69,2.0,407.95,27,8.326,40.8,44.9,1.011,1.118,0.688,0.647,2.0,12,49,0
7.0,34.781,3.7,475.43,30,8.804,37.0,44.4,1.022,1.127,0.681,0.644,3.7,12,54,0
4.296,35.346,0.0,433.57,30,7.606,38.6,47.4,1.011,1.124,0.654,0.62,1.8,12,57,0
5.501,33.217,1.9,421.98,28,8.115,40.4,46.2,1.008,1.119,0.682,0.639,1.9,12,52,0
4.203,33.104,0.0,403.54,28,7.614,39.6,47.2,1.008,1.122,0.662,0.625,1.9,12,53,0
4.313,32.389,0.0,387.54,27,7.453,40.4,48.1,1.002,1.12,0.666,0.623,1.9,12,52,0
4.558,22.462,9.4,312.18,20,9.756,46.9,37.5,1.024,1.12,0.733,0.702,3.1,12,32,0
4.699,28.263,7.0,369.28,24,8.588,44.2,44.2,1.012,1.121,0.696,0.657,0.0,12,43,0
4.081,23.688,2.9,300.37,21,8.834,50.0,38.2,1.013,1.105,0.73,0.697,0.0,16,34,0
4.151,24.704,10.8,326.31,23,8.819,45.9,37.8,1.045,1.149,0.662,0.668,0.0,12,37,0
7.022,18.897,0.0,211.28,16,7.286,48.3,44.8,0.991,1.11,0.691,0.652,3.4,12,29,0
4.071,22.156,9.7,313.16,20,10.102,48.4,35.5,1.032,1.115,0.738,0.715,0.0,12,31,0
6.824,41.399,0.0,497.66,35,7.54,40.9,47.0,1.006,1.12,0.664,0.627,1.5,18,66,0
4.658,24.177,11.4,324.29,23,9.265,48.6,34.3,1.051,1.146,0.679,0.691,0.0,12,35,0
