pXC50,RBF,nBM,nCsp2,RBN,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
6.611,0.071,15,15,3,9.584,46.2,33.3,1.037,1.126,0.711,0.707,373.79,7.7
5.699,0.162,18,15,11,7.995,39.4,43.9,1.018,1.125,0.663,0.638,527.65,4.5
6.62,0.203,17,14,12,8.199,37.9,43.1,1.024,1.128,0.659,0.639,475.57,5.2
6.721,0.161,18,15,9,8.732,40.7,38.9,1.03,1.123,0.68,0.667,471.53,5.6
5.638,0.184,10,8,7,10.376,31.6,42.1,1.038,1.137,0.674,0.646,394.28,7.9
7.081,0.078,9,9,5,7.058,36.1,49.2,1.009,1.138,0.626,0.598,430.56,6.6
7.658,0.064,16,14,3,8.555,45.5,36.4,1.023,1.121,0.691,0.684,376.4,9.1
6.78,0.109,19,17,7,7.918,41.0,44.3,1.011,1.127,0.669,0.641,483.01,6.6
5.87,0.129,18,14,9,7.738,37.9,45.5,1.009,1.132,0.661,0.629,510.68,9.1
6.921,0.114,24,20,8,8.071,40.9,42.4,1.011,1.126,0.68,0.651,532.68,9.1
6.22,0.115,19,17,7,8.086,41.4,43.1,1.013,1.127,0.674,0.648,468.98,6.9
4.979,0.14,16,17,7,7.846,42.9,42.9,1.018,1.129,0.661,0.644,384.44,4.1
6.58,0.158,13,11,9,6.938,35.7,50.0,1.006,1.14,0.625,0.594,388.52,7.1
6.143,0.053,9,10,3,6.843,38.9,50.0,0.998,1.132,0.639,0.602,369.51,5.6
6.495,0.054,8,8,3,6.745,37.7,50.9,0.998,1.134,0.632,0.595,357.5,5.7
7.114,0.053,9,10,3,6.843,38.9,50.0,0.998,1.132,0.639,0.602,369.51,5.6
5.301,0.052,8,8,3,6.773,36.4,50.9,1.0,1.138,0.628,0.592,372.52,7.3
6.959,0.067,10,8,4,7.325,35.1,47.4,1.015,1.142,0.626,0.605,417.52,8.8
6.319,0.063,8,8,3,6.901,37.0,50.0,1.003,1.136,0.63,0.597,317.43,6.5
7.013,0.057,8,8,3,6.869,38.0,50.0,1.0,1.134,0.635,0.6,343.47,6.0
6.925,0.055,8,8,3,6.894,36.5,50.0,1.002,1.138,0.63,0.597,358.49,7.7
