pXC50,C.,AMW,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT
7.721,39.8,7.842,45.8,1.007,1.122,0.675,0.635,650.89,4.8,18,83
7.796,40.5,8.227,43.2,1.012,1.12,0.685,0.65,608.8,5.4,18,74
8.0,38.5,8.987,41.5,1.027,1.127,0.688,0.658,584.14,4.6,12,65
8.155,38.7,8.64,41.9,1.025,1.128,0.679,0.652,535.67,4.8,12,62
7.959,37.9,8.768,40.9,1.03,1.131,0.675,0.654,578.7,6.1,12,66
8.398,37.9,8.571,42.4,1.026,1.129,0.672,0.647,565.7,4.5,12,66
7.886,38.7,8.93,40.3,1.033,1.133,0.678,0.658,553.66,4.8,12,62
7.377,37.7,8.798,41.0,1.029,1.131,0.678,0.655,536.66,6.6,12,61
5.745,41.1,8.706,39.3,1.03,1.128,0.678,0.664,487.55,5.4,12,56
8.398,38.8,8.623,41.8,1.026,1.127,0.677,0.652,577.71,4.5,12,67
5.921,43.6,8.501,40.0,1.019,1.123,0.692,0.668,467.56,5.5,12,55
8.301,38.7,9.195,40.3,1.03,1.127,0.693,0.665,570.11,4.8,12,62
8.222,39.7,8.9,39.7,1.028,1.127,0.688,0.666,560.68,6.3,12,63
8.301,34.4,7.777,48.4,1.012,1.131,0.652,0.611,497.7,4.7,6,64
8.523,38.5,8.457,43.1,1.022,1.128,0.675,0.646,549.7,4.6,12,65
8.097,34.3,7.638,49.3,1.01,1.132,0.649,0.606,511.73,4.5,6,67
6.471,42.6,8.529,40.7,1.025,1.13,0.68,0.66,460.54,3.7,12,54
8.523,37.7,8.798,41.0,1.029,1.131,0.678,0.655,536.66,6.6,12,61
8.301,38.2,8.29,44.1,1.019,1.129,0.671,0.639,563.73,4.4,12,68
7.367,38.7,8.64,41.9,1.025,1.128,0.679,0.652,535.67,4.8,12,62
8.222,38.3,8.961,40.0,1.033,1.128,0.68,0.66,537.64,5.0,12,60
9.0,37.5,8.605,42.2,1.026,1.131,0.674,0.648,550.69,6.3,12,64
8.046,39.3,8.798,41.0,1.029,1.125,0.681,0.658,536.65,3.3,12,61
8.398,39.7,8.487,42.9,1.021,1.124,0.68,0.65,534.68,3.2,12,63
8.398,38.5,8.457,43.1,1.022,1.128,0.675,0.646,549.7,4.6,12,65
7.921,39.1,8.344,43.5,1.019,1.127,0.676,0.645,575.74,4.3,12,69
8.301,39.0,8.841,40.7,1.028,1.127,0.684,0.659,521.64,5.1,12,59
8.523,38.7,8.64,41.9,1.025,1.128,0.679,0.652,535.67,4.8,12,62
8.523,37.5,8.605,42.2,1.026,1.131,0.674,0.648,550.69,6.3,12,64
8.699,38.7,9.195,40.3,1.03,1.127,0.693,0.665,570.11,4.8,12,62
8.0,38.5,8.457,43.1,1.022,1.128,0.675,0.646,549.7,4.6,12,65
7.886,38.2,8.29,44.1,1.019,1.129,0.671,0.639,563.73,4.4,12,68
8.097,38.7,8.35,43.5,1.017,1.122,0.68,0.646,517.68,4.8,12,62
8.046,38.7,8.93,40.3,1.033,1.133,0.678,0.658,553.66,4.8,12,62
