pXC50,nH,Sp,nAT,Se
4.541,13,16.938,27,27.385
4.827,19,22.222,36,36.036
5.52,17,19.006,31,30.825
5.69,20,21.773,36,35.811
5.45,17,22.483,34,34.356
6.284,22,23.534,39,38.694
7.389,16,21.273,32,32.247
7.99,23,24.29,40,39.476
6.222,19,21.222,35,35.036
6.886,18,21.171,33,32.705
5.44,18,20.012,33,32.927
9.201,25,26.052,43,42.36
5.885,19,20.767,34,33.709
7.81,18,22.012,35,34.927
7.75,27,27.813,46,45.243
5.67,21,24.983,40,39.92
7.45,21,22.983,38,37.92
9.41,23,25.29,41,40.476
5.97,19,21.222,35,35.036
5.532,19,20.313,33,32.382
5.879,16,19.705,32,32.371
6.182,29,31.029,51,50.454
5.222,11,14.176,23,23.502
6.796,19,23.313,36,35.382
9.051,21,25.529,40,39.592
5.4,19,21.222,35,35.036
7.697,24,31.296,48,47.578
8.526,23,25.29,41,40.476
4.036,21,23.983,39,38.92
4.444,19,22.222,36,36.036
7.754,25,27.052,44,43.36
5.143,18,17.012,30,29.927
5.252,20,18.773,33,32.811
7.511,24,31.296,48,47.578
6.854,15,20.267,30,30.145
5.65,19,21.222,35,35.036
5.31,19,22.222,36,36.036
6.191,17,19.006,31,30.825
5.987,20,23.228,38,38.138
7.609,24,31.296,48,47.578
5.9,22,20.534,36,35.694
5.339,20,18.773,33,32.811
5.456,18,17.012,30,29.927
6.071,22,20.534,36,35.694
5.703,20,18.773,33,32.811
5.854,20,18.773,33,32.811
6.51,17,19.46,32,32.153
6.404,20,23.875,38,38.214
7.444,18,23.034,35,35.131
7.51,21,22.529,37,36.592
4.0,19,22.222,36,36.036
7.208,19,22.222,36,36.036
7.99,21,22.529,37,36.592
4.84,22,24.989,41,41.022
6.284,21,22.983,38,37.92
4.27,19,20.767,34,33.709
6.921,13,16.938,27,27.385
4.149,13,16.938,27,27.385
4.0,15,18.699,30,30.269
5.036,13,16.938,27,27.385
5.205,17,19.46,32,32.153
4.302,13,16.938,27,27.385
