pXC50,AAC,AMW,ARR,ATS2e,ATS2i,ATS6e,ATS6i,ATSC3e,ATSC6e,ATSC6m,ATSC6s,BIC0,CATS2D_02_DD,CATS2D_02_DP,CATS2D_02_PL,CATS2D_03_PL,CIC0,GATS1p,GATS1s,GATS2e,GATS3s,GATS6s,IC0,JGI1,MATS1i,MATS1m,MATS1p,MATS1s,MATS2e,MATS3s,MATS3v,MATS4m,ON1V,PHI,Psi_e_A,Psi_i_A,P_VSA_MR_1,S3K,SAacc,Si,SIC0,SpMAD_EA.ri.,SpMax5_Bh.i.,SpMin2_Bh.s.,SpMin3_Bh.s.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.m.,SpMin4_Bh.p.,SpMin4_Bh.s.,SpMin4_Bh.v.,SpMin5_Bh.p.,SpMin5_Bh.s.,SpMin5_Bh.v.,SssCH2,TPSA.Tot.,ATSC2e,SpMin3_Bh.m.,H.050,Hy,SAdon,SsNH2,ATS3i,ATSC3m,Eta_betaP_A,MATS1e,ATS4e,ATS4i,Eta_L,BIC3,BIC4,BIC5,SpMax7_Bh.s.,GATS3e,ATSC3s,Eta_epsi_A,Eta_L_A,Me,nHAcc,nHet,SdssC,X2Av,ATS5i,ATSC1p,ATSC1v,ATSC2m,ATSC2p,ATSC2v,ATSC3p,ATSC3v,ATSC4v,BIC1,C.003,C.006,CIC1,CIC2,Eta_FL_A,GATS5v,GATS6e,H.052,IC1,MATS6s,MAXDN,nCrs,nCrt,nCsp3,nCt,NssCH2,NsssCH,PCD,PCR,P_VSA_e_1,P_VSA_i_3,P_VSA_LogP_7,P_VSA_m_1,P_VSA_MR_2,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,SIC1,SpMax5_Bh.e.,SpMin1_Bh.p.,SpMin1_Bh.s.,SpMin1_Bh.v.,SsSH,SsssCH,X4v,ATSC1e,ATSC1s,ATSC8e,ATSC8s,BLI,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,Eig08_EA.ri.,Eta_F_A,GATS1v,GATS3i,GATS4m,H.,HVcpx,MCD,nHDon,NsNH2,SpMax4_Bh.s.,X0Av,X1Av,Eta_FL,IC2,GATS6m,ATS3e,ATSC4m,Eta_C_A,MATS3e,SpMax4_Bh.i.,SpMin1_Bh.m.,MATS7i,AECC,ALOGP,ALOGP2,AMR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2m,ATS2p,ATS2s,ATS2v,ATS3m,ATS3p,ATS3s,ATS3v,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5m,ATS5p,ATS5s,ATS5v,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1i,ATSC1m,ATSC2i,ATSC2s,ATSC3i,ATSC4e,ATSC4i,ATSC4p,ATSC4s,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6i,ATSC6p,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8i,ATSC8m,ATSC8p,ATSC8v,BAC,BBI,BIC2,BID,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.008,C.024,C.025,C.026,C.028,C.033,C.040,C.041,C.042,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_NL,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DA,CATS2D_04_DL,CATS2D_04_DN,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_LL,CATS2D_05_NL
5.0,1.689,7.081,0.357,3.914,4.121,3.998,4.244,0.416,0.503,13.671,71.388,0.339,0,0,0,0,3.118,1.273,0.868,0.674,0.861,1.421,1.689,0.179,-0.242,-0.041,-0.004,-0.144,0.084,-0.03,-0.037,-0.059,1.458,4.421,8.226,2.726,105.94,3.693,135.522,32.488,0.351,1.326,2.966,0.97,0.533,1.175,1.137,1.333,1.468,0.323,1.424,1.216,0.119,1.189,1.268,104.03,0.278,1.568,5,3.454,110.377,5.273,4.417,15.337,0.393,-0.228,4.109,4.36,3.492,0.908,0.908,0.908,3.484,0.829,50.316,0.612,0.249,1.017,5,6,-0.888,0.17,4.331,1.841,3.014,11.252,2.991,5.015,3.646,6.195,5.756,0.739,0,2,1.13,0.429,0.232,0.942,1.307,0,3.677,0.032,2.554,0,0,4,0,3,1,0.9,1.179,105.94,173.768,82.398,105.94,67.828,105.94,105.94,105.94,0.765,2.826,1.936,1.173,1.93,0.0,-0.623,1.116,0.107,15.178,0.141,15.109,0.938,1,1,1,-0.557,0.681,1.075,0.888,1.024,50.0,2.711,0.357,5,1,4.983,0.552,0.313,3.244,4.379,1.133,4.15,14.739,0.666,0.032,3.019,1.907,0.012,6.286,-1.413,1.995,50.293,3.43,3.584,2.895,2.762,4.629,2.778,3.148,3.101,5.154,3.065,3.028,3.138,5.226,3.043,3.008,3.087,5.199,3.018,4.079,3.092,3.012,5.336,2.968,2.895,2.821,5.442,2.776,3.723,4.015,2.092,2.473,4.837,2.322,3.157,3.514,1.525,1.937,4.007,1.724,0.386,6.518,0.53,44.769,0.509,0.37,0.478,3.456,52.824,0.393,0.442,14.381,3.166,54.056,5.463,0.35,2.462,4.456,0.352,0.241,10.613,1.86,50.54,3.459,0.137,5.827,1.036,2.171,18,17,0.88,2.73,-0.3,-0.44,-0.6,28.6,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,2,1,1,0,1,0,1,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,0,0
8.699,1.771,7.333,0.0,3.851,4.048,3.806,4.099,0.294,0.352,14.203,54.69,0.365,3,2,0,0,3.036,1.154,0.949,0.394,0.923,1.054,1.771,0.25,0.0,-0.135,0.01,-0.173,0.306,-0.116,-0.036,-0.006,1.442,6.808,8.453,2.953,93.216,6.72,150.408,32.325,0.368,1.29,2.909,0.942,0.475,0.887,0.873,1.182,1.219,0.107,1.202,1.1,0.0,1.139,2.11,138.0,0.249,1.455,6,4.688,125.263,5.042,4.432,17.671,0.231,-0.228,4.211,4.47,4.228,0.916,0.916,0.916,3.621,0.951,60.539,0.593,0.325,1.012,5,6,-0.907,0.219,4.337,2.392,3.323,12.589,4.185,5.585,4.696,6.796,6.717,0.73,1,2,1.26,0.5,0.142,0.972,0.966,2,3.547,-0.093,2.488,0,0,5,1,4,1,0.24,1.053,116.758,184.587,144.504,116.758,91.37,116.758,116.758,116.758,0.738,2.791,1.941,1.333,1.955,3.93,-0.405,1.203,0.092,20.818,0.279,70.18,1.156,1,1,1,-0.9,0.476,1.137,0.957,1.008,53.6,2.776,0.0,5,1,4.796,0.629,0.385,1.847,4.307,0.981,4.169,21.567,0.878,-0.13,3.044,1.973,-0.138,6.692,0.206,0.043,52.834,3.384,3.532,2.861,2.787,4.597,2.729,3.086,3.109,5.163,2.984,3.114,3.237,5.203,3.08,3.162,3.177,5.397,3.008,4.048,2.718,2.965,5.073,2.759,2.627,2.68,4.96,2.509,3.485,3.768,2.513,2.453,4.664,2.331,3.258,3.491,2.677,2.188,5.209,2.107,0.375,7.469,0.51,52.905,0.568,0.413,0.515,4.83,87.529,0.325,0.424,17.791,3.976,66.568,5.713,0.328,2.547,4.139,0.169,0.26,9.596,1.96,33.038,2.997,0.203,8.092,1.033,2.093,43,14,0.887,2.66,-1.64,-1.71,-1.73,25.0,0,2,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,2,0,1,1,0,0,0,2,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0
7.329,1.726,7.23,0.0,4.079,4.274,4.178,4.474,0.26,0.295,19.437,57.124,0.339,1,1,0,0,3.274,1.161,0.883,0.449,0.766,1.156,1.726,0.233,-0.07,-0.095,-0.011,-0.124,0.245,-0.063,-0.07,0.017,1.782,4.731,8.215,2.715,116.758,3.277,135.522,36.74,0.345,1.388,3.043,1.044,0.694,1.036,0.957,1.358,1.286,0.593,1.315,1.201,0.089,1.201,3.423,129.21,0.266,1.509,5,3.329,107.252,5.39,4.688,21.781,0.2,-0.169,4.586,4.844,5.099,0.909,0.909,0.909,3.513,0.835,52.477,0.581,0.34,1.007,5,6,-0.775,0.211,4.818,2.905,4.037,15.16,5.244,7.152,6.697,9.708,10.341,0.682,2,3,1.532,0.625,0.131,0.935,1.104,3,3.468,-0.126,2.472,2,1,7,2,5,2,0.22,1.042,152.072,219.9,179.817,152.072,103.142,152.072,152.072,152.072,0.694,3.001,2.045,1.466,2.055,4.062,-0.381,2.44,0.071,17.315,0.221,41.2,1.124,1,1,1,-0.691,0.486,1.124,1.104,0.894,53.1,2.636,0.4,4,1,4.794,0.627,0.375,1.959,4.375,0.957,4.445,28.177,1.006,-0.092,3.107,2.064,-0.072,5.8,0.65,0.422,60.869,3.537,3.677,3.035,2.984,4.666,2.927,3.35,3.394,5.248,3.288,3.466,3.616,5.375,3.476,3.58,3.623,5.69,3.466,4.534,3.271,3.448,5.6,3.246,2.972,3.093,5.26,2.897,3.819,4.107,2.753,2.593,5.439,2.394,3.21,3.524,1.033,1.844,4.352,1.517,0.459,8.437,0.703,49.453,0.88,0.418,0.89,7.181,89.923,0.575,0.753,29.523,6.612,92.592,9.43,0.524,4.552,6.521,0.426,0.324,15.429,2.57,97.1,4.077,0.132,9.334,1.57,2.027,36,20,0.86,2.794,-1.89,-1.95,-1.95,28.1,0,2,0,0,0,0,0,0,1,1,0,3,1,0,3,1,3,1,0,2,3,0,0,0,1,0,1,1,1,1,0,5,0,0,1,2,1,1,0,1,0,5,0,0,0
4.629,1.621,7.011,0.0,3.937,4.129,3.691,3.989,0.165,0.207,13.354,35.046,0.337,0,0,0,0,3.133,1.166,0.733,0.508,0.699,1.5,1.621,0.167,-0.037,-0.093,-0.024,-0.056,0.142,-0.026,-0.04,0.109,1.636,4.054,8.046,2.546,116.758,2.749,85.839,30.744,0.341,1.366,3.04,1.039,0.685,0.969,0.88,1.317,1.256,0.563,1.272,1.184,0.089,1.198,4.404,88.13,0.172,1.41,3,1.555,60.694,0.0,4.559,19.409,0.125,-0.112,4.343,4.608,4.644,0.912,0.912,0.912,2.956,0.713,34.29,0.559,0.387,1.001,3,4,-0.71,0.24,4.449,2.885,3.738,13.585,4.804,6.492,6.482,8.781,8.326,0.627,2,3,1.741,0.667,0.092,0.944,1.449,3,3.013,-0.21,2.376,2,1,7,2,5,2,0.121,1.025,152.072,219.9,179.817,152.072,103.142,152.072,152.072,152.072,0.634,2.965,2.031,1.455,2.048,4.057,-0.005,2.105,0.034,7.542,0.014,1.889,1.233,0,0,0,-0.972,0.305,1.169,1.031,0.824,55.6,2.412,0.5,2,0,4.229,0.657,0.411,1.109,4.088,1.263,4.299,23.336,0.995,-0.022,3.066,2.065,0.087,4.917,0.517,0.267,50.049,3.357,3.483,2.84,2.857,4.368,2.772,3.106,3.261,4.995,3.124,3.203,3.436,5.119,3.252,3.326,3.351,5.405,3.161,4.18,2.914,3.07,5.31,2.833,2.16,2.523,4.685,2.238,2.933,3.26,0.759,1.64,3.838,1.281,1.515,1.922,0.028,0.457,1.609,0.245,0.372,7.392,0.595,38.165,0.734,0.286,0.693,6.362,57.444,0.43,0.541,22.324,5.218,63.345,6.551,0.303,3.267,3.971,0.121,0.116,6.494,1.452,20.32,1.745,0.019,0.999,0.24,0.37,15,15,0.85,2.597,-2.06,-2.11,-2.1,29.6,0,2,0,0,0,0,0,0,1,0,0,3,1,0,1,0,1,3,0,2,1,0,0,0,3,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0
5.509,1.726,7.23,0.0,4.079,4.274,4.116,4.433,0.269,0.462,20.665,65.087,0.339,1,1,0,0,3.274,1.161,0.883,0.449,0.766,1.248,1.726,0.233,-0.07,-0.095,-0.011,-0.124,0.245,-0.063,-0.052,-0.015,1.782,4.731,8.215,2.715,104.987,3.277,135.522,36.74,0.345,1.384,3.044,0.986,0.825,1.153,1.064,1.44,1.376,0.507,1.429,1.215,0.057,1.201,3.281,129.21,0.266,1.513,5,3.329,107.252,5.359,4.688,21.801,0.2,-0.169,4.581,4.833,5.089,0.835,0.835,0.835,3.485,0.845,52.669,0.581,0.339,1.007,5,6,-0.697,0.21,4.854,2.905,4.037,15.16,5.244,7.152,6.748,9.736,10.616,0.682,2,3,1.532,0.75,0.131,0.94,1.166,4,3.468,-0.136,2.439,2,1,7,2,5,2,0.22,1.042,152.072,219.9,179.817,152.072,114.913,152.072,152.072,152.072,0.694,3.034,2.045,1.472,2.055,4.067,-0.21,2.426,0.071,17.315,0.274,70.187,1.124,1,1,1,-0.627,0.475,1.124,1.045,0.918,53.1,2.705,0.4,4,1,4.794,0.627,0.375,1.969,4.25,1.114,4.445,27.862,1.001,-0.102,3.206,2.066,-0.126,6.4,0.582,0.339,60.946,3.537,3.677,3.035,2.984,4.666,2.927,3.35,3.394,5.249,3.288,3.461,3.622,5.373,3.481,3.553,3.637,5.689,3.466,4.555,3.12,3.421,5.563,3.181,2.682,2.887,5.132,2.651,3.34,3.633,2.476,2.352,4.476,2.254,3.187,3.397,2.676,2.155,5.198,2.09,0.459,8.437,0.703,49.471,0.88,0.391,0.889,7.518,88.459,0.498,0.721,30.031,7.018,98.41,9.678,0.427,4.026,5.881,0.098,0.253,7.454,1.618,16.972,2.646,0.215,7.607,0.915,1.906,36,20,0.835,2.793,-1.89,-1.95,-1.95,28.1,0,2,0,0,0,0,0,0,1,1,0,3,1,0,3,1,3,1,0,3,2,0,0,0,1,0,0,2,3,0,0,6,0,0,0,2,0,0,1,0,0,2,0,0,0
4.538,1.642,6.981,0.0,4.118,4.319,4.182,4.506,0.222,0.427,21.125,58.11,0.32,0,0,0,0,3.402,1.217,0.797,0.511,0.813,1.212,1.642,0.233,-0.142,-0.076,-0.06,-0.081,0.188,-0.077,-0.046,-0.014,1.949,4.77,8.081,2.581,140.301,3.298,102.625,37.657,0.326,1.392,3.044,0.996,0.825,1.153,1.064,1.513,1.376,0.724,1.429,1.217,0.456,1.202,3.722,103.19,0.206,1.608,3,1.378,74.355,0.0,4.708,22.278,0.2,-0.099,4.6,4.848,5.211,0.825,0.825,0.825,3.474,0.905,43.575,0.561,0.347,1.0,4,5,-0.166,0.22,4.904,3.3,4.443,15.95,5.449,7.58,7.131,10.139,11.475,0.614,2,3,1.897,0.811,0.123,0.945,1.131,4,3.147,-0.104,2.407,2,1,8,2,5,2,0.22,1.042,187.385,255.213,215.13,187.385,114.913,187.385,187.385,187.385,0.624,3.035,2.046,1.474,2.058,4.092,-0.114,2.52,0.033,10.92,0.149,47.462,1.166,0,0,0,-0.629,0.432,1.186,0.986,0.916,54.5,2.705,0.4,2,0,4.336,0.656,0.389,1.847,4.234,1.063,4.465,28.102,1.044,-0.123,3.206,2.069,0.08,6.4,0.824,0.679,62.147,3.551,3.683,3.03,3.035,4.614,2.96,3.34,3.431,5.193,3.316,3.456,3.658,5.369,3.51,3.547,3.694,5.655,3.507,4.603,3.119,3.493,5.549,3.233,2.678,2.966,5.135,2.709,3.387,3.678,2.454,2.479,4.405,2.343,3.262,3.469,2.624,2.378,5.001,2.245,0.464,8.712,0.729,40.929,0.926,0.294,0.959,8.461,71.306,0.396,0.822,30.398,8.045,80.535,10.691,0.499,4.665,6.543,0.069,0.281,7.641,2.156,11.892,3.15,0.254,7.674,1.854,2.634,36,20,0.825,2.793,-2.58,-2.6,-2.54,30.3,1,2,0,0,0,0,0,0,2,0,0,3,1,0,4,0,2,2,0,3,2,0,0,0,1,0,0,2,3,0,0,4,0,2,0,0,0,0,1,0,0,1,0,1,0
5.305,1.704,7.246,0.0,4.163,4.356,4.294,4.609,0.386,0.544,23.792,79.289,0.33,0,0,0,0,3.383,1.205,0.729,0.529,0.75,1.062,1.704,0.219,-0.097,-0.084,-0.036,-0.074,0.142,0.009,-0.004,-0.043,1.969,5.418,8.264,2.764,128.529,3.548,128.995,38.866,0.335,1.384,3.046,0.997,0.825,1.153,1.064,1.513,1.376,0.746,1.429,1.234,0.458,1.21,3.049,122.43,0.285,1.607,4,2.259,75.581,5.274,4.754,23.598,0.188,-0.12,4.616,4.839,5.52,0.836,0.836,0.836,3.528,0.786,71.751,0.587,0.345,1.01,5,6,-0.852,0.21,4.879,3.297,4.385,16.396,5.464,7.619,7.644,10.472,10.934,0.635,2,4,1.803,0.765,0.13,1.029,1.015,4,3.284,-0.118,2.46,2,1,8,2,6,2,0.207,1.038,175.614,268.587,203.359,175.614,140.058,175.614,175.614,175.614,0.646,3.038,2.048,1.474,2.058,4.065,-0.282,2.563,0.072,17.109,0.311,75.7,1.133,1,1,1,-0.059,0.481,1.156,0.929,0.964,52.9,2.835,0.375,3,1,4.989,0.627,0.378,2.076,4.323,1.069,4.518,28.693,1.025,-0.004,3.206,2.067,0.135,7.125,-0.503,0.253,63.202,3.593,3.721,3.093,3.05,4.695,2.993,3.399,3.453,5.282,3.352,3.55,3.669,5.543,3.538,3.624,3.681,5.759,3.534,4.607,3.239,3.511,5.652,3.297,2.801,3.069,5.289,2.836,3.628,3.93,2.587,2.584,4.639,2.458,3.352,3.507,2.831,2.392,5.241,2.351,0.476,8.759,0.739,50.256,0.913,0.481,0.922,8.218,101.098,0.565,0.817,31.021,7.674,109.768,10.3,0.546,4.852,7.15,0.155,0.304,10.065,2.65,26.516,3.833,0.244,8.601,1.967,2.514,39,21,0.836,2.851,-1.39,-1.47,-1.52,29.4,0,2,0,0,0,0,0,0,2,0,0,3,1,1,3,0,1,1,0,3,2,2,2,0,1,0,0,2,5,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0
8.222,1.821,8.253,0.375,3.86,4.001,4.002,4.265,0.269,0.32,15.734,45.497,0.358,3,2,0,0,3.037,0.913,0.965,0.35,1.032,0.817,1.821,0.25,0.144,-0.14,0.086,-0.228,0.333,-0.204,-0.061,0.178,1.351,4.643,8.326,2.826,93.216,3.722,150.408,32.91,0.375,1.378,2.948,0.873,0.296,0.888,0.874,1.132,1.212,0.226,1.2,1.095,0.0,1.111,0.221,138.0,0.221,1.502,6,4.234,125.263,5.184,4.354,14.933,0.594,-0.238,4.224,4.429,3.842,0.928,0.928,0.928,3.846,1.066,52.382,0.624,0.24,1.016,5,6,-1.107,0.172,4.374,2.575,3.045,10.496,4.504,5.436,5.196,6.5,7.448,0.782,1,1,0.88,0.414,0.231,1.144,0.754,0,3.978,0.047,2.588,0,0,2,1,1,1,1.39,1.256,93.216,161.044,120.961,93.216,67.828,93.216,93.216,93.216,0.819,2.86,2.026,1.229,2.032,4.002,-0.656,1.682,0.1,21.035,0.304,74.292,0.979,1,1,1,-0.145,0.79,0.867,0.928,0.741,44.8,2.757,0.375,5,1,4.805,0.586,0.326,3.699,4.444,0.829,4.158,18.033,0.722,-0.217,3.044,2.034,-0.135,6.5,1.218,1.484,65.561,3.453,3.577,3.06,2.969,4.751,2.933,3.356,3.308,5.281,3.235,3.421,3.454,5.357,3.361,3.573,3.441,5.561,3.341,4.163,3.275,3.315,5.45,3.186,3.077,3.033,5.234,2.889,3.698,3.954,2.595,2.677,4.93,2.524,3.415,3.691,2.68,2.266,5.236,2.148,0.432,6.567,0.626,46.958,0.756,0.284,0.746,6.105,51.805,0.325,0.698,18.231,5.496,60.312,6.5,0.559,4.3,5.877,0.245,0.4,12.466,3.107,51.203,3.84,0.29,9.44,1.762,2.809,39,21,0.874,2.852,-2.58,-2.61,-2.54,34.5,0,0,0,4,1,1,0,0,1,1,0,5,1,0,1,0,1,3,0,6,1,0,0,0,3,0,3,2,2,0,0,8,0,1,1,2,0,1,0,0,0,5,1,0,1
8.155,1.996,9.44,0.353,3.874,3.999,4.025,4.261,0.366,0.42,19.327,57.634,0.392,3,2,0,0,2.862,0.81,0.954,0.409,1.055,0.918,1.996,0.265,0.154,-0.117,0.096,-0.234,0.269,-0.221,-0.008,0.032,1.338,5.112,8.382,2.882,81.445,3.799,150.408,32.854,0.411,1.355,2.945,0.87,0.256,0.888,0.874,1.114,1.212,0.226,1.2,1.063,0.0,1.08,0.137,138.0,0.253,1.488,6,4.171,125.263,5.189,4.351,15.173,0.559,-0.24,4.251,4.425,4.165,0.928,0.928,0.928,4.255,1.101,63.771,0.662,0.245,1.027,5,7,-1.224,0.179,4.369,2.553,2.731,9.342,4.504,5.154,5.518,6.189,7.409,0.826,1,1,0.656,0.302,0.223,1.144,0.91,0,4.202,-0.039,2.665,0,0,2,1,1,1,1.4,1.252,81.445,188.422,109.19,81.445,67.828,81.445,81.445,81.445,0.865,2.881,2.014,1.231,2.018,3.991,-0.792,1.956,0.133,25.229,0.348,77.663,1.007,1,1,1,-0.104,0.787,0.781,0.906,0.984,41.4,2.753,0.353,5,1,4.92,0.613,0.336,3.787,4.556,1.058,4.178,20.766,0.808,-0.246,3.044,2.0,-0.164,6.529,1.883,3.545,70.366,3.463,3.575,3.186,3.012,4.782,2.977,3.538,3.369,5.327,3.298,3.675,3.542,5.434,3.451,3.805,3.549,5.626,3.446,4.197,3.819,3.431,5.689,3.312,3.23,3.117,5.293,2.968,3.716,3.951,3.0,2.748,5.108,2.62,3.445,3.686,2.728,2.363,5.284,2.221,0.422,5.513,0.61,50.928,0.732,0.417,0.715,6.749,70.001,0.553,0.668,24.373,6.268,82.525,6.385,0.548,4.972,6.048,0.339,0.39,13.794,3.468,63.122,3.859,0.285,12.544,2.287,2.973,50,23,0.896,2.908,-3.14,-3.14,-3.02,34.5,0,0,0,3,1,2,0,0,1,1,0,3,1,0,1,0,1,3,0,5,1,0,0,0,3,0,6,1,1,0,0,6,0,1,2,2,0,2,0,0,0,7,1,0,1
6.447,1.727,8.22,0.462,3.679,3.808,3.603,3.867,0.153,0.246,11.764,49.311,0.359,0,0,2,2,2.858,0.905,0.892,0.394,0.958,0.826,1.727,0.231,0.205,-0.142,0.066,-0.187,0.234,-0.141,-0.114,0.144,1.164,3.483,8.274,2.774,93.216,2.555,100.725,26.913,0.377,1.399,2.833,0.856,0.227,0.888,0.874,1.1,1.21,0.183,1.2,0.961,0.0,1.002,0.277,102.12,0.143,1.274,4,2.417,75.581,5.533,4.146,12.539,0.615,-0.177,4.028,4.23,3.302,0.919,0.919,0.919,3.338,0.905,37.354,0.608,0.254,1.01,3,4,-0.874,0.183,4.117,2.444,2.767,9.181,4.044,4.801,5.033,5.996,6.163,0.757,1,1,0.948,0.5,0.219,1.08,0.861,0,3.637,0.25,2.541,0,0,2,1,1,1,1.273,1.255,93.216,161.044,120.961,93.216,67.828,93.216,93.216,93.216,0.793,2.774,2.019,1.222,2.028,3.979,-0.577,1.469,0.062,15.206,0.028,5.537,1.032,1,1,1,-0.862,0.687,0.88,1.057,0.784,45.8,2.446,0.462,3,1,4.509,0.605,0.344,2.845,4.085,0.916,3.966,15.613,0.694,-0.106,3.043,2.035,0.234,5.0,1.066,1.136,54.542,3.255,3.359,2.869,2.84,4.516,2.78,3.15,3.179,5.026,3.086,3.245,3.304,5.15,3.188,3.356,3.225,5.379,3.101,3.901,2.942,3.011,5.163,2.841,2.66,2.558,5.046,2.369,3.123,3.411,1.018,1.843,4.244,1.515,1.844,2.277,0.042,0.626,1.946,0.348,0.326,5.57,0.484,36.576,0.609,0.226,0.609,5.379,48.55,0.241,0.531,15.698,4.902,51.4,5.311,0.386,3.235,3.995,0.204,0.207,9.751,2.237,41.177,2.266,0.045,2.162,0.545,0.834,22,17,0.85,2.667,-2.74,-2.76,-2.68,37.5,0,0,0,4,1,1,0,0,1,0,0,5,1,0,1,0,1,3,0,6,1,0,0,0,3,0,3,2,2,0,0,4,0,1,1,2,0,1,0,0,0,1,1,0,1
