pXC50,MW,nSK,nBO,nAT,nBT,nCsp3,nC,nHet,Sp,nH,SCBO
8.745,421.64,31,34,66,69,13,26,5,42.108,35,41.0
5.961,377.92,26,28,51,53,9,21,5,33.608,25,34.0
9.319,371.29,19,20,41,42,8,16,3,28.495,22,24.0
6.0,305.49,21,23,44,46,9,16,5,28.733,23,28.0
8.0,408.4,24,27,46,49,8,18,6,32.086,22,32.5
7.239,347.95,23,26,45,48,8,18,5,31.137,22,31.5
6.0,289.49,20,22,43,45,9,16,4,28.279,23,27.0
8.349,347.95,23,26,45,48,8,18,5,31.137,22,31.5
7.883,347.5,24,27,46,49,8,18,6,30.671,22,32.5
8.442,363.95,24,27,46,49,8,18,6,31.591,22,32.5
8.394,333.92,22,25,42,45,7,17,5,29.375,20,30.5
10.301,371.29,19,20,41,42,8,16,3,28.495,22,24.0
8.442,378.37,22,25,42,45,7,17,5,29.87,20,30.5
6.947,389.54,29,32,56,59,7,24,5,37.063,27,41.5
6.458,425.6,30,33,57,60,7,23,7,38.165,27,43.5
7.149,403.57,30,33,59,62,8,25,5,38.824,29,42.5
7.102,453.66,32,35,63,66,9,25,7,41.688,31,45.5
8.029,431.63,32,35,65,68,10,27,5,42.347,33,44.5
7.076,467.69,33,36,66,69,10,26,7,43.449,33,46.5
7.018,445.66,33,36,68,71,11,28,5,44.108,35,45.5
7.347,481.72,34,37,69,72,11,27,7,45.211,35,47.5
6.53,442.61,33,37,63,67,8,27,6,41.83,30,48.0
8.796,407.56,30,33,59,62,9,24,6,38.279,29,42.0
7.384,402.54,30,33,56,59,8,24,6,37.307,26,44.0
8.036,422.63,31,34,65,68,12,25,6,41.353,34,41.0
8.108,446.41,30,33,55,58,8,23,7,37.779,25,42.0
7.79,470.72,35,39,73,77,13,30,5,47.421,38,48.0
8.418,469.73,35,39,74,78,13,31,4,48.177,39,48.0
8.708,394.62,29,32,63,66,13,24,5,39.898,34,38.0
8.165,395.61,29,32,62,65,13,23,6,39.143,33,38.0
8.539,394.62,29,32,63,66,13,24,5,39.898,34,38.0
7.851,394.62,29,32,63,66,13,24,5,39.898,34,38.0
8.521,470.72,35,39,73,77,13,30,5,47.421,38,48.0
8.116,519.52,30,33,64,67,13,25,5,43.313,34,39.0
8.627,469.73,35,39,74,78,13,31,4,48.177,39,48.0
8.815,470.72,35,39,73,77,13,30,5,47.421,38,48.0
6.474,396.96,27,29,56,58,13,20,7,35.347,29,33.0
5.203,320.48,23,24,51,52,11,18,5,31.273,28,28.0
5.995,366.48,26,28,53,55,12,19,7,32.665,27,32.0
8.538,406.58,30,33,60,63,9,24,6,38.83,30,42.0
7.553,457.63,34,38,65,69,9,27,7,42.836,31,49.5
9.42,479.87,31,34,56,59,8,23,8,39.188,25,43.0
8.319,418.59,31,34,61,64,9,25,6,39.83,30,43.5
7.959,419.58,31,34,60,63,9,24,7,39.074,29,43.5
9.31,418.59,31,34,61,64,9,25,6,39.83,30,43.5
8.509,385.56,28,31,59,62,14,22,6,37.04,31,36.0
5.699,386.38,23,26,43,46,6,20,3,31.62,20,34.0
9.208,446.41,30,33,55,58,8,23,7,37.779,25,42.0
6.866,361.56,25,27,52,54,10,19,6,33.711,27,32.5
6.222,307.49,22,25,43,46,6,20,2,30.267,21,33.0
7.538,399.58,29,31,62,64,12,24,5,39.006,33,37.0
7.409,369.55,27,29,58,60,11,23,4,36.79,31,35.0
7.347,354.54,26,28,56,58,10,22,4,35.58,30,34.0
7.638,353.55,26,28,57,59,11,23,3,36.336,31,34.0
7.854,345.55,24,26,51,53,10,20,4,33.461,27,31.5
7.658,418.41,26,28,54,56,10,22,4,35.927,28,34.0
7.187,263.42,19,20,44,45,10,16,3,27.052,25,23.0
6.745,305.51,22,23,53,54,13,19,3,32.336,31,26.0
7.523,357.51,26,28,54,56,10,22,4,34.512,28,34.0
7.377,382.55,28,30,58,60,10,23,5,37.035,30,37.0
6.427,331.52,23,25,48,50,9,19,4,31.699,25,30.5
6.873,340.51,25,27,53,55,10,21,4,33.819,28,33.0
6.071,340.47,25,27,49,51,7,19,6,31.546,24,34.0
8.325,261.45,19,20,46,47,11,17,2,28.358,27,23.0
9.745,446.42,30,33,55,58,8,22,8,37.574,25,42.0
8.77,397.57,29,31,60,62,10,23,6,38.04,31,38.0
9.027,445.43,30,33,56,59,8,23,7,38.33,26,42.0
9.143,457.44,31,34,57,60,8,24,7,39.33,26,43.5
9.569,436.42,29,31,56,58,9,22,7,37.54,27,38.0
5.614,354.49,26,30,52,56,12,21,5,33.512,26,36.0
8.638,422.39,28,30,53,55,8,21,7,35.779,25,37.0
8.022,418.59,31,34,61,64,9,25,6,39.83,30,43.5
6.071,369.51,27,29,54,56,8,21,6,34.517,27,36.0
9.268,417.6,31,34,62,65,9,26,5,40.586,31,43.5
8.276,411.6,30,32,63,65,11,24,6,39.802,33,39.0
6.071,357.47,26,28,50,52,7,20,6,32.239,24,35.0
9.237,456.45,31,34,58,61,8,25,6,40.086,27,43.5
7.509,408.36,27,29,50,52,7,20,7,34.017,23,36.0
8.807,393.63,29,32,64,67,13,25,4,40.654,35,38.0
6.071,353.51,26,28,53,55,8,21,5,34.063,27,35.0
6.171,339.48,25,27,50,52,7,20,5,32.302,25,34.0
6.836,373.92,26,28,50,52,7,20,6,33.159,24,35.0
6.326,373.92,26,28,50,52,7,20,6,33.159,24,35.0
8.3,486.66,34,37,65,68,11,26,8,42.836,31,47.0
7.26,407.56,30,33,59,62,10,24,6,38.279,29,42.0
6.442,393.53,29,32,56,59,9,23,6,36.517,27,41.0
7.299,267.35,20,23,37,40,5,17,3,25.006,17,29.0
7.854,233.39,17,18,40,41,9,15,2,24.836,23,21.0
7.509,277.45,20,21,47,48,11,17,3,28.813,27,24.0
5.301,524.12,37,40,72,75,12,31,6,47.87,35,50.0
7.0,355.49,26,29,52,55,10,22,4,33.75,26,35.0
6.387,341.46,25,28,49,52,9,21,4,31.989,24,34.0
6.62,341.46,25,28,49,52,9,21,4,31.989,24,34.0
6.26,327.43,24,27,46,49,8,20,4,30.228,22,33.0
7.0,312.5,23,25,51,53,11,20,3,32.364,28,31.0
6.577,242.35,18,20,36,38,6,15,3,23.557,18,26.0
7.745,284.49,21,23,49,51,11,19,2,30.91,28,28.0
6.5,377.98,25,28,49,52,9,19,6,33.353,24,33.5
7.745,311.49,22,25,43,46,6,18,4,29.517,21,31.5
5.371,340.49,24,27,44,47,5,18,6,30.216,20,34.5
8.367,345.93,23,26,43,46,6,18,5,30.375,20,32.5
7.721,374.57,28,31,58,61,10,25,3,38.125,30,40.0
6.812,451.67,33,36,70,73,16,27,6,44.324,37,44.0
6.419,366.52,27,30,54,57,10,23,4,35.302,27,37.0
6.613,413.61,31,35,62,66,10,27,4,41.131,31,44.5
7.347,443.64,33,37,66,70,11,28,5,43.347,33,46.5
5.783,385.55,29,33,56,60,8,25,4,37.608,27,42.5
5.814,399.58,30,34,59,63,9,26,4,39.37,29,43.5
5.598,425.62,32,36,63,67,9,28,4,42.131,31,46.0
6.987,303.48,23,26,48,51,8,22,1,32.143,25,33.0
7.201,227.38,17,19,38,40,8,16,1,24.62,21,23.0
7.42,255.44,19,21,44,46,10,18,1,28.143,25,25.0
7.076,289.45,22,25,45,48,7,21,1,30.381,23,32.0
7.131,317.51,24,27,51,54,9,23,1,33.904,27,34.0
8.215,410.6,31,35,61,65,9,28,3,41.125,30,45.5
7.602,241.41,18,20,41,43,9,17,1,26.381,23,24.0
5.333,498.73,37,42,75,80,14,31,6,48.876,38,51.5
7.721,413.61,31,35,62,66,10,27,4,41.131,31,44.5
8.0,497.74,37,42,76,81,15,32,5,49.631,39,51.5
6.796,391.51,28,31,55,58,13,21,7,34.699,27,36.0
