pXC50,Sv,AMW
4.319,55.447,6.383
4.854,53.92,6.584
5.658,49.206,6.234
7.509,55.447,8.597
4.523,58.941,7.323
4.523,60.468,7.242
4.523,44.561,7.035
5.727,55.447,7.032
4.523,47.232,7.369
4.412,57.415,7.408
4.762,94.999,6.852
5.592,105.369,6.757
6.229,150.823,7.14
6.432,161.194,7.055
6.349,171.564,6.981
6.461,181.934,6.917
6.474,202.674,6.809
7.222,55.211,7.702
4.868,63.888,7.352
4.291,55.351,7.469
5.796,41.782,6.938
6.174,38.277,7.009
5.75,48.835,7.022
6.161,44.067,7.023
5.616,49.362,6.875
5.523,51.647,6.95
6.886,55.447,7.251
6.367,24.976,7.654
4.824,57.101,8.189
4.824,55.185,7.178
4.824,60.538,8.156
5.0,55.447,7.772
4.824,57.101,8.189
6.796,55.447,7.886
4.824,60.538,8.156
6.357,55.447,7.902
6.275,42.647,6.343
