pXC50,O.059,nROR,SpDiam_EA.ed.,ATS6s,Eig01_AEA.ed.,SpMax_AEA.ed.,nBnz,Mi,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,SpDiam_EA.bo.,Chi1_EA.bo.,ATS8m,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_betaS,SpMin6_Bh.i.,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Eig14_AEA.ri.,CATS2D_02_AA,Chi0_EA.ri.,SpMaxA_EA.ri.,SpMin5_Bh.m.,SpMin6_Bh.e.,Eig15_AEA.ri.,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,C.,X1Per,IDM,X1Kup,CID,X1,SpMin6_Bh.p.,IVDM,Psi_i_0,Eig15_EA,SM09_AEA.dm.,RDSQ,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig15_EA.bo.,SpMaxA_AEA.ed.,S0K,HDcpx,X1Mad,MPC01,MWC01,nBO,SRW02,SM15_EA.ed.,SM14_EA.ed.,Eig14_AEA.ed.,BID,SpMaxA_AEA.bo.,nN.C.N.,SpMaxA_AEA.ri.,P_VSA_MR_5,ATS7m,GMTI,ATSC7m,SM13_EA.ed.,CATS2D_06_LL,LPRS,Psi_i_1,MPC07,Xu,IDDM,Eig06_EA.ri.,nSK,MPC08,P_VSA_e_3,Eig09_EA.ed.,SM04_AEA.ri.,ATS7v,Psi_e_0,SMTI,nRNHR,Eig11_EA.ed.,SM06_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,Eig11_AEA.ri.,SpAD_EA.ri.,SpDiam_AEA.ri.,X0,VvdwZAZ,CATS2D_05_LL,ATS7p,SpMin5_Bh.e.,X0sol,Psi_e_1,GGI10,GGI6,SpMax7_Bh.p.,N.067,Eig11_AEA.bo.,ATSC8s,C.027,SpMaxA_EA.bo.,CATS2D_08_AA,Eig11_AEA.ed.,IC4,S1K,SpMax7_Bh.v.,MWC10,N.074,ON0,MW,ATSC6i,TWC,ATS6v,Eig06_EA.ed.,SM15_AEA.dm.,Eig11_EA.bo.,IC5,piPC06,Eig01_AEA.dm.,SpMax_AEA.dm.,SpMin3_Bh.s.,D.Dtr06,TIC3,Eig09_AEA.dm.,SpDiam_AEA.dm.
4.94,0,0,18.235,5.602,6.747,6.747,2,1.113,11.08,11.08,11.08,3.204,3.204,5.204,3.204,7.301,10.659,3.718,4.172,4.172,17.0,1.086,18.361,18.361,18.361,18.361,18.361,15.561,0.725,0,18.876,0.103,1.409,1.149,0.504,4.301,4.301,4.301,48.8,6.652,8.228,8.367,4.038,13.114,1.358,4.694,18.812,-0.453,-0.453,237.009,14.814,14.814,14.814,14.814,14.814,-0.594,0.225,116.382,1.706,12.075,3.434,3.434,30,4.111,36.124,33.738,2.605,3.341,0.152,0,0.139,39.965,3.897,8549.0,16.215,31.342,18,132.502,15.524,4.875,25.663,4.72,1.696,27,4.99,50.357,2.575,2.575,3.858,9.975,8183.0,0,2.275,2.275,3.802,3.802,1.984,43.112,5.207,18.803,316.15,14,3.953,1.267,18.221,4.309,0.136,0.457,2.735,0,2.5,39.575,2,0.143,0,3.414,4.758,17.477,2.715,12.053,0,13.5,377.47,1.223,12.577,3.856,4.948,4.948,1.5,4.758,6.579,4.698,4.698,0.975,265.59,200.574,1.172,6.698
6.569,0,0,18.241,6.093,6.814,6.814,1,1.137,11.282,11.282,11.282,3.211,3.211,5.211,3.211,7.617,14.68,4.236,4.146,4.146,25.5,1.275,24.815,24.815,24.815,24.815,24.815,22.283,1.613,5,26.192,0.077,1.618,1.324,1.501,4.617,4.617,4.617,36.5,8.822,9.055,10.948,4.308,17.503,1.591,5.092,24.87,0.587,0.587,342.58,18.966,18.966,18.966,18.966,18.966,0.675,0.175,184.117,1.778,15.943,3.689,3.689,39,4.369,36.577,34.185,3.04,3.616,0.119,0,0.106,57.382,4.274,18825.0,35.933,31.787,0,196.895,19.291,5.011,32.933,5.139,1.973,36,5.165,105.063,4.914,4.914,4.111,13.25,18384.0,0,2.895,2.895,4.092,4.092,2.089,52.132,5.299,25.656,426.48,1,4.17,1.399,26.01,5.46,0.387,0.803,2.983,0,2.448,48.187,0,0.118,3,3.918,5.378,26.225,3.001,12.329,0,19.0,513.64,1.769,12.854,4.126,6.398,6.398,1.422,5.409,6.588,3.699,3.699,0.941,222.962,328.53,2.086,5.699
8.347,0,0,20.478,6.119,7.152,7.152,1,1.137,12.478,12.478,12.478,3.416,3.416,5.416,3.416,7.374,13.988,4.193,4.36,4.36,21.0,1.227,20.947,20.947,20.947,20.947,20.947,19.347,1.262,6,21.42,0.095,1.682,1.298,0.976,4.374,4.374,4.374,37.1,8.972,8.664,11.078,4.164,14.939,1.532,4.866,22.333,0.03,0.03,297.902,16.606,16.606,16.606,16.606,16.606,0.033,0.21,149.58,1.748,14.343,3.555,3.555,34,4.234,37.889,35.379,3.076,3.473,0.138,0,0.128,55.512,4.206,11005.0,43.98,32.861,3,156.918,18.759,5.165,28.308,4.923,2.132,31,5.357,42.944,3.521,3.521,4.305,11.611,10716.0,0,2.192,2.192,3.866,3.866,2.0,48.846,5.437,22.121,398.11,0,4.4,1.474,22.121,5.04,0.21,0.99,3.011,0,2.247,73.249,0,0.129,0,3.651,5.176,22.003,3.007,12.419,0,16.5,425.59,1.954,12.923,4.257,6.666,6.666,1.122,5.273,6.219,3.999,3.999,1.078,266.746,309.386,1.722,5.999
9.237,0,0,20.478,6.107,7.152,7.152,1,1.136,12.478,12.478,12.478,3.417,3.417,5.417,3.417,7.374,14.414,4.338,4.36,4.36,22.0,1.226,21.817,21.817,21.817,21.817,21.817,20.27,1.543,6,22.543,0.092,1.649,1.298,1.074,4.374,4.374,4.374,37.1,9.007,8.752,11.159,4.195,15.477,1.533,4.914,22.952,0.123,0.123,309.766,17.044,17.044,17.044,17.044,17.044,0.142,0.204,154.0,1.755,14.507,3.584,3.584,35,4.263,37.891,35.382,3.113,3.503,0.135,0,0.125,46.687,4.337,12056.0,46.027,32.865,3,164.097,19.069,5.187,29.138,4.968,2.1,32,5.38,42.944,3.691,3.691,4.311,11.955,11768.0,0,2.195,2.195,3.886,3.886,2.0,48.961,5.437,22.828,413.32,0,4.406,1.467,23.328,5.142,0.219,0.99,3.011,0,2.247,81.693,0,0.125,1,3.651,5.176,23.243,3.007,12.44,0,17.0,460.03,1.916,12.944,4.27,6.799,6.799,1.123,5.273,6.252,3.999,3.999,1.073,278.407,309.386,1.863,5.999
7.721,0,0,20.478,6.144,7.152,7.152,1,1.137,12.478,12.478,12.478,3.417,3.417,5.417,3.417,7.374,14.414,4.225,4.36,4.36,21.75,1.227,21.817,21.817,21.817,21.817,21.817,20.27,1.561,6,22.429,0.092,1.688,1.298,1.076,4.374,4.374,4.374,36.9,9.259,8.752,11.44,4.195,15.477,1.533,4.914,23.166,0.123,0.123,309.766,17.044,17.044,17.044,17.044,17.044,0.142,0.204,156.0,1.755,14.795,3.584,3.584,35,4.263,37.891,35.382,3.113,3.503,0.135,0,0.125,55.512,4.227,12056.0,44.669,32.865,3,164.097,19.235,5.187,29.138,4.968,2.152,32,5.38,42.944,3.691,3.691,4.328,11.967,11768.0,0,2.195,2.195,3.886,3.886,2.0,49.797,5.437,22.828,415.41,0,4.424,1.475,22.828,5.111,0.219,0.99,3.011,0,2.247,66.971,0,0.125,1,3.651,5.207,22.967,3.007,12.44,0,17.0,439.62,2.066,12.944,4.293,6.799,6.799,1.123,5.299,6.252,3.999,3.999,1.079,278.407,326.925,1.855,5.999
8.745,0,0,20.478,6.072,7.152,7.152,1,1.136,12.478,12.478,12.478,3.417,3.417,5.417,3.417,7.374,13.488,4.256,4.36,4.36,20.75,1.36,20.24,20.24,20.24,20.24,20.24,18.64,1.236,6,20.828,0.098,1.805,1.424,0.878,4.374,4.374,4.374,37.5,8.303,8.57,10.297,4.13,14.439,1.636,4.816,21.302,-0.03,-0.03,286.086,16.106,16.106,16.106,16.106,16.106,-0.034,0.217,143.207,1.739,13.554,3.526,3.526,33,4.205,37.889,35.379,3.0,3.442,0.143,0,0.132,44.152,4.271,10041.0,43.529,32.861,3,149.997,17.926,5.153,27.493,4.876,2.063,30,5.338,42.944,3.521,3.521,4.234,11.217,9776.0,0,2.095,2.095,3.866,3.866,1.908,46.706,5.44,21.413,378.72,0,4.331,1.487,21.913,4.926,0.177,0.954,2.891,0,2.149,92.072,0,0.133,0,3.626,5.066,21.315,2.908,12.415,0,16.0,431.97,1.777,12.918,4.211,6.672,6.672,1.067,5.173,6.215,3.999,3.999,1.174,168.502,277.702,1.863,5.999
8.824,0,0,20.478,6.055,7.152,7.152,1,1.137,12.478,12.478,12.478,3.416,3.416,5.416,3.416,7.374,13.101,4.042,4.36,4.36,20.0,1.359,19.74,19.74,19.74,19.74,19.74,18.193,1.189,6,20.221,0.101,1.805,1.425,0.878,4.374,4.374,4.374,37.5,8.243,8.47,10.161,4.1,14.028,1.64,4.777,20.742,-0.09,-0.09,272.113,15.638,15.638,15.638,15.638,15.638,-0.097,0.223,130.881,1.731,13.428,3.497,3.497,32,4.174,37.887,35.376,3.0,3.409,0.147,0,0.136,44.152,4.081,9272.0,40.96,32.856,3,143.367,17.444,5.118,26.758,4.826,2.008,29,5.298,42.944,2.644,2.644,4.191,10.846,8992.0,0,2.095,2.095,3.616,3.616,1.908,45.89,5.44,20.543,363.51,0,4.293,1.487,20.543,4.736,0.157,0.888,2.884,0,2.149,74.474,0,0.137,0,3.414,4.923,20.081,2.903,12.37,0,15.167,397.53,1.788,12.872,4.186,6.281,6.281,1.067,5.03,6.16,3.999,3.999,1.173,161.406,269.702,1.697,5.999
9.222,0,0,20.478,6.084,7.152,7.152,1,1.137,12.478,12.478,12.478,3.416,3.416,5.416,3.416,7.374,13.601,4.107,4.36,4.36,20.5,1.226,20.447,20.447,20.447,20.447,20.447,18.9,1.196,6,20.928,0.098,1.642,1.298,0.927,4.374,4.374,4.374,37.3,8.659,8.567,10.661,4.135,14.528,1.531,4.828,21.558,-0.024,-0.024,283.742,16.138,16.138,16.138,16.138,16.138,-0.025,0.217,139.207,1.739,13.928,3.526,3.526,33,4.205,37.887,35.376,3.049,3.442,0.143,0,0.132,46.687,4.137,10194.0,42.745,32.856,3,150.249,18.111,5.13,27.582,4.874,2.008,30,5.318,42.944,3.043,3.043,4.247,11.228,9889.0,0,2.191,2.191,3.616,3.616,2.0,47.163,5.437,21.25,380.81,0,4.346,1.465,21.25,4.881,0.194,0.923,2.977,0,2.247,72.512,0,0.133,0,3.53,5.01,21.041,2.977,12.374,0,15.667,411.56,1.859,12.877,4.218,6.263,6.263,1.122,5.111,6.164,3.999,3.999,1.072,256.858,284.056,1.72,5.999
9.523,0,0,20.478,6.135,7.152,7.152,1,1.143,12.478,12.478,12.478,3.417,3.417,5.417,3.417,7.374,14.414,4.249,4.36,4.36,22.0,1.226,21.817,21.817,21.817,21.817,21.817,20.27,1.551,6,22.482,0.092,1.652,1.298,1.075,4.374,4.374,4.374,37.1,9.007,8.752,11.104,4.195,15.477,1.533,4.914,22.813,0.123,0.123,309.766,17.044,17.044,17.044,17.044,17.044,0.142,0.204,156.0,1.755,14.685,3.584,3.584,35,4.263,37.891,35.382,3.113,3.503,0.135,0,0.125,46.687,4.256,12056.0,43.95,32.865,3,164.097,18.961,5.187,29.138,4.968,2.128,32,5.38,42.944,3.691,3.691,4.29,12.016,11768.0,0,2.195,2.195,3.886,3.886,2.0,49.412,5.437,22.828,404.18,0,4.369,1.467,21.957,5.234,0.219,0.99,3.011,0,2.247,115.251,0,0.125,1,3.651,5.176,22.905,3.007,12.44,0,17.0,443.58,1.994,12.944,4.258,6.799,6.799,1.123,5.273,6.252,3.999,3.999,1.072,278.407,309.386,1.863,5.999
4.9,0,0,15.458,5.265,6.17,6.17,1,1.122,9.169,9.169,9.169,2.898,2.898,4.898,2.898,6.961,7.353,2.967,3.898,3.898,10.0,0.917,12.613,12.613,12.613,12.613,12.613,11.264,-0.177,0,12.618,0.153,1.508,0.996,-0.511,3.961,3.961,3.961,41.5,5.541,7.18,6.758,3.645,9.13,1.236,4.168,13.515,-1.505,-1.505,116.65,9.369,9.369,9.369,9.369,9.369,-1.718,0.325,78.711,1.604,8.981,2.996,2.996,19,3.664,33.235,31.029,1.083,3.008,0.226,0,0.205,27.789,3.212,2973.0,18.777,28.801,12,84.368,10.241,3.466,19.474,4.208,1.072,19,3.367,0.0,0.099,0.099,3.403,7.006,3239.0,0,-1.144,-1.144,2.879,2.879,0.443,26.194,4.898,14.088,281.14,15,3.556,1.207,14.088,2.71,0.033,0.366,2.729,0,0.717,36.338,0,0.208,0,1.882,4.93,15.395,2.732,10.892,0,10.833,258.39,0.855,11.468,3.45,2.293,2.293,-0.621,4.93,5.294,3.613,3.613,0.936,71.6,200.15,0.415,5.613
