pXC50,nX,nF,Mi,Si,nBT,nAT,nHet,Se,Sp,MW,X.,nC,nCsp,RBN,N.,SCBO,nTB,nCsp3,nN,nBO,nH,Sv,nSK,Mp,nS,nBM,C.,nHM
6.0,0,0,1.128,127.467,116.0,113.0,14,113.294,73.347,814.11,0.0,44,0,20,4.4,79.0,0,16,5,61,55,69.183,58,0.649,1,30,38.9,1
5.347,2,2,1.134,128.146,116.0,113.0,16,114.319,73.222,850.09,1.8,44,0,20,4.4,81.0,0,16,5,63,53,69.949,60,0.648,1,30,38.9,1
6.796,2,2,1.134,124.731,113.0,110.0,16,111.436,71.461,836.06,1.8,43,0,19,4.5,80.0,0,15,5,62,51,68.422,59,0.65,1,30,39.1,1
6.469,2,2,1.134,124.731,113.0,110.0,16,111.436,71.461,836.06,1.8,43,0,19,4.5,80.0,0,15,5,62,51,68.422,59,0.65,1,30,39.1,1
5.0,2,2,1.142,134.807,119.0,118.0,16,118.854,73.268,822.14,1.7,41,0,24,4.2,69.0,0,24,5,58,61,69.056,57,0.621,1,17,34.7,1
5.9,2,2,1.139,113.901,102.0,100.0,16,101.668,63.938,759.96,2.0,37,0,18,5.0,70.0,0,15,5,55,47,61.369,53,0.639,1,24,37.0,1
5.0,2,2,1.136,103.362,94.0,91.0,14,92.472,58.955,700.88,2.2,35,0,16,4.4,66.0,0,14,4,52,42,56.579,49,0.648,1,23,38.5,1
5.444,3,3,1.137,128.486,116.0,113.0,17,114.832,73.16,868.08,2.7,44,0,20,4.4,82.0,0,16,5,64,52,70.332,61,0.647,1,30,38.9,1
6.502,0,0,1.133,103.088,93.0,91.0,6,89.494,56.654,549.88,0.0,34,0,13,3.3,50.0,0,20,3,42,51,51.852,40,0.623,0,14,37.4,0
6.886,0,0,1.131,100.673,92.0,89.0,6,87.61,55.893,547.86,0.0,34,0,12,3.4,51.0,0,20,3,43,49,51.325,40,0.628,0,14,38.2,0
7.174,0,0,1.131,104.088,95.0,92.0,6,90.494,57.654,561.89,0.0,35,0,12,3.3,52.0,0,21,3,44,51,52.852,41,0.627,0,14,38.0,0
4.475,0,0,1.115,52.405,49.0,47.0,4,47.029,31.193,338.43,0.0,21,0,6,0.0,36.0,0,6,0,27,22,29.654,25,0.664,0,14,44.7,0
5.319,0,0,1.131,64.485,60.0,57.0,11,58.425,37.608,465.51,0.0,23,0,6,8.8,49.0,0,7,5,37,23,37.137,34,0.66,0,18,40.4,0
5.62,0,0,1.123,60.654,57.0,54.0,11,55.658,37.085,473.48,0.0,24,0,6,9.3,53.0,0,2,5,38,19,37.083,35,0.687,0,24,44.4,0
6.337,1,1,1.13,80.239,73.0,71.0,11,72.112,46.75,557.7,1.4,28,0,12,4.2,54.0,0,8,3,41,32,44.825,39,0.658,1,22,39.4,1
6.788,1,1,1.129,79.03,72.0,70.0,10,70.785,46.296,541.7,1.4,28,0,11,4.3,53.0,0,8,3,40,32,44.111,38,0.661,1,22,40.0,1
5.243,1,1,1.131,80.319,73.0,71.0,10,71.56,46.847,540.72,1.4,28,0,10,5.6,53.0,0,8,4,40,33,44.417,38,0.66,1,22,39.4,1
5.738,1,1,1.13,77.986,72.0,69.0,11,69.894,46.33,551.7,1.4,28,0,9,7.2,56.5,0,7,5,42,30,44.385,39,0.671,1,26,40.6,1
4.996,1,1,1.133,82.734,75.0,73.0,10,73.443,47.608,542.74,1.4,28,0,12,5.5,52.0,0,9,4,40,35,44.944,38,0.652,1,21,38.4,1
4.65,1,1,1.13,83.651,76.0,74.0,9,74.225,48.364,541.75,1.4,29,0,12,4.1,52.0,0,10,3,40,36,45.449,38,0.654,1,21,39.2,1
4.925,0,0,1.117,45.791,43.0,41.0,9,43.131,27.42,374.32,0.0,18,0,4,0.0,38.0,0,0,0,29,14,28.121,27,0.669,0,18,43.9,0
4.152,1,1,1.131,81.445,74.0,72.0,10,72.669,47.057,543.72,1.4,28,0,12,4.2,52.0,0,9,3,40,34,44.637,38,0.654,1,21,38.9,1
4.0,1,1,1.129,83.574,76.0,74.0,12,75.072,49.159,591.79,1.4,28,0,12,4.1,56.0,0,9,3,42,34,46.539,40,0.664,2,23,37.8,2
4.699,3,3,1.14,80.915,73.0,71.0,11,72.367,46.478,563.7,4.2,28,0,11,4.2,53.0,0,9,3,41,32,44.689,39,0.655,1,21,39.4,1
5.569,0,0,1.137,98.882,89.0,87.0,7,85.937,53.347,527.83,0.0,31,0,13,3.4,46.0,0,22,3,40,49,49.04,38,0.613,0,9,35.6,0
5.377,0,0,1.132,96.258,87.0,85.0,6,83.727,53.131,521.82,0.0,32,0,12,3.5,48.0,0,18,3,40,47,48.798,38,0.625,0,14,37.6,0
6.237,0,0,1.133,99.673,90.0,88.0,6,86.61,54.893,535.85,0.0,33,0,13,3.4,49.0,0,19,3,41,49,50.325,39,0.624,0,14,37.5,0
4.742,1,1,1.132,81.528,74.0,72.0,11,72.887,47.301,556.72,1.4,28,0,11,5.6,54.0,0,8,4,41,33,45.132,39,0.657,1,22,38.9,1
4.0,1,1,1.13,83.654,76.0,74.0,11,74.996,48.512,571.73,1.4,29,0,13,4.1,55.0,0,9,3,42,34,46.352,40,0.656,1,22,39.2,1
4.967,1,1,1.132,81.528,74.0,72.0,11,72.887,47.301,556.72,1.4,28,0,11,5.6,54.0,0,8,4,41,33,45.132,39,0.657,1,22,38.9,1
5.331,0,0,1.129,97.052,88.0,86.0,7,85.17,54.824,559.82,0.0,34,0,14,3.5,54.5,0,15,3,43,45,50.986,41,0.637,0,20,39.5,0
5.863,1,1,1.131,81.445,74.0,72.0,10,72.669,47.057,543.72,1.4,28,0,12,4.2,52.0,0,9,3,40,34,44.637,38,0.654,1,21,38.9,1
4.654,1,1,1.13,80.239,73.0,71.0,11,72.112,46.75,557.7,1.4,28,0,12,4.2,54.0,0,8,3,41,32,44.825,39,0.658,1,22,39.4,1
