pXC50,RBN,PHI,DBI,GGI1,Eig11_AEA.dm.,SAtot,MAXDP,ATSC8e,Eta_alpha,S1K,SpMaxA_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,SM05_EA.bo.,MATS8p,RDCHI,MATS8v,SpAD_EA.bo.,S3K,Chi0_EA.ri.,Chi1_EA.ri.,SMTI,X1,SpMax8_Bh.e.,MSD,TIC2,MDDD,SssO,S2K,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig03_EA,SM11_AEA.bo.,AMR,ON0V,CENT,SpMax7_Bh.i.,TIC1,LOC,X0v,SM02_AEA.bo.,TIC3,SMTIV,SpAD_AEA.dm.,Chi1_EA.ed.,Eig08_AEA.ed.,IDMT,Xu,SpAD_AEA.bo.,MPC01,MWC01,nBO,SRW02,IDET,Eig07_AEA.ed.,MW,piPC01,SCBO,GMTI,S0K,JGT,DLS_03,Chi0_EA.ed.
5.886,6,7.035,3.937,8.0,1.497,622.651,6.192,0.237,17.9,25.044,0.078,10.126,10.126,8.595,-0.086,4.652,-0.037,83.47,5.121,25.506,20.943,20586.0,17.863,3.174,8.139,324.293,39.21,0.0,10.394,20.129,20.129,20.129,20.129,20.129,2.99,2.99,148.107,12.3,2640.0,3.358,255.48,0.672,21.587,5.321,355.944,33494.0,65.315,6.693,4.975,42765.1,33.751,63.719,3.738,3.738,41,4.419,2612.92,5.148,512.69,4.06,57.0,22052.0,186.75,0.452,0.83,14.427
4.301,6,7.272,4.0,8.5,1.729,648.728,6.246,0.239,18.4,26.002,0.077,10.412,10.412,8.647,-0.095,4.668,-0.075,85.238,5.22,26.012,21.419,21598.0,18.273,3.22,8.099,338.031,40.51,0.0,10.628,20.597,20.597,20.597,20.597,20.597,3.056,3.056,152.698,13.217,2882.0,3.386,266.755,0.697,22.509,5.345,373.683,34840.0,67.115,6.764,4.978,45458.7,34.36,65.244,3.761,3.761,42,4.443,2751.35,5.249,526.72,4.078,58.0,23051.0,193.421,0.474,0.83,14.601
5.387,4,5.052,2.646,6.0,1.495,563.859,4.183,0.218,17.233,21.547,0.078,10.093,10.093,8.275,-0.172,4.655,-0.151,85.922,3.604,25.494,21.578,18756.0,17.653,2.96,7.429,296.087,40.784,0.0,8.44,20.8,20.8,20.8,20.8,20.8,2.903,2.903,140.621,11.483,2416.0,3.297,220.995,0.375,19.989,5.308,336.896,28290.0,64.923,6.946,5.026,36669.0,32.627,65.732,3.761,3.761,42,4.443,2382.33,5.125,474.61,4.043,56.0,21087.0,178.117,0.359,1.0,14.531
4.301,4,5.507,3.808,7.5,1.427,492.05,5.603,0.456,15.69,21.665,0.081,9.123,9.123,8.22,-0.203,4.47,-0.133,79.695,4.517,23.367,19.716,16611.0,16.381,2.92,7.813,218.909,37.142,0.0,8.643,18.816,18.816,18.816,18.816,18.816,2.848,2.848,120.304,9.145,2090.0,3.25,164.305,0.662,17.491,5.231,262.683,31292.0,58.984,6.382,4.563,33383.4,31.548,59.075,3.664,3.664,38,4.344,2172.77,4.68,459.46,3.989,53.0,17789.0,164.219,0.419,1.0,13.367
4.301,7,9.801,4.183,9.0,2.271,820.238,5.994,0.781,22.033,32.11,0.057,9.552,9.552,7.917,-0.207,5.676,-0.215,95.299,7.351,33.038,27.538,45792.0,22.907,3.394,11.25,435.945,74.604,11.414,14.346,26.186,26.186,26.186,26.186,26.186,2.942,2.942,176.044,16.617,5235.0,3.597,321.726,0.539,27.23,5.449,476.7,68514.0,82.633,8.978,5.254,100231.0,41.817,80.664,3.989,3.989,53,4.673,4769.4,5.37,640.87,4.174,64.0,50360.0,237.066,0.378,0.67,18.85
4.301,5,5.757,3.606,6.0,1.691,549.656,5.867,0.549,15.867,22.047,0.086,8.825,8.825,8.368,-0.012,4.39,0.003,77.572,3.94,23.5,19.273,15725.0,16.474,3.059,7.439,275.22,38.419,5.742,8.878,18.698,18.698,18.698,18.698,18.698,2.831,2.831,127.425,10.217,2234.0,3.201,218.66,1.155,18.279,5.223,295.22,27619.0,60.782,6.312,4.855,31948.0,31.272,58.203,3.664,3.664,38,4.344,2134.19,5.074,455.5,3.97,52.0,16618.0,168.974,0.416,1.0,13.497
4.301,4,6.065,3.0,5.5,1.461,534.74,4.854,0.478,14.8,21.284,0.087,8.919,8.919,8.028,-0.223,4.25,-0.226,67.542,4.246,22.848,18.809,12832.0,15.635,3.111,6.707,280.321,34.078,10.399,9.119,17.706,17.706,17.706,17.706,17.706,2.763,2.763,119.746,10.783,1858.0,3.206,223.028,0.789,18.106,5.088,292.321,21105.0,55.94,6.058,4.4,25414.7,29.488,54.559,3.611,3.611,36,4.29,1794.7,4.788,437.56,3.829,45.0,13625.0,148.0,0.378,1.0,12.914
4.301,5,6.774,3.873,8.0,1.51,620.959,5.501,0.513,16.3,24.138,0.08,9.597,9.597,8.112,-0.098,4.449,-0.049,72.931,5.335,24.036,20.445,16750.0,16.782,3.111,7.456,318.663,41.851,11.108,9.823,19.283,19.283,19.283,19.283,19.283,2.867,2.867,133.55,13.033,2419.0,3.226,249.372,0.987,20.606,5.176,330.663,26223.0,61.251,6.463,4.786,34559.7,31.951,60.189,3.689,3.689,39,4.369,2252.44,5.045,479.65,3.892,48.0,17642.0,162.77,0.439,1.0,13.513
6.231,6,5.779,4.0,6.0,0.719,473.177,5.818,0.605,12.467,18.378,0.112,7.24,7.24,8.021,-0.038,3.668,-0.052,52.15,4.814,17.045,14.303,6602.0,11.932,2.854,5.815,205.092,22.454,0.0,7.861,13.345,13.345,13.345,13.345,13.345,2.551,2.551,99.968,8.45,1059.0,2.979,165.343,0.795,15.776,4.842,224.311,11561.0,42.503,4.638,3.414,12355.8,24.121,40.563,3.332,3.332,27,4.007,1004.78,3.847,378.56,3.597,35.5,6731.0,106.096,0.468,1.0,9.727
7.051,7,6.215,4.123,7.0,1.2,512.547,5.98,0.868,14.086,20.741,0.096,7.679,7.679,8.179,-0.036,4.075,-0.042,60.168,5.156,20.197,17.196,10228.0,13.931,3.09,6.513,235.204,28.756,5.41,8.69,15.786,15.786,15.786,15.786,15.786,2.684,2.684,109.498,9.01,1586.0,3.206,191.717,0.562,17.476,4.996,254.423,18451.0,51.287,5.36,4.391,19670.9,27.45,48.793,3.497,3.497,32,4.174,1433.42,4.599,438.59,3.726,40.5,10808.0,128.881,0.471,1.0,11.278
6.0,7,7.108,4.183,7.0,1.0,540.446,6.072,0.744,13.8,21.259,0.101,7.892,7.892,8.095,-0.031,3.893,-0.065,56.537,5.779,19.184,15.882,8987.0,13.364,3.063,6.394,257.744,27.255,5.436,9.362,14.756,14.756,14.756,14.756,14.756,2.716,2.716,111.335,10.033,1492.0,3.206,195.961,0.887,17.814,4.925,267.254,15625.0,47.325,5.106,3.809,17784.6,26.628,44.81,3.434,3.434,30,4.111,1325.41,4.557,422.62,3.676,38.5,9099.0,124.606,0.479,1.0,10.863
6.45,8,7.921,4.528,8.0,1.2,596.356,6.206,0.681,14.8,23.214,0.095,8.018,8.018,8.107,-0.023,4.055,-0.023,59.765,6.775,20.176,16.95,10999.0,14.219,3.092,6.896,286.639,31.996,5.455,10.236,15.829,15.829,15.829,15.829,15.829,2.747,2.747,120.484,11.367,1814.0,3.206,212.01,1.052,19.391,4.982,298.149,18405.0,50.991,5.521,4.321,22465.1,28.334,48.308,3.497,3.497,32,4.174,1582.15,4.578,450.68,3.726,40.5,11093.0,135.207,0.494,1.0,11.513
6.14,7,7.27,4.123,7.0,1.2,579.653,6.32,0.733,15.8,22.942,0.087,9.22,9.22,8.191,-0.008,4.314,-0.017,68.638,5.975,22.086,18.432,13600.0,15.398,3.089,7.239,266.214,35.172,5.466,10.14,17.317,17.317,17.317,17.317,17.317,2.898,2.898,126.881,10.45,2092.0,3.206,210.656,0.688,19.493,5.101,292.253,23263.0,55.239,6.088,4.319,27395.0,29.966,53.004,3.584,3.584,35,4.263,1844.13,4.588,470.66,3.861,46.5,14272.0,146.0,0.425,1.0,12.72
5.928,7,7.454,4.183,8.0,1.383,582.487,6.316,0.889,16.086,23.846,0.084,9.234,9.234,8.25,-0.007,4.375,-0.015,70.37,6.186,22.596,19.024,14872.0,15.792,3.092,7.504,273.498,37.666,5.449,10.316,17.783,17.783,17.783,17.783,17.783,2.909,2.909,127.097,10.51,2257.0,3.206,219.875,0.718,19.794,5.131,295.008,26919.0,57.084,6.125,4.582,30415.5,30.783,54.605,3.611,3.611,36,4.29,1998.27,4.942,488.65,3.882,47.5,15543.0,152.465,0.461,1.0,12.806
6.495,8,7.632,4.528,8.0,1.28,619.462,6.368,0.802,16.633,24.16,0.087,9.708,9.708,8.283,0.002,4.245,-0.052,65.358,5.944,21.968,18.806,13224.0,15.252,3.111,7.014,283.046,33.895,5.482,10.108,17.238,17.238,17.238,17.238,17.238,2.966,2.966,130.524,11.26,2090.0,3.263,218.126,0.765,21.562,5.08,302.265,22512.0,56.486,5.718,4.581,26716.6,29.785,53.734,3.584,3.584,35,4.263,1808.84,4.939,541.58,3.795,43.5,13815.0,143.245,0.499,0.83,12.129
6.481,7,7.338,4.416,7.5,1.2,570.279,6.154,0.776,14.3,22.236,0.098,8.568,8.568,8.12,-0.021,3.947,-0.073,58.669,6.019,19.517,16.413,9882.0,13.736,3.068,6.584,268.7,29.106,5.446,9.57,15.297,15.297,15.297,15.297,15.297,2.832,2.832,115.909,10.867,1636.0,3.206,204.003,0.904,18.684,4.961,278.21,16865.0,49.544,5.232,3.867,19881.6,27.433,47.135,3.466,3.466,31,4.143,1440.82,4.575,436.65,3.701,39.5,9978.0,128.881,0.498,1.0,11.003
6.804,8,7.025,4.472,7.5,1.209,591.7,6.272,0.746,15.3,22.729,0.09,8.569,8.569,8.208,-0.016,4.212,-0.067,63.348,5.673,21.294,17.948,12282.0,14.841,3.111,6.924,283.046,32.701,5.474,9.581,16.754,16.754,16.754,16.754,16.754,2.834,2.834,123.12,11.2,1940.0,3.264,214.517,0.744,19.676,5.048,302.265,19851.0,54.274,5.632,4.406,24432.7,29.072,52.036,3.555,3.555,34,4.234,1689.96,4.909,462.69,3.773,42.5,12878.0,139.58,0.478,1.0,11.921
5.544,6,6.77,4.123,7.5,1.2,540.446,6.095,0.692,13.8,21.259,0.101,8.681,8.681,8.172,-0.042,3.852,-0.059,57.486,5.552,18.838,15.956,8888.0,13.236,3.083,6.309,248.989,26.469,5.437,8.917,14.797,14.797,14.797,14.797,14.797,2.868,2.868,111.549,10.45,1472.0,3.206,191.77,0.82,18.029,4.94,264.499,15490.0,48.399,5.021,4.0,17590.5,26.554,45.596,3.434,3.434,30,4.111,1310.79,4.565,422.62,3.676,38.5,8991.0,124.606,0.519,1.0,10.531
