pXC50,nP,nO,C.,nDB,nHM,nC
7.574,2,5,25.8,2,2,8
5.854,2,6,23.1,2,3,6
4.0,0,4,34.9,4,2,15
5.0,1,6,33.3,2,1,10
5.208,2,7,22.5,2,2,9
4.0,2,6,14.3,2,2,3
5.372,2,6,23.1,2,2,9
4.77,2,6,16.7,2,2,4
4.46,2,7,0.0,2,2,0
6.22,2,6,35.0,2,2,14
6.187,2,6,29.4,2,2,10
4.367,2,7,25.0,2,4,7
4.512,2,6,15.4,2,2,4
5.408,2,6,17.2,2,2,5
6.418,2,6,18.8,2,2,6
6.939,2,6,35.1,2,2,13
6.785,2,6,35.1,2,2,13
7.328,2,6,33.3,2,2,12
6.824,2,6,33.3,2,2,12
6.367,2,6,33.3,2,2,13
5.857,2,7,32.6,2,2,15
5.68,2,7,34.0,2,2,16
7.456,2,6,33.3,2,2,13
6.105,2,7,34.0,2,2,17
6.939,2,7,32.5,2,2,13
7.921,2,7,34.1,2,2,15
6.0,2,6,33.3,2,2,13
7.222,2,7,32.6,2,2,15
7.796,2,7,34.1,2,2,15
6.0,2,7,34.0,3,2,16
6.0,2,7,25.6,3,2,10
6.824,2,7,20.0,2,2,6
6.921,2,7,21.2,2,2,7
6.796,2,7,22.2,2,2,8
7.523,2,7,23.1,2,2,9
6.921,2,7,23.8,2,2,10
6.921,2,7,24.4,2,2,11
6.959,2,7,25.0,2,2,12
7.222,2,7,25.5,2,2,13
6.921,2,7,25.9,2,2,14
6.78,2,7,26.3,2,2,15
6.587,2,7,26.7,2,2,16
6.354,2,7,27.0,2,2,17
5.473,2,7,27.3,2,2,18
4.377,2,7,27.5,2,2,19
4.222,2,7,27.8,2,2,20
6.825,2,6,19.2,2,2,5
6.759,2,6,20.7,2,2,6
6.77,2,6,21.9,2,2,7
6.854,2,6,22.9,2,2,8
6.886,2,6,23.7,2,2,9
6.829,2,6,24.4,2,2,10
6.678,2,6,25.0,2,2,11
6.77,2,6,25.5,2,2,12
6.796,2,6,26.0,2,2,13
7.184,2,6,26.4,2,2,14
6.959,2,6,26.8,2,2,15
6.704,2,6,27.1,2,2,16
6.471,2,6,27.4,2,2,17
6.438,2,6,27.7,2,2,18
5.741,2,6,27.9,2,2,19
5.214,2,6,28.2,2,2,20
6.409,2,6,34.1,2,3,14
6.602,2,6,38.6,2,3,17
6.288,2,6,18.8,2,3,6
4.321,2,6,26.8,2,3,19
6.422,2,6,23.4,2,3,11
4.562,2,6,27.7,2,3,23
6.61,2,6,24.5,2,3,13
5.086,2,6,26.2,2,3,17
6.593,2,6,25.4,2,3,15
4.222,1,5,32.0,2,2,8
4.301,0,4,44.4,3,0,24
4.301,0,4,48.6,3,1,17
4.301,0,4,47.2,3,0,25
4.301,0,3,42.1,3,0,24
4.0,0,3,48.1,3,0,25
5.0,2,6,31.3,6,2,21
6.546,2,7,20.6,2,2,7
4.032,2,4,27.3,2,2,9
4.301,2,6,29.6,5,2,16
4.301,2,6,26.8,4,2,11
5.097,0,3,43.6,3,0,24
4.301,0,3,43.6,3,0,24
4.301,0,3,39.6,3,0,19
4.301,0,3,43.6,3,0,24
4.0,0,3,43.6,3,0,24
4.0,0,3,43.1,3,0,25
4.301,0,3,38.9,3,0,21
4.0,0,3,44.2,3,0,23
4.301,0,3,43.1,3,0,25
4.301,0,3,43.2,3,0,19
4.301,0,3,42.1,3,0,24
5.987,2,7,14.8,2,3,4
5.132,2,6,20.0,2,2,6
4.848,2,7,23.7,3,2,9
6.367,2,6,31.3,2,2,10
7.618,2,6,23.1,2,2,6
4.387,2,6,16.7,2,2,4
5.721,2,6,19.2,2,3,5
5.533,2,7,25.8,2,2,8
6.377,2,6,24.1,2,2,7
7.796,2,6,24.1,2,2,7
6.108,2,6,17.2,2,2,5
5.447,2,7,21.6,2,2,8
6.525,2,7,16.7,2,2,5
5.469,2,7,23.9,2,2,11
4.119,2,6,17.9,2,3,5
5.77,2,6,15.4,2,2,4
5.609,2,7,19.4,2,2,6
6.796,2,6,23.1,2,2,6
6.509,2,7,27.9,2,2,12
6.481,2,7,19.2,2,2,5
6.347,2,8,27.3,2,2,12
6.201,2,7,28.1,2,2,9
8.523,2,7,28.1,2,2,9
5.343,2,6,21.2,2,2,7
5.243,2,6,18.5,2,2,5
4.705,2,6,22.2,2,2,8
6.959,2,7,18.5,2,2,5
4.357,2,7,27.6,2,4,8
4.176,2,6,10.0,2,2,2
5.447,2,6,20.0,2,2,7
5.023,2,7,16.7,2,3,5
5.967,2,6,21.1,2,3,8
7.024,2,6,25.9,2,3,7
6.468,2,6,25.9,2,3,7
4.113,1,6,30.8,2,1,8
5.114,2,6,27.3,2,3,21
4.0,0,3,43.6,3,0,24
4.301,0,4,48.6,3,2,17
3.688,2,8,22.2,3,2,8
6.506,2,6,21.2,2,2,7
7.526,2,6,21.2,3,2,7
5.62,2,6,23.1,2,2,9
5.217,2,7,25.6,4,2,10
7.428,2,7,25.8,2,2,8
5.108,2,7,24.5,2,2,12
6.046,2,6,22.7,2,2,10
4.367,2,7,25.8,2,2,8
4.959,2,6,27.8,2,2,10
6.656,2,7,25.0,2,2,7
7.785,2,6,25.9,2,2,7
8.044,2,6,20.0,2,2,5
6.054,2,6,24.1,2,3,7
5.513,2,6,20.0,2,2,5
7.793,2,6,29.0,2,2,9
6.411,2,6,24.1,2,2,7
7.0,2,7,28.8,2,2,17
7.551,2,6,19.2,2,3,5
5.495,2,6,20.0,2,2,6
4.184,2,7,16.0,2,2,4
7.591,2,6,22.2,2,2,8
5.62,2,7,23.3,2,2,10
4.745,2,6,17.2,2,2,5
6.292,2,6,21.2,2,2,7
5.959,2,6,21.1,2,2,8
6.301,2,7,28.3,2,2,13
6.62,2,6,23.1,2,3,6
5.167,2,7,24.5,2,2,12
5.481,2,6,18.5,2,2,5
7.917,2,6,24.1,2,2,7
6.381,2,7,18.2,2,2,6
6.325,2,7,20.6,2,2,7
5.032,2,6,20.0,2,2,7
6.0,2,7,14.8,2,2,4
5.036,2,6,35.1,2,2,13
6.602,2,7,28.3,2,2,13
6.745,2,6,24.1,2,2,7
5.174,2,7,26.9,2,2,18
6.678,2,6,17.2,2,2,5
4.824,2,6,26.5,2,2,13
5.187,2,7,26.2,2,2,16
6.31,2,6,18.8,2,2,6
5.886,2,7,25.0,2,2,7
5.886,2,6,24.1,2,2,7
6.444,2,6,18.8,2,2,6
6.31,2,7,28.6,2,2,14
7.214,2,6,21.2,2,2,7
5.77,2,6,20.0,2,2,7
6.456,2,6,18.8,2,2,6
5.789,2,7,27.6,2,2,8
6.268,2,6,20.0,2,2,6
6.59,2,7,12.5,2,2,3
4.699,2,6,26.8,4,2,11
6.405,2,7,14.8,2,2,4
6.434,2,7,25.0,2,2,7
6.605,2,7,19.2,2,2,5
7.466,2,6,25.9,2,2,7
6.421,2,6,25.0,2,2,8
7.463,2,6,25.9,2,2,7
5.768,2,7,25.0,2,2,8
7.595,2,7,21.4,2,2,9
