pXC50,RBF,nC,Sp,Sv,nCsp3,nBT,Si,nN,Se,nAT,nH,nSK,MW,nO,C.
5.222,0.048,26,39.182,38.675,5,62.0,62.734,6,57.105,56.0,20.0,36.0,480.52,4,46.4
6.733,0.047,27,40.733,39.982,5,64.0,65.023,7,58.88,58.0,21.0,37.0,491.55,3,46.6
9.603,0.029,30,43.551,41.805,8,69.0,69.062,5,62.0,62.0,25.0,37.0,487.6,2,48.4
6.143,0.063,26,39.881,39.585,5,63.0,65.489,6,59.502,58.0,21.0,37.0,500.53,4,44.8
5.18,0.048,26,39.733,38.982,5,63.0,64.023,7,57.88,57.0,21.0,36.0,479.54,3,45.6
8.515,0.043,28,42.767,41.046,10,69.0,70.687,5,63.211,63.0,27.0,36.0,481.6,3,44.4
7.022,0.03,29,42.489,41.487,6,67.0,66.94,6,60.662,60.0,22.0,38.0,502.57,3,48.3
8.481,0.032,26,39.245,37.993,8,63.0,63.857,5,57.443,57.0,23.0,34.0,453.54,3,45.6
6.071,0.034,25,37.239,35.971,7,59.0,60.358,4,54.342,54.0,22.0,32.0,426.51,3,46.3
8.591,0.032,28,39.784,38.256,6,62.0,62.149,4,56.014,56.0,22.0,34.0,446.54,2,50.0
7.854,0.033,25,38.182,37.675,6,61.0,61.734,6,56.105,55.0,20.0,35.0,468.51,4,45.5
7.77,0.046,28,41.489,40.487,5,65.0,65.94,6,59.662,59.0,22.0,37.0,490.56,3,47.5
8.824,0.042,31,45.313,43.331,9,72.0,72.478,5,64.883,65.0,27.0,38.0,501.63,2,47.7
9.163,0.03,29,41.79,40.278,7,66.0,65.647,5,59.116,59.0,23.0,36.0,473.57,2,49.2
8.423,0.03,27,41.006,39.519,9,66.0,67.272,5,60.327,60.0,25.0,35.0,467.57,3,45.0
10.376,0.031,28,40.727,39.96,5,64.0,63.524,6,57.778,57.0,20.0,37.0,488.54,3,49.1
5.921,0.031,26,39.943,39.202,7,64.0,65.149,6,58.989,58.0,22.0,36.0,482.54,4,44.8
7.26,0.063,26,39.881,39.585,5,63.0,65.489,6,59.502,58.0,21.0,37.0,500.53,4,44.8
6.658,0.046,25,40.159,39.444,8,65.0,67.774,6,61.2,60.0,24.0,36.0,488.55,5,41.7
10.432,0.063,34,50.353,47.417,12,80.0,82.64,4,73.316,74.0,34.0,40.0,530.72,2,45.9
9.959,0.063,34,50.353,47.417,12,80.0,82.64,4,73.316,74.0,34.0,40.0,530.72,2,45.9
9.824,0.063,33,49.597,46.912,12,79.0,81.723,5,72.534,73.0,33.0,40.0,531.71,2,45.2
8.658,0.072,28,43.284,41.078,10,69.0,73.019,4,64.876,65.0,30.0,35.0,470.62,3,43.1
7.456,0.072,28,43.284,41.078,10,69.0,73.019,4,64.876,65.0,30.0,35.0,470.62,3,43.1
7.921,0.072,28,43.284,41.078,10,69.0,73.019,4,64.876,65.0,30.0,35.0,470.62,3,43.1
