pXC50,GGI3,ATS7s,ATS7i,ATS8s,ATS5e,SpMin5_Bh.v.,GGI5,ATS6e,SM06_EA.ri.,SM04_EA.ri.,ATS5m,ATS6s,ATS7m,SpMin3_Bh.s.,CATS2D_07_AL,SpMin5_Bh.p.,SM05_EA.ri.,ATSC6p,SM05_AEA.ed.,ATS5i,ATS6m,Eig12_EA,SM06_AEA.dm.,TIE,Eig03_EA.ri.,P_VSA_e_5,P_VSA_m_3,Pol,CIC0,ATSC4p,SM10_EA.ri.,nO,ATSC3v,SM04_AEA.ed.,Eig12_AEA.ri.,ATSC7v,SM06_AEA.ed.,Eig12_EA.ri.,SM03_EA.ri.,TPSA.NO.,SM02_EA.ed.,SpMin8_Bh.p.,Eig13_EA.ri.,SM03_AEA.ed.,ATSC8e,SM12_EA.ri.,Eig11_AEA.ri.,ATSC1p,Eig14_AEA.dm.,SM11_EA.ri.,GGI6,SM02_AEA.ed.,ATSC5p,Eig12_AEA.ed.,IC5,X1MulPer,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_EA.ri.,SpMax6_Bh.e.,NsssCH,Eig13_EA.ed.,SM08_AEA.ri.,ATSC7e,DELS,Eig13_EA,SM07_AEA.dm.,HDcpx,ATS3s,Ram,Eig12_EA.bo.,C.008,GGI7,Eig11_EA,SM05_AEA.dm.,Eig08_AEA.dm.,Eig04_AEA.dm.,ATSC5s,SM13_EA.ri.,SIC0,GGI8,SsOH,SpMin7_Bh.p.,Eig03_EA,SM11_AEA.bo.,nC,VvdwZAZ,P_VSA_p_2,P_VSA_v_2,SAacc,GGI4,Eig12_EA.ed.,SM07_AEA.ri.,IC4,Eig09_AEA.ri.,SM04_EA,ATSC5e,S1K,SpMaxA_EA.bo.,Eig03_AEA.ri.,SPI,Eig15_EA.ri.,TIC4,ATS1p,Eig15_EA,SM09_AEA.dm.,P_VSA_s_6,Uindex,Eta_epsi,Eig11_EA.bo.,Eig11_AEA.bo.,Eig11_AEA.dm.,TIC3,SpMax7_Bh.i.,ATSC6v,Eig15_EA.bo.,ATSC7s,NsOH,Eig15_AEA.ri.,SAdon,Psi_e_1,TIC5,Eig12_AEA.bo.,SM05_AEA.bo.,SpMax8_Bh.v.,ATS1v,BIC0,SpMin8_Bh.e.,SM04_AEA.bo.,P_VSA_MR_2,DLS_06,P_VSA_MR_7,ATSC4s,SpMax8_Bh.p.,Psi_i_s,Eig06_AEA.dm.,Sv,N.
5.1,1.41,5.719,4.659,5.71,4.601,1.481,1.202,4.499,7.672,5.859,3.857,5.602,3.897,0.975,3,1.469,6.185,7.486,10.75,4.819,3.898,0.945,0.945,45.154,2.526,22.156,37.117,42,3.744,7.928,11.733,1,8.97,9.031,1.892,9.813,12.509,0.886,3.829,58.64,6.624,1.062,0.73,7.372,0.261,13.876,1.984,3.94,0.62,12.749,0.457,5.814,7.981,3.414,4.758,8.007,-0.422,-0.422,0.983,2.895,0,2.136,2.136,0.242,27.251,0.792,0.792,1.706,5.781,9,1.382,0,0.28,1.0,1.0,1.488,2.729,39.294,14.942,0.31,0.357,0.0,1.062,2.592,2.592,21,316.15,72.513,87.473,70.688,1.466,2.192,2.192,4.758,2.0,6.033,0.302,17.477,0.143,3.558,12.043,-0.422,204.574,3.557,-0.453,-0.453,70.688,39.954,27.048,1.5,2.5,1.0,200.574,2.925,9.636,-0.594,27.859,0,0.504,16.786,4.309,204.574,2.44,8.859,2.715,3.514,0.287,0.886,7.516,22.156,1.0,33.571,40.885,2.735,64.056,2.432,30.037,7.0
5.1,1.188,5.403,4.573,5.255,4.451,1.378,0.542,4.382,7.545,5.76,3.759,5.456,3.668,1.033,3,1.376,5.979,5.816,10.528,4.676,3.717,0.449,0.449,28.938,2.46,0.0,0.0,38,3.826,7.228,11.595,0,8.915,8.838,1.405,8.757,12.262,0.42,3.613,50.7,6.46,1.044,0.016,7.212,0.115,13.748,1.984,3.065,-0.044,12.606,0.405,5.687,6.324,3.101,4.872,7.714,-0.814,-0.814,0.983,2.89,0,0.048,0.048,0.139,13.492,0.02,0.02,1.681,5.564,7,0.552,0,0.302,1.0,1.0,1.288,2.533,25.7,14.816,0.281,0.2,0.0,1.062,2.531,2.531,20,291.69,68.122,68.122,68.122,1.24,1.119,1.119,4.822,2.0,5.889,0.206,15.707,0.162,3.508,6.696,-0.561,192.877,3.464,-0.583,-0.583,89.26,35.852,24.286,1.449,2.465,1.0,188.877,2.925,7.282,-0.833,20.483,0,0.391,18.011,3.847,194.877,1.729,8.73,2.715,3.437,0.259,0.845,7.397,0.0,1.0,89.26,24.391,2.735,52.778,1.907,28.074,10.0
5.627,2.313,5.992,5.572,5.893,5.384,1.761,1.181,5.337,7.588,5.803,4.061,6.074,3.715,1.272,4,1.75,6.128,17.44,10.631,5.633,3.906,0.435,0.435,86.019,2.349,78.828,78.828,46,4.864,17.186,11.648,3,22.928,8.91,1.374,23.642,12.398,0.399,3.801,49.77,6.497,1.387,0.26,7.256,0.421,13.795,1.715,7.388,0.569,12.674,0.772,5.714,17.624,2.855,5.372,11.121,0.17,0.17,0.715,3.394,3,0.532,0.532,0.315,24.78,0.287,0.287,1.717,6.016,8,0.455,2,0.354,0.717,0.717,1.613,2.63,101.575,14.866,0.206,0.189,9.64,1.549,2.474,2.474,25,432.25,81.952,81.952,81.952,1.533,0.809,0.809,5.172,2.196,5.916,0.683,24.052,0.132,3.416,17.461,-0.222,362.03,3.763,-0.228,-0.228,78.828,65.922,35.3,0.74,1.766,1.159,339.011,3.394,25.485,-0.25,46.804,1,0.764,42.683,4.425,376.03,1.513,8.464,2.96,3.685,0.203,1.162,7.167,71.458,0.67,0.0,55.222,2.972,59.667,1.949,38.702,1.4
5.395,2.25,6.142,5.716,5.94,5.399,1.754,1.201,5.437,7.506,5.738,4.153,6.216,3.757,1.275,4,1.75,6.004,19.167,10.574,5.64,4.023,0.436,0.436,86.137,2.277,78.828,78.828,45,4.864,16.726,11.576,3,22.724,8.85,1.381,26.482,12.348,0.402,3.657,49.77,6.447,1.39,0.311,7.203,0.45,13.734,1.789,7.388,0.52,12.606,0.69,5.673,18.209,2.883,5.333,11.292,0.345,0.345,0.789,3.467,3,0.592,0.592,0.427,25.28,0.331,0.331,1.72,6.006,7,0.443,2,0.323,0.801,0.801,1.535,2.367,95.342,14.809,0.206,0.164,9.643,1.51,2.473,2.473,25,432.25,81.952,81.952,81.952,1.462,0.767,0.767,5.069,2.343,5.866,0.667,24.052,0.13,3.399,15.928,-0.127,354.811,3.763,-0.13,-0.13,78.828,65.69,35.3,0.825,1.841,1.163,329.873,3.356,27.9,-0.136,60.448,1,0.858,42.683,4.424,373.275,1.477,8.387,2.946,3.685,0.203,1.118,7.107,95.0,0.67,0.0,48.82,2.938,59.5,1.908,38.702,1.4
6.523,3.722,6.522,5.704,6.556,5.479,1.801,1.723,5.452,8.289,6.331,4.567,6.505,4.572,1.181,12,1.797,6.815,18.621,11.267,5.709,4.599,1.328,1.328,68.397,2.865,72.29,72.29,67,4.617,17.306,12.757,4,19.508,9.5,2.322,26.718,13.078,1.314,4.302,81.49,7.089,1.574,1.202,7.802,1.092,15.102,2.443,6.46,1.245,13.904,1.228,6.213,19.117,3.757,4.947,12.845,2.76,2.76,1.379,3.525,0,2.809,2.809,0.533,36.888,1.227,1.227,1.798,6.145,13,1.733,0,0.8,1.554,1.554,2.264,3.154,72.322,16.28,0.247,0.641,0.0,1.624,2.94,2.94,30,459.92,97.223,97.223,93.425,1.914,3.24,3.24,4.947,2.678,6.447,0.72,25.079,0.11,3.916,14.241,1.012,346.295,3.884,1.029,1.029,72.29,52.534,40.867,1.821,2.759,1.906,334.295,3.42,24.815,1.326,86.686,0,2.016,18.011,6.199,346.295,2.7,9.21,3.13,3.871,0.234,1.282,7.836,85.603,0.83,0.0,60.357,3.137,81.667,2.497,44.32,5.7
5.764,2.438,6.108,5.661,5.967,5.423,1.752,1.208,5.419,7.635,5.815,4.124,6.155,3.773,1.266,4,1.75,6.171,18.774,10.679,5.669,3.992,0.436,0.436,86.463,2.26,78.828,78.828,47,4.864,17.463,11.789,3,22.953,8.941,1.386,25.228,12.464,0.405,3.801,49.77,6.521,1.378,0.275,7.273,0.476,13.979,1.705,7.388,0.58,12.844,0.771,5.72,18.58,2.835,5.372,11.131,0.163,0.163,0.705,3.404,3,0.54,0.54,0.405,24.832,0.309,0.309,1.719,6.011,8,0.458,2,0.354,0.71,0.71,1.576,2.562,99.551,15.071,0.206,0.189,9.777,1.547,2.457,2.457,25,432.25,81.952,81.952,81.952,1.613,0.853,0.853,5.172,2.292,5.927,0.681,24.052,0.136,3.382,17.388,-0.219,362.03,3.763,-0.224,-0.224,78.828,65.726,35.3,0.74,1.77,1.172,341.011,3.39,27.415,-0.248,56.92,1,0.769,42.683,4.427,376.03,1.513,8.474,2.927,3.685,0.203,1.156,7.17,71.458,0.67,0.0,53.082,2.951,59.667,1.905,38.702,1.4
6.0,3.597,6.553,5.727,6.585,5.48,1.763,1.723,5.466,8.289,6.331,4.573,6.508,4.616,1.163,12,1.761,6.815,18.764,11.267,5.714,4.626,1.327,1.327,67.999,2.865,72.29,72.29,67,4.617,17.192,12.758,4,19.509,9.5,2.315,27.766,13.078,1.286,4.302,81.49,7.089,1.58,1.211,7.802,0.986,15.103,2.354,6.46,1.241,13.905,1.406,6.213,19.01,3.751,5.461,12.845,2.741,2.741,1.33,3.477,0,2.827,2.827,0.506,36.796,1.232,1.232,1.798,6.15,13,1.762,0,0.833,1.451,1.451,2.223,3.155,70.351,16.28,0.247,0.692,0.0,1.612,2.941,2.941,30,459.92,97.223,97.223,93.425,1.914,3.035,3.035,5.318,2.695,6.447,0.71,25.079,0.11,3.916,14.134,1.012,372.295,3.884,1.03,1.03,72.29,52.499,40.867,1.87,2.842,1.907,358.295,3.498,25.426,1.329,85.442,0,2.017,18.011,6.195,382.295,2.69,9.21,3.097,3.871,0.234,1.293,7.836,85.603,0.83,0.0,59.729,3.109,81.667,2.516,44.32,5.7
5.804,3.722,6.634,5.973,6.592,5.569,1.798,1.946,5.539,8.329,6.388,4.613,6.545,4.642,1.17,12,1.792,6.874,20.908,11.319,5.835,4.667,1.33,1.33,68.673,2.866,50.29,50.29,69,4.763,19.947,12.769,2,22.415,9.559,2.327,36.006,13.122,1.323,4.414,69.51,7.143,1.562,1.217,7.861,0.932,15.108,2.678,6.582,1.235,13.912,1.544,6.267,19.234,4.388,4.702,13.116,2.818,2.818,1.685,3.527,0,2.831,2.831,0.616,30.754,1.235,1.235,1.805,6.167,15,1.919,0,0.939,1.648,1.648,2.422,3.155,68.147,16.284,0.235,0.817,0.0,1.633,2.942,2.942,31,481.64,81.472,81.472,77.674,2.394,3.638,3.638,4.612,2.916,6.506,0.773,26.025,0.107,3.917,18.588,1.02,345.877,3.934,1.03,1.03,50.29,54.555,42.033,2.118,3.103,1.911,328.103,3.482,29.654,1.351,95.13,0,2.022,18.011,6.322,352.632,2.843,9.255,3.132,3.907,0.224,1.32,7.884,50.29,0.83,0.0,71.499,3.12,81.167,2.702,46.46,8.0
4.523,2.438,6.285,5.426,6.285,5.289,1.73,1.507,5.161,8.256,6.326,4.298,6.186,4.329,1.211,13,1.765,6.845,12.847,11.212,5.537,4.272,1.289,1.289,68.386,2.833,47.145,47.145,61,4.772,16.419,12.603,3,20.619,9.458,2.267,21.166,13.012,1.251,4.43,80.65,7.029,1.464,1.07,7.772,0.588,14.884,2.293,7.024,1.256,13.716,1.122,6.196,14.355,3.81,5.326,12.824,2.727,2.727,1.286,3.5,0,2.824,2.824,0.461,29.015,1.173,1.173,1.794,6.191,13,1.609,0,0.646,1.327,1.327,2.177,3.067,69.806,16.029,0.236,0.637,0.0,1.576,2.963,2.963,31,491.79,104.73,104.73,102.954,2.225,2.868,2.868,5.3,2.794,6.46,0.653,27.35,0.106,3.921,19.333,0.946,402.803,3.926,1.0,1.0,63.808,61.501,42.7,1.71,2.669,1.571,390.539,3.478,18.535,1.337,73.226,0,1.952,36.022,6.092,404.803,2.6,9.168,3.081,3.899,0.226,1.222,7.813,36.145,0.83,16.663,58.81,3.059,81.25,2.607,46.68,6.6
5.807,3.722,6.575,5.811,6.565,5.492,1.771,1.834,5.45,8.305,6.353,4.571,6.494,4.616,1.17,12,1.773,6.841,18.8,11.286,5.737,4.634,1.329,1.329,67.021,2.866,61.29,61.29,67,4.648,18.338,12.761,3,20.401,9.523,2.325,30.48,13.094,1.319,4.36,75.5,7.109,1.514,1.217,7.824,0.873,15.105,2.457,6.358,1.232,13.907,1.544,6.232,18.499,3.771,4.833,12.688,2.801,2.801,1.38,3.477,0,2.829,2.829,0.51,33.222,1.235,1.235,1.798,6.144,14,1.773,0,0.877,1.58,1.58,2.232,3.155,71.584,16.281,0.244,0.768,0.0,1.613,2.941,2.941,30,462.13,89.347,89.347,85.549,2.074,3.282,3.282,4.833,2.879,6.469,0.779,25.079,0.11,3.917,16.269,1.018,343.122,3.892,1.03,1.03,61.29,52.491,40.8,1.92,2.844,1.911,339.122,3.482,25.99,1.351,87.544,0,2.021,18.011,6.187,343.122,2.691,9.229,3.071,3.873,0.232,1.307,7.856,50.29,0.83,0.0,67.336,3.062,80.667,2.704,44.627,7.0
