pXC50,D.Dtr07,nR07,X5A,Eig04_AEA.bo.,nCrs,SM06_AEA.bo.,SM07_AEA.bo.,SM04_EA.bo.,X4A,ATS7m,SM05_AEA.bo.,X3A,Eig06_EA.bo.,ZM2Per,Eig03_EA.bo.,SM13_AEA.ri.,Chi1_EA.ed.,ZM2MulPer,Chi0_EA.ed.,ZM2V,SpMax1_Bh.e.,IC4,Eig06_AEA.bo.,ZM1Per,ATS6m,IC3,SM02_AEA.bo.,ZM2Kup,SpAD_EA.bo.,ATS5m,SM03_EA.ri.,P_VSA_LogP_7,Eig04_AEA.ri.,SpMax3_Bh.p.,Eig04_EA.ri.,SssCH2,Eta_F,Eig01_AEA.ri.,SpMax_AEA.ri.,nCsp3,ZM1MulPer,CATS2D_07_NL,CATS2D_08_AL,ATS8i,CATS2D_08_DL,SpMax6_Bh.e.,MWC03,ZM2,GGI4,ZM1Mad,SpMax3_Bh.v.,SpAD_EA.ed.,ZM1V,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SRW04,D.Dtr05,CATS2D_07_AL,NssCH2,CATS2D_05_LL,CATS2D_02_LL,piPC04,Eta_beta,BBI,MPC02,SM02_EA,ZM1Kup
4.602,0.0,0,0.078,3.038,2,9.311,10.621,5.838,0.12,3.429,8.03,0.19,1.791,308.75,2.293,2.293,5.084,213.823,10.591,202.0,4.027,5.395,2.794,322.46,3.464,5.294,4.543,214.339,37.378,3.512,3.386,388.446,2.93,3.618,1.888,12.665,8.422,4.201,4.201,17,247.928,1,3,5.212,2,3.259,5.525,125.0,0.712,121.359,3.599,90.946,232.0,11.112,11.112,11.112,5.165,136.496,3,12,7,13,4.025,16.5,31,3.466,4.143,265.954
4.149,0.0,0,0.074,3.906,0,10.415,11.816,7.473,0.114,4.282,9.036,0.182,2.863,832.58,3.616,3.616,6.692,565.333,14.328,531.0,4.127,5.048,3.558,795.58,4.418,5.015,5.173,538.44,74.911,4.379,4.052,326.497,3.569,3.834,2.517,1.642,37.438,4.129,4.129,6,594.12,0,5,5.271,0,3.434,6.043,210.0,1.938,235.506,3.824,158.731,556.0,11.111,11.111,11.111,5.652,80.452,2,4,13,15,5.746,45.5,52,3.97,4.654,571.296
4.137,0.0,0,0.076,3.635,0,10.169,11.566,7.306,0.115,3.896,8.796,0.184,2.67,621.96,3.616,3.616,5.247,426.034,11.102,399.0,4.125,4.985,3.374,579.65,4.007,4.855,4.945,379.972,60.745,3.961,3.642,288.09,3.182,3.834,2.032,1.685,24.109,4.128,4.128,3,424.434,0,3,4.816,0,3.09,5.808,166.0,1.307,204.713,3.824,124.446,400.0,11.11,11.11,11.11,5.416,58.364,0,2,8,15,5.579,37.5,41,3.738,4.419,351.214
5.032,0.0,0,0.076,3.687,0,10.26,11.66,7.362,0.114,3.947,8.883,0.184,2.679,687.16,3.616,3.616,5.547,469.847,11.782,439.0,4.126,5.236,3.385,649.95,4.055,5.079,5.021,436.44,64.745,4.08,3.823,255.87,3.321,3.834,2.269,1.414,29.275,4.128,4.128,3,482.486,0,1,4.899,0,3.16,5.878,178.0,1.427,200.974,3.824,134.025,452.0,11.11,11.11,11.11,5.485,62.909,2,2,9,15,5.631,40.25,44,3.807,4.489,443.825
4.924,0.0,0,0.074,3.828,0,10.354,11.772,7.375,0.114,3.998,8.958,0.181,2.68,643.6,3.616,3.616,5.375,440.74,11.235,413.0,4.126,4.979,3.387,591.89,3.969,4.758,5.027,405.288,64.84,3.995,4.101,291.184,3.479,3.834,2.442,1.563,26.88,4.281,4.281,5,434.342,0,1,4.956,0,3.119,5.9,182.0,1.387,202.539,3.824,142.297,406.0,11.657,11.657,11.657,5.517,65.281,2,2,11,18,5.612,38.25,46,3.85,4.533,382.504
5.509,0.0,0,0.073,3.922,0,10.339,11.743,7.412,0.113,4.056,8.957,0.183,2.747,739.6,3.616,3.616,5.617,509.425,11.955,475.0,4.146,5.11,3.452,701.77,4.101,4.987,5.072,466.445,67.511,4.128,3.885,223.651,3.489,3.835,2.376,0.839,32.698,4.163,4.163,3,525.593,0,1,4.844,0,3.24,5.922,186.0,1.792,215.208,3.825,140.943,488.0,11.416,11.416,11.416,5.525,67.863,4,2,4,14,5.686,42.0,46,3.85,4.533,491.561
5.155,0.0,0,0.071,3.869,0,10.264,11.676,7.365,0.11,3.843,8.876,0.18,2.552,641.88,3.616,3.616,5.087,438.011,10.858,411.0,4.153,4.942,3.253,597.13,3.861,4.806,4.98,418.383,62.234,3.844,3.854,200.109,3.478,3.809,2.453,0.672,28.812,4.204,4.204,2,440.169,0,1,4.72,0,3.067,5.838,171.0,1.432,169.579,3.807,129.503,412.0,11.486,11.486,11.486,5.434,56.908,0,1,14,14,5.676,38.75,42,3.761,4.443,420.965
4.523,0.0,0,0.059,3.838,2,10.537,12.016,7.412,0.092,3.999,9.085,0.154,2.628,717.64,3.585,3.585,4.49,475.532,9.486,450.0,4.197,5.153,3.34,669.79,4.085,5.153,5.011,455.174,61.141,4.296,4.36,129.482,3.399,3.549,2.26,0.668,25.059,4.783,4.783,4,502.651,0,1,4.464,1,2.99,5.984,198.0,2.516,199.578,3.546,156.286,466.0,16.518,16.518,16.518,5.533,70.773,0,1,8,9,5.764,33.5,48,3.892,4.575,479.252
5.658,0.0,0,0.075,3.739,0,10.26,11.66,7.362,0.115,3.86,8.883,0.185,2.679,643.8,3.616,3.616,5.521,441.949,11.741,415.0,4.141,5.109,3.386,606.57,3.884,4.989,5.021,422.383,64.745,3.848,3.854,247.193,3.408,3.834,2.395,2.388,29.209,4.145,4.145,4,448.27,0,1,4.9,0,3.221,5.878,178.0,1.347,177.579,3.824,133.988,420.0,11.11,11.11,11.11,5.485,65.374,4,3,12,17,5.623,39.75,44,3.807,4.489,428.965
4.155,0.0,0,0.074,3.89,0,10.507,11.963,7.561,0.114,4.046,9.076,0.181,2.682,751.56,3.616,3.616,5.375,517.909,11.235,483.0,4.131,5.044,3.39,697.33,4.055,4.916,5.066,449.586,67.572,4.019,4.039,220.557,3.481,3.834,2.448,1.346,30.047,4.229,4.229,2,521.992,0,1,4.805,0,3.11,5.9,182.0,1.387,238.312,3.824,142.297,480.0,11.657,11.657,11.657,5.517,65.281,2,2,8,13,5.645,41.5,46,3.85,4.533,455.998
7.0,0.0,0,0.071,3.948,0,10.58,12.001,7.537,0.113,4.223,9.179,0.178,3.113,888.42,3.785,3.785,6.08,594.367,12.864,557.0,4.16,5.281,3.744,884.76,4.108,5.108,5.218,593.307,76.968,4.275,4.353,200.109,3.641,3.856,2.609,0.26,41.405,4.232,4.232,4,687.102,0,4,5.078,2,3.324,6.094,221.0,2.119,231.647,3.854,175.244,632.0,11.658,11.658,11.658,5.707,83.992,6,1,13,18,5.784,45.0,56,4.043,4.727,762.135
6.032,0.0,0,0.071,3.981,0,10.436,11.85,7.478,0.114,4.233,9.047,0.178,2.826,756.95,3.652,3.652,5.804,517.148,12.293,486.0,4.159,5.417,3.486,736.72,4.213,5.272,5.133,487.169,71.755,4.177,4.147,200.109,3.606,3.843,2.548,0.514,35.263,4.264,4.264,3,560.646,0,3,5.023,1,3.251,5.999,201.0,1.618,212.15,3.832,155.043,518.0,11.894,11.894,11.894,5.602,72.448,6,1,13,18,5.76,43.0,50,3.932,4.615,512.006
5.469,0.0,0,0.064,3.939,1,10.748,12.231,7.704,0.099,4.465,9.296,0.163,2.999,913.51,3.614,3.614,6.434,616.593,13.584,581.0,4.226,5.5,3.631,840.1,4.532,5.362,5.26,565.891,80.329,4.565,4.384,258.964,3.533,3.829,2.423,0.035,41.841,4.637,4.637,5,625.49,1,10,5.366,1,3.406,6.163,237.0,2.589,267.181,3.824,184.688,578.0,14.703,14.703,14.703,5.74,132.648,15,3,9,15,5.908,47.5,58,4.078,4.762,601.446
5.174,0.0,0,0.069,4.094,2,10.705,12.154,7.567,0.11,4.181,9.278,0.171,3.155,878.08,3.834,3.834,6.055,583.138,12.967,548.0,4.165,5.222,3.77,838.97,4.074,5.003,5.255,591.726,78.457,4.119,4.586,211.88,3.733,3.855,2.724,1.801,40.672,4.583,4.583,5,639.201,0,4,5.126,2,3.339,6.159,236.0,1.818,224.461,3.853,186.241,590.0,14.282,14.282,14.282,5.753,83.499,7,3,15,19,5.794,45.25,59,4.094,4.779,741.932
