pXC50,CATS2D_07_DA,MATS2p,MPC10,SpMin1_Bh.p.,CATS2D_04_DA,SpMin7_Bh.i.,Eig06_EA.ri.,Eig15_AEA.ed.,GATS2i,Eig02_EA.ed.,SM11_AEA.dm.,GGI5,MPC07,MATS4e,Eig02_EA.ri.,P_VSA_LogP_5,MATS2i,SpMin7_Bh.e.,MPC06,GATS1e,piPC05,Eig06_EA.bo.,ATS4v,SpMin6_Bh.i.,piID,SpMin1_Bh.i.,SpMin8_Bh.i.,SpMin6_Bh.e.,SpMin8_Bh.p.,SpMin6_Bh.m.,SpMin8_Bh.v.,SM02_EA.ri.,CATS2D_04_AA,X4,SpMin1_Bh.e.,SpMax8_Bh.p.,nHAcc,MATS2v,Eig06_AEA.ri.,MPC04,Eig02_AEA.ri.,Eig15_AEA.bo.,TIC1,Eig06_AEA.bo.,Eig05_AEA.bo.,piPC10,piPC09,nO,GGI6,Eig02_AEA.bo.,ATS4p,ATS2i,SpMax8_Bh.v.,Eig03_EA.ri.,P_VSA_p_2,MPC05,ATSC5i,ATS3v,SpMaxA_AEA.dm.,SM02_EA.ed.,Eig06_EA.ed.,SM15_AEA.dm.,TIC2,ATSC6e,SpDiam_EA.ed.,SpMin8_Bh.e.,TPC,ATS2e
6.638,1,0.08,4.143,2.023,1,0.876,1.743,2.158,0.967,7.505,7.505,0.747,4.205,0.061,2.597,47.427,0.069,0.907,4.174,0.774,5.763,2.51,3.696,1.123,10.146,1.906,0.821,1.167,1.062,1.313,1.107,4.218,1,6.899,1.925,2.667,5,0.029,2.835,4.043,3.627,0.673,146.417,3.269,3.439,6.893,6.76,3,0.465,4.055,3.752,4.374,2.656,2.463,80.448,4.19,0.949,3.752,0.129,6.368,5.102,5.102,179.716,0.533,17.032,0.886,6.85,4.256
6.921,1,0.027,4.143,2.026,1,0.865,1.807,2.158,0.944,7.505,7.505,0.747,4.205,0.023,2.613,53.047,-0.006,0.903,4.174,0.715,5.763,2.51,3.679,1.123,10.146,1.903,0.821,1.167,1.062,1.314,1.107,4.235,1,6.899,1.924,2.649,6,0.01,2.842,4.043,3.634,0.673,146.417,3.269,3.439,6.893,6.76,3,0.465,4.055,3.713,4.384,2.646,2.477,80.448,4.19,0.98,3.725,0.129,6.368,5.102,5.102,179.716,0.589,17.032,0.886,6.85,4.261
6.268,1,0.155,4.344,2.015,1,0.988,1.412,2.0,0.925,9.29,9.29,0.626,4.22,-0.012,2.967,53.433,0.121,1.074,4.19,0.845,5.641,2.037,3.669,1.123,9.328,1.891,0.756,1.17,1.076,1.397,1.079,4.224,1,6.773,1.908,2.609,6,0.209,2.444,4.078,3.978,0.563,148.092,2.89,3.347,7.004,6.766,4,0.516,4.354,3.701,4.416,2.588,2.497,89.956,4.174,0.944,3.669,0.143,6.447,3.667,3.667,177.866,0.663,17.043,0.824,6.736,4.274
6.745,3,0.023,4.812,2.041,3,1.208,2.133,3.0,0.934,8.136,8.136,1.063,4.654,0.034,2.68,94.528,0.166,1.262,4.575,0.923,5.864,2.655,4.116,1.262,10.678,1.9,1.13,1.315,1.511,1.564,1.472,4.544,1,10.12,1.926,2.968,11,-0.021,3.199,4.407,3.732,1.813,259.085,3.482,3.686,7.301,7.072,4,0.638,4.123,4.165,4.933,2.982,2.453,193.325,4.511,1.723,4.119,0.101,6.688,6.045,6.045,328.162,0.744,17.033,1.192,7.758,4.77
6.469,4,0.07,4.82,2.04,3,1.196,2.027,3.0,0.89,8.137,8.137,1.025,4.654,0.016,2.679,105.528,0.182,1.255,4.564,0.915,5.861,2.658,4.068,1.231,10.635,1.9,1.13,1.28,1.511,1.553,1.472,4.512,1,10.089,1.926,2.827,11,0.006,3.1,4.407,3.732,1.774,243.121,3.423,3.739,7.308,7.078,5,0.664,4.124,4.094,4.857,2.867,2.452,186.315,4.5,1.604,4.065,0.103,6.681,5.9,5.9,302.67,0.833,17.033,1.192,7.713,4.712
6.495,1,0.087,4.357,2.026,3,0.866,1.412,2.168,0.858,7.98,7.98,0.719,4.304,0.166,2.535,109.437,0.196,0.931,4.234,0.983,5.715,2.057,3.681,1.119,9.588,1.891,0.757,1.16,1.038,1.294,1.059,4.166,1,7.18,1.909,2.613,8,0.033,2.444,4.078,3.64,0.826,148.482,3.202,3.41,7.127,6.892,2,0.444,4.051,3.698,4.37,2.593,2.37,137.945,4.205,1.091,3.669,0.145,6.333,3.667,3.667,179.011,0.49,17.033,0.823,6.809,4.225
6.886,3,0.034,4.682,2.039,3,1.13,1.797,2.823,0.949,8.801,8.801,1.039,4.575,0.074,2.851,94.528,0.135,1.192,4.489,0.887,5.87,2.624,4.026,1.201,10.274,1.899,1.119,1.262,1.445,1.498,1.41,4.419,1,8.773,1.923,2.853,9,0.018,2.853,4.277,3.861,1.64,221.257,3.409,3.596,7.295,7.07,3,0.627,4.228,4.065,4.772,2.855,2.484,164.315,4.419,1.553,4.003,0.116,6.572,5.338,5.338,276.051,0.586,17.033,1.16,7.351,4.601
7.796,3,0.013,4.913,2.04,3,1.131,2.046,3.143,0.829,8.141,8.141,0.983,4.745,0.101,2.678,158.616,0.218,1.192,4.654,0.968,6.095,3.007,4.135,1.218,12.151,1.9,1.119,1.269,1.449,1.487,1.413,4.573,3,10.79,1.927,2.968,11,-0.038,3.148,4.466,3.733,2.382,233.726,3.704,3.755,7.596,7.321,3,0.729,4.131,4.155,4.791,2.982,2.452,198.015,4.615,1.781,4.125,0.096,6.725,6.112,6.112,286.639,0.694,17.033,1.161,7.882,4.65
7.229,1,0.064,4.745,2.011,1,1.019,1.599,2.314,0.869,9.238,9.238,0.768,4.522,0.006,2.834,71.671,0.179,1.053,4.407,0.831,5.904,2.304,3.679,1.118,11.017,1.89,0.821,1.149,1.062,1.263,1.107,4.274,1,7.907,1.908,2.644,7,0.031,2.621,4.22,3.889,0.768,140.157,3.073,3.378,7.643,7.327,3,0.399,4.293,3.678,4.396,2.632,2.436,101.42,4.344,1.006,3.695,0.114,6.475,4.085,4.085,167.866,0.541,17.034,0.886,7.293,4.271
6.721,2,0.071,4.745,2.011,1,1.057,1.59,2.314,0.888,9.238,9.238,0.768,4.522,0.064,2.797,78.6,0.178,1.109,4.407,0.911,5.904,2.304,3.702,1.126,11.017,1.89,0.821,1.18,1.062,1.345,1.107,4.266,1,7.907,1.909,2.647,6,0.027,2.614,4.22,3.876,0.768,144.903,3.073,3.378,7.643,7.327,2,0.399,4.293,3.72,4.433,2.637,2.436,105.415,4.344,1.09,3.716,0.114,6.475,4.085,4.085,174.612,0.477,17.034,0.886,7.293,4.292
6.481,1,0.027,4.745,2.006,1,1.014,1.559,2.314,1.04,9.238,9.238,0.768,4.522,0.104,2.702,62.437,-0.024,1.073,4.407,0.857,5.904,2.304,3.731,1.123,11.017,1.892,0.821,1.163,1.062,1.204,1.107,4.236,1,7.907,1.909,2.655,6,0.043,2.6,4.22,3.839,0.768,140.157,3.073,3.378,7.643,7.327,2,0.399,4.293,3.81,4.377,2.637,2.419,88.63,4.344,1.081,3.733,0.114,6.475,4.085,4.085,167.866,0.423,17.034,0.886,7.293,4.259
6.959,1,0.176,4.942,2.061,2,1.088,1.711,2.812,0.823,9.376,9.376,1.032,4.7,0.167,2.845,75.693,0.23,1.159,4.575,0.916,6.085,2.511,3.891,1.124,11.346,1.92,0.861,1.177,1.146,1.436,1.145,4.353,2,8.678,1.946,2.735,7,0.118,2.779,4.317,3.913,1.348,161.236,3.236,3.463,7.859,7.525,3,0.526,4.325,3.917,4.568,2.715,2.449,99.874,4.511,1.301,3.884,0.103,6.581,5.289,5.289,198.535,0.569,17.034,0.917,7.482,4.428
6.959,1,0.081,4.745,2.01,1,1.062,1.583,2.314,0.881,9.238,9.238,0.768,4.522,0.057,2.772,71.711,0.178,1.093,4.407,0.908,5.745,2.22,3.757,1.126,10.414,1.889,0.821,1.178,1.062,1.34,1.107,4.253,1,7.907,1.909,2.667,6,0.029,2.613,4.22,3.866,0.731,151.748,3.047,3.351,7.114,6.916,3,0.399,4.155,3.791,4.51,2.659,2.426,83.089,4.344,1.12,3.772,0.124,6.475,4.085,4.085,188.968,0.524,17.034,0.886,7.293,4.374
6.119,1,0.073,4.745,2.007,1,1.116,1.574,2.314,1.013,9.238,9.238,0.768,4.522,0.133,2.7,71.914,0.007,1.148,4.407,0.906,5.904,2.304,3.768,1.129,11.017,1.892,0.821,1.186,1.062,1.303,1.107,4.238,1,7.907,1.909,2.68,5,0.054,2.608,4.22,3.839,0.768,140.068,3.073,3.378,7.643,7.327,2,0.399,4.293,3.862,4.399,2.669,2.426,72.089,4.344,1.069,3.764,0.114,6.475,4.085,4.085,172.612,0.338,17.034,0.886,7.293,4.28
6.523,1,0.005,4.745,2.009,1,1.094,1.555,2.314,1.005,9.238,9.238,0.768,4.522,0.14,2.793,65.194,0.016,1.118,4.407,0.906,5.904,2.304,3.765,1.127,11.017,1.89,0.821,1.181,1.062,1.325,1.107,4.244,1,7.907,1.91,2.695,5,0.022,2.604,4.22,3.87,0.768,142.068,3.073,3.378,7.643,7.327,2,0.399,4.293,3.848,4.399,2.659,2.415,72.089,4.344,1.111,3.755,0.114,6.475,4.085,4.085,174.612,0.368,17.034,0.886,7.293,4.28
6.921,1,0.019,4.745,2.012,1,1.028,1.613,2.314,0.999,9.238,9.238,0.768,4.522,0.062,2.892,71.671,0.03,1.055,4.407,0.81,5.904,2.304,3.728,1.124,11.017,1.895,0.821,1.169,1.062,1.312,1.107,4.29,1,7.907,1.915,2.653,6,0.017,2.629,4.22,3.91,0.768,137.539,3.073,3.378,7.643,7.327,3,0.399,4.293,3.753,4.408,2.641,2.446,84.634,4.344,1.038,3.735,0.114,6.475,4.085,4.085,170.083,0.469,17.034,0.886,7.293,4.287
8.155,1,0.11,5.38,2.035,1,1.222,2.111,3.274,0.95,10.907,10.907,1.133,5.056,-0.059,3.072,101.954,0.138,1.263,4.898,0.84,6.344,2.943,4.168,1.266,13.741,1.92,1.149,1.308,1.473,1.46,1.457,4.651,1,10.981,1.941,2.867,9,0.097,3.17,4.605,4.123,2.118,227.507,3.571,3.743,8.397,7.985,5,0.707,4.467,4.186,4.795,2.858,2.644,151.796,4.771,1.7,4.118,0.097,6.913,6.195,6.195,284.051,0.895,18.272,1.211,8.576,4.659
5.301,1,0.14,4.844,2.052,1,1.073,1.803,2.412,0.908,8.399,8.399,0.799,4.691,0.108,2.66,34.911,0.187,1.127,4.575,0.853,6.134,2.684,3.844,1.136,11.154,1.926,0.855,1.19,1.123,1.372,1.14,4.368,1,8.434,1.949,2.651,5,0.108,2.845,4.317,3.707,0.886,165.834,3.326,3.473,7.831,7.545,2,0.529,4.084,3.913,4.548,2.648,2.566,89.358,4.477,1.203,3.88,0.123,6.603,5.528,5.528,203.054,0.39,18.69,0.904,7.461,4.391
7.032,1,-0.039,5.13,2.032,1,1.065,1.644,2.872,0.957,9.24,9.24,0.563,4.812,0.008,2.885,88.198,0.077,1.094,4.644,0.951,6.21,2.414,3.755,1.149,12.592,1.92,0.821,1.211,1.062,1.347,1.107,4.396,0,8.919,1.94,2.692,5,-0.077,2.66,4.382,3.911,1.185,133.858,3.129,3.534,8.282,7.872,2,0.388,4.298,3.787,4.427,2.691,2.559,87.382,4.522,1.069,3.798,0.106,6.616,4.552,4.552,176.122,0.331,18.081,0.886,7.885,4.313
