pXC50,N.,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nB,nBM,nBO,nBR
3.886,8.1,8.849,45.9,37.8,1.014,1.12,0.72,0.689,327.41,15,37,0,17,26,0
7.137,7.0,9.012,41.9,39.5,1.015,1.113,0.721,0.681,387.52,15,43,0,18,29,0
7.42,5.7,8.558,35.8,43.4,1.024,1.127,0.673,0.641,453.59,12,53,0,16,33,0
4.0,0.0,10.004,17.6,41.2,1.087,1.155,0.615,0.607,340.14,0,34,0,2,20,0
6.602,5.3,8.327,42.1,42.1,1.012,1.117,0.693,0.66,316.41,12,38,0,15,24,0
5.222,5.7,9.153,42.9,37.1,1.031,1.125,0.701,0.683,320.37,12,35,0,15,24,0
4.873,5.1,8.523,41.0,41.0,1.02,1.12,0.687,0.661,332.41,12,39,0,15,25,0
5.367,5.1,8.523,41.0,41.0,1.02,1.12,0.687,0.661,332.41,12,39,0,15,25,0
5.081,5.3,8.327,42.1,42.1,1.012,1.117,0.693,0.66,316.41,12,38,0,15,24,0
5.854,5.3,8.327,42.1,42.1,1.012,1.117,0.693,0.66,316.41,12,38,0,15,24,0
6.102,4.9,8.06,41.5,43.9,1.008,1.119,0.686,0.649,330.44,12,41,0,15,25,0
5.284,5.7,9.153,42.9,37.1,1.031,1.125,0.701,0.683,320.37,12,35,0,15,24,0
6.387,5.7,9.623,42.9,37.1,1.025,1.114,0.727,0.696,336.82,12,35,0,15,24,0
4.701,5.0,7.861,42.5,45.0,1.0,1.116,0.691,0.647,314.44,16,40,0,18,24,0
4.699,2.8,8.483,41.7,41.7,1.019,1.116,0.689,0.66,305.38,12,36,0,15,22,0
4.699,3.0,8.465,42.4,42.4,1.016,1.124,0.692,0.658,279.36,12,33,0,14,20,0
4.735,2.6,7.985,46.2,43.6,0.997,1.107,0.709,0.663,311.43,17,39,0,19,24,0
4.738,3.0,8.964,42.4,42.4,1.01,1.112,0.72,0.671,295.81,12,33,0,14,20,0
4.762,2.7,7.876,40.5,45.9,1.006,1.118,0.679,0.637,291.4,12,37,0,14,21,0
5.0,2.1,7.351,40.4,48.9,0.997,1.119,0.668,0.62,345.5,12,47,0,14,26,0
4.699,8.1,8.578,40.5,40.5,1.018,1.123,0.692,0.664,317.4,12,37,0,15,24,0
4.883,5.0,7.961,40.0,45.0,1.008,1.122,0.678,0.64,318.43,12,40,0,15,23,0
5.046,4.3,7.628,40.4,46.8,1.002,1.121,0.673,0.631,358.5,12,47,0,15,27,0
5.149,4.5,7.829,40.9,45.5,1.005,1.12,0.679,0.639,344.47,12,44,0,15,26,0
5.161,5.0,7.961,40.0,45.0,1.008,1.122,0.678,0.64,318.43,12,40,0,15,23,0
5.222,4.7,7.732,39.5,46.5,1.005,1.123,0.672,0.631,332.46,12,43,0,14,25,0
6.027,4.5,7.829,40.9,45.5,1.005,1.12,0.679,0.639,344.47,12,44,0,15,26,0
5.638,4.9,8.06,41.5,43.9,1.008,1.119,0.686,0.649,330.44,12,41,0,15,25,0
5.824,4.5,7.829,40.9,45.5,1.005,1.12,0.679,0.639,344.47,12,44,0,15,26,0
5.658,5.3,8.327,42.1,42.1,1.012,1.117,0.693,0.66,316.41,12,38,0,15,24,0
6.102,5.7,9.153,42.9,37.1,1.031,1.125,0.701,0.683,320.37,12,35,0,15,24,0
5.699,5.7,9.623,42.9,37.1,1.025,1.114,0.727,0.696,336.82,12,35,0,15,24,0
4.699,8.8,8.923,41.2,38.2,1.023,1.121,0.701,0.677,303.37,12,34,0,15,23,0
4.699,8.8,8.923,41.2,38.2,1.023,1.121,0.701,0.677,303.37,12,34,0,15,23,0
4.788,5.1,8.523,41.0,41.0,1.02,1.12,0.687,0.661,332.41,12,39,0,15,25,0
5.959,5.1,8.523,41.0,41.0,1.02,1.12,0.687,0.661,332.41,12,39,0,15,25,0
4.699,4.4,8.411,46.7,40.0,1.007,1.108,0.714,0.68,378.48,18,45,0,21,30,0
4.955,4.9,8.791,41.5,39.0,1.027,1.119,0.689,0.671,360.42,12,41,0,15,28,0
5.194,5.3,9.747,42.1,34.2,1.052,1.144,0.689,0.69,370.38,12,38,0,15,27,0
5.886,4.9,8.596,46.3,39.0,1.011,1.109,0.716,0.684,352.44,17,41,0,20,28,0
4.699,7.5,8.836,45.0,37.5,1.017,1.113,0.715,0.689,353.43,17,40,0,20,28,0
5.337,4.8,8.154,42.9,42.9,1.008,1.116,0.693,0.657,342.45,12,42,0,15,27,0
7.0,5.3,9.233,42.1,39.5,1.02,1.116,0.716,0.681,350.85,12,38,0,15,25,0
5.886,5.7,10.607,42.9,34.3,1.035,1.112,0.752,0.72,371.26,12,35,0,15,25,0
6.252,5.3,9.233,42.1,39.5,1.02,1.116,0.716,0.681,350.85,12,38,0,15,25,0
6.268,5.3,8.8,42.1,39.5,1.025,1.126,0.692,0.67,334.4,12,38,0,15,25,0
6.538,5.7,10.137,42.9,34.3,1.04,1.123,0.725,0.707,354.81,12,35,0,15,25,0
6.357,5.3,8.8,42.1,39.5,1.025,1.126,0.692,0.67,334.4,12,38,0,15,25,0
4.699,4.1,8.337,44.9,40.8,1.011,1.112,0.701,0.67,408.51,18,49,0,21,32,0
4.699,3.8,8.199,45.3,41.5,1.008,1.111,0.7,0.667,434.55,18,53,0,22,34,0
6.319,4.8,8.249,40.5,42.9,1.016,1.121,0.68,0.65,346.44,12,42,0,15,26,0
6.585,5.1,9.406,41.0,38.5,1.028,1.118,0.709,0.682,366.85,12,39,0,15,26,0
6.678,4.9,8.498,41.5,41.5,1.021,1.127,0.684,0.658,348.43,12,41,0,15,26,0
6.658,6.1,7.623,38.8,46.9,1.004,1.126,0.666,0.626,373.52,12,49,0,15,28,0
5.42,5.5,7.301,38.2,49.1,0.999,1.128,0.658,0.613,401.58,12,55,0,15,30,0
6.357,6.5,7.815,39.1,45.7,1.007,1.126,0.671,0.633,359.49,12,46,0,15,27,0
6.292,5.7,7.539,39.6,47.2,1.002,1.125,0.668,0.626,399.56,12,53,0,15,31,0
4.699,6.6,7.256,37.7,49.2,0.999,1.13,0.655,0.611,442.64,12,61,0,15,34,0
4.738,5.4,7.386,39.3,48.2,0.999,1.125,0.664,0.62,413.59,12,56,0,15,32,0
6.244,5.8,7.453,38.5,48.1,1.002,1.127,0.662,0.619,387.55,12,52,0,15,29,0
5.678,5.4,7.457,37.5,48.2,1.005,1.129,0.654,0.615,417.58,12,56,0,15,31,0
6.745,6.0,7.79,38.0,46.0,1.011,1.128,0.662,0.628,389.52,12,50,0,15,29,0
6.638,5.7,7.614,37.7,47.2,1.008,1.129,0.658,0.621,403.55,12,53,0,15,30,0
6.056,5.7,7.614,37.7,47.2,1.008,1.129,0.658,0.621,403.55,12,53,0,15,30,0
6.77,5.7,7.614,37.7,47.2,1.008,1.129,0.658,0.621,403.55,12,53,0,15,30,0
6.854,5.3,9.706,42.1,36.8,1.034,1.125,0.714,0.691,368.84,12,38,0,15,26,0
6.222,5.3,9.706,42.1,36.8,1.034,1.125,0.714,0.691,368.84,12,38,0,15,26,0
7.046,5.7,10.651,42.9,31.4,1.055,1.133,0.724,0.718,372.8,12,35,0,15,26,0
6.62,5.3,9.273,42.1,36.8,1.039,1.135,0.69,0.68,352.39,12,38,0,15,26,0
7.222,6.0,8.479,38.0,44.0,1.017,1.127,0.679,0.644,423.96,12,50,0,15,30,0
6.886,6.4,9.105,38.3,40.4,1.031,1.133,0.684,0.661,427.92,12,47,0,15,30,0
6.538,6.0,8.15,38.0,44.0,1.021,1.135,0.661,0.635,407.51,12,50,0,15,30,0
7.155,4.9,8.9,41.5,41.5,1.016,1.117,0.707,0.669,364.88,12,41,0,15,26,0
7.046,5.3,10.139,42.1,36.8,1.029,1.114,0.739,0.703,385.29,12,38,0,15,26,0
6.678,6.1,7.623,38.8,46.9,1.004,1.126,0.666,0.626,373.52,12,49,0,15,28,0
5.18,4.9,9.984,41.5,41.5,1.014,1.115,0.719,0.674,409.33,12,41,0,15,26,1
5.129,5.3,11.309,42.1,36.8,1.026,1.111,0.752,0.708,429.74,12,38,0,15,26,1
5.215,5.7,7.614,37.7,47.2,1.008,1.129,0.658,0.621,403.55,12,53,0,15,30,0
5.215,6.0,8.479,38.0,44.0,1.017,1.127,0.679,0.644,423.96,12,50,0,15,30,0
