pXC50,NNRS,Eig04_EA.ri.,MWC08,Eig04_AEA.ri.,GGI3,ATSC8v,GGI5,MPC05,GGI7,ATSC8p,SpMax3_Bh.e.,MWC10,Eig03_EA.ri.,SpMax3_Bh.i.,Ram,SM10_EA.ri.,MPC08,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig03_AEA.ri.,Eig04_EA,SM12_AEA.bo.,ATS4p,ATS7v,Eta_C_A,Eig03_AEA.ed.,Eig03_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM10_EA.ed.,SM11_EA,SM12_AEA.dm.,SM12_AEA.ed.,SM12_EA,SM15_AEA.ed.,MPC09,MPC10,ATSC6p,GGI4,Eig04_EA.ed.,SM13_AEA.dm.,Chi0_EA.dm.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,ATSC4v,Eig07_EA,SM15_AEA.bo.,SpMax3_Bh.m.,Eig05_AEA.ed.,SM05_EA.ed.,SM06_EA.ed.,SM09_EA,SM09_EA.ed.,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.,SM11_EA.ed.,SM13_AEA.ed.,SM13_EA,SM14_AEA.ed.,SM14_EA
6.129,0.667,3.08,11.05,4.113,4.792,43.21,2.82,5.257,1.251,29.516,3.97,12.907,3.111,4.007,18,13.606,5.72,1.962,1.923,4.14,3.127,3.127,4.977,4.853,1.417,6.848,11.347,19.607,22.301,27.628,14.962,11.347,25.597,16.222,31.704,5.805,5.922,27.804,3.448,10.933,10.933,33.281,14.821,16.068,17.305,18.554,19.802,38.142,2.234,2.234,3.899,5.849,14.28,17.047,12.467,24.945,21.559,13.733,23.574,30.302,27.627,17.472,29.664,18.735
6.18,0.667,3.105,10.991,4.129,4.479,39.568,2.684,5.209,1.067,27.058,3.97,12.832,3.145,4.007,17,13.475,5.649,1.961,1.924,4.179,3.14,3.14,4.922,4.787,1.362,6.898,11.545,19.348,21.986,27.193,14.809,11.545,25.367,16.048,31.383,5.733,5.872,26.406,2.937,10.933,10.933,32.068,14.667,15.892,17.105,18.33,19.552,36.226,2.23,2.23,3.899,5.849,14.122,16.844,12.355,24.57,21.384,13.605,23.372,29.805,27.368,17.273,29.373,18.511
5.0,0.6,2.216,10.695,3.256,2.951,25.659,1.677,4.927,0.626,17.258,3.796,12.538,3.061,3.84,11,13.283,5.375,1.849,1.807,4.101,2.273,2.273,4.548,4.413,1.135,6.731,10.984,19.233,21.883,27.123,14.64,10.984,25.22,15.891,31.275,5.425,5.501,17.29,1.608,7.024,7.024,22.024,14.491,15.727,16.952,18.187,19.419,24.496,1.77,1.77,3.731,5.163,13.962,16.691,12.158,24.488,21.205,13.421,23.21,29.747,27.236,17.128,29.254,18.376
5.67,0.667,3.063,10.976,4.107,4.326,38.186,2.792,5.204,1.07,27.162,3.97,12.812,3.109,4.007,17,13.435,5.649,1.948,1.92,4.136,3.125,3.125,4.895,4.772,1.397,6.741,11.013,19.316,21.954,27.166,14.78,11.013,25.335,16.018,31.353,5.737,5.875,26.075,2.812,10.931,10.931,31.287,14.626,15.851,17.063,18.288,19.509,34.646,2.232,2.232,3.946,5.849,14.092,16.811,12.33,24.541,21.354,13.578,23.341,29.78,27.337,17.242,29.343,18.48
5.0,0.667,3.06,10.971,4.097,4.243,33.298,2.584,5.106,0.941,23.688,3.988,12.821,3.109,4.02,17,13.568,5.513,1.903,1.882,4.135,3.114,3.114,4.773,4.64,1.247,6.74,10.987,19.364,22.009,27.241,14.894,10.987,25.374,16.144,31.406,5.583,5.73,22.445,2.737,10.93,10.93,31.244,14.782,16.024,17.258,18.503,19.746,29.986,2.246,2.246,3.935,5.849,14.125,16.846,12.418,24.607,21.383,13.675,23.374,29.865,27.38,17.384,29.391,18.636
5.437,0.667,3.106,11.084,4.131,4.979,37.995,3.223,5.288,1.338,27.24,3.97,12.935,3.212,4.007,19,13.53,5.749,1.959,1.923,4.335,3.143,3.143,4.917,4.818,1.377,7.35,12.815,19.5,22.135,27.331,15.01,12.815,25.544,16.251,31.558,5.861,6.021,26.649,3.385,10.933,10.933,34.098,14.721,15.945,17.157,18.38,19.602,34.605,2.243,2.243,3.9,6.627,14.281,17.0,12.548,24.712,21.56,13.798,23.549,29.936,27.545,17.481,29.55,18.722
6.208,0.667,2.87,10.881,3.912,3.639,28.296,2.032,5.118,0.848,20.092,3.976,12.709,3.062,4.013,15,13.359,5.541,1.935,1.909,4.101,2.933,2.933,4.691,4.585,1.097,6.731,10.984,19.259,21.902,27.13,14.709,10.984,25.269,15.949,31.3,5.613,5.768,18.756,2.461,9.047,9.047,29.152,14.551,15.779,16.994,18.222,19.448,27.047,2.132,2.132,3.906,5.792,14.02,16.739,12.253,24.499,21.278,13.505,23.269,29.752,27.274,17.176,29.285,18.417
6.097,0.667,2.712,10.842,3.765,3.451,26.987,2.032,5.081,0.754,19.184,3.97,12.668,3.061,4.004,14,13.328,5.521,1.913,1.885,4.101,2.793,2.793,4.639,4.551,1.048,6.731,10.984,19.247,21.892,27.126,14.681,10.984,25.248,15.925,31.288,5.591,5.743,18.003,2.03,8.245,8.245,28.558,14.524,15.755,16.973,18.204,19.432,25.591,2.117,2.117,3.905,5.561,13.998,16.719,12.219,24.493,21.25,13.475,23.245,29.749,27.257,17.154,29.271,18.397
5.0,0.6,2.712,10.727,3.765,3.576,23.567,1.927,4.934,0.801,16.696,3.931,12.544,3.061,3.973,14,13.194,5.375,1.903,1.865,4.101,2.793,2.793,4.499,4.404,0.977,6.731,10.984,18.95,21.564,26.726,14.549,10.984,25.043,15.779,31.027,5.438,5.591,15.026,2.168,8.245,8.245,28.558,14.374,15.59,16.792,18.009,19.222,21.833,2.057,2.057,3.866,5.561,13.785,16.477,12.115,24.124,21.084,13.355,23.059,29.318,27.033,16.996,29.028,18.228
5.0,0.667,3.106,11.038,4.13,4.604,37.938,3.025,5.263,1.216,26.228,3.97,12.884,3.168,4.007,18,13.495,5.717,1.961,1.924,4.214,3.141,3.141,4.905,4.798,1.302,6.976,11.846,19.375,22.011,27.215,14.839,11.846,25.395,16.077,31.406,5.82,5.974,25.275,3.132,10.933,10.933,34.596,14.686,15.91,17.122,18.346,19.568,34.391,2.234,2.234,3.9,5.986,14.153,16.875,12.387,24.593,21.416,13.635,23.402,29.825,27.394,17.302,29.398,18.539
