pXC50,Cl.090,nPyrroles,SaaNH,nBnz,nCb.,nCbH,CATS2D_06_DD,P_VSA_LogP_6,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,NaaNH,SpMax1_Bh.e.,P_VSA_MR_8,N.,D.Dtr09,SM09_EA.bo.,SpDiam_EA.ed.,JGI2,JGI5,SaaaC,nR09,C.026,SM11_EA.bo.,MATS7i,C.033,GGI5,CATS2D_05_LL,SpMax1_Bh.s.,MAXDP,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM13_EA.bo.,SM12_EA.bo.,SsCl,GATS6v,PDI,SRW07,SRW09,nCrs,H.048,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Chi0_EA.dm.,ATSC4s,ATSC4e,NaaaC,CATS2D_04_DL,CATS2D_07_DA,nN,ATS7m,GGI8,SM10_EA.bo.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,N.075,NaaN,SM14_EA.ed.,PCD,SM15_EA.ed.,CATS2D_02_DL
5.25,0,0,3.368,2,4,8,0,17.717,4.301,4.301,7.301,4.301,1,4.093,19.133,7.0,0.0,13.557,18.235,0.079,0.032,0.0,0,2,16.393,-0.104,0,1.202,14,8.201,5.338,11.08,11.08,11.08,19.238,17.883,0.0,0.929,1.04,4.727,6.862,0,0,6.747,6.747,2.498,4.698,6.698,4.698,4.368,40.885,0.275,0,4,1,3,3.897,0.357,15.108,3.204,3.204,5.204,3.204,2,2,33.738,3.419,36.124,2
5.25,0,0,0.0,2,4,8,0,2.328,4.543,4.543,7.543,4.543,0,4.095,0.0,10.0,0.0,13.773,18.155,0.058,0.016,2.127,0,2,16.755,-0.049,0,0.542,13,5.089,1.836,10.902,10.902,10.902,19.747,18.301,5.947,0.925,1.037,0.0,0.0,0,0,6.707,6.707,28.435,3.258,5.258,3.258,18.364,24.391,0.152,2,2,0,4,3.668,0.2,15.376,3.153,3.153,5.153,3.153,3,3,33.468,3.948,35.845,3
5.0,0,0,0.0,3,6,10,0,4.276,4.54,4.54,7.54,4.54,0,4.112,0.0,6.6,0.0,14.116,19.07,0.073,0.026,1.871,0,3,17.066,-0.131,0,1.507,6,7.431,6.244,11.836,11.836,11.836,20.028,18.579,0.0,0.939,0.975,4.727,6.862,0,0,7.139,7.139,47.755,3.613,5.613,3.613,36.989,58.81,0.467,2,8,1,5,4.329,0.637,15.665,3.366,3.366,5.366,3.366,1,1,34.951,4.045,37.389,3
5.0,0,0,0.0,2,7,5,0,29.92,4.211,4.211,7.211,4.211,0,4.002,56.782,5.1,0.0,13.332,18.175,0.103,0.029,0.0,0,6,16.152,-0.032,0,0.976,5,8.239,6.277,10.87,10.87,10.87,18.978,17.615,6.12,0.838,0.995,5.416,7.086,2,0,6.732,6.732,19.271,4.041,6.041,4.041,16.843,78.619,0.789,0,4,0,2,4.266,0.261,14.839,3.167,3.167,5.167,3.167,0,0,33.464,2.424,35.83,3
5.5,0,0,0.0,1,3,3,0,0.0,4.908,4.908,7.908,4.908,0,4.173,0.0,7.0,0.0,14.555,22.854,0.102,0.025,1.642,0,1,17.688,-0.28,0,0.851,5,7.715,6.194,14.252,14.252,14.252,20.828,19.267,0.0,0.884,0.986,2.708,5.094,2,0,7.789,7.789,25.392,4.751,6.751,4.751,17.457,67.944,0.406,2,0,0,3,3.283,0.09,16.147,3.595,3.595,5.595,3.595,1,1,37.212,2.413,39.864,1
6.7,0,0,0.0,1,3,3,0,6.555,4.543,4.543,7.543,4.543,0,4.056,0.0,12.7,159.647,14.228,19.963,0.082,0.03,0.0,1,2,17.143,-0.179,0,1.459,1,8.513,5.604,12.246,12.246,12.246,20.074,18.634,0.0,0.947,1.002,4.727,6.804,1,0,7.249,7.249,61.621,4.47,6.47,4.47,36.58,160.785,1.523,0,3,2,7,4.216,0.689,15.742,3.384,3.384,5.384,3.384,3,3,35.681,3.702,38.171,7
5.5,0,0,0.0,3,5,13,0,28.198,4.68,4.68,7.68,4.68,0,4.161,31.278,9.7,0.0,14.218,19.437,0.049,0.015,0.857,0,3,17.202,-0.072,2,1.074,9,7.429,5.744,12.063,12.063,12.063,20.213,18.748,0.0,0.933,1.048,5.416,7.535,0,2,7.021,7.021,47.09,3.628,5.628,3.628,30.357,41.244,0.26,1,4,1,7,4.409,0.545,15.805,3.327,3.327,5.327,3.327,3,3,34.897,6.374,37.375,5
5.5,0,0,0.0,3,5,13,0,28.198,4.68,4.68,7.68,4.68,0,4.161,31.278,9.7,0.0,14.222,19.437,0.046,0.015,0.856,0,3,17.207,-0.116,2,1.074,9,7.429,5.755,12.063,12.063,12.063,20.217,18.752,0.0,0.953,1.048,5.416,7.535,0,2,7.021,7.021,49.59,3.628,5.628,3.628,30.357,40.819,0.269,1,5,2,7,4.456,0.493,15.809,3.327,3.327,5.327,3.327,3,3,34.901,6.423,37.378,5
5.5,0,0,0.0,1,2,4,0,2.104,4.534,4.534,7.534,4.534,0,4.077,77.232,6.9,75.218,13.737,17.43,0.072,0.02,1.704,1,3,16.719,0.146,0,0.434,4,7.437,4.244,10.525,10.525,10.525,19.711,18.249,0.0,0.97,1.028,4.727,6.862,0,0,6.585,6.585,11.167,3.522,5.522,3.522,10.938,24.202,0.276,2,1,0,2,3.523,0.158,15.307,3.137,3.137,5.137,3.137,1,1,32.983,3.223,35.324,0
5.4,0,0,0.0,1,3,3,0,4.656,4.085,4.085,7.085,4.085,0,4.053,0.0,9.8,0.0,13.503,19.809,0.086,0.033,0.0,0,2,16.278,-0.118,0,1.653,3,8.513,5.603,12.257,12.257,12.257,19.054,17.735,6.043,1.009,1.015,0.0,0.0,0,0,7.25,7.25,48.743,4.471,6.471,4.471,32.22,80.266,0.675,0,1,1,6,4.284,0.496,15.016,3.385,3.385,5.385,3.385,2,2,35.207,3.459,37.69,0
5.0,0,0,0.0,2,7,5,0,17.288,4.514,4.514,7.514,4.514,0,4.088,0.0,8.5,0.0,13.85,17.503,0.065,0.019,1.256,0,5,16.792,0.032,0,1.007,7,8.201,5.571,10.562,10.562,10.562,19.751,18.31,5.912,0.955,0.976,4.443,6.26,2,0,6.591,6.591,46.591,3.499,5.499,3.499,32.664,69.081,0.744,2,2,1,5,4.308,0.501,15.407,3.146,3.146,5.146,3.146,2,2,33.139,3.558,35.467,5
5.5,0,0,0.0,2,4,8,0,2.328,4.433,4.433,7.433,4.433,0,4.064,0.0,9.4,0.0,13.516,17.08,0.056,0.017,1.913,0,2,16.472,-0.035,0,0.333,3,5.083,1.707,10.242,10.242,10.242,19.428,18.002,0.0,1.03,1.01,0.0,0.0,0,0,6.515,6.515,23.856,3.116,5.116,3.116,13.8,19.084,0.183,2,3,0,3,3.023,0.086,15.105,3.047,3.047,5.047,3.047,2,2,32.598,3.416,34.912,3
6.3,0,0,0.0,1,3,3,0,14.099,4.52,4.52,7.52,4.52,0,4.129,0.0,12.8,114.293,14.027,17.58,0.079,0.024,0.67,1,2,16.962,0.072,1,1.021,0,7.437,4.722,10.565,10.565,10.565,19.905,18.471,0.0,0.882,1.004,4.595,6.605,0,1,6.596,6.596,28.736,3.539,5.539,3.539,19.544,44.53,0.535,1,4,1,6,3.979,0.404,15.578,3.157,3.157,5.157,3.157,3,3,33.439,4.256,35.754,2
5.0,0,0,0.0,2,6,6,0,29.92,4.28,4.28,7.28,4.28,0,4.021,32.22,8.1,0.0,13.577,19.503,0.079,0.018,0.0,0,5,16.409,0.025,0,0.826,8,8.211,5.899,12.073,12.073,12.073,19.248,17.88,12.496,1.041,1.025,0.0,0.0,0,0,7.045,7.045,21.577,4.62,6.62,4.62,19.118,110.113,0.817,0,0,0,3,3.773,0.222,15.097,3.3,3.3,5.3,3.3,0,0,34.912,3.464,37.391,0
5.301,0,1,2.728,1,4,2,0,41.691,4.565,4.565,7.565,4.565,1,4.134,0.0,7.3,109.256,14.504,19.344,0.093,0.026,0.617,1,4,17.498,0.049,1,1.08,3,8.21,6.786,11.67,11.67,11.67,20.494,19.012,5.876,0.992,1.005,4.727,6.843,0,1,6.959,6.959,6.141,4.459,6.459,4.459,9.931,227.35,1.292,2,2,0,3,4.02,0.351,16.04,3.307,3.307,5.307,3.307,1,1,34.881,3.302,37.306,3
5.5,0,0,0.0,1,3,3,0,34.147,4.091,4.091,7.091,4.091,0,4.008,0.0,8.7,0.0,13.226,18.408,0.071,0.021,0.0,0,3,15.991,-0.194,0,0.785,3,8.211,5.842,10.867,10.867,10.867,18.761,17.443,0.0,0.946,0.983,0.0,0.0,3,0,6.734,6.734,45.306,3.782,5.782,3.782,29.266,127.208,1.1,0,1,1,4,3.806,0.312,14.731,3.204,3.204,5.204,3.204,2,2,33.49,2.669,35.848,2
