pXC50,C.,nC,SCBO,nBO,nSK,Sp
4.658,38.8,19,41.5,31,29,34.841
5.602,40.8,20,42.5,32,29,35.387
5.222,38.3,23,47.5,36,34,41.58
4.9,39.0,16,37.5,27,26,31.216
4.108,41.7,15,36.5,26,24,27.341
7.174,41.9,26,53.5,40,37,44.983
7.268,41.9,26,52.5,39,36,44.125
7.658,42.6,26,55.5,42,38,44.676
4.0,36.5,19,38.5,30,28,35.909
5.77,40.0,20,43.5,33,30,35.841
4.0,38.8,19,38.5,29,27,34.693
5.046,40.4,19,42.5,32,29,34.08
6.0,40.0,20,44.5,34,31,36.699
4.0,37.7,20,42.5,32,30,37.154
5.097,39.1,18,40.5,30,28,33.08
4.0,37.5,21,42.5,33,31,38.574
5.194,40.4,19,43.5,33,30,34.017
5.097,39.6,19,40.5,30,28,34.387
7.155,43.3,26,54.5,41,37,44.222
4.0,37.3,22,47.5,37,34,40.824
5.222,41.8,23,50.5,37,34,39.847
7.155,43.3,26,54.5,41,37,44.222
4.208,38.5,20,44.5,34,31,36.847
4.585,45.7,21,46.5,33,30,34.864
4.131,36.4,24,48.5,38,35,44.04
5.469,38.9,21,42.5,32,30,37.909
4.0,39.2,20,41.5,31,29,36.148
5.854,39.2,20,41.5,31,29,36.148
4.0,41.8,28,55.5,42,38,46.483
4.18,37.3,19,40.5,31,29,35.602
4.0,36.8,21,42.5,33,31,39.125
5.222,38.3,23,47.5,36,34,41.58
5.284,39.6,19,41.5,31,29,35.244
4.824,41.0,16,37.5,27,25,29.102
4.0,36.4,24,49.5,39,36,44.898
7.658,42.6,26,55.5,42,38,44.676
7.268,41.9,26,52.5,39,36,44.125
5.377,40.4,19,42.5,32,29,34.574
4.0,38.5,20,39.5,30,28,36.455
4.0,38.9,21,44.5,34,31,37.199
4.0,38.2,21,44.5,34,31,37.75
6.523,40.4,19,43.5,33,30,34.938
4.0,40.4,19,41.5,31,28,33.222
5.377,39.6,21,44.5,34,31,37.602
7.174,41.9,26,53.5,40,37,44.983
